Leverancier;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;Eindtotaal
Aad Termorshuizen Consultancy;2;;;2
About Ships and Maritime Connections;1;;;1
Acacia Water B.V.;2;;;2
Acacia-Robinia Nederland B.V.;3;;;3
Academie voor Organisatiecultuur B.V.;1;;;1
Adesys B.V.;1;;;1
Aeres;2;;;2
AEVES B.V.;4;;;4
Afsluitdijk Wadden Center;1;;;1
Agonus Fisheries Consultancy;3;;;3
Agrio Uitgeverij B.V.;2;;;2
AimAtArt;2;;;2
Aleid Landeweerd Illustraties en Vormgeving;1;;;1
Altenburg & Wymenga Ecologisch Onderzoek B.V.;3;;;3
AMI Consultancy;1;;;1
Anantis;3;;;3
Andersson Elffers Felix;4;;;4
Antea Nederland B.V.;2;;;2
AquaTerra-KuiperBurger (ATKB);3;;;3
AR Beleidsanalyses;2;;;2
ARCADIS Nederland;4;;;4
Ardis Organisatieontwikkeling B.V.;1;;;1
At Osborne B.V.;2;;;2
Athenas B.V.;1;;;1
AviConsult B.V.;2;;;2
B.V. Aaltens Constructiebedrijf ACB;2;;;2
B.V. Algemeen Nederlands Persbureau ANP;1;;;1
B.V. Boerenverstand;2;;;2
B.V. Kwaliteitskeuring Dierlijke Sector;9;;;9
BDO Accountants;1;;;1
Beheer en Exploitatie Groot Zandbrink B.V.;1;;;1
Berenschot B.V.;5;;;5
Bestia et Lex, Luuk Boerema Juridisch adv.;1;;;1
Bierens;1;;;1
Bionext;2;;;2
BKB B.V.;4;;;4
blikopeners.nu;1;;;1
Boerema & Van den Brink B.V.;2;;;2
Boerentaal;1;;;1
BOMEN, communicatie in relatie;1;;;1
Bont Consult;2;;;2
BOOM B.V.;2;;;2
Bord&Stift;1;;;1
Branchevereniging VHG;1;;;1
Breuer Institute B.V.;3;;;3
Brinkman Advies Bureau (BAB);1;;;1
BRO;2;;;2
Broekhuizen Communicatie;2;;;2
Brunel Nederland B.V.;;7;;7
Buck Consultants International B.V.;2;;;2
Bureau Bartels B.V.;2;;;2
Bureau Waardenburg B.V.;3;;;3
Bureau ZET;2;;;2
Buro Beeldkracht;1;;;1
Buro BRAND Visuele Communicatie B.V.;1;;;1
Buro Klaas Huizenga;1;;;1
By Mari B.V.;1;;;1
C.T. Systems B.V.;1;;;1
Canast B.V.;2;;;2
Capgemini Nederland B.V.;2;;;2
Caribbean Netherlands Science Institute (CNSI);3;;;3
CARMABI Foundation;1;;;1
CarolienMakkink;1;;;1
CDP Langbroek;2;;;2
CE Delft;3;;;3
Citaat V.O.F.;3;;;3
CLM Onderzoek en Advies B.V.;3;;;3
Coastal & Marine Union;1;;;1
Cobra adviseurs B.V.;2;;;2
Colibri Advies B.V.;2;;;2
Colored Goods;1;;;1
Communicatiebureau De Lynx B.V.;2;;;2
CONSENS Advies B.V.;2;;;2
ConsumerView Group Ltd;2;;;2
Coöperatie Bosgroep Midden Nederland U.A.;2;;;2
Coöperatief Congrestolkensecretariaat UA;1;;;1
Coöperatieve Bosgroep Zuid-Nederland U.A.;2;;;2
Coöperatieve Unie Van Bosgroepen U.A.;2;;;2
COSMONiO IMAGING B.V.;1;;;1
Cre-Aid B.V.;1;;;1
CREM;2;;;2
Cruydt-Hoeck;2;;;2
CTN Group B.V.;1;;;1
Culinair Eiland Projecten;1;;;1
Data Control Transponder Technology;1;;;1
Data2track;1;;;1
De Argumentenfabriek B.V.;1;;;1
De Merkplaats B.V.;1;;;1
De Tweede Lijn B.V.;1;;;1
De Zevensprong Coöperatie U.A.;1;;;1
De Zilveren Vosch B.V.;1;;;1
Decisio B.V.;2;;;2
DEKRA Certification B.V.;2;;;2
Deloitte Consulting B.V.;6;;;6
Demokwekerij B.V.;1;;;1
Den Haag Centrum v. Strategische Studies B.V.;3;;;3
Denkschets.nl;1;;;1
Dialogic Innovatie & Interactie;3;;;3
Dierenartsen-Associatie Boersma,v Look & Pino;1;;;1
Dierenartsenpraktijk Ell;1;;;1
Dierenartspraktijk Krommenie;1;;;1
Dijkgraaf Strategisch Advies B.V.;1;;;1
Dits Travel;1;;;1
DLV Intensief Advies B.V.;1;;;1
Dr. van Haeringen Laboratorium B.V.;1;;;1
Draw for Good;1;;;1
Dutch Research Institute for Transitions B.V.;3;;;3
E.S.B. -Catering & Verhuur;1;;;1
eCOAST Marine Research B.V.;3;;;3
Ecoauthor;3;;;3
ECORYS Nederland B.V.;4;;;4
Ecospace;1;;;1
Eenmooietoekomst B.V.;4;;;4
Eiffel B.V.;;4;;4
ELCEE B.V. Be;2;;;2
Elzinga & Oterdoom Procesmanagement LLP;4;;;4
EMMA Communicatie B.V.;3;;;3
Enterprise Relations Ltd.;3;;;3
ENVIR Advocaten B.V.;2;;;2
Environment Agency Austria, EAA (Umweltbundesamt GmbH);2;;;2
Ergo B.V.;1;;;1
Ernst & Young Belastingadviseurs LLP;2;;;2
Erve Mentink;1;;;1
Es*kookt;1;;;1
Eur. Regional Affairs Consultants (Erac) B.V.;3;;;3
EY Advisory Netherlands LLP;2;;;2
F. Haverkamp Holding B.V.;2;;;2
Facilitating Company;2;;;2
Factor Veiligheid! B.V.;3;;;3
Factor Vijf;1;;;1
Federatie Particulier Grondbezit;1;;;1
Fletcher Boutique Hotel Restaurant Duinoord;1;;;1
Floating Farm Rotterdam B.V.;1;;;1
Food Cabinet B.V.;3;;;3
Fortress Staffing Services B.V.;2;;;2
Fotografie : Paul Voorham;1;;;1
FOXX AV Rental;1;;;1
Fries Landbouwmuseum;1;;;1
Friesland Business Events B.V.;2;;;2
Frissekom;1;;;1
FT-Service 'Futuretec';1;;;1
Future Food Next;2;;;2
Future Motions;2;;;2
Gartner Nederland B.V.;4;;;4
GenomeScan B.V.;5;;;5
Getting the picture B.V.;1;;;1
Gimaris;4;;;4
Gist Projecten B.V.;2;;;2
Goderie Ecologisch Advies;1;;;1
Green Bridges;3;;;3
Greendish B.V.;3;;;3
Groeneveld Horeca B.V.;1;;;1
Groepspraktijk Dierenartsen Apeldoorn;1;;;1
Gros Food;2;;;2
H72;1;;;1
Han's Adviesbureau Mariene Ecologie (HAME);1;;;1
Hans Alders Procesregie & Advies B.V.;3;;;3
HaskoningDHV Nederland B.V.;4;;;4
Helder en Duidelijk;1;;;1
HEYDAY Ventures B.V.;2;;;2
Hezelburcht B.V.;1;;;1
Hollandse Hoogte B.V.;1;;;1
Hollandse Nieuwe B.V.;2;;;2
Hoppenbrouwers Techniek B.V.;1;;;1
HVR PA/PR;3;;;3
I2L, instituut voor innovatie en leren;2;;;2
Ideeaanzee B.V.;2;;;2
IJzerman Media;1;;;1
in60seconds B.V.;2;;;2
InsideStory;2;;;2
Instituut voor Landbouw- en Visserijonderzoek (ILVO);1;;;1
Intertembo - Idea. Concept. Reality.;1;;;1
IPS Software;2;;;2
ItaQ;5;;;5
Jaarbeurs B.V.;3;;;3
Jan Breembroek Consultancy;3;;;3
JessvanSpengen;1;;;1
Jongens van Techniek B.V.;1;;;1
Juricas B.V.;1;;;1
Kantar Netherlands B.V.;1;;;1
Kantonales Labor Zürich;2;;;2
KCM Survey B.V.;1;;;1
Keiretsu Europe B.V.;1;;;1
Kennis- en Adviescentrum Dierplagen;2;;;2
Kessels & Smit, the Learning Company B.V.;3;;;3
Kim's advies;2;;;2
Kirstenvanhees.nl;3;;;3
Kiwa CMR B.V.;3;;;3
Kompassie;1;;;1
Koninklijk NIOZ;1;;;1
KPMG Advisory N.V.;6;;;6
KSG Trainers & Consultants;2;;;2
Kwink Groep B.V.;2;;;2
Lacuna natura B.V.;2;;;2
Landgoed Vilsteren B.V.;2;;;2
Legal Advice for Nature;1;;;1
Linde Egberts;2;;;2
Livewords;2;;;2
Lysias Advies B.V.;5;;;5
Maatschap D.A.P. Zwolle/Zwartewaterland;1;;;1
Mainpress B.V.;2;;;2
