FID,mirtnr,mirtnrid,project,omschr,onderwerp,gebied,fase,ministerie,besluit,startreal,oplevering,f_mln,gdb_geomattr_data,shape
mirt2018_punten_modaliteit.1,665,66501,Venlo: Logistiek multimodaal knooppunt, ,Spoorwegen goederen,Zuid-Nederland,Realisatie,IenW, , ,2019,30,,POINT (206890.6897 378333.8423999995)
mirt2018_punten_modaliteit.2,667,66701,PHS: Overweg Veenendaal Klompersteeg, ,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, , ,2016-2019,9,,POINT (166755.78669999912 451155.8115000017)
mirt2018_punten_modaliteit.3,670,67001,PHS Spooromgeving Geldermalsen, ,Spoorwegen personen,Nationaal,Realisatie,IenW,2017, ,2021,133,,POINT (147022.20699999854 432709.34910000116)
mirt2018_punten_modaliteit.4,615,61503,A10 Knooppunten De Nieuwe Meer en Amstel,KP. Amstel,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2016,2017,2028,301,,POINT (122692.17029999942 482379.26089999825)
mirt2018_punten_modaliteit.5,615,61502,A10 Knooppunten De Nieuwe Meer en Amstel,KP. De Nieuwe Meer,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2016,2017,2028,301,,POINT (117858.61719999835 483457.879900001)
mirt2018_punten_modaliteit.6,610,61001,Besluit beheer Haringvlietsluizen, ,Zoetwater,Zuidwest-Nederland,Realisatie,IenW,2014,2015/2018, ,76,,POINT (62830.799400001764 427997.3520999998)
mirt2018_punten_modaliteit.7,576,57601,Capaciteit Volkaraksluizen, ,Hoofdvaarwegen,Zuidwest-Nederland,Planuitwerking,IenW, , ,2017/2024-2026,155,,POINT (87391.5148999989 411753.00549999997)
mirt2018_punten_modaliteit.8,361,36121,Ruimte voor de Rivier,34 Ontpoldering Overdiepse Polder,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (125359.36320000142 414042.1746000014)
mirt2018_punten_modaliteit.9,361,36122,Ruimte voor de Rivier,32 Dijkverbetering Bergsche Maas / Land van Altena,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (122654.71429999918 415541.4802000001)
mirt2018_punten_modaliteit.10,361,36123,Ruimte voor de Rivier,33 Dijkverbetering Amer / Donge,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (121221.55590000004 414056.91319999844)
mirt2018_punten_modaliteit.11,361,36124,Ruimte voor de Rivier,31 Dijkverbetering Steurgat / Land van Altena,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (118392.60700000077 418615.32349999994)
mirt2018_punten_modaliteit.12,361,36125,Ruimte voor de Rivier,21 Dijkverbetering Oude Maas / Hoeksche Waard,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (89774.19680000097 427404.79569999874)
mirt2018_punten_modaliteit.13,361,36126,Ruimte voor de Rivier,20 Dijkverbetering Oude Maas / Voorne Putten,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (82997.52169999853 430229.18180000037)
mirt2018_punten_modaliteit.14,361,36128,Ruimte voor de Rivier,22 Uiterwaardvergraving Avelingen,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (124390.16090000048 426817.89130000025)
mirt2018_punten_modaliteit.15,361,36134,Ruimte voor de Rivier,19 Dijkverbetering Lek / Alblasserwaard en de Vijfheerenlanden,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (126166.97569999844 440828.18499999866)
mirt2018_punten_modaliteit.16,361,36133,Ruimte voor de Rivier,"18 Uwv Honswijkerwaarden, stuweiland Hagestein, Hagesteinse Uiterwaarden, en Heerenwaard",Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (138102.24650000036 444319.01410000026)
mirt2018_punten_modaliteit.17,361,36132,Ruimte voor de Rivier,17 Dijkverbetering Lek / Betuwe / Tieler- en Culemborgerwaard,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (145944.22049999982 442121.51150000095)
mirt2018_punten_modaliteit.18,361,36131,Ruimte voor de Rivier,16 Obstakelverwijdering Machinistenschool Elst,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (161576.6884999983 444149.98369999975)
mirt2018_punten_modaliteit.19,361,36130,Ruimte voor de Rivier,15 Uiterwaardvergraving De Tollewaard,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (165068.05590000004 442026.5507000014)
mirt2018_punten_modaliteit.20,361,36129,Ruimte voor de Rivier,14 Uiterwaardvergraving Middelwaard,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (168371.90249999985 440161.68279999867)
mirt2018_punten_modaliteit.21,370,37001,Nadere uitwerking rivierengebied (NURG),2 Uiterwaardvergraving Rijnwaardense uiterwaarden,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (201743.65960000083 431468.5441999994)
mirt2018_punten_modaliteit.22,370,37002,Nadere uitwerking rivierengebied (NURG),8 Natuurontwikkelingsproject Noordwaard,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (114619.78599999845 421641.6783999987)
mirt2018_punten_modaliteit.23,370,37003,Nadere uitwerking rivierengebied (NURG),11 Onderdijksewaard,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (193660.97659999877 505606.0031999983)
mirt2018_punten_modaliteit.24,370,37003,Nadere uitwerking rivierengebied (NURG),1 Uiterwaardvergraving Welsumerwaarden en Fortmonderwaarden,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (203578.1083999984 484494.1647000015)
mirt2018_punten_modaliteit.25,370,37010,Nadere uitwerking rivierengebied (NURG),15 Waaluiterwaarden Heerewaarden,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (156711.60979999974 427358.03069999814)
mirt2018_punten_modaliteit.26,370,37010,Nadere uitwerking rivierengebied (NURG),10 Hemelrijkse Waard,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (161290.4871999994 425102.62139999866)
mirt2018_punten_modaliteit.27,370,37009,Nadere uitwerking rivierengebied (NURG),9 Ruimte voor de Lek / Uiterwaardvergraving Vianen,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (134244.19090000167 445563.7325000018)
mirt2018_punten_modaliteit.28,370,37004,Nadere uitwerking rivierengebied (NURG),12 Tichelbeeksewaard,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (209794.67309999838 461497.91310000047)
mirt2018_punten_modaliteit.29,370,37004,Nadere uitwerking rivierengebied (NURG),6 Uiterwaardvergraving Renkumse en Wageningse benedenwaarden en veerstoep Lexkesveer,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (176813.57070000097 441817.185800001)
mirt2018_punten_modaliteit.30,370,37005,Nadere uitwerking rivierengebied (NURG),17 Hurwenense uiterwaard,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (149457.11059999838 425051.4224999994)
mirt2018_punten_modaliteit.31,370,37005,Nadere uitwerking rivierengebied (NURG),7 Heesseltsche Uiterwaarden,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (151315.04360000044 425314.86080000177)
mirt2018_punten_modaliteit.32,370,37006,Nadere uitwerking rivierengebied (NURG),16 Kleine Willemspolder,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (160381.25869999826 434715.81529999897)
mirt2018_punten_modaliteit.33,370,37006,Nadere uitwerking rivierengebied (NURG),14 Blauwe Kamer,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (170012.23479999974 440037.6750999987)
mirt2018_punten_modaliteit.34,370,37006,Nadere uitwerking rivierengebied (NURG),5 Uiterwaardvergraving Afferdensche- en Deetsche waarden,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (172397.04439999908 433950.86470000073)
mirt2018_punten_modaliteit.35,370,37007,Nadere uitwerking rivierengebied (NURG),4 Uiterwaardvergraving Bemmelse waarden,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (192505.2916000001 432157.56329999864)
mirt2018_punten_modaliteit.36,370,37008,Nadere uitwerking rivierengebied (NURG),13 Gendtse Waard,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (194907.11459999904 430663.7540999986)
mirt2018_punten_modaliteit.37,370,37008,Nadere uitwerking rivierengebied (NURG),3 Uiterwaardvergraving Millingerwaard,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (197841.05550000072 432113.46599999815)
mirt2018_punten_modaliteit.38,361,36101,Ruimte voor de Rivier,28 Extra uiterwaardvergraving Millingerwaard,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (197841.05550000072 432113.46599999815)
mirt2018_punten_modaliteit.39,361,36102,Ruimte voor de Rivier,27 Dijkteruglegging Lent,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (188101.08150000125 429588.51249999925)
mirt2018_punten_modaliteit.40,361,36103,Ruimte voor de Rivier,26 Kribverlaging Midden-Waal,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (167679.85280000046 434443.3033999987)
mirt2018_punten_modaliteit.41,361,36104,Ruimte voor de Rivier,29 Waterberging Volkerak-Zoommeer,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (72702.58049999923 408683.98530000076)
mirt2018_punten_modaliteit.42,361,36105,Ruimte voor de Rivier,25 Kribverlaging Waal Fort Sint Andries,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (152966.0436999984 423477.77439999953)
mirt2018_punten_modaliteit.43,361,36106,Ruimte voor de Rivier,23 Uiterwaardvergraving Brakelse Benedenwaarden en dijkverlegging Buitenpolder Het Munnikenland,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (132515.95690000057 424841.0956000015)
mirt2018_punten_modaliteit.44,361,36107,Ruimte voor de Rivier,24 Kribverlaging Beneden-Waal,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (142937.61840000004 424153.91739999875)
