Rijlabels;9010 - GWW;9410 - Lokale belastingen - waterschapslasten;9520 - BZK Specifiek;9560 - I&M specifiek;Eindtotaal
Mei;;;;3;3
(Vereniging) KantershofenZO;;;;1;1
.comm;;;;1;1
@IM;;;;2;2
073 Meeting Company B.V.;;;;1;1
10Tree Projects;;;;4;4
10uur communicatie & creatie B.V.;;;;2;2
1-2 Connect-U B.V.;;;;1;1
12% of Meer;;;;1;1
1e Arnhemse Wegen-/Sleepdnst v Amerongen B.V.;;;;1;1
1-Vormatie;;;;2;2
2 Know How;;;;2;2
2000nu Communicatie;;;;1;1
24 uur in bedrijf;;;;1;1
2CoolMonkeys B.V.;;;;3;3
2FLUX stad projectontwikkeling;;;;1;1
2KnowIt B.V.;;;;2;2
2ndSense B.V.;;;;6;6
2-Nice B.V.;;;;2;2
2rent 4you Party Service;;;;1;1
2RIDE;;;;1;1
2VO;;;;3;3
2XPO B.V.;;;;1;1
3B Bureau Bodem en Milieubeleid;;;;3;3
3PO-advies;;;;3;3
4 D Sea Tender C.V.;;;;1;1
4 Finch B.V.;;;;1;1
4-Brands Group B.V.;;;;1;1
4cast B.V.;;;;5;5
4construct B.V.;;;;1;1
4Silence B.V.;;;;3;3
5Consultancy;;;;3;3
5plus1;;;;2;2
7AM B.V.;;;;1;1
7Beaufort;;;;2;2
7x4 IT Services;;;;1;1
9lives;;;;1;1
A Campo B.V.;;;;4;4
A la Mer;;;;1;1
A World Of Images;;;;1;1
A. Barendregt B.V.;;;;2;2
A. Booth B.V.;;;;1;1
A. den Bakker & Zn. B.V.;;;;1;1
A. Hak Noord-Oost B.V.;;;;1;1
A. Hak West B.V.;;;;7;7
A. Slurink Holding;;;;2;2
A. Timmerman's IJzerhandel B.V.;;;;3;3
A. van der Kraan;;;;1;1
A. van Helden Relatiegeschenken B.V.;;;;1;1
A. Veenstra Beheer B.V.;;;;4;4
A.B.J. Blankvoort;;;;1;1
A.J. de Groot;;;;1;1
A.J. Vaessen thodn Multi-Vl. 's-Hertogenbosch;;;;1;1
A.M.O.;;;;2;2
A.P. van den Berg Ingenieursburo B.V.;;;;2;2
A12 Van der Valk Hotel Veenendaal B.V.;;;;1;1
