Ministerie;Handelsnaam;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
AZ;2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;1;;;;;;;1
AZ;B.M. Mols Journalistiek;1;;;;;;;1
AZ;Below Enemy Lines;;;;1;;;;1
AZ;Bob Offereins;;;;1;;;;1
AZ;Bureau BlauwGeel B.V.;;;;1;;;;1
AZ;Bureau op zolder;;;;1;;;;1
AZ;Bureau voor Beeldzaken;;;;1;;;;1
AZ;buro boumeester;;;;1;;;;1
AZ;DARE!;;;;1;;;;1
AZ;Data Driven Marketing Association;;;;1;;;;1
AZ;Etil Research Group;;;;1;;;;1
AZ;FiveDolphins.com B.V.;;;;1;;;;1
AZ;J. van Dam;1;;;;;;;1
AZ;Kolibri Labels B.V.;;;;1;;;;1
AZ;Meetingselect B.V.;;;;1;;;;1
AZ;Merel Bernhardt;;;;1;;;;1
AZ;Mier B.V.;;;;1;;;;1
AZ;Ned. Interdisciplinair Demografisch Instituut;1;;;;;;;1
AZ;Ned. Org. voor toegepast-n.w.s. onderzoek TNO;1;;;;;;;1
AZ;NL Grid;;;;1;;;;1
AZ;Novagraaf IP NL B.V.;;;;1;;;;1
AZ;Ontwerpwerk B.V.;1;;;;;;;1
AZ;Opl. in Gezonh.zorg en Adv. J.R. van Reekum;;;;1;;;;1
AZ;Pamala Wiepking;1;;;;;;;1
AZ;Promofit;;;;1;;;;1
AZ;RauwCC B.V.;;;;1;;;;1
AZ;Ruigrok NetPanel;;;;1;;;;1
AZ;S & D Interactive Media B.V.;;;;1;;;;1
AZ;Sandcastle;;;;1;;;;1
AZ;SeByDe B.V.;;;;1;;;;1
AZ;Soundfocus B.V.;;;;1;;;;1
AZ;Stichting Beheer Synagoge;;;;1;;;;1
AZ;Stichting Hoger Beroepsonderwijs Haaglanden;1;;;;;;;1
AZ;Stichting Instock;;;;1;;;;1
AZ;Stichting tot, Tolk van Ontwikkel. en Talent;;;;1;;;;1
AZ;Taat & Friends B.V.;;;;1;;;;1
AZ;The Student Hotel Den Haag B.V.;;;;1;;;;1
AZ;The X Culture Club;;;;1;;;;1
AZ;UMP Research;1;;;;;;;1
AZ;Uptrends B.V.;;;;1;;;;1
AZ;Valerie Kuypers Fotografie;1;;;;;;;1
AZ;Valsplat B.V.;;;;1;;;;1
AZ;Verpleegunit MGG locatie MCA Alkmaar;;;;1;;;;1
AZ;Wicked Grounds;;;;1;;;;1
AZ;Xerox (Nederland) B.V.;;;;1;;;;1
AZ;YVI Beheer B.V.;;;;1;;;;1
BZ;Hollandse Hoogte B.V.;;;1;;;;;1
BZ;ILAT Information, Learning and Adv. Transact.;;;1;;;;;1
BZ;Klep Historisch Onderzoek;;;1;;;;;1
BZ;Leo Kwarten-Middle East Consultancy;;;1;;;;;1
BZ;MDM accountants B.V.;;;1;;;;;1
BZ;SD Worx Nederland B.V.;;;;;;;1;1
BZ;Stichting Ictu;;;1;;;;;1
BZ;VCK Travel B.V.;;;1;;;;;1
BZ;World Resources Institute Washington D.C.;;;1;;;;;1
BZK;2CoolMonkeys B.V.;;;1;;;;;1
BZK;Aaaaha! The Actor Factory B.V.;;1;;;;;;1
BZK;Abrandis!;;1;;;;;;1
BZK;Agel Adviseurs B.V.;;1;;;;;;1
BZK;Albron Nederland B.V.;;1;;;;;;1
BZK;Altares - Dun & Bradstreet;;;1;;;;;1
BZK;Anna Vastgoed Beheer B.V.;;1;;;;;;1
BZK;anoniem 1215;;1;;;;;;1
BZK;anoniem 267;;;1;;;;;1
BZK;anoniem 287;;;1;;;;;1
BZK;anoniem 296;;1;;;;;;1
BZK;anoniem 299;;1;;;;;;1
BZK;Artikraak;;1;;;;;;1
BZK;AtrivÃ© B.V.;;;1;;;;;1
BZK;Balance Ervaring op Projectbasis B.V.;;;1;;;;;1
BZK;Bart Bossink Innovatie;;;1;;;;;1
BZK;Be-public Consultancy;;;;1;;;;1
BZK;Bestuursacademie Nederland BV;;;1;;;;;1
BZK;BMT Consultants;;1;;;;;;1
BZK;Boom B.V.;;;;1;;;;1
BZK;Bouwregelgev. Informatiesystemen (Bris) B.V.;;;1;;;;;1
BZK;BRIGHT CoÃ¶peratie UA;;;1;;;;;1
BZK;Brinkhof N.V.;;;1;;;;;1
BZK;Broesli;;1;;;;;;1
BZK;Buck Consultants International B.V.;;;1;;;;;1
BZK;Bureau Beunders Media Analyse;;;1;;;;;1
BZK;Business in Balance B.V.;1;;;;;;;1
BZK;CAG;;1;;;;;;1
BZK;CAG AMned Group B.V.;;;1;;;;;1
BZK;Cao-recht Advies en Opleiding;;;;;1;;;1
BZK;Caraad Belastingadviseurs West B.V.;;;;;1;;;1
BZK;Carla van Lomwel - communicatie;;1;;;;;;1
BZK;Cimsolutions;;;;;;1;;1
BZK;CoÃ¶p. Adv.centr. Besch. Vit. Infrastruct. UA;;;1;;;;;1
BZK;Contour;;;;;1;;;1
BZK;Contracto B.V.;;;1;;;;;1
BZK;Cooperatieve Vereniging HDN Beheer BA;;;1;;;;;1
BZK;Crisisplan B.V.;;;1;;;;;1
BZK;De Federatie B.V.;;1;;;;;;1
BZK;de Groeifabriek;;1;;;;;;1
BZK;De Raat Security Products B.V.;;1;;;;;;1
BZK;De Toekomstbus;;;1;;;;;1
BZK;DEFACTO Architectuur en Stedenbouw;;;1;;;;;1
BZK;Dotweb Systems B.V.;;;;;;1;;1
BZK;Douglas Consultancy;;;1;;;;;1
BZK;DSP-Groep B.V.;;;1;;;;;1
BZK;Eigenarenvereniging Binnenstad Den Haag;;1;;;;;;1
BZK;Ergatis B.V.;;1;;;;;;1
BZK;EURS B.V.;;1;;;;;;1
BZK;Faasen Advies;;;1;;;;;1
BZK;Fac. Governance & Glb. Affairs vd Univ. Leid.;;;1;;;;;1
BZK;Facevalue B.V.;;;1;;;;;1
BZK;Ffact Management Consultants B.V.;;1;;;;;;1
BZK;FonVis B.V.;;1;;;;;;1
BZK;Forensic Services Nederland;;;1;;;;;1
BZK;GITP B.V.;;1;;;;;;1
BZK;Groene Bij;;;1;;;;;1
BZK;H.R. Guest Fotografie;;;;1;;;;1
BZK;H+N+S B.V.;;;1;;;;;1
BZK;Harvey Nash B.V.;;;1;;;;;1
BZK;Holland Consulting Group;;1;;;;;;1
BZK;ICOP B.V.;;1;;;;;;1
BZK;ICTRecht B.V.;;;1;;;;;1
BZK;IdeeVersa B.V.;;;1;;;;;1
BZK;Igluu B.V.;;1;;;;;;1
BZK;IMI Aero-Dynamiek B.V.;;1;;;;;;1
BZK;Impeccable Communicatie Evenementen;;;1;;;;;1
BZK;Improofit;;;1;;;;;1
BZK;Insights;;;1;;;;;1
BZK;JonkersenKo;;1;;;;;;1
BZK;Jont Groenendaal;;1;;;;;;1
BZK;Kessels & Smit, Publishers B.V.;;;1;;;;;1
BZK;Knippenberg Coachend Interim Management;;1;;;;;;1
BZK;Koers Onderzoek & Advies;;;1;;;;;1
BZK;Koffie & Bubbels;;1;;;;;;1
BZK;Kotteman B.V.;;1;;;;;;1
