FID,jaar,bed_zosnol,bed_zosmar,bed_rupmar,bedzostot,bio_zosnol,bio_zosmar,bio_rupmar,biozostot,bio_tot,type_ws,hoofdgeb,gebied,deelgeb,gdb_geomattr_data,shape
zostera_noltei_2002.66,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600319.9998999983, 258360 600319.9998999983, 258360 600339.9998999983, 258380 600339.9998999983, 258380 600319.9998999983))"
zostera_noltei_2002.68,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600319.9998999983, 258380 600319.9998999983, 258380 600339.9998999983, 258399.9998999983 600339.9998999983, 258399.9998999983 600319.9998999983))"
zostera_noltei_2002.69,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600319.9998999983, 258399.9998999983 600319.9998999983, 258399.9998999983 600339.9998999983, 258419.9998999983 600339.9998999983, 258419.9998999983 600319.9998999983))"
zostera_noltei_2002.81,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600380, 258380 600380, 258380 600400, 258399.9998999983 600400, 258399.9998999983 600380))"
zostera_noltei_2002.84,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600380, 258360 600380, 258360 600400, 258380 600400, 258380 600380))"
zostera_noltei_2002.114,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600400, 258360 600400, 258360 600419.9998999983, 258380 600419.9998999983, 258380 600400))"
zostera_noltei_2002.122,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600419.9998999983, 258380 600419.9998999983, 258380 600439.9998999983, 258399.9998999983 600439.9998999983, 258399.9998999983 600419.9998999983))"
zostera_noltei_2002.176,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258179.9998999983 600360, 258160 600360, 258160 600380, 258179.9998999983 600380, 258179.9998999983 600360))"
zostera_noltei_2002.188,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258099.9998999983 600360, 258079.9998999983 600360, 258079.9998999983 600380, 258099.9998999983 600380, 258099.9998999983 600360))"
zostera_noltei_2002.202,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258199.9998999983 600400, 258179.9998999983 600400, 258179.9998999983 600419.9998999983, 258199.9998999983 600419.9998999983, 258199.9998999983 600400))"
zostera_noltei_2002.277,2002,0,30,0,0,0,10440,0,0,10440,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258079.9998999983 600020, 258060 600020, 258060 600040, 258079.9998999983 600040, 258079.9998999983 600020))"
zostera_noltei_2002.280,2002,0,30,0,0,0,10440,0,0,10440,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258099.9998999983 600020, 258079.9998999983 600020, 258079.9998999983 600040, 258099.9998999983 600040, 258099.9998999983 600020))"
zostera_noltei_2002.284,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258119.9998999983 600020, 258099.9998999983 600020, 258099.9998999983 600040, 258119.9998999983 600040, 258119.9998999983 600020))"
zostera_noltei_2002.288,2002,0,12,0,0,0,4176,0,0,4176,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258099.9998999983 600040, 258079.9998999983 600040, 258079.9998999983 600060, 258099.9998999983 600060, 258099.9998999983 600040))"
zostera_noltei_2002.329,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258459.99980000034 600299.9998999983, 258439.9998999983 600299.9998999983, 258439.9998999983 600319.9998999983, 258459.99980000034 600319.9998999983, 258459.99980000034 600299.9998999983))"
zostera_noltei_2002.330,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600299.9998999983, 258419.9998999983 600299.9998999983, 258419.9998999983 600319.9998999983, 258439.9998999983 600319.9998999983, 258439.9998999983 600299.9998999983))"
zostera_noltei_2002.331,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600299.9998999983, 258399.9998999983 600299.9998999983, 258399.9998999983 600319.9998999983, 258419.9998999983 600319.9998999983, 258419.9998999983 600299.9998999983))"
zostera_noltei_2002.332,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600319.9998999983, 258419.9998999983 600319.9998999983, 258419.9998999983 600339.9998999983, 258439.9998999983 600339.9998999983, 258439.9998999983 600319.9998999983))"
zostera_noltei_2002.366,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600339.9998999983, 258419.9998999983 600339.9998999983, 258419.9998999983 600360, 258439.9998999983 600360, 258439.9998999983 600339.9998999983))"
zostera_noltei_2002.424,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258219.9998999983 600040, 258199.9998999983 600040, 258199.9998999983 600060, 258219.9998999983 600060, 258219.9998999983 600040))"
zostera_noltei_2002.451,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600460, 258399.9998999983 600460, 258399.9998999983 600480.0001999997, 258419.9998999983 600480.0001999997, 258419.9998999983 600460))"
zostera_noltei_2002.456,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 599979.9998999983, 258360 599979.9998999983, 258360 600000.0001000017, 258380 600000.0001000017, 258380 599979.9998999983))"
zostera_noltei_2002.484,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600360, 258399.9998999983 600360, 258399.9998999983 600380, 258419.9998999983 600380, 258419.9998999983 600360))"
zostera_noltei_2002.503,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258239.99980000034 600040, 258219.9998999983 600040, 258219.9998999983 600060, 258239.99980000034 600060, 258239.99980000034 600040))"
zostera_noltei_2002.504,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600000.0001000017, 258380 600000.0001000017, 258380 600020, 258399.9998999983 600020, 258399.9998999983 600000.0001000017))"
zostera_noltei_2002.505,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258239.99980000034 600419.9998999983, 258219.9998999983 600419.9998999983, 258219.9998999983 600439.9998999983, 258239.99980000034 600439.9998999983, 258239.99980000034 600419.9998999983))"
zostera_noltei_2002.540,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258339.9998999983 600419.9998999983, 258319.9998999983 600419.9998999983, 258319.9998999983 600439.9998999983, 258339.9998999983 600439.9998999983, 258339.9998999983 600419.9998999983))"
zostera_noltei_2002.545,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600460, 258380 600460, 258380 600480.0001999997, 258399.9998999983 600480.0001999997, 258399.9998999983 600460))"
zostera_noltei_2002.576,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600040, 258360 600040, 258360 600060, 258380 600060, 258380 600040))"
zostera_noltei_2002.577,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600020, 258360 600020, 258360 600040, 258380 600040, 258380 600020))"
zostera_noltei_2002.609,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600460, 258360 600460, 258360 600480.0001999997, 258380 600480.0001999997, 258380 600460))"
zostera_noltei_2002.694,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600040, 258380 600040, 258380 600060, 258399.9998999983 600060, 258399.9998999983 600040))"
zostera_noltei_2002.696,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 599979.9998999983, 258380 599979.9998999983, 258380 600000.0001000017, 258399.9998999983 600000.0001000017, 258399.9998999983 599979.9998999983))"
zostera_noltei_2002.698,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600020, 258380 600020, 258380 600040, 258399.9998999983 600040, 258399.9998999983 600020))"
zostera_noltei_2002.705,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258179.9998999983 599960, 258160 599960, 258160 599979.9998999983, 258179.9998999983 599979.9998999983, 258179.9998999983 599960))"
zostera_noltei_2002.707,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258219.9998999983 599960, 258199.9998999983 599960, 258199.9998999983 599979.9998999983, 258219.9998999983 599979.9998999983, 258219.9998999983 599960))"
zostera_noltei_2002.709,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258360 600460, 258339.9998999983 600460, 258339.9998999983 600480.0001999997, 258360 600480.0001999997, 258360 600460))"
zostera_noltei_2002.730,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258239.99980000034 600439.9998999983, 258219.9998999983 600439.9998999983, 258219.9998999983 600460, 258239.99980000034 600460, 258239.99980000034 600439.9998999983))"
zostera_noltei_2002.770,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258199.9998999983 599960, 258179.9998999983 599960, 258179.9998999983 599979.9998999983, 258199.9998999983 599979.9998999983, 258199.9998999983 599960))"
zostera_noltei_2002.772,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600419.9998999983, 258360 600419.9998999983, 258360 600439.9998999983, 258380 600439.9998999983, 258380 600419.9998999983))"
zostera_noltei_2002.778,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258360 600419.9998999983, 258339.9998999983 600419.9998999983, 258339.9998999983 600439.9998999983, 258360 600439.9998999983, 258360 600419.9998999983))"
zostera_noltei_2002.781,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600439.9998999983, 258360 600439.9998999983, 258360 600460, 258380 600460, 258380 600439.9998999983))"
zostera_noltei_2002.793,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258360 600439.9998999983, 258339.9998999983 600439.9998999983, 258339.9998999983 600460, 258360 600460, 258360 600439.9998999983))"
zostera_noltei_2002.818,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600480.0001999997, 258399.9998999983 600480.0001999997, 258399.9998999983 600500.0001999997, 258419.9998999983 600500.0001999997, 258419.9998999983 600480.0001999997))"
zostera_noltei_2002.825,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600339.9998999983, 258360 600339.9998999983, 258360 600360, 258380 600360, 258380 600339.9998999983))"
zostera_noltei_2002.831,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600360, 258360 600360, 258360 600380, 258380 600380, 258380 600360))"
zostera_noltei_2002.834,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600360, 258380 600360, 258380 600380, 258399.9998999983 600380, 258399.9998999983 600360))"
zostera_noltei_2002.837,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600439.9998999983, 258380 600439.9998999983, 258380 600460, 258399.9998999983 600460, 258399.9998999983 600439.9998999983))"
zostera_noltei_2002.899,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258239.99980000034 600460, 258219.9998999983 600460, 258219.9998999983 600480.0001999997, 258239.99980000034 600480.0001999997, 258239.99980000034 600460))"
zostera_noltei_2002.904,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258319.9998999983 600419.9998999983, 258299.9998999983 600419.9998999983, 258299.9998999983 600439.9998999983, 258319.9998999983 600439.9998999983, 258319.9998999983 600419.9998999983))"
zostera_noltei_2002.961,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258119.9998999983 599960, 258099.9998999983 599960, 258099.9998999983 599979.9998999983, 258119.9998999983 599979.9998999983, 258119.9998999983 599960))"
