Nummer;Totaal van;Jaar;Maand;Procedure categorie;Verblijfscluster;Beslissing;Nationaliteit;Aantal beslissingen
1;Jaar, Procedure categorie;2017;*Alle*;EU-document;*Alle*;*Alle*;*Alle*;3850
2;Jaar, Maand, Procedure categorie;2017;01;EU-document;*Alle*;*Alle*;*Alle*;330
2;Jaar, Maand, Procedure categorie;2017;02;EU-document;*Alle*;*Alle*;*Alle*;360
2;Jaar, Maand, Procedure categorie;2017;03;EU-document;*Alle*;*Alle*;*Alle*;250
2;Jaar, Maand, Procedure categorie;2017;04;EU-document;*Alle*;*Alle*;*Alle*;200
2;Jaar, Maand, Procedure categorie;2017;05;EU-document;*Alle*;*Alle*;*Alle*;280
2;Jaar, Maand, Procedure categorie;2017;06;EU-document;*Alle*;*Alle*;*Alle*;210
2;Jaar, Maand, Procedure categorie;2017;07;EU-document;*Alle*;*Alle*;*Alle*;340
2;Jaar, Maand, Procedure categorie;2017;08;EU-document;*Alle*;*Alle*;*Alle*;300
2;Jaar, Maand, Procedure categorie;2017;09;EU-document;*Alle*;*Alle*;*Alle*;370
2;Jaar, Maand, Procedure categorie;2017;10;EU-document;*Alle*;*Alle*;*Alle*;400
2;Jaar, Maand, Procedure categorie;2017;11;EU-document;*Alle*;*Alle*;*Alle*;490
2;Jaar, Maand, Procedure categorie;2017;12;EU-document;*Alle*;*Alle*;*Alle*;330
3;Jaar, Procedure categorie, Verblijfscluster;2017;*Alle*;EU-document;Derdelanders;*Alle*;*Alle*;3770
3;Jaar, Procedure categorie, Verblijfscluster;2017;*Alle*;EU-document;EU-burgers;*Alle*;*Alle*;80
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;01;EU-document;Derdelanders;*Alle*;*Alle*;320
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;01;EU-document;EU-burgers;*Alle*;*Alle*;10
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;02;EU-document;Derdelanders;*Alle*;*Alle*;350
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;02;EU-document;EU-burgers;*Alle*;*Alle*;10
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;03;EU-document;Derdelanders;*Alle*;*Alle*;240
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;03;EU-document;EU-burgers;*Alle*;*Alle*;10
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;04;EU-document;Derdelanders;*Alle*;*Alle*;190
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;05;EU-document;Derdelanders;*Alle*;*Alle*;280
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;05;EU-document;EU-burgers;*Alle*;*Alle*;10
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;06;EU-document;Derdelanders;*Alle*;*Alle*;200
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;06;EU-document;EU-burgers;*Alle*;*Alle*;10
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;07;EU-document;Derdelanders;*Alle*;*Alle*;330
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;08;EU-document;Derdelanders;*Alle*;*Alle*;300
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;09;EU-document;Derdelanders;*Alle*;*Alle*;360
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;09;EU-document;EU-burgers;*Alle*;*Alle*;10
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;10;EU-document;Derdelanders;*Alle*;*Alle*;400
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;10;EU-document;EU-burgers;*Alle*;*Alle*;10
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;11;EU-document;Derdelanders;*Alle*;*Alle*;470
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;11;EU-document;EU-burgers;*Alle*;*Alle*;10
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2017;12;EU-document;Derdelanders;*Alle*;*Alle*;330
5;Jaar, Procedure categorie, Beslissing;2017;*Alle*;EU-document;*Alle*;Afwijzing;*Alle*;520
5;Jaar, Procedure categorie, Beslissing;2017;*Alle*;EU-document;*Alle*;Inwilliging;*Alle*;3240
5;Jaar, Procedure categorie, Beslissing;2017;*Alle*;EU-document;*Alle*;Overig;*Alle*;90
6;Jaar, Maand, Procedure categorie, Beslissing;2017;01;EU-document;*Alle*;Afwijzing;*Alle*;50
6;Jaar, Maand, Procedure categorie, Beslissing;2017;01;EU-document;*Alle*;Inwilliging;*Alle*;270
6;Jaar, Maand, Procedure categorie, Beslissing;2017;01;EU-document;*Alle*;Overig;*Alle*;10
6;Jaar, Maand, Procedure categorie, Beslissing;2017;02;EU-document;*Alle*;Afwijzing;*Alle*;40
6;Jaar, Maand, Procedure categorie, Beslissing;2017;02;EU-document;*Alle*;Inwilliging;*Alle*;310
6;Jaar, Maand, Procedure categorie, Beslissing;2017;02;EU-document;*Alle*;Overig;*Alle*;10
6;Jaar, Maand, Procedure categorie, Beslissing;2017;03;EU-document;*Alle*;Afwijzing;*Alle*;50
6;Jaar, Maand, Procedure categorie, Beslissing;2017;03;EU-document;*Alle*;Inwilliging;*Alle*;200
6;Jaar, Maand, Procedure categorie, Beslissing;2017;04;EU-document;*Alle*;Afwijzing;*Alle*;50
6;Jaar, Maand, Procedure categorie, Beslissing;2017;04;EU-document;*Alle*;Inwilliging;*Alle*;150
6;Jaar, Maand, Procedure categorie, Beslissing;2017;05;EU-document;*Alle*;Afwijzing;*Alle*;60
6;Jaar, Maand, Procedure categorie, Beslissing;2017;05;EU-document;*Alle*;Inwilliging;*Alle*;220
6;Jaar, Maand, Procedure categorie, Beslissing;2017;05;EU-document;*Alle*;Overig;*Alle*;10
6;Jaar, Maand, Procedure categorie, Beslissing;2017;06;EU-document;*Alle*;Afwijzing;*Alle*;40
6;Jaar, Maand, Procedure categorie, Beslissing;2017;06;EU-document;*Alle*;Inwilliging;*Alle*;170
6;Jaar, Maand, Procedure categorie, Beslissing;2017;06;EU-document;*Alle*;Overig;*Alle*;10
6;Jaar, Maand, Procedure categorie, Beslissing;2017;07;EU-document;*Alle*;Afwijzing;*Alle*;40
6;Jaar, Maand, Procedure categorie, Beslissing;2017;07;EU-document;*Alle*;Inwilliging;*Alle*;290
6;Jaar, Maand, Procedure categorie, Beslissing;2017;07;EU-document;*Alle*;Overig;*Alle*;10
6;Jaar, Maand, Procedure categorie, Beslissing;2017;08;EU-document;*Alle*;Afwijzing;*Alle*;40
6;Jaar, Maand, Procedure categorie, Beslissing;2017;08;EU-document;*Alle*;Inwilliging;*Alle*;250
6;Jaar, Maand, Procedure categorie, Beslissing;2017;08;EU-document;*Alle*;Overig;*Alle*;10
6;Jaar, Maand, Procedure categorie, Beslissing;2017;09;EU-document;*Alle*;Afwijzing;*Alle*;40
6;Jaar, Maand, Procedure categorie, Beslissing;2017;09;EU-document;*Alle*;Inwilliging;*Alle*;320
6;Jaar, Maand, Procedure categorie, Beslissing;2017;09;EU-document;*Alle*;Overig;*Alle*;10
6;Jaar, Maand, Procedure categorie, Beslissing;2017;10;EU-document;*Alle*;Afwijzing;*Alle*;30
6;Jaar, Maand, Procedure categorie, Beslissing;2017;10;EU-document;*Alle*;Inwilliging;*Alle*;360
6;Jaar, Maand, Procedure categorie, Beslissing;2017;10;EU-document;*Alle*;Overig;*Alle*;10
6;Jaar, Maand, Procedure categorie, Beslissing;2017;11;EU-document;*Alle*;Afwijzing;*Alle*;50
6;Jaar, Maand, Procedure categorie, Beslissing;2017;11;EU-document;*Alle*;Inwilliging;*Alle*;430
6;Jaar, Maand, Procedure categorie, Beslissing;2017;11;EU-document;*Alle*;Overig;*Alle*;10
6;Jaar, Maand, Procedure categorie, Beslissing;2017;12;EU-document;*Alle*;Afwijzing;*Alle*;40
6;Jaar, Maand, Procedure categorie, Beslissing;2017;12;EU-document;*Alle*;Inwilliging;*Alle*;280
6;Jaar, Maand, Procedure categorie, Beslissing;2017;12;EU-document;*Alle*;Overig;*Alle*;10
7;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2017;*Alle*;EU-document;Derdelanders;*Alle*;Afghaanse;40
