Nummer;Totaal van;Jaar;Maand;Toezichtsmaatregel;Aantal uitstroom
1;Jaar;2022;*Alle*;*Alle*;2400
2;Jaar, Toezichtsmaatregel;2022;*Alle*;Bevel terugkeer EU lidstaat;390
2;Jaar, Toezichtsmaatregel;2022;*Alle*;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);900
2;Jaar, Toezichtsmaatregel;2022;*Alle*;Periodieke meldplicht met een overdrachtsdossier aan DT&V;210
2;Jaar, Toezichtsmaatregel;2022;*Alle*;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;890
3;Jaar, Maand;2022;01;*Alle*;220
3;Jaar, Maand;2022;02;*Alle*;190
3;Jaar, Maand;2022;03;*Alle*;230
3;Jaar, Maand;2022;04;*Alle*;190
3;Jaar, Maand;2022;05;*Alle*;230
3;Jaar, Maand;2022;06;*Alle*;210
3;Jaar, Maand;2022;07;*Alle*;220
3;Jaar, Maand;2022;08;*Alle*;180
3;Jaar, Maand;2022;09;*Alle*;180
3;Jaar, Maand;2022;10;*Alle*;180
3;Jaar, Maand;2022;11;*Alle*;200
3;Jaar, Maand;2022;12;*Alle*;170
4;Jaar, Maand, Toezichtsmaatregel;2022;01;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2022;01;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);80
4;Jaar, Maand, Toezichtsmaatregel;2022;01;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2022;01;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;80
4;Jaar, Maand, Toezichtsmaatregel;2022;02;Bevel terugkeer EU lidstaat;30
4;Jaar, Maand, Toezichtsmaatregel;2022;02;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);80
4;Jaar, Maand, Toezichtsmaatregel;2022;02;Periodieke meldplicht met een overdrachtsdossier aan DT&V;10
4;Jaar, Maand, Toezichtsmaatregel;2022;02;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;70
4;Jaar, Maand, Toezichtsmaatregel;2022;03;Bevel terugkeer EU lidstaat;30
4;Jaar, Maand, Toezichtsmaatregel;2022;03;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);80
4;Jaar, Maand, Toezichtsmaatregel;2022;03;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2022;03;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;90
4;Jaar, Maand, Toezichtsmaatregel;2022;04;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2022;04;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);70
4;Jaar, Maand, Toezichtsmaatregel;2022;04;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2022;04;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;70
4;Jaar, Maand, Toezichtsmaatregel;2022;05;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2022;05;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);70
4;Jaar, Maand, Toezichtsmaatregel;2022;05;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2022;05;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;90
4;Jaar, Maand, Toezichtsmaatregel;2022;06;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2022;06;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);80
4;Jaar, Maand, Toezichtsmaatregel;2022;06;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2022;06;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;70
4;Jaar, Maand, Toezichtsmaatregel;2022;07;Bevel terugkeer EU lidstaat;30
4;Jaar, Maand, Toezichtsmaatregel;2022;07;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);90
4;Jaar, Maand, Toezichtsmaatregel;2022;07;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2022;07;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;90
4;Jaar, Maand, Toezichtsmaatregel;2022;08;Bevel terugkeer EU lidstaat;30
4;Jaar, Maand, Toezichtsmaatregel;2022;08;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);70
4;Jaar, Maand, Toezichtsmaatregel;2022;08;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2022;08;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;70
4;Jaar, Maand, Toezichtsmaatregel;2022;09;Bevel terugkeer EU lidstaat;30
4;Jaar, Maand, Toezichtsmaatregel;2022;09;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);70
4;Jaar, Maand, Toezichtsmaatregel;2022;09;Periodieke meldplicht met een overdrachtsdossier aan DT&V;10
4;Jaar, Maand, Toezichtsmaatregel;2022;09;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;60
4;Jaar, Maand, Toezichtsmaatregel;2022;10;Bevel terugkeer EU lidstaat;20
4;Jaar, Maand, Toezichtsmaatregel;2022;10;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);80
4;Jaar, Maand, Toezichtsmaatregel;2022;10;Periodieke meldplicht met een overdrachtsdossier aan DT&V;10
4;Jaar, Maand, Toezichtsmaatregel;2022;10;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;70
4;Jaar, Maand, Toezichtsmaatregel;2022;11;Bevel terugkeer EU lidstaat;30
4;Jaar, Maand, Toezichtsmaatregel;2022;11;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);90
4;Jaar, Maand, Toezichtsmaatregel;2022;11;Periodieke meldplicht met een overdrachtsdossier aan DT&V;10
4;Jaar, Maand, Toezichtsmaatregel;2022;11;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;70
4;Jaar, Maand, Toezichtsmaatregel;2022;12;Bevel terugkeer EU lidstaat;30
4;Jaar, Maand, Toezichtsmaatregel;2022;12;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);60
4;Jaar, Maand, Toezichtsmaatregel;2022;12;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2022;12;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;60
