OBJECTID,GZNIDENT,GZNOMSCH,GZNSOORT,GLOBALID,LEG_ZIENSWIJZE,LEG_GEREED_VOOR_CL,KWKSTATU,WSZDEELGEBIED,Shape__Area,Shape__Length
1,BC10133,zone WGS,20,6ecc1e29-d15b-46dc-a4bd-d4f738d81bdc,,,300,,4741659.16329956,217567.616078408
2,BC10134,zone WGS,20,bef5bf92-10a9-449b-a970-f992d862ba2f,,,300,,492199.185569763,33906.140172441
3,BC10137,zone WGS,20,9393816d-2310-43c1-b957-6943e4187a64,,,300,,2531089.39746857,171495.169867977
4,BC10375,zone WGS,18,353bdb42-c47e-45c1-a952-130031696bdf,,,300,,21451.0539779663,2047.71899915385
5,BC10433,zone WGS,18,786ac030-de23-46de-bd99-99d978ca832c,,,300,,122.187675476074,58.3715494117399
6,BC10435,zone WGS,18,507adb95-a1d8-4c3b-a359-03530d215a6b,,,300,,2722.76657867432,848.863921806059
7,BC10436,zone WGS,18,0d13ca05-8de4-483c-b605-9b7f4839f991,,,300,,1.07417297363281,8.93246775419231
8,BC10773,zone WGS,18,7a58dc35-e932-47e3-b918-43cf1c55b8e2,,,300,,178.736618041992,212.999116216411
9,BC10779,zone WGS,18,9de30734-8d75-4066-a174-929d6c0d73b1,,,300,,1800.54739379883,773.560027786784
10,BC10783,zone WGS,18,87b03b4a-67c0-41ae-babb-20a7f6152de9,,,300,,2517.32446289063,284.638048239764
11,BC10791,zone WGS,18,b9e64372-87df-44f3-a6a7-26ff3d2e51d9,,,300,,9.50930023193359,51.2696202160527
12,BC10799,zone WGS,18,b8eb25b2-e586-41c4-8bcd-fafaacd0e037,,,300,,70.0032730102539,100.300032070768
13,BC10812,zone WGS,18,8d0766ba-f51a-4824-a4c8-a33140100042,,,300,,38079.5775527954,5297.77584663108
14,BC10816,zone WGS,18,c45f2476-315f-4f46-8a17-c2ee4f709602,,,300,,722.356430053711,239.75716172279
15,BC10825,zone WGS,18,90df5a50-5cad-4eda-8e8d-70217a17eba1,,,300,,177.456443786621,417.182690810824
16,BC10831,zone WGS,18,b3ad80fb-a522-49a8-88b5-19ed7c3df832,,,300,,715.985145568848,221.642780509294
17,BC10839,zone WGS,18,d1e13c63-5a97-4c7d-add4-69056f44c509,,,300,,44393.6045913696,8863.8677535778
18,BC10844,zone WGS,18,2e6609b4-e1d9-431b-a1ea-3f75fba52bc6,,,300,,45.8600006103516,82.0315421994553
19,BC10859,zone WGS,18,164c87f6-24fc-44b5-bab0-4ae4f3474daf,,,300,,190.318710327148,154.387316946318
20,BC10863,zone WGS,18,869ac7e2-1937-4669-a3ea-f87dc60b70ff,,,300,,1139.73017883301,352.274692661684
21,BC10870,zone WGS,18,c8b7fd08-4959-4076-8ae8-3353da2abee2,,,300,,1.52080535888672,17.1527796537509
22,BC10876,zone WGS,18,9c68940a-40dc-44ae-b86a-92874f678709,,,300,,91300.7644577026,8955.73349991318
23,BC10880,zone WGS,18,80ae70a3-1949-4bec-96a1-907ee736917b,,,300,,1.82047271728516,16.3728204087865
24,BC10904,zone WGS,18,85b1c4d8-7373-4690-be65-b084e31c975b,,,300,,297.672119140625,596.719259148153
25,BC10915,zone WGS,18,9d7747ee-740e-423e-8624-d419a3810fbb,,,300,,3088.22667694092,601.943869729733
26,BC24850,kernzone WRW,10,510981d4-3ab5-484a-8359-4edc1447bef4,,,300,,78409.0070877075,7229.98293100616
27,BC25496,Kruin WRW,10,b9d0a5a3-cac3-41cd-9a62-5cbfb3b84bb5,,,300,,215.868431091309,94.884722435
28,BC25499,Binnentalud WRW,10,3d01d438-4149-4425-9f11-acab6eee328a,,,300,,696.257659912109,189.627838424544
29,BC25805,Binnentalud WRW,10,e978a5f5-8118-438b-ad64-28ec40420a3a,,,300,,1066.63565063477,791.160674264829
30,BC25815,Kruin WRW,10,5857a6f2-8976-4a03-84e6-d097c8f3414b,,,300,,22491.6327896118,7132.02689447566
31,BC25823,Buitentalud WRW,10,0b3b32ff-ae08-4050-9809-8279479107dc,,,300,,2947.41925048828,3215.27806071362
32,BC25828,Buitentalud WRW,10,cb707578-79f4-4dba-aba1-e68ec6e33c32,,,300,,132154.479484558,22422.4096275056
33,BC25836,Binnentalud WRW,10,d19e09bf-e140-4410-b7b7-6b180b03cfeb,,,300,,2751.78952789307,1740.00002542906
34,BC25841,Binnentalud WRW,10,baefd62a-76fc-4631-88cb-ae4cd3b68786,,,300,,113167.503509521,22686.7059517808
35,BC25852,Kruin WRW,10,7056766f-1ae4-430a-bf29-ef5cf81faba1,,,300,,602.005989074707,226.230527976895
36,BC25868,Buitentalud WRW,10,7f329791-e61e-4863-bc27-0b5a5a7625fe,,,300,,6475.78289031982,5098.12187147541
37,BC25871,Binnentalud WRW,10,33e8ed5b-4bb6-40cf-b5c7-62beb13752b9,,,300,,30997.7992019653,6810.52147707786
38,178370,zone WGS,15,c506815d-753f-4f72-a73b-28671b82de9f,,,300,,30.2356262207031,27.0871703009142
39, ,Zonering Reeve Diep,20,d90d1e74-7177-43fb-8833-50876ed9ea5b,,,300,,312675.458427429,9465.87069431966
40, ,Zonering Reeve Diep,20,79a5cc43-c2aa-443c-88c0-fe4f07d12ddf,,,300,,141354.083824158,4488.9260192762
41, ,Zonering Reeve Diep_Prorail,20,dee64b68-b030-43f6-b725-05690d81da77,,,300,,3070.89692687988,305.572501477764
42, ,Zonering Reeve Diep,15,48fd16bf-3525-45f5-a731-4625ae65ce5b,,,300,,280902.599075317,13768.1007603653
43,215465,Buiten Beschermingszone_85 WRW,12,8627e536-c9e7-4a03-9e46-c4dbb6765a7e,,,300,,1269952.75591278,12347.5417819453
44,215471,Beschermingszone_15 WRW,11,9913e1bb-28eb-4591-8bcb-544a352f9b60,,,300,,176945.073951721,3581.45854183318
45,217394,zone WGS,19,72d5bfc4-a0dc-4194-9c8b-ab030a85189e,,,300,,77343.0391845703,2307.3218122306
46,217404,zone WGS,19,459ae8d7-f0d6-4f1b-8572-6e87941207b5,,,300,,1552604.43803406,33773.4189132554
47,217406,zone WGS,19,86b78df5-b7c9-42ad-882f-455a34a6d73a,,,300,,9.1552734375e-05,0.0443789936145679
48,217407,zone WGS,19,058d76bb-c2f4-4539-9e6e-c334dbfe5ea1,,,300,,0.0028533935546875,0.356699838318514
49,217413,zone WGS,19,b113a333-1dc7-4ed7-a4bf-4acd0f7aa75a,,,300,,1.71796417236328,23.9815652764145
50,217437,BZA Mandjeswaard 102,18,e510ee32-7958-4694-8178-3c9e02b870ba,,,300,,2719.84188079834,5887.47969311506
51,217440,BZB Stikkenpolder 101,19,4192d0d4-998f-42ce-ab18-c7b1b9ad9e8c,,,300,,545469.125587463,11627.4644188607
52,BC10372,zone WGS,18,969a2f0f-c1a3-4995-8273-0f69179d64ec,,,300,,342687.319412231,10542.3145527374
53,BC10374,zone WGS,18,0c140b62-12eb-4c49-9c22-4fd8ad3cf0cb,,,300,,4264.97796630859,424.075375454284
54,BC10376,zone WGS,18,b1f3ac4f-b46f-47a3-af4b-2b0cefebfba8,,,300,,184533.193916321,15244.2265832467
55,BC10386,zone WGS,18,7fb79232-2c1c-4299-84aa-5a66b15304ef,,,300,,11.525749206543,52.2613115081177
56,BC10390,zone WGS,18,942fbe0c-f98f-4613-b287-148dcef7d71b,,,300,,70.8781204223633,80.8668861332173
57,BC10392,zone WGS,18,f16584b4-e454-4173-8012-861f7b9b0570,,,300,,8847.91449737549,1440.71257363648
58,BC10394,zone WGS,18,f0cca7eb-5513-40db-a930-20608f91f184,,,300,,482.391868591309,135.146561553756
59,BC10408,zone WGS,18,35d9aac2-2ee5-47a8-ae99-da880cf4d082,,,300,,1851.97199249268,390.178751727093
60,BC10415,zone WGS,18,ca7c48de-2ad3-48be-ad0e-9329763cd7dc,,,300,,303.651390075684,389.341708164768
61,BC10416,zone WGS,18,fba1b9ef-a5fa-44f8-847b-dfa64e8636c3,,,300,,804.970344543457,759.976849285575
62,BC10419,zone WGS,18,303d9188-715b-4600-b143-f1de57c70d9d,,,300,,579.372444152832,453.121164534878
63,BC10431,zone WGS,18,2ba609d6-2277-4134-9414-1899b38dfd5c,,,300,,417583.579582214,18808.684505729
64,BC10438,zone WGS,18,6dc6efc7-00b6-4fe6-820a-3cfae9009d8e,,,300,,167.692939758301,317.913927174203
65,BC10781,zone WGS,18,f15d48e5-5861-4ea9-8676-138dfbd79fc8,,,300,,10307.9865646362,1595.81318982395
66,BC10800,zone WGS,18,422f5c7b-cba6-4e21-aea0-261ae1201992,,,300,,373.379707336426,285.463783462637
67,BC10809,zone WGS,18,1af7d7b0-150f-4dd6-8a61-c46792f7d9a0,,,300,,33.1070556640625,124.755951141172
68,BC10821,zone WGS,18,a37d2942-2704-4dd8-a273-5e22edd1156d,,,300,,7489.55610656738,636.255089485041
69,BC10827,zone WGS,18,0b5e32b3-00ea-4105-9c20-be0b81ed5d8d,,,300,,170.869789123535,77.151123754044
70,BC10832,zone WGS,18,f305d22f-4b83-4a91-9353-a8bb773cb961,,,300,,14926.665397644,1231.33985589671
71,BC10833,zone WGS,18,a352ae7e-89af-464b-8bcd-1776a3ac0d1f,,,300,,7655.96519470215,1698.87207573014
72,BC10837,zone WGS,18,43209bb0-013e-4c59-bda1-2c37d5892a2f,,,300,,7314.46338653564,1700.73286002904
73,BC10849,zone WGS,18,f57d121d-45bd-49b8-9c39-f3e38954578c,,,300,,553371.640518188,21978.9101784684
74,BC10853,zone WGS,18,adf4fa43-cf64-4e81-a0d0-3399eb20befa,,,300,,3096.87036895752,441.249994729345
75,BC10855,zone WGS,18,b5f3b31c-9868-4178-a2de-0a991961c77a,,,300,,737.70588684082,330.185722693258
76,BC10856,zone WGS,18,30556708-71d7-4ca4-bdb0-3e40b4048783,,,300,,16.3786163330078,47.4186857366466
77,BC10858,zone WGS,18,449fbc74-227d-4e9a-a77b-61f8467c5cb4,,,300,,254.085067749023,129.548635264508
78,BC10864,zone WGS,18,30de81d7-06c7-47c8-b510-63a415e44041,,,300,,9549.00498962402,1126.42853545559
79,BC10872,zone WGS,18,0a3f69ee-a964-42fc-8b4b-5e568cfed7ca,,,300,,21.7153396606445,61.738272575981
80,BC10873,zone WGS,18,5f9e47b6-8e4e-45d2-aac6-f4b47a788835,,,300,,3142.35760498047,600.822350024174
81,BC10884,zone WGS,18,1699c76e-7f7c-4fe3-8e76-49bed82c2619,,,300,,20032.2140426636,3399.19159387553
82,BC10886,zone WGS,18,eefb3fe8-9979-4dd2-aabe-624611ab60f6,,,300,,10000.9335098267,3849.8910606355
83,BC10894,zone WGS,18,a6a871f7-1442-4987-bff7-cb15052e7259,,,300,,434.405914306641,412.998914095363
84,BC10908,zone WGS,18,6047ed07-20b5-4084-8b88-1981d0e27389,,,300,,2.45709991455078,39.0409843866266
85,BC10911,zone WGS,18,d5f67424-0be7-45c5-92fd-aa4f07db9881,,,300,,240.113540649414,273.190755441506
86,BC10912,zone WGS,18,492c7317-3f40-459d-9fba-2058606b6c59,,,300,,1.49277496337891,18.2099675228563
87,BC10921,zone WGS,18,42d9242f-e819-4939-be8e-25a00cc162a7,,,300,,108473.266799927,7046.81861255984
88,BC10923,zone WGS,18,98935275-2c8a-4d3f-8783-e77e5920484e,,,300,,2072.88552093506,1046.53559438848
89,BC24848,kernzone WRW,10,206ec2ee-daad-4f77-aee9-5cb24a5c13a8,,,300,,1177003.53923798,69859.6629295768
90,BC24849,kernzone WRW,10,7190b508-eff8-4f93-ae5c-263bca77c858,,,300,,201169.655670166,17749.9853930842
91,BC24852,kernzone WRW,10,8eb6d4a7-4b8b-424b-9e80-0f476aed17a3,,,300,,54896.1269989014,6852.59664208471
92,BC25497,Binnentalud WRW,10,e1562aae-bca1-4990-a41a-e4c7d2e6a0d3,,,300,,14348.780090332,5037.57362918166
93,BC25821,Kruin WRW,10,db8df198-a380-4a16-8a8f-f42ee1c2cee4,,,300,,10191.879196167,1011.84866657429
94,BC25830,Binnentalud WRW,10,14295e9f-93aa-4b04-bb46-560e1de36342,,,300,,16849.7557525635,4989.98991779075
95,BC25831,Kruin WRW,10,51644dd5-3e68-4471-bf57-afdcf7fe9bf9,,,300,,16430.1053237915,9312.21820248883
96,BC25833,Binnentalud WRW,10,1b09aa54-78e4-48ea-9420-86390535c472,,,300,,9901.24578094482,4718.21913350127
97,BC25851,Binnentalud WRW,10,6e5d2401-ea8d-4096-8950-81638575b8f2,,,300,,39.5116424560547,72.3810639199448
98,BC25855,Kruin WRW,10,b8a3d6b0-01ff-47cb-90c9-04df4e839872,,,300,,34335.2603378296,6854.43468301062
99,BC25861,Binnentalud WRW,10,00afe6de-d6ca-4853-9800-18ff5a351ce4,,,300,,3103.27744293213,5141.38330972526
100, ,Zonering Reeve Diep,20,6f49af7b-ae92-4225-88e7-b500a085baae,,,300,,148786.779602051,4464.02541556269
101, ,Zonering Reeve Diep,20,291ec235-2b92-40ba-9da4-7a5db4d42a82,,,300,,203152.184959412,7840.42865577184
102, ,Zonering Reeve Diep,18,27b3bab6-d2c4-432f-ab9c-965436d1f383,,,300,,63380.5936279297,13595.2259325725
103, ,Zonering Reeve Diep,18,e5e6c822-14de-4956-9c77-69c69f93ba59,,,300,,37462.716545105,7598.47299515964
104, ,Zonering Reeve Diep,18,ac36f51f-cb35-4924-b8ed-d558611b0527,,,300,,19615.8429718018,4512.37419277634
105,190506,,18,47261469-9ee1-466f-8be5-75bfeab7bd7e,,,300,,284.591857910156,100.577780242016
106,215468,Beschermingszone_15 WRW,11,a6e774de-6dd6-459d-9e64-3b555fb1fd9e,,,300,,187229.0389328,7290.38541909643
107,217385,zone WGS,19,9c5e3e6f-314f-4d0d-9dfc-5ee104c5dc43,,,300,,9970.38440704346,1194.78110571919
108,217388,zone WGS,19,9e1dd0eb-88f3-4c6d-9ca9-e283b6f52654,,,300,,72167.0564346313,2408.10970498954
109,217409,zone WGS,19,99cbee36-847e-4b21-9c3c-81ffbccbe040,,,300,,0.000244140625,0.0710557695697711
110,217430,zone WGS,15,e0f72fed-95d5-4e0e-bbce-34fd6d1aa2a9,,,300,,19183.7953948975,2896.60714480315
111,217433,WW Stikkenpolder 101,20,24b023c1-de54-4f3e-9ee6-260c014ea855,,,300,,122453.214080811,11175.2598464309
112,BC10399,zone WGS,18,16345edc-9b1c-42f4-ac7c-cac082bbc040,,,300,,2.57841491699219,33.0152173136101
113,BC10421,zone WGS,18,e7c07a56-605b-438a-89a5-55770cf0e2c9,,,300,,2987.2777633667,1115.39335736473
114,BC10422,zone WGS,18,ff66ceba-1a72-49a3-aae4-493688d20102,,,300,,5474.25359344482,1894.24241668917
115,BC10765,zone WGS,18,09c08e0a-cf4e-42d9-8a2e-00ad6f0b14a5,,,300,,497.246894836426,148.264825620771
116,BC10778,zone WGS,18,c651da46-ed9a-4f57-bb10-372bbdf28653,,,300,,1384.87010955811,528.911619178617
117,BC10792,zone WGS,18,4c414c6e-74ba-42f6-b667-feea537b809f,,,300,,0.00252532958984375,2.3034155367773
118,BC10797,zone WGS,18,8369a17b-de21-44fc-8397-6b01615ccfbf,,,300,,349.66316986084,167.821156750639
119,BC10801,zone WGS,18,ef95821a-61ff-4d05-9fdf-79a748fbdc30,,,300,,63325.2057113647,3260.02158370503
120,BC10803,zone WGS,18,6d45de83-9dfa-4d38-921d-cf12a386b807,,,300,,109255.174682617,4989.94623087134
121,BC10819,zone WGS,18,cfe05dc0-f138-4838-a5dc-3d4775040ed5,,,300,,3531.07308959961,551.527919606882
122,BC10826,zone WGS,18,4744f769-39d7-4e80-a330-d2911274c51b,,,300,,0.25927734375,5.99826934056694
123,BC10836,zone WGS,18,f437cbc1-e9c7-4f1e-aab9-b50ad0224ab5,,,300,,5683.95160675049,993.407248570711
124,BC10841,zone WGS,18,321bf5cb-76aa-4a04-b095-a2948e6dc140,,,300,,1894.23669433594,1376.51621347446
125,BC10846,zone WGS,18,f0e56091-d88d-4e34-8eae-b222d81b51c9,,,300,,1320.72852325439,1068.6601926838
126,BC10851,zone WGS,18,e57aa174-0da9-40bc-bab5-8a02ed54db27,,,300,,130956.27709198,10644.2620807839
127,BC10852,zone WGS,18,54caa0f1-d864-47e3-b28d-ad6899869e44,,,300,,194976.988761902,13515.345532571
128,BC10862,zone WGS,18,aa105519-b6f0-4441-ada2-dc419cc3ddec,,,300,,426.622749328613,242.768566670448
129,BC10869,zone WGS,18,a914e1dd-d378-464c-b7fa-1ad452159f6b,,,300,,947.005416870117,392.353551289283
130,BC10871,zone WGS,18,b0a8e4bf-dbba-4efa-8cf6-e8e832c6c134,,,300,,15.2430725097656,40.5825882351612
131,BC10874,zone WGS,18,b385a6ee-c471-4b89-a5a4-1bbce5999761,,,300,,7313.92375183105,1219.06312872841
132,BC10877,zone WGS,18,317eb966-ba89-408b-a893-f1bd3a75aa97,,,300,,24.0378112792969,34.535057202374
133,BC10881,zone WGS,18,1a5e704b-692a-499f-bdeb-b10a8bd09b3b,,,300,,7044.5172958374,3020.36284800545
134,BC10889,zone WGS,18,51352812-7286-4407-8851-26c08a0cfe42,,,300,,6400.77131652832,2263.49833537778
135,BC10892,zone WGS,18,7db50267-9a81-4f08-84d5-028d3fc7c41d,,,300,,1330.74080657959,716.08940651653
136,BC10902,zone WGS,18,df43215c-6554-4977-b0a1-da96f5d13991,,,300,,7.87244415283203,46.8383484604128
137,BC10918,zone WGS,18,c371ba4f-cc85-4af9-87de-25a5383e184c,,,300,,32335.070930481,2216.22399172162
138,BC25484,Beschermingszone_15 WRW,11,c1077a19-e7d8-4181-bf2e-2ebd566c22f2,,,300,,20343.0918960571,1325.70611445764
139,BC25495,Buitentalud WRW,10,5ecb3c4a-a13b-42d3-9031-a6cc50c3281d,,,300,,24589.0355682373,7030.67502534124
