objectid;waarnemingsnummer;onderzoeksmeldingsnummer;datumvondst;toponiem;vondstverwerving;vondstnummer;complextype;cultuur;aantal;materiaal;algemenegebruiksfunctie;specifiekegebruiksfunctie;beginperiode;eindeperiode;toelichtingvondst;geo_shape;geo_point_2d
38;33633;-1;1953;VRIJSTRAAT - RECHTESTRAAT;Niet-archeologisch: graafwerk;135123;Onbekend;Niet van toepassing;1;Keramiek;Aardewerk, gedraaid;geglazuurd;Late Middeleeuwen B;Late Middeleeuwen B;14/15e eeuws. Uit profiel, z.Kakebeeke, profiel 1, p.62.;"{""coordinates"": [5.477521473707421, 51.439303919121556], ""type"": ""Point""}";51.439303919121556, 5.477521473707421
46;37399;-1;1992;SLIFFERT-POOT VAN METZ;Archeologisch: opgraving;170871;Nederzetting, onbepaald;Niet van toepassing;1;Niet van toepassing;Huisplattegrond:3-schepig;Niet van toepassing;Late Middeleeuwen B;Late Middeleeuwen B;;"{""coordinates"": [5.4245912944652135, 51.4360970624265], ""type"": ""Point""}";51.4360970624265, 5.4245912944652135
49;40778;-1;19-08-1970;HEESTERAKKERS;Archeologisch: opgraving;161564;Nederzetting, onbepaald;Onbekend;1;Glas;Armband/armring;Niet van toepassing;Late ijzertijd;Late ijzertijd;groen, Haevernick 7a;"{""coordinates"": [5.504818914659794, 51.483683533271474], ""type"": ""Point""}";51.483683533271474, 5.504818914659794
50;40779;-1;12-09-1971;HEESTERAKKERS;Archeologisch: opgraving;161567;Nederzetting, onbepaald;Onbekend;1;Glas;Armband/armring;Niet van toepassing;Late ijzertijd;Late ijzertijd;blauw, donker blauw, Haevernick 7a;"{""coordinates"": [5.504534461163579, 51.485032117485176], ""type"": ""Point""}";51.485032117485176, 5.504534461163579
57;200004;-1;04-1998;GENNEP;Niet-archeologisch: metaaldetector;187307;Onbekend;Onbekend;1;Brons;Lavabo/wasbekken;Niet van toepassing;Late Middeleeuwen B;Late Middeleeuwen B;Ingevoerd door W. vd Wijdeven afd. Archeologie gemeente Eindhoven;"{""coordinates"": [5.47777305969832, 51.421146591679744], ""type"": ""Point""}";51.421146591679744, 5.47777305969832
59;200030;-1;03-10-1999;RIEL;Archeologisch: (veld)kartering;161923;Onbekend;Niet van toepassing;5;Keramiek;Aardewerk, gedraaid;Niet van toepassing;Vroege Middeleeuwen D;Vroege Middeleeuwen D;;"{""coordinates"": [5.52133164003323, 51.42011579839604], ""type"": ""Point""}";51.42011579839604, 5.52133164003323
60;200032;-1;03-10-1999;RIEL;Archeologisch: (veld)kartering;161925;Onbekend;Niet van toepassing;1;Keramiek;Aardewerk, gedraaid;Niet van toepassing;Vroege Middeleeuwen D;Vroege Middeleeuwen D;;"{""coordinates"": [5.522765802356782, 51.418945606804215], ""type"": ""Point""}";51.418945606804215, 5.522765802356782
62;200045;-1;06-10-1996;HET BROEK;Niet-archeologisch: onbepaald;187339;Depot;Onbekend;1;Vuursteen;Bijl;Niet van toepassing;Midden Neolithicum B;Laat Neolithicum;;"{""coordinates"": [5.445981996571743, 51.406874972016574], ""type"": ""Point""}";51.406874972016574, 5.445981996571743
64;200050;-1;06-1989;KLEINE BERG 33;Archeologisch: inspectie;187345;Onbekend;Niet van toepassing;1;Zilver;Munt;penning/penny;Late Middeleeuwen B;Late Middeleeuwen B;;"{""coordinates"": [5.475647219768197, 51.43696830327456], ""type"": ""Point""}";51.43696830327456, 5.475647219768197
66;200053;-1;1963;HANEVOET;Niet-archeologisch: graafwerk;187351;Onbekend;Niet van toepassing;1;Keramiek;Steengoed geglazuurd:kruik;Raerens;Nieuwe tijd A;Nieuwe tijd A;;"{""coordinates"": [5.441538391942604, 51.416764700579385], ""type"": ""Point""}";51.416764700579385, 5.441538391942604
67;200055;-1;1972;KASTEELWEG;Onbekend;197219;Onbekend;Onbekend;1;Vuursteen;Spits;Niet van toepassing;Neolithicum;Neolithicum;oppervlakte retouche;"{""coordinates"": [5.438241111411004, 51.424856014013585], ""type"": ""Point""}";51.424856014013585, 5.438241111411004
68;200059;-1;1989;GENNEP;Onbekend;197223;Onbekend;Onbekend;1;Brons;Fibula/mantelspeld;Niet van toepassing;Romeinse tijd;Romeinse tijd;;"{""coordinates"": [5.476330289370808, 51.41854098637451], ""type"": ""Point""}";51.41854098637451, 5.476330289370808
72;200067;-1;16-04-2001;RIEL;Archeologisch: (veld)kartering;187361;Onbekend;Niet van toepassing;1;Koper;Munt;Niet van toepassing;Late ijzertijd;Late ijzertijd;Materiaal is waarschijnlijk koperlegering.;"{""coordinates"": [5.524633329289472, 51.418493982454116], ""type"": ""Point""}";51.418493982454116, 5.524633329289472
80;200094;-1;08-1988;VRIJSTRAAT 50,CATTENBERG;Archeologisch: opgraving;197261;Onbekend;Niet van toepassing;1;Niet van toepassing;Gracht;Niet van toepassing;Late Middeleeuwen B;Nieuwe tijd B;;"{""coordinates"": [5.475793830258687, 51.43840637954019], ""type"": ""Point""}";51.43840637954019, 5.475793830258687
83;200099;-1;08-07-1996;EMMASINGEL;Archeologisch: inspectie;197280;Onbekend;Niet van toepassing;21;Keramiek;Roodbakkend geglazuurd aardewerk;Niet van toepassing;Nieuwe tijd;Nieuwe tijd;;"{""coordinates"": [5.474933318654735, 51.43966544548553], ""type"": ""Point""}";51.43966544548553, 5.474933318654735
84;200100;-1;1968;"WAL; GROTEBERG";Indirect: archief;197287;Wal/omwalling;Niet van toepassing;1;Steen;Muur(restant);Niet van toepassing;Nieuwe tijd A;Nieuwe tijd A;aanzet van een stadspoort;"{""coordinates"": [5.478091041386984, 51.436427100225934], ""type"": ""Point""}";51.436427100225934, 5.478091041386984
5;14105;-1;25-05-1966;KENNEDYLAAN;Niet-archeologisch: onbepaald;29956;Nederzetting, onbepaald;Onbekend;3;Keramiek;Aardewerk, handgevormd;Niet van toepassing;IJzertijd;Romeinse tijd;'WANDFR';"{""coordinates"": [5.486359471139986, 51.4690492020786], ""type"": ""Point""}";51.4690492020786, 5.486359471139986
6;14106;-1;9999;KENNEDYLAAN;Niet-archeologisch: onbepaald;29964;Nederzetting, onbepaald;Onbekend;9999;Keramiek;Aardewerk, handgevormd;Niet van toepassing;IJzertijd;Romeinse tijd;'WANDFR';"{""coordinates"": [5.485783795863067, 51.46904969075554], ""type"": ""Point""}";51.46904969075554, 5.485783795863067
8;14206;-1;07-1978;BLIXEMBOSCH;Niet-archeologisch: onbepaald;51578;Onbekend;Onbekend;1;Vuursteen;Bijl;Flint-Ovalbeil;Midden Neolithicum A;Laat Neolithicum B;"'DONKERGRIJS GEVLEKT';DUENNACKIGE FLINT-OVALBEIL (ZIE KRONIEK 1977-78)";"{""coordinates"": [5.491576189236853, 51.48459501170948], ""type"": ""Point""}";51.48459501170948, 5.491576189236853
10;14262;-1;09-04-1980;ECKART;Niet-archeologisch: graafwerk;83565;Onbekend;Niet van toepassing;5;Keramiek;Aardewerk, gedraaid;Niet van toepassing;Vroege Middeleeuwen C;Vroege Middeleeuwen D;;"{""coordinates"": [5.50232832032266, 51.46660757692815], ""type"": ""Point""}";51.46660757692815, 5.50232832032266
