;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
&Samhoud Nederland B.V.;;;2;;;;;2
3B3 Advies;;;;;;2;;2
A5tien;;;1;;;;;1
AAA Alarmcentrale;7;;;;;;;7
Accenture B.V.;;;;;;1;;1
Acquis MC;1;;;;;;;1
Adicon;;;;;1;;;1
Adriaan de Smaakmaker;1;;;;;;;1
Advocatenkantoor Dijkgraaf B.V.;;;;;1;;;1
Agnes;;;;;;2;;2
Allai;2;;;;;;;2
Allen & Overy LLP;;;2;;2;;;2
Allvat Representative BV;;;;;;;1;1
Altadis Luxembourg S.A.;;;;;;2;;2
Amsterdamse Bergings Combinatie;1;;;;;;;1
Andersson Elffers Felix;;;2;;;;;2
Anneline van der Zon;;;2;;;;;2
anoniem_FIN_7;;;1;;;;;1
anoniem_FIN_8;;;;1;;;;1
anoniem_FIN_83;;;2;;;;;2
anoniem_FIN_84;;;5;;;;;5
anoniem_FIN_98;;;1;;;;;1
anoniem_FIN_99;;;1;;;;;1
Antoinette Breed;2;;;;;;;2
Aplan;1;;;;;;;1
Ardis Opleidingen B.V.;;;1;;;;;1
Ardis Organisatieontwikkeling B.V.;1;;;;;;;1
Atos Nederland B.V.;;;;;;4;;4
Atos Nederland Bv;;;;;;5;;5
Authentiek leiderschap B.V.;1;;;;;;;1
Autoberging Faber;1;;;;;;;1
Axiell ALM Netherlands B.V.;;;;;;2;;2
Axis;1;;;;;;;1
BÃ¶we Systec Nederland B.V.;;;;;;1;;1
BAKER & McKENZIE AMSTERDAM N.V.;;;;;1;;;1
Baker Tilly Berk Den Haag;;;;;;;2;2
BDO Accountants & Belastingadviseurs B.V.;;;;;;;1;1
Bedrijfs- en Milieurecherchebureau BMR;1;;;;;;;1
Berenschot Interim Management B.V.;3;;;;;;;3
Bex*communicatie;;;;2;;;;2
BijzonderStrafrecht B.V.;;;;;1;;;1
Binnenzaken V.O.F.;1;;;;;;;1
Blauw Research B.V.;;;4;;;;;4
Bloomberg L.P.;2;;;;;;;2
BPI Service BV;;;;;;1;;1
Broese Boekverkopers B.V.;;;1;;;;;1
Bureau Bohré;1;;;;;;;1
Bureau G.I.T.;;;1;;;;;1
Bureau voor notarieel Juridische in;;;;;1;;;1
Buro Negen;1;;;;;;;1
Byelex Sales BV;;;1;;;;;1
C2Results B.V.;2;;;;;;;2
Cad Accent bv;;;;;;1;;1
Cadenza B.V.;1;;;;;;;1
Capgemini Nederland B.V.;8;;;;;;;8
CARD SERVICE ZWOLLE BV;;;;;;1;;1
Cargonaut Nederland B.V.;;;;;;6;;6
Carof-beeldleveranciers;1;;;;;;;1
CasaGrande B.V.;;;2;;;;;2
CaseWare Nederland;;;;;;1;;1
CE Delft;;;2;;;;;2
Centric Netherlands B.V.;2;;;;;;;2
Certus Port Automation B.V.;1;;;;;;;1
Charlotte's Law & Fine Prints B.V.;;;;;2;;;2
Cinop Advies B.V.;;;4;;;;;4
Claire Arens;2;;;;;;;2
Clifford Chance LLP;;;;;2;;;2
CMHF;;3;;;;;;3
CNV Connectief;;2;;;1;;;2
Communicatie Noord Nederland;;;1;;;;;1
COMPAREX Nederland B.V.;;;;;;5;;5
Con Questa;1;;;;;;;1
Connected Information Systems B.V.;;;3;;;;;3
Consistender;;;;;1;;;1
Construct Bedrijfspsychologie;2;;;;;;;2
CoolSafety;;;1;;;;;1
Corporate Rebels Revolt;1;;;;;;;1
CreaVisie;1;;;;;;;1
DCE Nederland B.V.;;;;;;1;;1
De Beer Accountants en Belastingadviseurs;;;;;;;1;1
De Clercq Advocaten en Notariaat;;;;;2;;;2
de Haegsche Prael;1;;;;;;;1
De Oude Rechtbank BV;;;2;;;;;2
De Processpecialisten B.V.;;;;;;;1;1
De Voort Advocaten - Mediators;;;;;3;;;3
DEKRA Automotive B.V.;1;;;;;;;1
Deloitte;;;;;;;1;1
Deloitte Belastingadviseurs Bv;;;;;;;1;1
Desan Marktonderzoek B.V.;;;3;;;;;3
Dialogic Innovatie & Interactie;;;3;;;;;3
Dialogue B.V.;2;;;;;;;2
DiGiEVC B.V.;2;;;;;;;2
dit-WERKt B.V.;;;1;;;;;1
Drs. G.J.W. Hamel F.G.A.;1;;;;;;;1
Dutch Corporate Finance Association;1;;;;;;;1
Dynamika;2;;;;;;;2
Dzjeng;1;;;;;;;1
Ebbinge & Company International Holding B.V.;1;;;;;;;1
Ecoloss Project B.V.;1;;;;;;;1
Effectory Publieksmonitor B.V.;;;3;;;;;3
Effectyf B.V.;3;;;;;;;3
EKO-tours;1;;;;;;;1
Elma Multimedia BV;;;;1;;;;1
Elvenstone Networks;1;;;;;;;1
EMVI-Research;1;;;;;;;1
Enigma Business Consulting B.V.;;;;;;1;;1
Entopic B.V.;;;;;;2;;2
Equrion Services B.V.;1;;;;;;;1
Ergo B.V.;;;2;;;;;2
Erland Swaving;1;;;;;;;1
Ernst & Young Accountants LLP;3;;4;;;;5;5
Esri Nederland;;;;;;2;;2
EURIB/Europ. Instit. for Brand Managem. B.V.;1;;;;;;;1
European Leadership Platform B.V.;;2;;;;;;2
EZWIM B.V.;;;1;;;;;1
F19 Projecten B.V.;;;;;;2;;2
Fast Flex B.V.;;;;;;1;;1
FBN Juristen notarieÃ«l & fiscaal;;;;;;;1;1
Ferwerda Consulting;;;2;;;;;2
FlightMaster;;;;;;3;;3
Floooow;1;;;;;;;1
Flux Groep B.V.;2;;;;;;;2
Forum Marketing Research B.V.;;;1;;;;;1
Fox-IT;;;;;;4;;4
Frisse Blikken ondernemen met talent B.V.;2;;;;;;;2
FRISSEN P.H.A.;1;;;;;;;1
Fruition Partners B.V.;;;;;;2;;2
FT-advocaten Nijmegen;;;;;1;;;1
Fujitsu Technology Solutions B.V.;;5;2;;;4;;6
Gartner Nederland B.V.;;;;;;7;;7
Gate Specialties;3;;;;;;;3
Gbned;;;;;;1;;1
Gemaco B.V.;;;5;;;;;5
Gemnet B.V.;;;;;;1;;1
Generatiewerk;2;;;;;;;2
Gewichten & Maten Verzamelaars Vereniging;;;1;;;;;1
Giron Consult AB;;;1;;;;;1
GJM Communicatie B.V.;;;1;;;;;1
Governance & Integrity Nederland B.V.;4;;;;;;;4
Grand Hôtel Amrâth Kurhaus B.V.;;;1;;;;;1
GS1 Nederland B.V.;1;;;;;;;1
Harry Starren;1;;;;;;;1
Hartman Innovatie B.V.;2;;;;;;;2
Heart Target;2;;;;;;;2
Heerenstaete Advocaten & Mediation;;;;;1;;;1
