Leverancier;9530 - DEF specifiek;Eindtotaal
2010 Uitgevers B.V.;1;1
3M Nederland B.V.;2;2
4Dental Alkmaar B.V.;1;1
4Dental Apeldoorn B.V.;2;2
4Dental Arnhem B.V.;2;2
4Dental Reeuwijk B.V.;1;1
4Dental Tandtechniek;4;4
4Dental Zwolle B.V.;2;2
AAF-International B.V.;1;1
Aannemingsbedrijf Tatenhove B.V.;1;1
Abbott B.V.;3;3
AbbVie B.V.;5;5
Abiom Fleet Systems B.V.;2;2
Acal Technology Netherlands;1;1
Actra Amersfoort B.V.;1;1
ADDED PHARMA B.V.;1;1
Adecco Personeelsdiensten B.V.;3;3
Adquipment Medical B.V.;2;2
Advanced Forces Group B.V.;3;3
Advanced Plastics Benelux B.V.;1;1
Advisory Group Roshd;7;7
AED-Partner;1;1
AEP International B.V.;1;1
AEVES B.V.;4;4
AG Connect B.V.;1;1
Agenma B.V.;1;1
Air Products Nederland B.V.;1;1
Ajilon Freelance B.V.;1;1
Ak Media Productions;1;1
Albers Zeilmakerij B.V.;1;1
Alcomex Veren B.V.;1;1
Aleamed B.V.;1;1
Alere Health B.V.;2;2
Alk-Abello B.V.;1;1
All Modul B.V.;1;1
Allekabels B.V.;1;1
Alliance Healthcare;3;3
Almelose Borstelindustrie B.V.;1;1
Almeva B.V.;2;2
Alpha Techniek B.V.;1;1
Alphatron Medical Systems B.V.;1;1
Alpheios B.V.;1;1
Ambroise Holland B.V.;2;2
Ambu B.V.;2;2
Amgen B.V.;2;2
AMO Netherlands B.V.;1;1
AngioDynamics Netherlands B.V.;1;1
Angst+Pfister B.V.;1;1
Animo B.V.;1;1
Anoniem_DEF_115;1;1
Anoniem_DEF_116;2;2
Anoniem_DEF_120;2;2
Anoniem_DEF_125;1;1
Anoniem_DEF_15;1;1
Anoniem_DEF_156;1;1
Anoniem_DEF_166;1;1
Anoniem_DEF_172;1;1
Anoniem_DEF_175;1;1
Anoniem_DEF_178;1;1
Anoniem_DEF_183;1;1
Anoniem_DEF_190;1;1
Anoniem_DEF_193;2;2
Anoniem_DEF_20;1;1
Anoniem_DEF_220;1;1
Anoniem_DEF_232;1;1
Anoniem_DEF_236;1;1
Anoniem_DEF_237;1;1
Anoniem_DEF_238;1;1
Anoniem_DEF_239;1;1
Anoniem_DEF_241;1;1
Anoniem_DEF_268;1;1
Anoniem_DEF_283;1;1
