Leveranciersnaam;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
1nergiek B.V.;;;;1;;;;;;;1
360 Veiligheid B.V.;;;;;;;;1;;;1
3K Horeca B.V.;;1;;;;;;;;;1
4 Seasons Events;;1;;;;;;;;;1
7AM B.V.;;1;;;;;;;;;1
7AM DEN HAAG;;;;;;1;;;;;1
7AM Den Haag B.V.;;1;;;;;;;;;1
Absoluta Food and Facilities B.V.;;1;;;;;;;;;1
ACCOUNTOR NEDERLAND;;;;;;;;;1;;1
Ad Hoc Data B.V.;;;1;;;;;;;;1
Aeneas B.V.;;;;;;;;;1;;1
A-Frames;;;;;;;;1;;;1
Ahrend Inrichten;;;;;;;;;1;;1
Ahrend Nederland B.V.;;;;;;;;5;;;5
AIMEDIA;;;;;;1;;;;;1
AKB.nl;;;;;;;;2;;;2
Alarmpoint B.V.;;;1;;;;;;;;1
Albaspecials;;;;;;;;;1;;1
ALBERT HEIJN;;1;;;;;;;1;;1
Albron Nederland B.V.;;6;;;;;;;;;6
ALBYCO NEDERLAND;;;;;;1;;;;;1
ALLBIDIGIT GROUP NOORD B.V.;;;;;;2;;;;;2
ALLSAFE MINI OPSLAG;;;1;;;1;;;;;1
Alpha Catering;;1;;;;;;;;;1
ALTER - HAAGLANDEN sleutels - sloten;;;2;;;;;;;;2
Ambius B.V.;;;;;;;;1;;;1
Anna Vastgoed Beheer B.V.;;1;;;;;;;;;1
Ann's Art;;;;;;;;1;;;1
Anoniem 121;;;;;;;;;1;;1
Anoniem 154;;1;;;;;;;;;1
Anoniem 196;;;;;;;;1;;;1
Anoniem 208;;;;;;;;;1;;1
Anoniem 228;;1;;;;;;;;;1
Anoniem 236;;1;;;;;;;;;1
Anoniem 239;;1;;;;;;;;;1
Anoniem 257;;;;;;;;;1;;1
Anoniem 259;;;;;;;;1;;;1
Anoniem 307;;;;;;;;1;;;1
Anoniem 333;;;;;;1;;;;;1
Anoniem 351;;;;1;;;;;;;1
Anoniem 370;;1;;;;;;;;;1
Anoniem 386;;;;1;;;;;;;1
Anoniem 442;;;;;;;;1;;;1
Anoniem 45;;;;;;;;2;;;2
Anoniem 456;;2;;;;;;;;;2
Anoniem 483;;1;;;;;;;;;1
Anoniem 505;;;;;;;;;1;;1
Anoniem 519;;;;;;;;1;;;1
Anoniem 555;;;;;;;;;1;;1
Anoniem 581;;;;1;;;;;;;1
Anoniem 589;;;;;;;;;1;;1
Anoniem 592;;;;;;;;;1;;1
Anoniem 609;;;;;;;;;1;;1
Anoniem 628;;;;;;;;;1;;1
Anoniem 629;;;;;;;;;1;;1
Anoniem 630;;1;;;;;;;;;1
Anoniem 681;;;;;;1;;;;;1
Anoniem 684;;;;;;;;;1;;1
Anoniem 685;;;;;;;;1;;;1
Anoniem 69;;;;;;;;;1;;1
Anoniem 713;;;;;;;;;1;;1
Anoniem 714;;;;;;;;;1;;1
Anoniem 724;;;;;;;;;1;;1
Anoniem 734;;1;;;;;;;;;1
Anoniem 743;;;;;;;;;1;;1
Anoniem 748;;;;;;;;1;;;1
Anoniem 749;;;;;;;;1;;;1
Anoniem 77;;;;;;;;2;;;2
Anoniem 776;;;;;;;;1;;;1
Anoniem 778;;1;;;;;;;;;1
Anoniem 779;;;;;;;;1;;;1
Anoniem 793;;1;;;;;;;;;1
Anoniem 804;;;;;;;;;2;;2
Anoniem 84;;;;;;;;1;;;1
Antalis B.V.;;;;;2;;;;;;2
Antropia B.V.;;1;;;;;;;;;1
Ardis Opleidingen B.V.;;;;;;;;3;;;3
Arendje Verhuur B.V.;;;;;;;;;1;;1
Arno & Iris Beaux Arts;;;;;;;;2;;;2
Art 4 You Decorations;;;;;;;;2;;;2
Artikraak;;2;;;;;;;;;2
ArtiMed�s B.V.;;1;;;;;;;;;1
ASB Security B.V.;;;1;;;;;;;;1
Ascom (Nederland) B.V.;;;1;;;;;;;;1
Asito B.V.;;;;7;;;;;;;7
Asito Friesland B.V.;;;;2;;;;;;;2
ASSA ABLOY Nederland B.V.;;;2;;;;;;;;2
Athos Grootkeukenbenodigdheden;;1;;;;;;;;;1
Atir Schoonmaakstrategen;;;;2;;;;;;;2
Atlantic Hotel Exploitatie B.V.;;1;;;;;;;;;1
Automatic Signal Rijsenhout B.V.;;;1;;;;;;;;1
AVDD;;;1;;;;;;;;1
B+B Vakmedianet B.V.;;;;;;1;;;;;1
Bakx & Meijer catering en organisatie;;2;;;;;;;;;2
Balance Juridica;;;;;;;;;1;;1
Banketbakkerij De Kruyter;;1;;;;;;;;;1
Bastion Hotel Breda B.V.;;1;;;;;;;;;1
Bavak Beveiligingsgroep B.V.;;;3;;;;;;;;3
BCN B.V.;;2;;;;;;;;;2
Beachclub Indigo B.V.;;1;;;;;;;;;1
Bemeij Schoonmaakbedrijf B.V.;;;;1;;;;;;;1
Berendsen Textiel Service B.V.;;;;1;;;;;;;1
BESTDEAL  FACTORS;;;;1;;;;;;;1
Beter Bed;;;;;;;;1;;;1
Beter Horen;;;;;;;;;1;;1
Beuk Touringcars;;;;;1;;;;;;1
BHVtotaal;;;1;;;;;;;;1
BigaBeer t.h.o.d.n. De Bezorgbeer Zoetermeer;;1;;;;;;;;;1
bijHanz B.V.;;1;;;;;;;;;1
Bilderberg Grand Hotel Wientjes;;1;;;;;;1;;;1
Bio op je bord;;1;;;;;;;;;1
Blesbanket;;1;;;;;;;;;1
Bloom House of Health;;1;;;;;;;;;1
Blue;;1;;;;;;;;;1
"BM Horeca ""De Bovenkamer'";;1;;;;;;;;;1
BMI Kantoormeubelen B.V.;;;;;;;;1;;;1
BOERDERIJ DE BRASSERIE;;1;;;;;;;;;1
bol.com b.v.;;;;;;1;;;1;;1
Boma Nederland B.V.;;;;1;;;;;;;1
Boom Uitgevers;;;;;;;;;1;;1
BOOM UITGEVERS DEN HAAG B.V.;;;;;;;;;1;;1
Bosch, L.B.;;;;;;;;;1;;1
BOSS PRAKTIJKVERENIGING;;;;;;;;;1;;1
Bouter B.V.;;;;;;;;1;;;1
BPI Services B.V.;;;1;;;;;;;;1
Braber Winkels B.V.;;1;;;;;;;;;1
Brasserie NUL76;;1;;;;;;;1;;1
Breur Groothandel;;;;;;;;;1;;1
BRINK NEDERLAND;;;;;;;;;1;;1
Brouwhuis Breda B.V.;;1;;;;;;;;;1
Brunner Projektmeubelen B.V.;;;;;;;;1;;;1
Brussaard Company Group B.V.;;1;;;;;;;;;1
BRUYNZEEL STORAGE SYSTEMS;;;;;;;;1;;;1
Bruynzeel Storage Systems B.V.;;;;;;;;1;;;1
BS Workspace Solutions;;;;;;;;2;;;2
Building Business B.V.;;;;;;;;;1;;1
Buitenwerkplaats;;1;;;;;;;;;1
Buren Systems International B.V.;;;;;;;;1;;;1
BUSINESS ART SERVICE;;;;;;;;1;;;1
Buyitdirect.com N.V.;;;;;;;;;2;;2
CafÃ© de Gezelligheid;;1;;;;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;1;;;;;;;;;1
Cafe/Restaurant Schlemmer;;1;;;;;;;;;1
Cafe-Restaurant Pan;;1;;;;;;;;;1
CAG;;;;;;;;;1;;1
CAMERANU.NL B.V.;;;;;;;;1;1;;1
CANNOCK CHASE B.V.;;;;;;;;;;1;1
Canon Nederland N.V.;;;;;;1;;;1;;1
Cantine Service;;6;;;;;;;;;6
Card Vision B.V.;;;;;;;;;1;;1
Carlton Hotels Nederland B.V.;;1;;;;;;;;;1
Catch by Simonis;;1;;;;;;;;;1
Catec B.V.;;;;1;;;;;;;1
Catering Cor Jansen B.V.;;1;;;;;;;;;1
CB Facturatie B.V.;;;;;;;;;1;;1
Central Point Nederland B.V.;;;;;;;;;1;;1
Chantal Kouwenhoven B.V.;;;;;;;;;1;;1
Choco-Paradijs;;;;;;;;;1;;1
Chubb Fire & Security B.V.;;;1;;;;;;;;1
Ciao! Ciao! B.V.;;1;;;;;;;;;1
Cinco Cleaning B.V.;;;;;;;;1;;;1
Cinecitta B.V.;;1;;;;;;;;;1
C-Mark B.V.;;;;1;;;;;;;1
COMBICO;;;;;;;;1;;;1
COMMISSIE VAN BEHEER RIJKSKANTORENGEBOUW HANZELAND;;5;;;;;;;;;5
Compacon & Partners B.V.;;;;1;;;;;1;;1
Compass Group Nederland B.V.;;7;;;;;1;;;;7
CONRAD ELECTRONIC BENELUX;;;;;;;;;1;;1
Conrad Electronic Benelux B.V.;;;;;;;;;1;;1
Co�peratie Exploitatie Bouwcampus UA;;1;;;;;;;1;;1
Coordesign B.V;;;;;;;;;1;;1
Cor van Raaij Elektrotechniek B.V.;;;1;;;;;;;;1
CRYSTAL CLEAR TRANSLATIONS;;;;;;1;;;;;1
CS Bedrijven B.V.;;;;;;;1;;;;1
CSU Cleaning Services B.V. / Vestiging Apeldoorn;;;;1;;;;;;;1
CSU Food Services;;;;8;;;;;;;8
CTMabc;;2;;;;;;;;;2
CURA Preventie B.V.;;;2;;;;;;;;2
CURA Safety Solutions B.V.;;;1;;;;;;;;1
CWS Nederland B.V.;;;;5;;;;;;;5
D&B The Facility Group;;;1;;;;;;;;1
Dahle Nederland B.V.;;;;;;;;;1;;1
Daleman Lijsten;;;;;;;;1;;;1
De Belgische Keizer B.V.;;1;;;;;;;;;1
De Bilderberg Hotel;;1;;;;;;;;;1
De Horeca Academie Zakelijk B.V.;;3;;;;;;;;;3
DE KLERK TIMMERBEDRIJF B.V.;;;;;;;;1;;;1
De Kookfabriek Den Haag B.V.;;;;;;;;;1;;1
De Kroon Service- en Schoonmaakdiensten B.V.;;;;1;;;;;;;1
De Poort van Kleef Utrecht B.V.;;1;;;;;;;;;1
De Raat Security Products B.V.;;;;;;;;;1;;1
De Smelt B.V.;;1;;;;;;;;;1
De Vrij Espresso & Horeca Service;;1;;;;;;;;;1
De Waag Leiden;;1;;;;;;;;;1
De Zwolse Fietsenmaker;;;;;;;;;1;;1
Defibrion;;;4;;;;;;;;4
Deliveroo;;1;;;;;;;;;1
