buurtnummer;buurtnaam;wijgebied
112;Bergen;Tongelre Centrum
113;Witte Dame;Tongelre Centrum
114;Fellenoord;Tongelre Centrum
211;Irisbuurt;Stratum
213;Elzent-Noord;Stratum
217;Looiakkers;Stratum
223;Genneperzijde;Stratum
224;Roosten;Stratum
226;Sportpark Aalsterweg;Stratum
231;Poeijers;Stratum
232;Burghplan;Stratum
237;Kruidenbuurt;Stratum
322;Doornakkers-Oost;Tongelre Centrum
328;Tongelresche Akkers;Tongelre Centrum
334;Urkhoven;Tongelre Centrum
336;Karpen;Tongelre Centrum
421;Woensel-West;Woensel Zuid West
422;Kronehoef;Woensel Zuid West
423;Barrier;Woensel Zuid West
432;Oude Toren;Woensel Oost
511;Driehoeksbos;Woensel Noord Ontginning
531;Woenselse Heide;Acht Aanschot
533;Blixembosch-West;Acht Aanschot
541;Eckart;Woensel Oost
542;Luytelaer;Woensel Oost
543;Vaartbroek;Woensel Oost
545;Esp;Woensel Oost
613;Engelsbergen;Strijp Meerhoven
621;Hurk;Strijp Meerhoven
622;Het Ven;Strijp Meerhoven
623;Lievendaal;Strijp Meerhoven
624;Drents Dorp;Strijp Meerhoven
626;Wielewaal;Strijp Meerhoven
632;Meerbos;Strijp Meerhoven
637;Flight Forum;Strijp Meerhoven
724;Bennekel-Oost;Gestel
731;Genderbeemd;Gestel
732;Hanevoet;Gestel
111;Binnenstad;Tongelre Centrum
215;Joriskwartier;Stratum
222;Gerardusplein;Stratum
230;Puttense Dreef;Stratum
234;Tivoli;Stratum
235;Gijzenrooi;Stratum
239;Leenderheide;Stratum
240;Riel;Stratum
321;Doornakkers-West;Tongelre Centrum
333;Muschberg,Geestenberg;Tongelre Centrum
335;'t Hofke;Tongelre Centrum
337;Koudenhoven;Tongelre Centrum
410;Limbeek-Zuid;Woensel Zuid West
413;Gildebuurt;Woensel Zuid West
426;Vredeoord;Woensel Zuid West
435;Oude Gracht-Oost;Woensel Oost
512;Prinsejagt;Woensel Noord Ontginning
513;Jagershoef;Woensel Noord Ontginning
516;Vlokhoven;Woensel Noord Ontginning
522;Achtse Barrier-Gunterslaer;Acht Aanschot
524;Achtse Barrier-Hoeven;Acht Aanschot
534;Blixembosch-Oost;Acht Aanschot
546;Bokt;Woensel Oost
611;Eliasterrein, Vonderkwartier;Strijp Meerhoven
612;Philipsdorp;Strijp Meerhoven
616;Strijp S;Strijp Meerhoven
628;Mispelhoef;Strijp Meerhoven
633;Grasrijk;Strijp Meerhoven
634;Zandrijk;Strijp Meerhoven
638;Eindhoven Airport;Strijp Meerhoven
639;Bosrijk;Strijp Meerhoven
640;Meerrijk;Strijp Meerhoven
711;Schrijversbuurt;Gestel
712;Oude Spoorbaan;Gestel
713;Hagenkamp;Gestel
721;Genderdal;Gestel
722;Blaarthem;Gestel
723;Rapelenburg;Gestel
726;Gennep;Gestel
115;TU-terrein;Tongelre Centrum
212;Rochusbuurt;Stratum
214;Tuindorp;Stratum
216;Bloemenplein;Stratum
218;Elzent-Zuid;Stratum
221;Kerstroosplein;Stratum
225;Eikenburg;Stratum
233;Sintenbuurt;Stratum
236;Nieuwe Erven;Stratum
238;Schuttersbosch;Stratum
311;Villapark;Tongelre Centrum
312;Lakerlopen;Tongelre Centrum
411;Limbeek-Noord;Woensel Zuid West
412;Hemelrijken;Woensel Zuid West
414;Woenselse Watermolen;Woensel Zuid West
424;Mensfort;Woensel Zuid West
425;Rapenland;Woensel Zuid West
431;Generalenbuurt;Woensel Oost
433;Hondsheuvels;Woensel Oost
434;Oude Gracht-West;Woensel Oost
436;Eckartdal;Woensel Oost
514;'t Hool;Woensel Noord Ontginning
515;Winkelcentrum;Woensel Noord Ontginning
520;Kapelbeemd;Acht Aanschot
521;Kerkdorp Acht;Acht Aanschot
523;Achtse Barrier-Spaaihoef;Acht Aanschot
532;Tempel;Acht Aanschot
535;Castilielaan;Acht Aanschot
544;Heesterakker;Woensel Oost
614;Schouwbroek;Strijp Meerhoven
615;Schoot;Strijp Meerhoven
625;Zwaanstraat;Strijp Meerhoven
627;Herdgang;Strijp Meerhoven
631;BeA2;Strijp Meerhoven
635;Waterrijk;Strijp Meerhoven
636;Park Forum;Strijp Meerhoven
725;Bennekel-West,Gagelbosch;Gestel
727;Beemden;Gestel
733;Ooievaarsnest;Gestel
