Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
06-GPS;;;;;;1;;1
42on B.V.;;;;;;1;;1
Aa.Al Video B.V.;;;;;;1;;1
ActaForce B.V.;;;;;;;2;2
Adecco Detachering BV;;;;;;;5;5
Adecco Nederland Beheer B.V.;;;;;;;1;1
AEG Eurolec Holding B.V.;1;;;;;;;1
AET Europe BV;2;;1;1;;;;2
Agfa-Gevaert B.V.;;;;;;2;;2
Alcatel-Lucent Nederland B.V.;7;;;;7;;;7
Alert Materials Handling B.V.;1;;;;;;;1
All Music Publishing B.V.;1;;;;;;;1
Allekabels B.V.;;;;;;1;;1
Alternate Computerversand Nederland;;;;;;1;;1
AlterNET Internet B.V.;;;;;;1;;1
Amsterdam Airport Schiphol;;;2;1;;1;;2
anoniem;7;4;6;9;1;3;6;9
Arbor Media B.V.;;;;;;3;;3
Atos Origin;;;;1;;;2;2
ATOS ORIGIN NEDERLAND B.V.;7;;;7;;;8;8
Avaya Nederland B.V.;;5;;;4;;;6
Axians;4;;;4;2;;1;5
Azerty;;;;;;1;;1
B.V. Algemeen Nederlands Persbureau ANP;1;;;;;;;1
BAM Bouw en Techniek bv;;;;;;;1;1
Bart Strijbosch B.V.;1;;;;;2;;2
Bax-shop.nl B.V.;1;;;;;;;1
Beat It B.V.;;;;;;1;;1
Beat-it.nl;4;2;1;;;;;4
Bechtle direct B.V.;6;3;;1;2;2;;6
Between BV;;;;;;;3;3
BIS Bedrijfs Informatie Systemen B.V.;1;;;;;;;1
Black Box Datacom B.V.;2;;;;;2;;2
BMC Software Distribution B.V.;;;;5;;;;5
BNAD van der Poel;1;;;;;;;1
Bob van der Houven Produkties V.O.F.;1;;;;;;;1
Bobbe International B.V.;;;;;;2;;2
Boon Trading Netherlands B.V.;;;;;;1;;1
Bosch Engineering B.V.;;;;1;;3;;3
BT Nederland N.V.;;;;4;;5;;5
Btsoftware B.V.;;;;;;1;;1
Building Solutions Provider BV;;;;4;;;;4
Bumicom Telecommunicatie B.V.;;;;;;1;;1
Cadac Group MFG B.V.;;;;;;1;;1
Caesar Accounts B.V.;;;;;;;6;6
Calumet Photographic B.V.;1;;;;;;;1
Candiensten B.V.;;;;;;2;;2
Capgemini Academy;5;;;;;;2;5
Capgemini Nederland B.V.;4;1;2;4;1;1;8;8
Card Vision B.V.;;;;;;1;;1
Cedere B.V.;1;;;;;;;1
Celexon Netherlands B.V.;;;;;;1;;1
Cemex Trescon B.V.;1;;;;;;;1
Central Point Nederland B.V.;1;;;;;2;;2
Centric Netherlands BV;;;;;;;7;7
Chong & Tran Web Company;1;;;;;;;1
Clearinghouse Apothekers (CHA) BV;;;;;;;1;1
Color Wood Holding B.V.;5;;;;;;;5
Comex Sales B.V.;1;;;;;;;1
Componence Services B.V.;;;;;;1;;1
Compose Network Connections bv;1;;;;;;;1
Comsol B.V.;;;;;;1;;1
Conrad Electronic Benelux B.V.;2;;;;;1;;2
Coolblue B.V.;1;;;;;;;1
Cosanta B.V.;;;;;;1;;1
Ctac B.V.;;;;1;;;;1
CTM Solution B.V.;;;;;;2;;2
Curvature LLC;4;2;;;;;;4
D.D.S. Electronics Europe B.V.;;;;;;1;;1
DatAction;;;;;;1;;1
DataExpert;;;;3;;;;3
Datema-Delfzijl B.V.;;;;;;1;;1
De Mare Management en Advies;;;;;;;6;6
DE REE archiefsystemen;;;;;;1;;1
de Rolf groep;;;2;;;;;2
Deal It;4;3;1;;1;2;;5
DEKO Alarm en Beveiligingstechniek B.V.;;;;;;1;;1
Delta International Promotioneel B.V.;;;;;;1;;1
Detron ICT Midden Nederland BV;;1;;;;;;1
Digital Revolution B.V.;1;;;;;;;1
Document House Beuningen;;;;;;1;;1
DRAGT;;;;;;1;;1
Eiffel;;;;;;;3;3
Eijsink Afrekensystemen B.V.;1;1;;5;;;;5
Elcom Automatisering BV;2;;;;;;;2
Elektro-Rama;;;;;;1;;1
Elinex Power Solutions B.V.;2;;;;3;;;3
Emerson Network Power B.V.;;;;;;1;;1
Ergo2Work;1;;;;;;;1
Euroforum;;;;;;;1;1
Euronet Communications B.V.;;;;;;1;;1
Eurotempest B.V.;3;1;;;;;;3
Everett Nederland BV;;;;;;;2;2
Every Angle Software Solutions B.V.;;;;7;;;;7
Exact Software Nederland B.V.;;;;1;;;;1
Famous AVL;1;;;;;;;1
Farnell (Netherlands) BV;1;;;;;;;1
Farnell BV;1;;;;;;;1
Festa Solutions B.V.;;;;;;;4;4
Fifo Color B.V.;1;;;;;;;1
Fixed Today;;;;;;;4;4
Fofic;4;;;;;;;4
Formula Opensoft B..V.;;;;2;;;;2
Fortes Solutions B.V.;;;;;;2;;2
Fortes Solutions BV;;;;4;;;2;4
Foto Dom Melskens Venray;1;;;;;;;1
Foto Konijnenberg B.V.;1;;;;;;;1
Fugro GeoServices B.V.;;;;;;1;;1
Gannexion BV;;;4;5;;7;4;7
GDS EUROPE B.V.;;;;;;3;;3
Gilde Main B.V.;;;;2;;;;2
Gulden Belofte Sailing Adventures;1;;;;;;;1
H.J.M. Zonderland Fotografie;2;;;;;;;2
Hamer B.V.;;;;;;1;;1
Handelsonderneming Hoekstra;1;;;;;;;1
Hans Roggen Fotografie;2;;;;;;;2
Helios B.V.;1;;;;;;;1
Hewlett-Packard Nederland B.V.;4;1;;4;;2;2;6
HH Consultants;3;1;;;;;;3
HSB Identification B.V.;;1;;;;;;1
IC10;1;;;;;;;1
Igepa Nederland BV;2;;;;;;;2
In2Content B.V.;2;;;;;;;2
Incontrol Simulation Software B.V.;;;;;;1;;1
Index Hospitality Systems B.V.;;;2;4;;;;4
Informatiebord.nl B.V.;1;;;;;;;1
Infraconcepts Netherlands NV;2;;;;;;;2
Infradata B.V.;2;;;;;;;2
InfraTEL bv;;;;;1;;;1
ING Bank N.V.;;;;;;2;;2
Insight Enterprises Netherlands B.V.;;;;;;2;;2
Insinc Services B.V.;;;;;;;2;2
Integrc Netherlands B.V.;;;;;;;5;5
Intronics B.V.;4;;;1;;1;;4
IPSOS B.V.;;;;;;1;;1
Isatis Online Results B.V.;;;;;;2;;2
ITSM-House B.V.;;;;;;2;;2
IT-Staffing Nederland B.V.;;;;;;;4;4
IXOLUTION B.V.;;;;;;2;;2
J.J.M. Berkers;;;;4;;;;4
J.R.L. Management Consultancy B.V.;;;;;;;3;3
Jenot Automatisering;;;;2;;;;2
Jungheinrich Nederland B.V.;;2;;;;;;2
Kahuna Network Solutions BV;;;;2;;;;2
Kamera Express;1;;;;;;;1
Kannegieter Electronica B.V.;1;;;;;;;1
Kirkman Company B.V.;;;;;;;4;4
KnowledgePlaza Professional Serv.;;;;;;;4;4
Komfort Exploitatie Maatschappij B.;;;;;;;1;1
KPMG Advisory N.V.;;;;;;;3;3
KPN B.V.;;;;;;7;;7
KPN Business Service Desk (172);;;;;1;2;;3
KPN BV;9;7;5;7;8;7;7;10
KPN BV inz. Getronics-ADM CBI;;;;4;;;;4
KPN Corporate Market;;;;;;1;;1
KPN TELECOM;;;;;;4;;4
KPN, Royal Dutch Telecom;;;;;;7;;7
KPN-Mobiel Groningen;;;;;;2;;2
Kreisler Import B.V.;;;;;;1;;1
Kruizinga BV;1;;;;;;;1
Kubus architectural solutions;;;;2;;;;2
Kuijpers Installaties;;;;;;1;;1
LENS business software B.V.;;;1;;;;;1
LMP Beheer B.V.;;;;;;;1;1
Louis Meulstee Photography;2;;;;;;;2
Mainpress B.V.;;;;;;1;;1
Manpower B.V.;;;;;;1;;1
Manutan B.V.;1;;;;;1;;1
Martijn Beekman Fotografie;1;;;;;;;1
Media Academie BV;1;;;;;;1;1
Micro Focus NV;;;;;;;1;1
Misco Nederland B.V.;1;;;;;3;;3
Misco Solutions B.V.;8;2;1;;5;1;;8
MK2 Audiovisueel B.V.;;;;;;1;;1
Moduli Print B.V.;;;;;;2;;2
Motiv ICT security;;;;4;;;;4
Myler;;;;;;;1;1
National Instruments Netherlands BV;3;;;;;;;3
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;;;5;;5
Nederland ICT;2;;;;;;;2
Net Ground;;;;1;;;;1
Netsupport;1;;;;;;;1
Netwerkwinkel.com;1;;;;;;;1
Network Innovations;;;;;;2;;2
