OBJECTID,Match_addr,X,Y,Hoofdcategorie,Categorie,Naam,Internet,Adres,Postcode,Plaats,GlobalID
201,"Wijkweg 2, 7954 HP Rouveen",6.10725600000001,52.606746,Ontspanning en recreatie,"Bezoekerscentra, natuur",Informatiecentrum de Veldschuur,http://www.veldschuur.net,Wijkweg 2,7954 HP,Rouveen,6c00b714-c7fc-4933-9e04-b29a89d8d4e9
202,"Taghof 1, 8281 NA Genemuiden",6.03589500000001,52.61814,Ontspanning en recreatie,Dierenweide,Dierenweide de Taghof,http://www.detaghof.nl,Taghof 1,8281 NA,Genemuiden,d4aafe35-b381-40c5-9d39-005ad5533374
203,"Roerdomp 18, 8281 GB Genemuiden",6.04834650000001,52.6203,Ontspanning en recreatie,"Film-, Foto- en Videoclubs",Fotoclub Genemuiden,http://www.fotoclubgenemuiden.nl,Roerdomp 18,8281 GB,Genemuiden,305c4174-7b1e-4981-814f-263c0afc6956
204,"Doctor H.A.W. van de Vechtlaan 35, 8061 HJ Hasselt",6.10756542279269,52.5879612211316,Ontspanning en recreatie,"Film-, Foto- en Videoclubs",Fotoclub Positief,http://www.fotoclubpositief.nl,Doktor H.A.W. van der Vechtlaan 35,8061 HK,Hasselt,39cd35fa-5b62-4031-9a06-b33257364276
205,"Het Oude Diep 5, 8064 PN Zwartsluis",6.08620089337135,52.643692610846,Ontspanning en recreatie,Havens en jachthavens,Jachthaven De Kranerweerd,http://kranerweerd.nl,Het Oude Diep 5-7,8064 PN,Zwartsluis,32101ca9-461e-4faf-b277-7338aa9095cc
206,"van Nahuysweg 151, 8061 EZ Hasselt",6.08816250000001,52.593687,Ontspanning en recreatie,Havens en jachthavens,Jachthaven De Molenwaard,http://www.molenwaard.nl,Van Nahuysweg 151,8061 EZ,Hasselt,8eb37521-3278-4f22-b3db-fe0266a89b4d
207,"Sisalstraat 62, 8281 JK Genemuiden",6.06340800000001,52.616574,Ontspanning en recreatie,Havens en jachthavens,Jachthaven Genemuiden,http://www.zwartewaterland.nl,Sisalstraat 62,8281 JK,Genemuiden,31827606-1d20-4f11-a8e9-0f35ceedc139
208,"De Vleugel 2, 8064 GE Zwartsluis",6.07419000000002,52.637733,Ontspanning en recreatie,Havens en jachthavens,Jachthaven en Camping Zwartewater,http://www.watersportzwartsluis.nl,De Vleugel 2,8064 GE,Zwartsluis,73f7c8fa-88fa-42b8-8e19-5cc4bbffb92f
209,"Sluizerdijk 2, 8061 AA Hasselt",6.09115500000001,52.594677,Ontspanning en recreatie,Havens en jachthavens,Jachthavenvereniging De Nadorst,http://www.jachthavendenadorst.nl,Sluizerdijk 2,8061 AA,Hasselt,0c80b0cf-e6fb-4795-8df7-a0f33a7818e3
210,"Klein Lageland 34, 8064 AS Zwartsluis",6.063624,52.641873,Ontspanning en recreatie,Havens en jachthavens,Stichting Jachthaven Piepertkolk,,Klein Lageland 34,8064 AS,Zwartsluis,e795ba15-bbe7-4e3a-aa5b-c7e183ebb148
211,"Griekenlandlaan 28, 9403 DZ Assen",6.58887300000001,53.026533,Ontspanning en recreatie,Historie en erfgoed,Stichting Menno van Coehoorn,,Griekenlandlaan 28,9403 DZ,Assen,8af91c4e-f2cf-4320-9058-72845d39627c
212,"Oosterbrugstraat 12, 8281 BS Genemuiden",6.04205100000001,52.62489,Ontspanning en recreatie,Historie en erfgoed Genemuiden,Grootburgerij Genemuiden,,Oosterbrugstraat 12,8281 BS,Genemuiden,16444c18-1ea0-41c0-a879-a46a07901032
213,"Pr Willem Alexanderstr 8, 8281 CP Genemuiden",6.042303,52.618527,Ontspanning en recreatie,Historie en erfgoed Genemuiden,Stichting Monumentenwacht Overijssel,,Pr. Willem-Alexanderstraat 8,8281 CP,Genemuiden,b2d056a7-a31e-4650-8eb2-c823bb0c5637
214,"Hoek 27, 8281 AW Genemuiden",6.03894600000001,52.624215,Ontspanning en recreatie,Historie en erfgoed Genemuiden,Stichting Vrienden van Oud Genemuiden,http://www.oudgenemuiden.nl,Hoek 27,8281 AW,Genemuiden,2658bf40-684f-4cec-b959-e50653df7c27
215,"Kamperzeedijk 7, 8281 PA Genemuiden",6.019443,52.600887,Ontspanning en recreatie,Historie en erfgoed Genemuiden,Stoomgemaal Mastenbroek,http://www.stoomgemaal.nl,Kamperzeedijk 7,8281 PA,Genemuiden,c6e3b40a-5af0-454e-977e-c9797526a2b7
216,"Markt 1, 8061 GG Hasselt",6.089562,52.590771,Ontspanning en recreatie,Historie en erfgoed Hasselt,Historische Vereniging Hasselt,http://www.historischevereniginghasselt.nl,Markt 1,8061 GG,Hasselt,d789f8d3-8905-473f-a069-125f624ea348
217,"Stenendijk 7, 8061 HP Hasselt",6.09701850000002,52.587081,Ontspanning en recreatie,Historie en erfgoed Hasselt,Stichting Behoud Korenmolen De Zwaluw,http://www.molendezwaluwhasselt.nl,Stenendijk 7,8061 HP,Hasselt,050d0531-3e25-482a-9e94-51cc36eb5498
218,"Baangracht 12, 8061 HZ Hasselt",6.09125399999999,52.592067,Ontspanning en recreatie,Historie en erfgoed Hasselt,Stichting Cultureel Erfgoed Hasselt,,Baangracht 12,8061 HZ,Hasselt,af5c2475-5724-4190-9c25-af42833caed7
219,"Het Kooistuk 8, 8061 AT Hasselt",6.10237800000002,52.59501,Ontspanning en recreatie,Historie en erfgoed Hasselt,Stichting Hassailt,,Het Kooistuk 8,8061 AT,Hasselt,a838ca0f-231b-414b-82d1-cfbaf65f97b9
220,"Kalkovenwegje 3, 8061 CZ Hasselt",6.093954,52.592283,Ontspanning en recreatie,Historie en erfgoed Hasselt,Stichting Kalkovens Hasselt (industrieel erfgoed),http://www.kalkovenshasselt.nl/,Kalkovenwegje 3,8061 CZ,Hasselt,f1b93d8a-528c-4ca9-b633-908133a68523
221,"Welhaak 24, 8061 LH Hasselt",6.101865,52.596828,Ontspanning en recreatie,Hobby,Hasselter Ekspressie Klup H.E.K. - Amateurschilders,,Welhaak 24,8061 LH,Hasselt,133e4fff-8fed-4367-b7ec-63b3f79ac38f
222,"Purperreigerlaan 37, 8064 DA Zwartsluis",6.07347000000001,52.64361,Ontspanning en recreatie,Muziekverenigingen,Brass ensemble Con Amore,,Purperreigerlaan 37,8064 DA,Zwartsluis,f9c54dc0-0cac-49b6-9a82-a3c1d6877d9d
223,"Het Ambt 48, 8061 AM Hasselt",6.10181550000001,52.593741,Ontspanning en recreatie,Muziekverenigingen,Christelijk Fanfarekorps Irene,http://www.irenehasselt.nl,Het Ambt 48,8061 AM,Hasselt,51b60ee6-eed5-4c4f-adb1-52223673d730
224,"van Haersoltelaan 11, 8061 EG Hasselt",6.10566750000001,52.590528,Ontspanning en recreatie,Muziekverenigingen,Muziekvereniging Hasselts Fanfare,http://www.hasselts-fanfare.nl,p/a Van Haersoltelaan 11,8061 EG,Hasselt,3ac80308-2c27-4821-b223-e15ca0095c30
225,"Museumlaan 2, 8064 XN Zwartsluis",6.07491000000002,52.641918,Ontspanning en recreatie,Muziekverenigingen,Muziekvereniging Voorwaarts,http://www.voorwaartszwartsluis.nl,Museumlaan 2,8064 XN,Zwartsluis,4a20985b-6c61-42af-9a56-3d90f4ce201c
226,"Wijkweg 2, 7954 HP Rouveen",6.10725600000001,52.606746,Ontspanning en recreatie,Natuur- en milieuorganisaties,"De Veldschuur, Staatsbosbeheer Hasselt/Staphorst",http://www.veldschuur.net,Wijkweg 2,7954 HP,Rouveen,fabc7695-a7ba-44f7-8255-885f6f5c2788
227,"Purperreigerlaan 138, 8064 DC Zwartsluis",6.074307,52.643511,Ontspanning en recreatie,Recreatie,Ouderensoos De Toesebolte,,Purperreigerlaan 138,8064 DC,Zwartsluis,60d32e4e-a293-4901-86e1-d1cf5d8b64ac
228,"Karel Doormanstraat 30, 8061 JR Hasselt",6.100146,52.589187,Ontspanning en recreatie,Recreatie,Ouderensoos Het Teeuwland,,Karel Doormanstraat 30,8061 JR,Hasselt,99fe85d1-abd3-43bf-93f9-f96734a7d5d8
229,"De Vleugel 2, 8064 GE Zwartsluis",6.07419000000002,52.637733,Ontspanning en recreatie,Recreatiegebieden,"Stichting Recreatiecentrum Zwartewater, Jachthaven, Passantenhaven & Camping",http://www.watersportzwartsluis.nl,De Vleugel 2,8064 GE,Zwartsluis,a167a38a-d1b5-42b5-9282-573e18c013ee
230,"Kolksluiskade 3, 8064 DW Zwartsluis",6.0725295,52.639434,Ontspanning en recreatie,Restaurants,Café- Brazzerie de Blizzard,,Kolksluiskade 3,8064 DW,Zwartsluis,bba8d313-56b1-408d-95c3-753bb3a15bc1
231,"Kruisstraat 8, 8281 BA Genemuiden",6.04009350000001,52.62363,Ontspanning en recreatie,Restaurants,De Lange Muur,,Kruisstraat 8,8281 BA,Genemuiden,d293ef1e-7c99-4259-bd3d-ceb73dd1bf69
