Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
(BBP) Beerens-Business Press B.V.;1;;;;;1
1e Klas' Grand Café Restaurant;;;;1;;1
1UITVideonieuwsbericht;;;;;1;1
2 Maal Ee;;;;;2;2
54Events B.V.;;;;3;;3
A. Booth B.V.;;;;4;;4
ABN AMRO Bank N.V.;1;;;;;1
Absolute Delicious;;;1;;;1
AccorHotels Germany GmbH;;;;1;;1
Acteursbureau Kapok B.V.;1;;;;;1
AG Connect B.V.;;;;;1;1
AGF Primeur B.V.;;;;1;;1
Agriport A7 B.V.;;;1;1;1;1
AgroConnect;1;;;;;1
AH Design Reclame & Belettering;;;1;;;1
Algemeen Groninger Persbureau Tammeling B.V.;;;;;1;1
Allegra Events Ltd;;;;1;;1
Alt-Tab Bedrijfsondersteuning;;1;;;;1
American University of Beirut;;;;2;;2
ANP Photo;;;;;1;1
ANP Video;;;;;1;1
Antropia B.V.;;;;2;;2
Anwendungszentrum GmbH Oberpfaffenhofen;;;1;;;1
Apartt Rotterdam Horeca B.V.;;;;1;;1
Arcgis Gebruikersgroep Nederland;1;;;;;1
Architectenbureau Addo Frints;;;;1;;1
Arda van Helsdingen Landschapsarchitectuur;;;;;1;1
Argentum Hallintopalvelut Oy;;;;1;;1
Arko Redakto B.V.;1;;;;;1
Aroq Ltd.;1;;;;;1
Art 4 You Decorations;;;;;1;1
Art Partner Advies;;;;1;;1
Association of Bhutanese Tour Operators;;;;1;;1
Athene Palace B.V.;;;1;;;1
Atos Nederland B.V.;;;;;1;1
ATP Business Travel B.V.;;;;2;;2
Automotive Publishing B.V.;;;;;1;1
Avans Hogeschool;;;1;;;1
AvdR Webinars B.V.;1;;;;;1
Aviation Week;1;;;;;1
A-Way Events & Wellness B.V.;;;1;;;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;1;1
B.V. Panorama Mesdag;;;;1;;1
B+B Vakmedianet B.V.;1;;;;;1
B2Match GmbH;;;;1;;1
Badmintonplanet;;;;1;;1
Bajol tekst en interpretatie;;1;;;;1
BaltTour;;;;1;;1
Banketbakkerij Boheemen;;;1;;;1
Banketbakkerij-Chocolaterie Lentelink;;;1;;;1
Bar Botanique B.V.;;;;1;;1
Bar Restaurant Pavlov B.V.;;;1;;1;1
BarentsKrans N.V.;;;;1;;1
BBK/Door Vriendschap Sterker B.V.;;;;;2;2
BC Hospitality Group A/S;;;;1;;1
Belangen Vereniging S.P.D.;1;;;;;1
Belgisch BiercafÃ© Olivier B.V.;;;1;;;1
Bellevue Groothoofd hotel culinair B.V.;;;1;;;1
Berkenhoef B.V.;;;;1;;1
Beroepsvereniging Vide;1;;;;;1
BeuseCOMM;;;;;2;2
BIJ12;2;;;;;2
Biogas Branche Organisatie;;;;;1;1
BKB;;;;;2;2
Blitz Communicatie;;;;;1;1
Blue Skies Consultancy Group;;;;1;;1
Bluebird Holding B.V.;;;;1;;1
BlueCity010 B.V.;;;;1;;1
Bobbe International B.V.;3;;;;;3
Boekhandel De Kloof;1;;;;;1
Boekhandel Van der Velde B.V.;;;1;;;1
bol.com B.V.;1;;1;;1;1
Bontekoe Produkties V.O.F.;;;;1;;1
Boosty II B.V.;;;;1;;1
Bos & Bos Catering TT B.V.;;;;1;;1
Bouwkennis B.V.;;;;;1;1
BouwNext Kennis B.V.;;;;;1;1
Bouwspeelplaats De Leuke Linde;;;;1;;1
Bovenmeester Diner & Lounge;;;;1;;1
Bredemeijer Group B.V.;;;2;1;;2
BRISP;;;;;1;1
Brodies;;;1;;;1
Brood- en banketbakkerij J.W. Blom B.V.;;;1;;;1
Brussels Expo;;;;1;;1
BRUSSELS EXPO CATERING SERVICES CVBA-VSO;;;;1;;1
BRW Customer Experience Software B.V.;1;;;;;1
BSID;1;;;;;1
BTC Mediatest B.V.;;;;;2;2
Buck Consultants International Holding B.V.;;;;1;;1
Budgetcam;;;;1;;1
Buffetrestaurant De Schaopwas;;;1;;;1
Bureau BlauwGeel B.V.;;;;;2;2
Bureau van Dijk Electronic Publishing B.V.;3;;;;;3
Bureau voor Overheidscommunicatie B.V.;;;;;4;4
Bureau voor ruimte & vrije tijd;;;;1;;1
Burgundy Street B.V.;;;1;;;1
Business Openers B.V.;;;;;1;1
BuyYourWine;;;1;;;1
BViT Noordwijk;;;2;;;2
C.N.B.;1;;;;;1
C365 B.V.;;;;1;;1
Café Restaurant Rootz B.V.;;;1;;;1
Café-Restaurant Riva B.V.;;;;1;;1
CafÃ© Mano;;;1;;;1
CafÃ©-Restaurant 'L'Union';;;1;;;1
Cafe Blossom;;;;1;;1
Caf� de Ceuvel;;;;1;;1
Caf� de Roeter;;;;1;;1
Cafe du Palais;;;1;;;1
Caf� La Morelia;;;;1;;1
Cafe/Restaurant Schlemmer;;;;1;;1
CAH Vilentum Dronten;;;;1;;1
cambio consulting;;;;1;;1
Campus Deltion College;;;1;;;1
Capgemini Nederland B.V.;1;;1;;;2
Capital Tour XXL;;;;1;;1
Capo Cucina;;;1;;;1
Capstones;;;;1;;1
Carat Nederland B.V.;;;;;2;2
Carnegie-Stichting;;;;1;;1
Cars and Stars;;;;1;;1
Carwei Communications;;;;;2;2
Cascadis;1;;;;;1
Caselex B.V.;2;;;;;2
Center fo Renewable Energy Sources;;;;;4;4
Centraal Boekhuis B.V.;;;;;1;1
Centre for Economic Policy Research CEPR;1;;;;;1
Change2move B.V.;;;;1;;1
Chemelot Campus Vastgoed C.V.;;;;1;;1
China Expertise Centre;;;;;1;1
China Inroads B.V.;;;;1;;1
China Unlimited;;1;;;;1
Chinees restaurant Specialiteiten van Drenthe;;;1;;;1
Cicerones;;;;1;;1
Circus Klomp;;;;1;;1
City Tuk;;;2;;;2
Clarivate Analytics (UK) Limited;3;;;;;3
CLJ;;;1;;;1
CMP Information;;;;2;;2
CoÃ¶peratie SURF UA;;;;1;;1
CoÃ¶peratieve Rabobank UA;1;;;;;1
Code Zero Visual Concepts;;;1;;1;1
Coffee Central;;;;1;;1
Comisi�n de Promoci�n del Per� para la Exportaci�n y el Turismo - PROMPER�;;;;1;;1
Commedia Consult;;;;;1;1
Communicatie Cockpit B.V.;;;;;2;2
Company.Info B.V.;1;;;;;1
Compass Group Nederland B.V.;;;;1;;1
Consumentenbond;1;;;;;1
Co�peratief Congrestolkensecretariaat UA;;2;;;;2
Coosto B.V.;3;;;;1;3
Coosto Holding B.V.;1;;;;;1
Cornelissen Consulting Services B.V.;;;;3;;3
Corrino Films B.V.;;;;;1;1
Corrino Media Group B.V.;;;;;1;1
Cosine Research B.V.;;;1;;;1
CPMG;;;;2;;2
Cramer Milieuadvies;;;;1;;1
Crazy Old Dutch;;;1;;;1
CREARA Consultores SL;;;;;4;4
Credion Agrarisch Team;;;;1;;1
Crowne Plaza Brussels - Le Palace;;;;1;;1
CRS Holland B.V.;;;;1;;1
Da Mauro;;;1;;;1
DARTMOUTH JOURNAL SERVICES;;;;;1;1
Data Scripta B.V.;2;;;;;2
DB Cargo Aktiengesellschaft;;;;1;;1
De Bakkerswinkel Westergasfabriek B.V.;;;;1;;1
De Bierelier B.V.;;;1;;;1
De Booij Party- en Congresarchitekten;;;;1;;1
De Branding Utrecht B.V.;;;1;;;1
De Byzantijn;;;1;;;1
De CoÃ¶peratieve Betuwse Fruitmotor UA;;;;;1;1
De Geldersche Poort;;;1;;;1
De Goesting;;;;1;;1
De Hoofdwacht B.V.;;;;1;;1
De Japanse Watertuin B.V.;;;;1;;1
De Klantcontact Monitor B.V.;;;;;2;2
De Koninklijke Nederl. Vereniging voor Koude;1;;;;;1
De Korenbeurs;;;1;;;1
De Landgoederij B.V.;;;;1;;1
De Merkplaats B.V.;1;;;;;1
De Molen Kaatsheuvel B.V.;;;;1;;1
De Nationale Gezondheidsbeurs;;;;;1;1
de Persgroep Nederland B.V.;;;;;1;1
de Persgroep Online Services B.V.;;;;;1;1
De Roos Geschenken B.V.;;;2;;1;2
De Utrechtse Haven B.V.;;;1;;;1
De Veldkeuken;;;1;;;1
De VoliÃ¨revriend;;;;1;;1
DE WATERMOLEN van Opwetten B.V.;;;;1;;1
De Waterreus;;;;1;;1
De Winkel van Sinkel B.V.;;;;1;;1
de Woningstichting;;;;;1;1
Decoded;;;;2;;2
Degen en Leideritz;;;;;1;1
Dekxels B.V.;;;;;1;1
Delta Park Neeltje Jans B.V.;;;;1;;1
Demi Sec;;;;1;1;2
Demokwekerij B.V.;;;;1;;1
Deutsche Energie Agentur;;;;;4;4
Deutsche Messe Aktiengesellschaft;;;;2;;2
Deutsche Messe Interactive;;;;;1;1
Development Analysis and Research Team DART;;;;1;;1
DGB B.V.;;;;1;;1
DGEG;;;;2;;2
Diergeneeskundige Studenten Kring;;;;1;;1
Discountoffice.nl B.V.;;;1;;;1
Diversified Communications;;;;1;;1
Dokkumer Vlaggen Centrale B.V.;;;1;;1;1
Domstad Evenementen B.V.;;;1;;;1
Dor B.V.;;;;1;;1
DPI Animation House B.V.;;;;2;2;3
Driebit B.V.;;;;;1;1
Driebit Hosting B.V.;;;;;1;1
Drieharing B.V.;;;;1;;1
Dudok Den Haag B.V.;;;;1;;1
Dunfield Editing;;2;;;;2
DWA B.V.;;;;;1;1
EBP Nederland B.V.;1;;;;;1
EBSCO Information Services B.V.;2;;;;;2
