FID,strook_id,strooknaam,vliegdatum,shape_leng,se_anno_cad_data,gdb_geomattr_data,shape
vliegln_krib_waal_2014.1,18,l00001_r,2014-06-25T00:00:00,5659.84371576,,,"LINESTRING (147276.6937999986 426541.64829999954, 152931.31749999896 426298.624499999)"
vliegln_krib_waal_2014.2,19,l00002_r,2014-06-25T00:00:00,20491.8697557,,,"LINESTRING (131137.46660000086 426988.7404000014, 151610.77329999954 426116.7065999992)"
vliegln_krib_waal_2014.3,20,l00003_r,2014-06-25T00:00:00,21658.4947787,,,"LINESTRING (131877.6783999987 426723.1843000017, 153516.55330000073 425801.50459999964)"
vliegln_krib_waal_2014.4,21,l00004_1_r,2014-06-25T00:00:00,26162.8321328,,,"LINESTRING (125992.84310000017 426709.46009999886, 152132.61100000143 425611.13439999893)"
vliegln_krib_waal_2014.5,22,l00004_2_r,2014-06-25T00:00:00,26190.1801083,,,"LINESTRING (127370.8310999982 426651.03559999913, 153538.55099999905 425566.6143999994)"
vliegln_krib_waal_2014.6,23,l00005_r,2014-06-25T00:00:00,26755.2658426,,,"LINESTRING (127279.86809999868 426416.0208999999, 154011.6550000012 425295.3874000013)"
vliegln_krib_waal_2014.7,24,l00006_r,2014-06-25T00:00:00,26371.3771906,,,"LINESTRING (126230.45230000094 426229.2943000011, 152577.50780000165 425096.95329999924)"
vliegln_krib_waal_2014.8,25,l00007_r,2014-06-25T00:00:00,26053.8496124,,,"LINESTRING (127272.17210000008 425952.6209000014, 153303.2628000006 424863.8618000001)"
vliegln_krib_waal_2014.9,26,l00008_r,2014-06-25T00:00:00,27705.2307892,,,"LINESTRING (125992.98330000043 425743.6030000001, 153673.1165000014 424564.60379999876)"
vliegln_krib_waal_2014.10,27,l00009_r,2014-06-25T00:00:00,27711.3158187,,,"LINESTRING (127319.54699999839 425442.2133000009, 155007.53610000014 424305.42660000175)"
vliegln_krib_waal_2014.11,28,l00010_r,2014-06-25T00:00:00,27684.0351341,,,"LINESTRING (125991.31430000067 425246.53130000085, 153651.16640000045 424089.6486000009)"
vliegln_krib_waal_2014.12,29,l00011_r,2014-06-25T00:00:00,15500.7580176,,,"LINESTRING (139399.66640000045 424449.83680000156, 154886.12849999964 423784.2613000013)"
