Handelsnaam;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
4IT Professionals B.V.;;;;4;;;;4
50PlusIT B.V.;;;;4;;;;4
7U;;;2;;;;;2
A.J. van Deudekom B.V.;;;;1;;;;1
ABB B.V.;;;;;;;1;1
ABF Research B.V.;;;;2;;;;2
AC Plus Automatisering B.V.;;;;5;;;;5
Acknowledge Product & Services B.V.;;;;;;1;;1
Advisie Business Consultants;;;;1;;;;1
AGC Zwolle;;;;1;;;;1
AM EYEWEAR PTY Ltd.;;;;1;;;;1
Amazon Web Services Netherlands B.V.;;;;1;;;;1
Amtex;;;;1;;;;1
Andriessen & Partners B.V.;;;;5;;;;5
Anne Roorda Bedrijfsarts Organisatieadv. B.V.;;;;1;;;;1
Annemiek Vos;;;;1;;;;1
Anoigo Services Limited;;2;;;;;;2
Apples n Berrys B.V.;;;;;;1;;1
ArboDirect;;;;1;;;;1
ArchiXL B.V.;;;;1;;;2;2
Archol;;;;;;;1;1
Armatiek B.V.;;;1;;;;;1
Arnauld Geschenken B.V.;;;;1;;;;1
Arol Trading Services;2;;;;;;;2
Atos Nederland B.V.;4;4;2;8;;5;9;9
Attractie Verhuur Moonen B.V.;;;;1;;;;1
Aura Software B.V.;;;1;;;;;1
Avex B.V.;;;;;;;1;1
AVT Benelux B.V.;1;;;;;;;1
Axiell ALM Netherlands B.V.;;;1;;;;;1
Bacchus Bistro;;;;1;;;;1
Backshop B.V.;1;;;;;;;1
Bazelmans Audio Visual Rentals;;;;2;;;;2
Beat It B.V.;1;;;;;;;1
Bedrijfsartsengroep B.V.;;;;1;;;;1
Belstore.Com B.V.;1;;;;;;;1
Benner Kaap Hoorn Exploitatie B.V.;;;;1;;;;1
BigTrees B.V.;;;;4;;;;4
Bistro Vive la Vie;;;;1;;;;1
Bitman;;;;1;;;;1
bitMIND B.V.;1;;;;;;;1
Bloembinderij De Nobel;;;;1;;;;1
Bloemendaal Consultancy B.V.;;;;2;;;;2
Bluedesk CRM B.V.;;;1;2;;;;2
BlueKnowledge Consultancy B.V.;;;;;;;2;2
bol.com B.V.;1;1;;;;;;1
Bond van Nederlandse Bouwhistorici;;;;;;;2;2
Bouwcombinatie DUO2 V.O.F.;;1;;;;;;1
Bowling- & Partycentrum Groningen B.V.;;;;1;;;;1
BPI Services B.V.;1;2;;1;;;;2
BQA B.V.;;;;6;;;;6
Brisk ICT B.V.;;1;;1;;;1;1
Bron-it;;;;;;;1;1
Bruker Nederland B.V.;;2;;;;;;2
Brunel Nederland B.V.;;;;7;;;2;7
Budget Rent a Car;;;;1;;;;1
Bureau Voor Noordelijke Gemeenten B.V.;;;;2;;;;2
Buyitdirect.Com N.V.;1;;;;;;;1
Bys Hosting B.V.;;;;1;;;;1
Byte B.V.;;;;1;;;;1
Caesar Groep Rotterdam B.V.;;;;;;;1;1
Café de Klikspaan B.V.;;;;1;;;;1
Canon Nederland N.V.;1;4;1;1;1;;1;4
Cantine Service;;;;1;;;;1
Capgemini Nederland B.V.;;;;8;1;;6;8
Carthago ICT;;;;2;;;2;2
Cas Oomen;;;;1;;;;1
CCM Masters B.V.;;;;2;;;;2
CCV Services B.V.;;;;1;;;;1
Cendris Dataconsulting B.V.;;;;1;;1;;1
Central Point Nederland B.V.;1;;;;;;;1
Centric;;;;5;;;;5
Centric Netherlands B.V.;;;;1;;;;1
Centric Test & Security Professionals B.V.;;;1;;;;;1
CFIT B.V.;;;;3;;;;3
CGI Nederland B.V.;;;;8;;;2;8
Charlotte Labrie;;;;1;;;;1
Chubb Fire & Security Twente;;;;1;;;;1
Cimsolutions;;;;7;;;1;7
Cinnamon Interactive B.V.;;;;1;;;;1
Circle Software Group B.V.;;;;2;;;;2
Citrus;;;;6;;;;6
Claranet Benelux B.V.;;;1;;;;1;1
Clockwork B.V.;;;;3;;;;3
CM Telecom B.V.;;;;1;;1;;1
Coffeemania;;;;1;;;;1
Communicativ B.V.;;;;1;;;;1
Community Network Groningen B.V.;;;;2;3;;;3
COMPAREX Nederland B.V.;;6;7;7;6;2;5;8
Compumatica Secure Networks B.V.;1;;;;;;;1
