GEMEENTE,CBS_GEMEENTECODE,BETREFT,WIJKNAAM,CBS_WIJKCODE,BUURTNAAM,CBS_BUURTCODE,BAGREFNUMMER,STRAATNAAM,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,POSTCODE,WOONPLAATS,longitude,latitude,X,Y,GEOMETRIE
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Kievitsbuurt,WK19040204,0311010000003754,De Meent,24,,,3621VS,Breukelen,5.043114,52.175457,131463.26,465312.63,"POLYGON Z ((131457.327 465310.425 0,131464.797 465311.02 0,131465.016 465308.268 0,131469.691 465308.64 0,131469.026 465316.983 0,131464.36 465316.611 0,131464.433 465315.683 0,131456.956 465315.087 0,131457.327 465310.425 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Polder Klein Oud Aa,WK19040203,0311010000004458,Oud Aa,37,,,3621LA,Breukelen,4.97147,52.180431,126565.82,465891.63,"POLYGON Z ((126552.071 465897.368 0,126551.586 465886.82 0,126571.61 465885.899 0,126571.702 465887.907 0,126573.96 465887.803 0,126573.914 465886.804 0,126579.589 465886.543 0,126580.006 465895.613 0,126574.331 465895.874 0,126574.261 465894.345 0,126572.263 465894.437 0,126572.354 465896.435 0,126552.071 465897.368 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Polder Nijenrode,WK19040206,0311010000005993,Straatweg,30,,,3621BN,Breukelen,5.019836,52.157133,129860.69,463281.71,"POLYGON ((129850.795 463287.905,129851.852 463286.202,129851.337 463285.885,129859.224 463273.393,129859.74 463273.712,129861.743 463270.372,129862.957 463270.103,129870.31 463274.633,129870.591 463275.83,129868.505 463279.193,129868.844 463279.402,129867.006 463282.357,129871.112 463284.885,129871.647 463287.168,129869.428 463290.737,129867.135 463291.281,129863 463288.741,129861.345 463291.397,129860.961 463291.162,129859.615 463293.325,129850.795 463287.905))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Corridor,WK19040208,0311010000006557,Stationsweg,91,,,3621LK,Breukelen,4.989674,52.168781,127803.77,464588.54,"POLYGON ((127776.162 464620.833,127777.225 464598.374,127778.235 464577.387,127779.292 464554.957,127780.966 464555.043,127783.017 464555.148,127785.298 464555.316,127786.035 464544.917,127787.528 464545.073,127787.809 464533.28,127788.207 464526.319,127793.799 464526.609,127803.922 464527.118,127823.659 464527.55,127823.435 464538.621,127823.015 464546.872,127824.455 464547.084,127824.132 464557.041,127827.953 464557.219,127831.342 464557.387,127830.532 464574.455,127829.417 464597.273,127828.159 464623.325,127823.193 464623.09,127822.181 464645.895,127825.424 464646.071,127822.567 464704.696,127800.105 464703.526,127802.853 464644.842,127813.326 464645.413,127813.676 464639.545,127787.878 464638.271,127788.956 464621.44,127787.529 464621.373,127776.162 464620.833))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Scheendijk,WK19040211,0311010000006725,Scheendijk,16,,49,3621VC,Breukelen,5.024244,52.180397,130175.24,465868.46,"POLYGON ((130174.902 465863.207,130181.043 465863.078,130181.126 465867.043,130184.581 465866.97,130184.71 465873.123,130175.114 465873.325,130174.902 465863.207))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Kievitsbuurt,WK19040204,0311010000007650,De Plassen Noord,75,,,3621PN,Breukelen,5.025846,52.182209,130285.85,466069.58,"POLYGON Z ((130283.498 466071.987 0,130282.875 466067.809 0,130289.83 466067.113 0,130290.406 466071.168 0,130283.498 466071.987 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Corridor,WK19040208,0311010000008021,Stationsweg,91,a,,3621LK,Breukelen,4.989605,52.168099,127798.64,464512.65,"POLYGON Z ((127793.799 464526.609 0,127795.663 464488.495 0,127805.798 464488.985 0,127805.646 464492.185 0,127809.901 464492.388 0,127810.648 464476.695 0,127802.658 464476.315 0,127804.923 464428.783 0,127812.804 464429.159 0,127812.852 464428.16 0,127815.768 464428.299 0,127815.721 464429.298 0,127823.412 464429.664 0,127821.023 464477.174 0,127813.063 464476.773 0,127812.541 464487.15 0,127822.488 464487.651 0,127822.241 464492.553 0,127824.359 464492.66 0,127823.898 464502.677 0,127809.431 464502.389 0,127809.847 464494.124 0,127805.593 464493.91 0,127803.922 464527.118 0,127793.799 464526.609 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Loenen aan de Vecht,WK190403,Mijnden,WK19040306,0329010000001167,Mijndensedijk,2,,,3632NV,Loenen aan de Vecht,5.021339,52.204465,129990.14,468547.26,"POLYGON ((129985.919 468543.704,129999.756 468540.544,130000 468541.728,130000.406 468543.698,130000 468543.791,129994.547 468545.047,129993.341 468545.325,129993.734 468547.256,129992.667 468547.619,129993.252 468551.061,129993.563 468552.889,129989.368 468553.986,129988.144 468549.162,129986.934 468549.205,129985.919 468543.704))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Loenen aan de Vecht,WK190403,Loenen Dorpskern,WK19040310,0329010000001196,Molendijk,3,,,3632EM,Loenen aan de Vecht,5.022714,52.209725,130087.05,469132.08,"POLYGON ((130082.452 469132.855,130085.037 469127.664,130092.222 469131.242,130089.637 469136.433,130082.452 469132.855))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Loenen aan de Vecht,WK190403,Oudover,WK19040309,0329010000001336,Oud Over,3,,,3632VA,Loenen aan de Vecht,5.022094,52.206467,130042.83,468769.78,"POLYGON Z ((130036.884 468774.694 0,130035.285 468768.185 0,130048.795 468764.867 0,130049.316 468766.989 0,130050.393 468771.376 0,130044.933 468772.717 0,130036.884 468774.694 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Nieuwersluis,WK190409,Nieuwersluis,WK19040905,0329010000002257,Rijksstraatweg,37,,,3631AA,Nieuwersluis,5.007609,52.196428,129046.88,467657.98,"POLYGON ((129039.617 467661.347,129043.154 467656.537,129044.891 467657.815,129048.244 467653.255,129048.429 467653.392,129049.565 467651.878,129051.932 467653.572,129053.676 467654.852,129047.496 467663.589,129047.072 467664.21,129042.568 467660.911,129041.324 467662.603,129039.617 467661.347))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Vreeland,WK190406,Hoeker Polder,WK19040601,0329010000002825,Nigtevechtseweg,186,,,3633XX,Vreeland,5.043167,52.252216,131507.49,473852.84,"POLYGON Z ((131515.186 473857.381 0,131499.299 473856.513 0,131499.882 473848.306 0,131513.824 473849.06 0,131513.84 473848.757 0,131515.647 473848.855 0,131515.186 473857.381 0))"
