FID,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkingen,symbol,gdb_geomattr_data,shape
trend_2021_25.1,200100,2,100,725,2417.59,1692.59,4.94,,,1,,"POLYGON ((205419.03290000185 608732.1352999993, 205414.7226999998 608608.7104999982, 205214.84450000152 608615.690299999, 205219.15469999984 608739.1151, 205419.03290000185 608732.1352999993))"
trend_2021_25.2,200101,2,101,705,2261.79,1556.79,-16.93,,,3,,"POLYGON ((205065.0251000002 608772.4560999982, 205145.78489999846 609187.9296999983, 205342.11030000076 609149.7679000013, 205261.35049999878 608734.2943000011, 205065.0251000002 608772.4560999982))"
trend_2021_25.3,200102,2,102,700,2157.81,1457.81,-10.63,,,3,,"POLYGON ((204918.01529999822 608829.5144999996, 205008.9070999995 609079.2379000001, 205196.84569999948 609010.8339000009, 205105.95369999856 608761.1105000004, 204918.01529999822 608829.5144999996))"
trend_2021_25.4,200103,2,103,689,2040.9,1351.9,-6.35,,,3,,"POLYGON ((204781.72569999844 608908.8559000008, 204858.68930000067 609047.7016999982, 205033.6132999994 608950.7399000004, 204956.64970000088 608811.8938999996, 204781.72569999844 608908.8559000008))"
trend_2021_25.5,200104,2,104,694,1942.62,1248.62,-3.47,,,3,,"POLYGON ((204672.32409999892 608996.5566999987, 204724.5315000005 609065.8383000009, 204884.2584999986 608945.4752999991, 204832.05110000074 608876.1937000006, 204672.32409999892 608996.5566999987))"
trend_2021_25.6,200105,2,105,699,1939.34,1240.34,2.49,,,1,,"POLYGON ((204704.12209999934 608968.3786999993, 204659.34329999983 608925.1363000013, 204520.41169999912 609069.0040999986, 204565.19049999863 609112.2467, 204704.12209999934 608968.3786999993))"
trend_2021_25.7,200106,2,106,709,1943.88,1234.88,-3.3,,,3,,"POLYGON ((204486.2063000016 609228.0892999992, 204552.95010000095 609276.5815000013, 204670.50710000098 609114.7780999988, 204603.76330000162 609066.2859000005, 204486.2063000016 609228.0892999992))"
trend_2021_25.8,200120,2,120,770,2098.36,1328.36,5.36,,,1,,"POLYGON ((204488.76289999858 609224.2861000001, 204380.3546999991 609145.5229000002, 204262.7974999994 609307.3262999989, 204371.20589999855 609386.0894999988, 204488.76289999858 609224.2861000001))"
trend_2021_25.9,200140,2,140,810,2130.37,1320.37,-2.64,,,3,,"POLYGON ((204253.20569999889 609548.0894999988, 204306.60069999844 609586.8832999989, 204424.15790000185 609425.0799000002, 204370.76269999892 609386.2861000001, 204253.20569999889 609548.0894999988))"
trend_2021_25.10,200160,2,160,806,2008.73,1202.73,-15.51,,,3,,"POLYGON ((204136.2060999982 609708.0892999992, 204449.9023000002 609936.0029000007, 204567.45949999988 609774.1994999982, 204253.76309999824 609546.2859000005, 204136.2060999982 609708.0892999992))"
