FID,strook_id,shape_leng,strooknaam,shape_le_1,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wad_oost_2012.1,1,36184.6679204,l0402_1_grd,69965.8925397,2012-02-25T00:00:00,,,"LINESTRING (187624.03500000015 607779.5040000007, 223026.99599999934 615260.1840000004)"
vlieglijnen_wad_oost_2012.2,2,36065.8078731,l0404_1_grd,94099.1187406,2012-02-25T00:00:00,,,"LINESTRING (188381.1499999985 606467.8929999992, 223659.21700000018 613964.5929999985)"
vlieglijnen_wad_oost_2012.3,3,35577.2431375,l0405_1_grd,95322.7889239,2012-02-25T00:00:00,,,"LINESTRING (189291.3999999985 605924.0969999991, 224088.0249999985 613335.9239999987)"
vlieglijnen_wad_oost_2012.4,4,15233.8700369,l0421_1_grd,40460.3380465,2012-02-25T00:00:00,,,"LINESTRING (191584.4759999998 609723.0599999987, 203478.125 600204.0320000015)"
vlieglijnen_wad_oost_2012.5,5,36354.6772343,l0407_1_grd,114062.997461,2012-03-23T00:00:00,,,"LINESTRING (189175.4210000001 604497.6909999996, 224738.94299999997 612040.7969999984)"
vlieglijnen_wad_oost_2012.6,6,36451.8880903,l0408_1_grd,103152.430202,2012-03-23T00:00:00,,,"LINESTRING (189194.73699999973 603759.8359999992, 224847.54300000146 611350.4589999989)"
vlieglijnen_wad_oost_2012.7,7,36297.4116061,l0409_1_grd,109579.259958,2012-03-23T00:00:00,,,"LINESTRING (189570.2199999988 603084.8729999997, 225060.30000000075 610697.7789999992)"
vlieglijnen_wad_oost_2012.8,8,36120.1896931,l0406_1_grd,107527.129825,2012-03-23T00:00:00,,,"LINESTRING (189264.1259999983 605191.8979999982, 224586.7259999998 612740.5450000018)"
vlieglijnen_wad_oost_2012.9,9,37680.807041,l0410_1_grd,96333.2977451,2012-03-23T00:00:00,,,"LINESTRING (188635.26000000164 602189.1420000009, 225484.0159999989 610063.936999999)"
vlieglijnen_wad_oost_2012.10,10,37147.7878911,l0411_1_grd,92460.9434603,2012-03-23T00:00:00,,,"LINESTRING (189718.86300000176 601752.0009999983, 226058.23600000143 609459.6669999994)"
vlieglijnen_wad_oost_2012.11,11,37586.1935745,l0412_1_grd,90116.9316732,2012-03-23T00:00:00,,,"LINESTRING (189336.84800000116 600917.6160000004, 226095.71400000155 608760.3029999994)"
vlieglijnen_wad_oost_2012.12,12,36976.2906109,l0413_1_grd,84347.1083546,2012-03-23T00:00:00,,,"LINESTRING (190642.17700000107 600497.3029999994, 226807.8900000006 608197.1270000003)"
vlieglijnen_wad_oost_2012.13,13,37093.4118381,l0414_1_grd,84573.1754785,2012-03-22T00:00:00,,,"LINESTRING (190916.94299999997 599828.7760000005, 227194.24500000104 607566.9010000005)"
vlieglijnen_wad_oost_2012.14,14,27430.531652,l0415_1_grd,65477.7023494,2012-03-22T00:00:00,,,"LINESTRING (200556.7740000002 601168.0080000013, 227383.79300000146 606890.3429999985)"
vlieglijnen_wad_oost_2012.15,15,20040.94602,l0416_1_grd,57903.0839683,2012-03-22T00:00:00,,,"LINESTRING (208018.1330000013 602041.3869999982, 227621.3500000015 606207.131000001)"
vlieglijnen_wad_oost_2012.16,16,18186.6080751,l0417_1_grd,46060.773991,2012-03-22T00:00:00,,,"LINESTRING (210079.83799999952 601790.1449999996, 227872.11199999973 605556.7989999987)"
vlieglijnen_wad_oost_2012.17,17,19616.068238,l0418_1_grd,44093.8072418,2012-03-22T00:00:00,,,"LINESTRING (210221.55900000036 601086.0980000012, 229412.29899999872 605148.8090000004)"
vlieglijnen_wad_oost_2012.18,18,15012.0339769,l0419_1_grd,33231.237755,2012-03-22T00:00:00,,,"LINESTRING (210635.85599999875 600415.050999999, 225312.7809999995 603569.2569999993)"
vlieglijnen_wad_oost_2012.19,19,10337.2909389,l0420_1_grd,22942.4877881,2012-03-22T00:00:00,,,"LINESTRING (210723.3669999987 599767.7369999997, 220830.7340000011 601935.8489999995)"
vlieglijnen_wad_oost_2012.20,22,17333.6226059,l0401_1_grd,20256.6994161,2012-02-25T00:00:00,,,"LINESTRING (190664.82699999958 608892.3229999989, 207577.27899999917 612690.1420000009)"
vlieglijnen_wad_oost_2012.21,23,35530.0590067,l0403_2_grd,74376.1434341,2012-02-25T00:00:00,,,"LINESTRING (188603.48999999836 607221.8269999996, 223356.09299999848 614613.8280000016)"
vlieglijnen_wad_oost_2012.22,24,18139.9440389,l0482_1_grd,52805.4836591,2012-03-23T00:00:00,,,"LINESTRING (218503.79199999943 596950.8310000002, 218802.91200000048 615088.3090000004)"
vlieglijnen_wad_oost_2012.23,25,16770.0137969,l0481_1_grd,42630.5879137,2012-03-23T00:00:00,,,"LINESTRING (205423.12000000104 612970.2120000012, 213486.80200000107 598266.1180000007)"
