Handelsnaam;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
!Pet;;1;;;1;;1;2;;2
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;;;;;1;;;;;1
2Join B.V.;;;;;;;;1;;1
7AM Den Haag B.V.;1;;;;;;;;;1
A.J. van Deudekom B.V.;;;;;;1;;;;1
A.J. van Hilst B.V.;;;1;;;;;;;1
A.T.U. Beheer B.V.;1;;;;;;;;;1
Aannemersbedrijf G.B. van Hoek B.V.;;;;;;;2;;;2
Absoluta Food and Facilities B.V.;1;;;;;;;;;1
Acoutronics B.V.;;;;;;;;1;;1
Ad Hosman;;;;;;;1;;;1
AED Solutions B.V.;;;;;;;;1;;1
A-Frames;;;;;;;2;;;2
Akkerman - Van der Lei;;;;;;;1;;;1
Altec Industriële Identificatie;;;;;;;;1;;1
Amaze Escape Events;;1;;;;;;;;1
Amersfoort Total Office B.V.;;;;;;;;1;;1
Amitech B.V.;;;;;1;;;;;1
Anne Ruurd Oosterwoud;;;;;;;1;;;1
Annemiek Vos;;;;;;;1;;;1
Anya van Lit;;;;;;;1;;;1
Aon Hewitt Nederland C.V.;;;;;;;1;;;1
Aram Goedhart;;;;;;;;1;;1
Arenda Oomen Fotografie;;;;;1;;;;;1
Arnauld Geschenken B.V.;;;;;;;;1;;1
Art Conservation Europe B.V.;;;;;;;;1;;1
Artifac B.V.;;;;;;;;1;;1
ASB Security B.V.;;1;;;;;;;;1
Ascom (Nederland) B.V.;;1;;;;;;;;1
Asito B.V.;;;2;;;;;;;2
Athene Palace B.V.;1;;;;;;;;;1
Atir Schoonmaakstrategen;;;1;;;;;;;1
Azerty;;;;;;;;1;;1
B.V. Electro Centraal E.C.;;;;;1;;;;;1
B.V. vh WH Schippers en Co Int. Exp. en Emb.;;;;;;;1;;;1
B.V. voorheen J.F. Bos en Zonen;1;;;;;;;;;1
Bakker Boogers;1;;;;;;;;;1
Banketbakkerij Maison Kelder B.V.;1;;;;;;;;;1
Banketbakkerij Theo Blom V.O.F.;1;;;;;;;;;1
Bastiaan de Nennie;;;;;;;1;;;1
Bectro Installatietechniek;;1;;;;;;;;1
Beeldspraak;;;;;1;;;;;1
Besseling Travel B.V.;;;;1;;;;;;1
Bilderberg Grand Hotel Wientjes;1;;;;;;;;;1
Bio Trading Benelux B.V.;;;;;;;;1;;1
Bloembinderij All Seasons;;;;;;;1;;;1
Boels Verhuur Groningen;;;;;;;;1;;1
bol.com B.V.;1;;;;;;1;1;;1
Bontje boekbinderij en albumafwerking B.V.;;;;;1;;;;;1
Boral Holding B.V.;;;;;;;1;;;1
BPI Services B.V.;;1;;;;;;;;1
Braaiarena B.V.;1;;;;;;;;;1
Brandmeester's B.V.;2;;;;;;;;;2
Breur IJzerhandel Ceintuurbaan;;;;;;;;1;;1
Bureau Bouwcoördinatie Nederland B.V.;;;;;;;;1;;1
Buyitdirect.Com N.V.;;;;;;;;1;;1
BvanE Zoetermeer B.V.;;;;;1;;;1;;1
Bys Hosting B.V.;;;;;;;;1;;1
C. Stapel B.V.;;;;;1;;;;;1
C.G. Holthausen B.V.;;1;;;;;;;;1
Café Haags Filmhuis;1;;;;;;;;;1
Caitlin Sas Photography;;;;;;;1;;;1
