CODE;OBJECTID;STD_KOPPEL;STD_ID_S;STD_ID_I;WK_KOPPEL;WK_ID_S;WK_ID_I;BRT_KOPPEL;BRT_ID_S;SHAPE_LENG;SHAPE_AREA;BRT_NAAM;WK_NAAM;STD_NAAM;AANTBEV;LFT019;LFT2064;LFT65_;GESLM;GESLV;ETNICBS8;ETNICBS9;AANTGEB;AANTSTRF;NATLOOP;VESTTOT;VERTRTOT;SALDVEVE;BEVSALDO;AANTHH;EPHH;MPHHZK;MPHHMK;EENOUD;SRWON1;SRWON2;SRWON3;SRWON4;SRWON5;SRWON6;SRWON7;SRWON8;SRWON9;SRWON10;SRWON11;SRWON12;SRWON13;EIGEND1;EIGEND3;EIGEND2;EIGEND4;AANTOZB;BVOWON;TTPRS;ANIETWON;AKANTOOR;AWINKELS;ABEDRIJF;AHORECA;AHOTELS;AUITGAAN;ACULTUUR;AATRACTI;ASPORTS;ARECREAT;AMEDISCH;ABIJZOND;ASCHOLEN;AKERKEN;ABIJWON;AOVERIG;VESTTOTAAL;WPTOTAAL;POTBEROEP;NWWTOT;WPS1;WPS2;WPS3;WPS4;WPS5;WPS6;WPS7;WPS8;WPS9;PARTAUTO;PARTMOTOR
1;1;04 Scheveningen;04;4;07 Scheveningen;07;7;01 Oud Scheveningen;01;2516.749621410000145;256741.563099999999395;Oud Scheveningen;Scheveningen;Scheveningen;2859;467;1861;531;1433;1426;2236;623;0;0;0;0;0;0;0;1594;837;379;264;114;411;1193;154;310;5;450;274;96;291;0;24;0;16;750;328;523;19;1620;142055;179628;195;12;45;13;11;1;0;0;0;0;3;3;2;2;1;0;102;342;711;1955;170;73;69;137;228;38;57;32;41;0;975;93
2;2;04 Scheveningen;04;4;07 Scheveningen;07;7;02 Vissershaven;02;5708.939859690000048;1179184.982099999906495;Vissershaven;Scheveningen;Scheveningen;3355;634;1989;732;1617;1738;2477;878;0;0;0;0;0;0;0;1705;761;451;291;202;115;1708;224;387;33;769;295;16;94;0;5;0;19;846;371;560;65;1842;196443;201131;677;63;57;137;33;0;1;1;1;4;7;5;0;0;1;0;367;616;3146;2102;220;271;371;1195;596;3;176;42;302;0;1094;107
3;3;04 Scheveningen;04;4;07 Scheveningen;07;7;03 Scheveningen Badplaats;03;3283.330704559999958;505183.477300000027753;Scheveningen Badplaats;Scheveningen;Scheveningen;5419;975;3539;905;2697;2722;3638;1781;0;0;0;0;0;0;0;3031;1556;749;510;216;775;2389;395;694;187;866;247;203;540;5;27;0;39;1927;903;303;70;3203;338053;239016;377;35;53;19;40;14;2;4;0;6;8;10;1;1;2;0;182;758;2806;3733;260;3;158;1066;536;247;88;142;516;0;1889;157
4;4;04 Scheveningen;04;4;07 Scheveningen;07;7;04 Visserijbuurt;04;2217.417860019999807;271383.061349999974482;Visserijbuurt;Scheveningen;Scheveningen;3817;730;2228;859;1801;2016;2535;1282;0;0;0;0;0;0;0;2023;978;514;357;174;367;1610;254;448;117;609;182;52;296;1;18;0;17;915;469;594;16;1994;220321;222624;308;23;75;26;19;1;0;1;0;1;4;5;0;2;4;0;147;451;1655;2399;200;4;94;351;233;77;610;137;100;0;1177;80
5;5;04 Scheveningen;04;4;06 Van Stolkpark en Schev. Bos;06;6;05 v Stolkpark/Schev Bosjes;05;4468.195307379999576;1114379.526700000045821;v Stolkpark/Schev Bosjes;Van Stolkpark en Schev. Bos;Scheveningen;809;178;369;262;374;435;482;327;0;0;0;0;0;0;0;360;171;86;85;18;115;256;26;47;10;165;8;30;34;37;14;0;5;241;84;48;3;376;83713;606257;79;19;3;4;1;1;0;0;1;1;0;2;0;2;0;0;45;130;1111;424;0;1;4;91;415;141;198;90;112;0;314;0
6;6;01 Loosduinen;01;1;18 Waldeck;18;18;06 Waldeck-Zuid;06;1921.710662400000047;208190.771149999985937;Waldeck-Zuid;Waldeck;Loosduinen;2033;325;1030;678;921;1112;1355;678;0;0;0;0;0;0;0;1189;641;294;136;118;115;1080;0;0;24;1056;0;42;56;1;16;0;0;542;56;597;0;1195;109793;134479;125;2;0;0;0;0;0;0;0;2;0;6;1;0;1;0;113;86;211;1105;130;4;31;12;25;103;14;6;9;0;720;0
7;7;04 Scheveningen;04;4;09 Geuzen- en Statenkwartier;09;9;07 Statenkwartier;07;4815.575942569999825;1012293.304450000054203;Statenkwartier;Geuzen- en Statenkwartier;Scheveningen;9526;2362;5546;1618;4550;4976;5261;4265;0;0;0;0;0;0;0;4571;2030;1150;1139;252;1498;2998;695;1492;14;669;128;167;1277;17;37;0;170;2981;1478;125;82;4666;799960;433011;571;119;188;28;22;7;0;1;0;2;1;21;0;7;2;0;173;1352;5638;6159;250;4;147;1258;1992;78;1580;303;128;0;3319;174
8;8;04 Scheveningen;04;4;09 Geuzen- en Statenkwartier;09;9;08 Geuzenkwartier;08;4640.129441789999873;339317.678550000011455;Geuzenkwartier;Geuzen- en Statenkwartier;Scheveningen;4395;884;2540;971;2094;2301;3222;1173;0;0;0;0;0;0;0;2224;995;574;484;171;625;1632;422;484;3;553;170;82;518;2;23;0;4;1263;316;668;14;2261;237352;214500;223;5;17;10;7;0;0;0;0;1;1;4;0;1;2;0;175;371;574;2745;210;3;89;96;190;0;44;72;43;0;1456;70
9;9;03 Segbroek;03;3;13 Vogelwijk;13;13;09 Vogelwijk;09;7919.559467050000421;2716602.433050000108778;Vogelwijk;Vogelwijk;Segbroek;5233;1571;2627;1035;2519;2714;3834;1399;0;0;0;0;0;0;0;2080;545;620;800;115;1590;490;132;150;9;199;0;557;533;69;431;0;6;1873;166;45;2;2086;361853;563753;95;4;8;4;0;0;1;0;0;8;4;9;0;9;3;0;45;509;1475;3048;80;8;36;69;367;0;558;372;49;0;2346;148
10;10;03 Segbroek;03;3;21 Regentessekwartier;21;21;10 Rond de Energiecentrale;10;3105.377821829999903;515059.494249999988824;Rond de Energiecentrale;Regentessekwartier;Segbroek;5747;1056;4068;623;2884;2863;2405;3342;0;0;0;0;0;0;0;3201;1763;710;459;269;442;2488;342;857;130;824;335;48;392;0;2;0;58;922;1222;798;46;2988;279444;139286;326;13;61;87;17;0;0;2;0;4;9;7;1;3;6;0;116;704;1876;4308;640;9;182;291;286;411;283;130;118;0;1448;118
