FID,loc_nr,oid,loc_type,loc_des,roadnumber,roadname,first_name,secnd_name,junct_ref,exit_nr,hstart_pos,hend_pos,hstart_neg,hend_neg,hecto_char,hecto_dir,pos_in,pos_out,neg_in,neg_out,dir,area_ref,lin_ref,inter_ref,pos_off,neg_off,urban_code,pres_pos,pres_neg,far_away,city_distr,top_sign,type_code,mw_ref,rw_nr,aw_ref,gdb_geomattr_data,shape
spoorwegovergang_66.1204,9042,2430,P3.43,Spoorwegovergang,N35, ,Spoorwegovergang, ,0, ,253,253,253,253, ,-1,0,0,0,0, ,2284,3281,0,9043,9041,0,1,1,0, , ,0,0,835,610,,POINT (219834.78550000116 488096.1471000016)
spoorwegovergang_66.1858,13175,4272,P3.43,Spoorwegovergang,N309, ,Spoorwegovergang, ,0, ,392,392,392,392, ,1,0,0,0,0, ,2323,4542,0,13176,13174,0,1,1,0, , ,0,0,0,0,,POINT (189333.10200000182 491264.61140000075)
spoorwegovergang_66.1878,13203,4293,P3.43,Spoorwegovergang,N310, ,Spoorwegovergang, ,0, ,964,964,964,964, ,1,0,0,0,0, ,2374,4550,0,22329,13202,0,1,1,0, , ,0,0,0,0,,POINT (181941.7899999991 487021.9001000002)
spoorwegovergang_66.2318,10944,3414,P3.43,Spoorwegovergang,N209, ,Spoorwegovergang, ,0, ,263,263,263,263, ,1,0,0,0,0, ,2477,3590,0,21713,10945,0,1,1,0, , ,0,0,0,0,,POINT (99993.1389000006 459798.8706)
spoorwegovergang_66.2938,26525,8529,P3.43,Spoorwegovergang,R166,Merseyweg,Spoorwegovergang, ,0, ,-1,-1,-1,-1, ,0,0,0,0,0, ,2536,26066,0,26523,26522,0,1,1,0, , ,0,0,0,0,,POINT (77451.1565000005 432859.9015999995)
spoorwegovergang_66.3283,11280,3604,P3.43,Spoorwegovergang,N224, ,Spoorwegovergang, ,0, ,381,381,381,381, ,1,0,0,0,0, ,2321,3731,0,11281,11279,0,1,1,0, , ,0,0,0,0,,POINT (174168.71559999883 451518.1013999991)
spoorwegovergang_66.3541,12894,4128,P3.43,Spoorwegovergang,N276, ,Spoorwegovergang hm 26.4, ,0, ,264,264,264,264, ,1,0,0,0,0, ,2659,4220,0,12895,12893,0,1,1,0, , ,0,0,0,0,,POINT (188873.15359999985 343473.7357000001)
spoorwegovergang_66.3544,12897,4131,P3.43,Spoorwegovergang,N276, ,Spoorwegovergang hm 31.5, ,0, ,315,315,315,315, ,1,0,0,0,0, ,2659,4220,0,12898,12896,0,1,1,0, , ,0,0,0,0,,POINT (190637.67920000106 348236.66490000114)
spoorwegovergang_66.3578,12983,4166,P3.43,Spoorwegovergang,N301, ,Spoorwegovergang, ,0, ,165,165,165,165, ,-1,0,0,0,0, ,2348,4460,0,12984,12982,0,1,1,0, , ,0,0,0,0,,POINT (161443.7938000001 469559.19319999963)
spoorwegovergang_66.3616,13042,4204,P3.43,Spoorwegovergang,N307, ,Spoorwegovergang, ,0, ,313,313,313,313, ,1,0,0,0,0, ,2441,4473,0,13046,13043,0,1,1,0, , ,0,0,0,0,,POINT (132342.56159999967 520544.8933000006)
