OBJECTID,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,SUBTYPE,DROOGVALLEND,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,TIJDSTIP_REGISTRATIE,Shape__Area,Shape__Length
1,W0539,Waterschap De Dommel,bestaand,0,"oever, slootkant",,350.848,283,,2019/10/07 17:18:51+00,350.8481555,828.371177390896
2,G1658,Heeze-Leende,bestaand,0,"oever, slootkant",,60.647,283,,2017/12/27 16:37:53+00,60.646362305,215.443064365983
3,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,1934.937,283,,2022/06/28 08:11:40+00,1934.93548079,3337.01457013967
4,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,546.625,283,,2020/11/02 04:55:34+00,546.6252715,628.318646781263
5,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,81.464,283,,2016/02/29 13:47:12+00,81.4639615,123.728935744539
6,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,5638.038,283,,2020/11/02 04:55:34+00,5637.733866315,7773.02680029077
7,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,65.32,283,,2016/02/29 13:47:12+00,65.31774352,170.415747803697
8,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,78.818,283,,2016/02/29 13:47:12+00,78.81893908,118.876658517286
9,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,130.935,283,,2016/02/29 13:47:12+00,130.9348545,204.612973147914
10,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,467.991,283,,2022/01/26 10:23:26+00,467.98804435,939.290785483503
11,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,129.084,283,,2016/02/29 13:47:12+00,129.084382005,282.753999886666
12,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,295.9,283,,2016/02/29 13:47:12+00,295.900221,612.837615840982
13,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,511.563,283,,2016/02/29 13:47:12+00,511.58058175,765.514931800685
14,G1719,Drimmelen,bestaand,0,"oever, slootkant",,143.705,283,,2020/11/18 11:33:10+00,143.70630066,234.645701574927
15,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,11.743,283,,2016/02/29 13:47:12+00,11.74342893,41.9359736569795
16,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,152.847,283,,2016/02/29 13:47:12+00,152.8474025,218.861767463144
17,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,1190.523,283,,2016/02/29 13:47:12+00,1190.5232925,1854.13130156093
18,G1719,Drimmelen,bestaand,0,"oever, slootkant",,583.431,283,,2016/02/29 13:47:12+00,583.10628426,321.893958427418
19,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,30.426,283,,2016/02/29 13:47:12+00,30.426312,65.8768420453893
20,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,835.53,283,,2022/01/26 10:23:26+00,835.5298525,1875.88122014356
21,G1719,Drimmelen,bestaand,0,"oever, slootkant",,185.328,283,,2016/02/29 13:47:12+00,185.328253,231.918742664602
22,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,905.995,283,,2016/03/28 12:23:24+00,905.995181,1392.83873466549
23,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,47.39,283,,2022/12/09 08:33:03+00,47.3897465,117.061302763878
24,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,35.304,283,,2016/03/28 12:25:37+00,35.3036085,75.0158098619364
25,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,85.88,283,,2016/03/28 12:24:58+00,85.8795145,173.189443212213
26,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,16.253,283,,2016/03/28 12:26:02+00,16.253159,34.4365591604671
27,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,0.732,283,,2016/03/28 12:26:52+00,0.7319475,4.12160946763889
28,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,992.607,283,,2018/07/26 08:18:40+00,992.6067205,1664.79289328114
29,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,309.717,283,,2016/04/21 13:24:07+00,309.7169925,700.944465020034
30,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,914.954,283,,2016/04/21 13:24:07+00,914.9541735,1298.6405385585
31,G1658,Heeze-Leende,bestaand,0,"oever, slootkant",,483.219,283,,2021/06/10 08:52:48+00,483.2193915,422.529413076706
32,G1658,Heeze-Leende,bestaand,0,"oever, slootkant",,293.882,283,,2016/04/04 16:17:31+00,293.881859,645.643399363177
33,W0539,Waterschap De Dommel,bestaand,0,"oever, slootkant",,629.773,283,,2022/02/02 09:19:13+00,629.773485,1494.66371803316
34,W0654,Waterschap Aa en Maas,bestaand,0,"oever, slootkant",,88.683,283,,2015/08/06 14:48:04+00,88.6835,142.448771075734
35,W0654,Waterschap Aa en Maas,bestaand,0,"oever, slootkant",,63.613,283,,2018/08/17 13:03:28+00,63.613214,132.204941754072
36,W0654,Waterschap Aa en Maas,bestaand,0,"oever, slootkant",,861.938,283,,2023/01/02 13:24:18+00,861.938199,3268.949114427
37,W0654,Waterschap Aa en Maas,bestaand,0,"oever, slootkant",,508.995,283,,2018/08/17 13:03:28+00,508.9949125,823.701592679355
38,W0654,Waterschap Aa en Maas,bestaand,0,"oever, slootkant",,210.481,283,,2018/08/17 13:03:28+00,210.481112,352.260054676368
39,G0828,Oss,bestaand,0,"oever, slootkant",,75.294,283,,2015/11/06 13:33:24+00,75.294148,352.862333416861
40,W0654,Waterschap Aa en Maas,bestaand,0,"oever, slootkant",,365.431,283,,2018/08/17 13:03:28+00,365.4309685,479.80898298033
41,G0828,Oss,bestaand,0,"oever, slootkant",,43.116,283,,2022/01/20 15:20:32+00,43.116246,80.4393186002813
42,G0828,Oss,bestaand,0,"oever, slootkant",,51.511,283,,2015/11/06 13:33:24+00,51.510679,258.74345268555
43,G1719,Drimmelen,bestaand,0,"oever, slootkant",,99.278,283,,2017/03/17 10:55:51+00,99.3540897,167.657724480889
44,W0539,Waterschap De Dommel,bestaand,0,"oever, slootkant",,39.246,283,,2021/05/03 09:23:08+00,39.246245,117.939776095866
45,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,"oever, slootkant",,185.863,283,,2020/11/20 00:37:23+00,185.862918,372.815539583129
46,G1982,Land van Cuijk,bestaand,0,"oever, slootkant",,107.128,283,,2022/01/17 10:45:22+00,107.128166,116.089036122725
47,G1982,Land van Cuijk,bestaand,0,"oever, slootkant",,1188.83,283,,2022/01/17 10:45:20+00,1188.830303,1699.74912294808
48,W0654,Waterschap Aa en Maas,bestaand,0,"oever, slootkant",,346.188,283,,2021/07/08 08:30:26+00,346.190263985,732.157500324821
49,G1982,Land van Cuijk,bestaand,0,"oever, slootkant",,86.12,283,,2022/01/17 10:45:20+00,86.119806,232.722371942125
50,G1982,Land van Cuijk,bestaand,0,"oever, slootkant",,368.155,283,,2022/01/17 10:45:20+00,368.155061,524.374258647487
51,G1982,Land van Cuijk,bestaand,0,"oever, slootkant",,18.059,283,,2022/01/17 10:45:21+00,18.0590705,91.1781244146347
52,W0654,Waterschap Aa en Maas,bestaand,0,"oever, slootkant",,4752.198,283,,2021/07/07 10:24:00+00,4752.197954,6453.24658452125
53,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,385.971,283,,2020/12/14 07:31:16+00,385.971375,731.28787679325
54,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,115.684,283,,2016/02/29 13:44:48+00,115.68263275,217.480317688459
55,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,1965.08,283,,2020/11/06 11:46:54+00,1965.06107779,3617.20326990567
56,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,1324.347,283,,2022/10/06 15:16:36+00,1324.3473115,822.594450151751
57,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,256.959,283,,2016/02/29 13:44:48+00,256.927136715,168.41712644689
58,G1719,Drimmelen,bestaand,0,"oever, slootkant",,773.862,283,,2016/02/29 13:44:48+00,773.890645695,783.70906164582
59,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,399.586,283,,2016/04/09 12:53:36+00,399.5861175,632.933068123694
60,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,106.447,283,,2022/01/21 11:45:46+00,106.446661,157.769328707384
61,G1719,Drimmelen,bestaand,0,"oever, slootkant",,1128.966,283,,2020/11/24 13:08:17+00,1128.96783444,1446.58870346877
62,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,1357.998,283,,2018/07/17 14:10:17+00,1357.997818,1837.62175459169
63,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,175.904,283,,2021/11/22 04:01:12+00,175.20222663,262.144522222628
64,W0652,Waterschap Brabantse Delta,bestaand,0,"oever, slootkant",,438.269,283,,2016/02/29 13:44:48+00,438.256890345,437.095006147229
65,W0539,Waterschap De Dommel,bestaand,0,"oever, slootkant",,2162.25,283,,2021/06/26 19:30:06+00,2162.23731583,2689.02434603667
66,W0654,Waterschap Aa en Maas,bestaand,0,"oever, slootkant",,285.997,283,,2015/11/09 12:51:47+00,285.971649015,554.067798517858
67,W0539,Waterschap De Dommel,bestaand,0,"oever, slootkant",,1341.991,283,,2015/11/09 12:51:47+00,1341.9912725,1664.68172699176
68,G1982,Land van Cuijk,bestaand,0,"oever, slootkant",,101.834,283,,2022/01/17 10:45:19+00,101.833663,126.271003502528
69,G1982,Land van Cuijk,bestaand,0,"oever, slootkant",,150.545,283,,2022/01/17 10:45:19+00,150.5449005,142.430104436781
70,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,40.252,283,,2016/03/28 12:25:31+00,40.2524755,83.0066880480978
71,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,17.558,283,,2016/03/28 12:25:59+00,17.5583965,43.0061588739627
72,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,54.594,283,,2016/03/28 12:25:18+00,54.594477,95.9219888464281
73,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,105.26,283,,2016/03/28 12:24:48+00,105.259549,206.262020263506
74,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,38.11,283,,2016/03/28 12:25:33+00,38.110115,61.340944373603
75,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,88.056,283,,2016/03/28 12:24:57+00,88.056046,96.1491155012759
76,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,281.071,283,,2016/03/28 12:24:02+00,281.071417,469.661141238686
