Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;Eindtotaal
360 international Media BV;1;;1
A. Rietveld Boekbinderij;1;;1
Abonnementenland;1;;1
Acato;;1;1
Accountor Nederland B.V.;1;;1
Acquire Publishing B.V.;1;;1
AD NieuwsMedia B.V.;1;;1
Adfo Groep B.V.;1;;1
Adviesbureau Hollander en van der Mey B.V.;;2;2
Adviesbureau Reit;1;;1
Adviesbureau Reit B.V.;1;;1
advocaat karstanje;1;;1
Afdeling Reclame;;1;1
AG Connect B.V.;1;;1
Agrio Uitgeverij B.V.;1;;1
Albert-Schweitzergroep - Scouts Troep;1;;1
Aldipress;1;;1
Amsio Holding;1;;1
Andersson Elffers Felix;1;;1
Andree Troost Geluid- en Beeldtechniek;;1;1
anoniem;1;1;1
ANP BV;1;;1
ANP Photo;1;1;1
ANWB B.V.;1;;1
Arap Relatiegeschenken B.V.;;1;1
Arenda Oomen Fotografie;1;;1
Aris gebruikers NL;1;;1
Arjenprinsfotografie;;1;1
Arno Ouwejan Media & Design;;1;1
Atelier Kloosterman Boekbinders B.V.;1;;1
Athenaeum Boekhandel B.V.;1;;1
Autotelex B.V.;1;;1
Avetica B.V.;1;;1
Axiell ALM Netherlands B.V.;1;;1
B.V. Algemeen Nederlands Persbureau ANP;3;2;3
B.V. Nederlands Onderwijs Instituut;1;;1
B.V. Uitgeverij SWP;1;;1
B+B Vakmedianet B.V.;2;;2
Bas van Maanen;;1;1
BBK/Door Vriendschap Sterker B.V.;;4;4
Beeldleveranciers Coöperatief UA;;1;1
Beroepsver. van Professionals in Sociaal Werk;;1;1
Beroepsvereniging voor Public Affairs (Bvpa);1;;1
Bèta Publishers B.V.;1;;1
Betapress B.V.;1;;1
Beurtvaartadres document B.V.;1;;1
Bibliotheek Haarlem centrum;1;;1
BIM Media B.V.;2;;2
Binnenlands Bestuur B.V.;1;;1
BKFF bas kijzers fotografie en film;;1;1
Blendle B.V.;1;;1
Bobbe International B.V.;3;;3
Boekbinderij Van Dijk B.V.;1;;1
Boekencentrum B.V.;1;;1
