OBJECTID,ID,LOKATIE_CONTOURNR,LOKATIE_OMS,LOKATIENR,LOKATIECODE,LOKATIENAAM,OPMERKING,CONTOURTYPE,CONTOURTYPEKODE,CATEGORIE,CONTOURCATEGORIEKODE,LOKATIECATEGORIE_OMS,CONTOUROVERSCHRKODE,CONTOUROVERSCHR_OMS,OPPERVLAKTE,VOLUME,TRAJECT_START,TRAJECT_EIND,DATUM,SHAPESTArea,SHAPESTLength
1,928612,,VAN VERSCHUERPLEIN / VAN VERSCHUERSTRAAT,,2646,AA020202646,"Spotje zware metalen, gesaneerd in 2011, zie 2646.46.01",Saneringscontour,SAN,Grond,,,,,,,0,1,,8.1803895,11.6427675194832
2,928607,,VAN VERSCHUERPLEIN / VAN VERSCHUERSTRAAT,,2646,AA020202646,"2646.35.01, spot uit NO, zw.metalen, niet ernstig. Gesaneerd, niet meer ingetekend.",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,1,,5.8089905,9.00807205760813
3,924550,,VELPERWEG 101B/VAN DER DUYN VAN MAASDAMLAAN 2,,0181,AA020200181,"Loodspots in bovengrond, uit 0181.33.02.",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,0,,20.947736675,19.2251304736148
4,924548,,VELPERWEG 101B/VAN DER DUYN VAN MAASDAMLAAN 2,,0181,AA020200181,"Minerale olie, restverontreiniging uit 330181-01.",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,6,9,,4.42070314,7.77430008110679
5,920331,,APELDOORNSEWEG 203 (TERLET),,0104,AA020200104,"Minerale olie tpv garage, uit NO 26505500-C",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,0,,6.73858436,10.0031855103991
6,920332,,APELDOORNSEWEG 203 (TERLET),,0104,AA020200104,"Minerale olie tpv lier-installatie, uit NO 26505500-C",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,0,,58.63565129,30.8744248366955
7,915139,,SIMON STEVINWEG 15,,1953,AA020201953,Kern >I,Saneringscontour,SAN,Grond,,,,,172,180,,,,171.7241645,59.6006136240517
8,907590,,JP VAN MUIJLWIJKSTRAAT/TUINSTRAAT/BLOEMSTRAAT,,1093,AA020201093,"Lood, spot uit VO 25519293",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,1,,6.1403465,9.53163121002463
9,907589,,JP VAN MUIJLWIJKSTRAAT/TUINSTRAAT/BLOEMSTRAAT,,1093,AA020201093,"Lood, spot uit VO 25519293",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,0,,7.990998,10.9379187549199
10,907588,,JP VAN MUIJLWIJKSTRAAT/TUINSTRAAT/BLOEMSTRAAT,,1093,AA020201093,"Lood, PAK, MO, spot uit VO 25519293, niet ingetekend.",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,1,,5.9185505,9.23474937771555
11,905349,,WESTEINDE 6 / STEENSTRAAT 101-103 (RITAX),,0262,AA020200262,sanering olieverontreiniging thv pompeiland,Saneringscontour,SAN,Grond,,,,,,,2,3,,8.4344705,10.7066860185156
12,897274,,ZEEGSINGEL/KOPPELSTRAAT,,0253,AA020200253,"PAK, niet ernstig, uit VO 0253.33.05",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,1,1,,3.275897775,6.99647195985891
13,865715,,HOMMELSEWEG 169,,0218,AA020200218,Per in GW thv peilbuis 17 / 3. Laatste bemonstering in 2013 > T,Verontreinigingscontour (niet beschikt),VERO,Grondwater,,,,I,,,14,17,,3.21631568,6.59938949209249
14,865717,,HOMMELSEWEG 169,,0218,AA020200218,"PAK > I, div.spots",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,1,,34.668847,34.2189442364353
15,6274812,,VEERWEG NAAR WESTERVOORT,,0006,AA020200006,"Minerale olie, spotje uit 4997.33.01",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,0,,7.938,10.5134891450698
16,859625,,VELDOVEN 3,,0647,AA020200647,"Minerale olie, ook in grond. Niet ernstig vlgs NO in 2015.",Verontreinigingscontour (niet beschikt),VERO,Grondwater,,,,I,,,0,2,,3.14360313,6.51388384124402
17,838989,,KERKSTRAAT 31,,1819,AA020201819,"21518100, loodspot. Nog vervolgonderzoek nodig.",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,1,1,,1.0329985,3.76888295168236
18,837015,,NAELL TYNNEGIETERSTRAAT 8 / HOMMELSEWEG 231,,0663,AA020200663,"0663.33.04, contour uit VO, lood/PAK, niet ernstig (op perceel)",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,32,16,0,0,,10.3246965,12.5947262452406
19,836625,,SLOETSTRAAT 1-3,,0386,AA020200386,"0386.35.01, contour uit NO, lood/zink, niet ernstig",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,10,0,0,,12.2034285,16.3696282290329
20,836628,,SLOETSTRAAT 1-3,,0386,AA020200386,"0386.35.01, contour uit NO, lood/zink, niet ernstig",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,10,0,0,,8.098286,11.1754349623116
21,835593,,PARKSTRAAT 36,,0381,AA020200381,loodspot uit 0381.33.01.,Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,0,,8.528167875,12.3355977015891
22,824769,,LEKSTRAAT 2,,2677,AA020202677,"Lood, koper, nikkel , spotje uit 5491.33.02, niet ernstig",Saneringscontour,SAN,Grond,,,,,,,1,1,,1.2407384,4.13719237116911
23,812401,,IJSSELLAAN 89,,3903,AA020203903,,Saneringscontour,SAN,Grond,,,,,64,,0,0,,11.69921755,20.491039044553
24,812403,,IJSSELLAAN 89,,3903,AA020203903,,Saneringscontour,SAN,Grond,,,,,147,,0,0,,13.8741828,29.3206607383324
25,812402,,IJSSELLAAN 89,,3903,AA020203903,,Saneringscontour,SAN,Grond,,,,,109,,0,0,,29.5057635,28.3950697489783
26,778484,,KONINGSPLEIN 13 / EUSEBIUSBINNENSINGEL 3-6,,0306,AA020200306,"330306-01, cadmiumspot",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,0,,5.7074125,8.6820674018641
27,777120,,STEENSTRAAT 58/SPIJKERLAAN,,0936,AA020200936,"MO-verontreiniging a.g.v. lekkage tank, deels gesaneerd, evaluatie: 0936.46.01",Saneringscontour,SAN,Grond,,,,,15,22,0,1,,14.3997965,14.6677431293015
28,777118,,STEENSTRAAT 58/SPIJKERLAAN,,0936,AA020200936,"Geschatte contour MO-verontreiniging a.g.v. lekkage tank, deels gesaneerd, restverontreiniging onder pand.",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,10,0,2,,26.2621705,20.1402082330246
29,776442,,SCHELMSEWEG 85 / ANTON VAN HOOFFPLEIN 1 (BURGERS ZOO),,0221,AA020200221,"Lood tpv mestopslag, spot uit 330293-02.
Indicatief",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,0,,10.019389945,14.9609220235021
30,776441,,SCHELMSEWEG 85 / ANTON VAN HOOFFPLEIN 1 (BURGERS ZOO),,0221,AA020200221,"PAK tpv mestopslag, spot uit 330293-02. Indicatief.",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,0,,3.837161405,7.22115515169503
31,773204,,DULLERTSTRAAT 1 / EMMASTRAAT 33,,3669,AA020203669,"metalen > I, spots uit NO 2669.35.01",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,,,,2.8797755,8.82875694655933
32,752202,,BURG. WEERTSSTRAAT 126-144 / AMSTERDAMSEWEG 196-202,,0370,AA020200370,"Minerale olie en xylenen, spot uit VO 0370.33.01, niet ernstig",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,2,3,,0.4198715,2.39378093889006
33,748996,,RIJNKADE 43-46,,0666,AA020200666,"Lood, spotje uit 3931.33.03",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,1,,2.22211059,5.55664457493914
34,746682,,BAKENBERGSEWEG 18,,0638,AA020200638,"Lood tpv vml werkplaats, uit 330638-01. Nog vervolg nodig.",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,0,,0.894036,3.53894398122025
35,742591,,MARKT,,2713,AA020202713,"Lood/zinkspot thv nr 16, onder verharding, uit VO 2723.33.02",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,,,,16.767492115,16.7355329983558
36,732129,,SINT JANSKERKSTRAAT 80,,2537,AA020202537,"min.olie spot, contour uit VO 21567900, gesaneerd in 1999.",Saneringscontour,SAN,Grond,,,,,,,0,0,,2.470978125,6.69973841187498
37,728388,,GROENE WEIDE 35-37 (GARAGEBEDRIJF),,0100,AA020200100,<100 M3,Verontreinigingscontour (niet beschikt),VERO,Grondwater,,,,I,12,,2,3,,12.3354,13.2924735910684
38,718480,,KLARENDALSEWEG 271 (GARAGEBEDRIJF),,0078,AA020200078,"PAK uit VO 330078-01, ook matig lood.",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,0,0,,39.957592655,27.0504468915819
39,718486,,KLARENDALSEWEG 271 (GARAGEBEDRIJF),,0078,AA020200078,"Minerale olie, uit 33078-01. Status onduidelijk.",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,,,,10.00914719,12.9267797178901
40,714007,,OUDE KRAAN 24-26,,0308,AA020200308,"0308.35.02, contour uit NO
niet-ernstig",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,15,5,1,1,,9.410294,11.8580059917434
41,694906,,SIMON STEVINWEG 6,,0670,AA020200670,"Minerale olie in GW, beschikking niet-ernstig geval via 0670.51.01. Garage CITAM tpv opslagplaats. Sanering op natuurlijk moment.",Verontreinigingscontour (niet beschikt),VERO,Grondwater,,,,I,,30,2,3,,4.502536205,7.83184228346215
42,694910,,SIMON STEVINWEG 6,,0670,AA020200670,"Minerale olie en xylenen in grond, uit onderzoek 0670.33.02. Tpv afvoer olie/waterafscheider. Niet ernstig.",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,12,0,1,,4.576029095,8.49138518448303
43,694912,,SIMON STEVINWEG 6,,0670,AA020200670,"Lood in GW, beschikking niet-ernstig geval via 0670.51.01. Garage CITAM, tpv wasplaats. Sanering op natuurlijk moment.",Verontreinigingscontour (niet beschikt),VERO,Grondwater,,,,I,,,,,,4.18039451,7.56033975462102
44,693530,,WESTERVOORTSEDIJK 74-84,,0621,AA020200621,"Lood>I, niet ernstig, uit 330621-01 en 350621-01",Verontreinigingscontour (niet beschikt),VERO,Grond,,,,I,,,,,,11.36118,17.5703368545825
45,689352,,JACHTHOORNLAAN 2,,0619,AA020200619,"restverontreiniging na sanering (MO) Diepte van 1,00m tot 1,50m",Restverontreinigingscontour,REV,Grond,,,,S,,,,,,1.5022145,4.95112059816634
