nummer;gebied;onderwerp;aangemaakt;gewijzigd;buurt;geo_shape;locatie_ter_hoogte_van;wijkcode;stadsdeelcode_;wijknaam;stadsdeelnaam;geo_point_2d
990552488;4-Woensel-Zuid;6.1 Illegale stort;2019-03-04T19:18:00+00:00;2019-03-05T10:10:00+00:00;BU07721431;"{""coordinates"": [5.482127718906824, 51.45779265853218], ""type"": ""Point""}";Generaal Knooplaan 125;43;4;Wijk Begijnenbroek;Stadsdeel Woensel-Zuid;51.45779265853218, 5.482127718906824
990552444;6-Strijp;12.8 Bushokje;2019-03-04T14:56:00+00:00;2019-03-05T10:49:00+00:00;BU07721626;"{""coordinates"": [5.416190531600791, 51.462939198070316], ""type"": ""Point""}";Anthony Fokkerweg 150;62;6;Wijk Halve Maan;Stadsdeel Strijp;51.462939198070316, 5.416190531600791
990552544;2-Stratum;14.2 Tegels en klinkers;2019-03-05T10:45:00+00:00;2019-03-05T10:53:00+00:00;BU07721217;"{""coordinates"": [5.481343567800107, 51.426556241638984], ""type"": ""Point""}";Alberdingk Thijmlaan;21;2;Wijk Oud-Stratum;Stadsdeel Stratum;51.426556241638984, 5.481343567800107
990552538;1-Centrum;9.3 Zwerfvuil;2019-03-05T09:56:00+00:00;2019-03-05T11:00:00+00:00;BU07721611;"{""coordinates"": [5.468445991060411, 51.4359043323086], ""type"": ""Point""}";Julianastraat 39;61;6;Wijk Oud-Strijp;Stadsdeel Strijp;51.4359043323086, 5.468445991060411
990552546;3-Tongelre;6.1 Illegale stort;2019-03-05T10:47:00+00:00;2019-03-05T11:12:00+00:00;BU07721328;"{""coordinates"": [5.531110029317026, 51.434236667902354], ""type"": ""Point""}";Orgelplein 14;32;3;Wijk Doornakkers;Stadsdeel Tongelre;51.434236667902354, 5.531110029317026
990552535;4-Woensel-Zuid;6.1 Illegale stort;2019-03-05T09:48:00+00:00;2019-03-05T11:13:00+00:00;BU07721412;"{""coordinates"": [5.475359757156919, 51.4475346718813], ""type"": ""Point""}";Kruisstraat 69;41;4;Wijk Oud-Woensel;Stadsdeel Woensel-Zuid;51.4475346718813, 5.475359757156919
990552542;3-Tongelre;6.1 Illegale stort;2019-03-05T10:34:00+00:00;2019-03-05T11:15:00+00:00;BU07721328;"{""coordinates"": [5.5236468658697895, 51.43310386079212], ""type"": ""Point""}";Kanaaldijk-Noord;32;3;Wijk Doornakkers;Stadsdeel Tongelre;51.43310386079212, 5.5236468658697895
990552466;1-Centrum;12.11 Overig;2019-03-04T16:45:00+00:00;2019-03-05T11:17:00+00:00;BU07721112;"{""coordinates"": [5.478105335077471, 51.43634618380287], ""type"": ""Point""}";Wal 2;11;1;Wijk Centrum;Stadsdeel Centrum;51.43634618380287, 5.478105335077471
990552554;3-Tongelre;6.1 Illegale stort;2019-03-05T11:11:00+00:00;2019-03-05T11:50:00+00:00;BU07721211;"{""coordinates"": [5.486733275234245, 51.434680983344386], ""type"": ""Point""}";Tongelresestraat 1;21;2;Wijk Oud-Stratum;Stadsdeel Stratum;51.434680983344386, 5.486733275234245
990552571;1-Centrum;5.2 Graffiti op particulier eigendom;2019-03-05T12:19:00+00:00;2019-03-05T12:57:00+00:00;BU07721112;"{""coordinates"": [5.474658018822335, 51.43620677343604], ""type"": ""Point""}";Kleine Berg 63;11;1;Wijk Centrum;Stadsdeel Centrum;51.43620677343604, 5.474658018822335
990551455;7-Gestel;10.1 Riolering;2019-02-26T21:26:00+00:00;2019-03-14T13:16:00+00:00;BU07721711;"{""coordinates"": [5.4705688550097165, 51.4273636920345], ""type"": ""Point""}";Jan van Heelustraat 9;71;7;Wijk Rozenknopje;Stadsdeel Gestel;51.4273636920345, 5.4705688550097165
990551580;7-Gestel;12.7 Hekwerk;2019-02-27T12:39:00+00:00;2019-03-14T13:17:00+00:00;BU07721725;"{""coordinates"": [5.453340630665355, 51.419782997247296], ""type"": ""Point""}";Tinelstraat 100;72;7;Wijk Oud-Gestel;Stadsdeel Gestel;51.419782997247296, 5.453340630665355
990551527;7-Gestel;12.5 Afvalbakken;2019-02-27T10:58:00+00:00;2019-03-14T13:17:00+00:00;BU07721724;"{""coordinates"": [5.462392848621312, 51.42276069595555], ""type"": ""Point""}";Bennekelstraat 15;72;7;Wijk Oud-Gestel;Stadsdeel Gestel;51.42276069595555, 5.462392848621312
990552783;7 - Gestel;12.11 Overig;2019-03-06T13:49:00+00:00;2019-03-14T13:17:00+00:00;BU07721725;"{""coordinates"": [5.455835951507541, 51.41668279733112], ""type"": ""Point""}";Locatellistraat;72;7;Wijk Oud-Gestel;Stadsdeel Gestel;51.41668279733112, 5.455835951507541
990552689;7-Gestel;12.5 Afvalbakken;2019-03-06T09:45:00+00:00;2019-03-14T13:17:00+00:00;BU07721721;"{""coordinates"": [5.455486812674324, 51.42560669535061], ""type"": ""Point""}";Schubertlaan 47;72;7;Wijk Oud-Gestel;Stadsdeel Gestel;51.42560669535061, 5.455486812674324
990552099;4-Woensel-Zuid;14.2 Tegels en klinkers;2019-03-01T15:01:00+00:00;2019-03-15T11:12:00+00:00;BU07721435;"{""coordinates"": [5.494710727759754, 51.465403645228946], ""type"": ""Point""}";Remuslaan 52;43;4;Wijk Begijnenbroek;Stadsdeel Woensel-Zuid;51.465403645228946, 5.494710727759754
990551614;4-Woensel-Zuid;10.1 Riolering;2019-02-27T13:50:00+00:00;2019-03-15T11:13:00+00:00;BU07721435;"{""coordinates"": [5.494493756529849, 51.46025565097878], ""type"": ""Point""}";Aeneaslaan 34;43;4;Wijk Begijnenbroek;Stadsdeel Woensel-Zuid;51.46025565097878, 5.494493756529849
990551474;10-Woensel-Noord 2;13.1 Straatverlichting;2019-02-27T07:27:00+00:00;2019-04-02T15:25:00+00:00;BU07721113;"{""coordinates"": [5.47451769945342, 51.44033018087172], ""type"": ""Point""}";Tondeldoos p1;11;1;Wijk Centrum;Stadsdeel Centrum;51.44033018087172, 5.47451769945342
990552889;10-Woensel-Noord 2;13.1 Straatverlichting;2019-03-07T09:00:00+00:00;2019-04-02T15:25:00+00:00;BU07721532;"{""coordinates"": [5.475511786135461, 51.47818533702762], ""type"": ""Point""}";Ronsepad p6;53;5;Wijk Aanschot;Stadsdeel Woensel-Noord;51.47818533702762, 5.475511786135461
770450220;5 - Woensel-Noord 1;4.2-Kapotte armaturen/aanrijdschades (openbare ver;2019-02-28T23:56:00+00:00;2019-04-02T15:25:00+00:00;BU07721511;"{""coordinates"": [5.448454112309108, 51.47342885497254], ""type"": ""Point""}";Atletieklaan p78;51;5;Wijk Ontginning;Stadsdeel Woensel-Noord;51.47342885497254, 5.448454112309108
990552635;3-Tongelre;13.1 Straatverlichting;2019-03-05T17:03:00+00:00;2019-04-02T15:25:00+00:00;BU07721328;"{""coordinates"": [5.520966481998353, 51.437679768133364], ""type"": ""Point""}";Dirigentplein p14;32;3;Wijk Doornakkers;Stadsdeel Tongelre;51.437679768133364, 5.520966481998353
990552313;5-Woensel-Noord 1;13.1 Straatverlichting;2019-03-03T23:13:00+00:00;2019-04-02T15:25:00+00:00;BU07721512;"{""coordinates"": [5.452812072873869, 51.46449626175718], ""type"": ""Point""}";Di Cambioweg p1;51;5;Wijk Ontginning;Stadsdeel Woensel-Noord;51.46449626175718, 5.452812072873869
990503762;2-Stratum;6.1 Illegale stort;2018-06-25T20:30:00+00:00;2018-06-29T11:28:00+00:00;BU07721233;"{""coordinates"": [5.498976962139896, 51.426295687985075], ""type"": ""Point""}";St Adelbertuslaan 1;23;2;Wijk Putten;Stadsdeel Stratum;51.426295687985075, 5.498976962139896
990503895;2-Stratum;9.5 Bladafval;2018-06-26T14:20:00+00:00;2018-06-29T14:33:00+00:00;BU07721236;"{""coordinates"": [5.499757979489085, 51.4225646899255], ""type"": ""Point""}";Korianderstraat 2;23;2;Wijk Putten;Stadsdeel Stratum;51.4225646899255, 5.499757979489085
990504224;6-Strijp;12.11 Overig;2018-06-27T23:20:00+00:00;2018-06-29T15:46:00+00:00;BU07721625;"{""coordinates"": [5.4452021322312, 51.449034221376294], ""type"": ""Point""}";Diodehof;62;6;Wijk Halve Maan;Stadsdeel Strijp;51.449034221376294, 5.4452021322312
990504339;5-Woensel-Noord 1;7.2 Aanhangers of caravans;2018-06-28T15:40:00+00:00;2018-06-30T11:01:00+00:00;BU07721513;"{""coordinates"": [5.463422155590856, 51.47447184626278], ""type"": ""Point""}";Reinaertlaan 37;51;5;Wijk Ontginning;Stadsdeel Woensel-Noord;51.47447184626278, 5.463422155590856
990504102;4-Woensel-Zuid;7.9 Minicontainers staan te lang op straat;2018-06-27T12:17:00+00:00;2018-06-30T11:20:00+00:00;BU07721421;"{""coordinates"": [5.458736348750126, 51.4551063697589], ""type"": ""Point""}";Juliusstraat 21;42;4;Wijk Erp;Stadsdeel Woensel-Zuid;51.4551063697589, 5.458736348750126
990503760;4-Woensel-Zuid;7.12 Overig;2018-06-25T20:17:00+00:00;2018-06-30T13:15:00+00:00;BU07721413;"{""coordinates"": [5.475025125988163, 51.44885840062958], ""type"": ""Point""}";Weverstraat 66;41;4;Wijk Oud-Woensel;Stadsdeel Woensel-Zuid;51.44885840062958, 5.475025125988163
990504113;3-Tongelre;7.2 Aanhangers of caravans;2018-06-27T12:37:00+00:00;2018-06-30T13:27:00+00:00;BU07721333;"{""coordinates"": [5.522118060770863, 51.44296406220261], ""type"": ""Point""}";Heerkensveld 14;33;3;Wijk Oud-Tongelre;Stadsdeel Tongelre;51.44296406220261, 5.522118060770863
990552083;6-Strijp;9.6 Straatvegen;2019-03-01T14:08:00+00:00;2019-03-05T14:17:00+00:00;BU07721635;"{""coordinates"": [5.402307998669662, 51.439404658601674], ""type"": ""Point""}";Waterfront;63;6;Wijk Meerhoven;Stadsdeel Strijp;51.439404658601674, 5.402307998669662
990552609;5-Woensel-Noord 1;6.4 (Brom) fietswrak;2019-03-05T14:47:00+00:00;2019-03-05T14:50:00+00:00;BU07721531;"{""coordinates"": [5.4557205045374735, 51.48058364447851], ""type"": ""Point""}";Huizingalaan;53;5;Wijk Aanschot;Stadsdeel Woensel-Noord;51.48058364447851, 5.4557205045374735
990551389;6-Strijp;12.1 Verkeersbord;2019-02-26T15:18:00+00:00;2019-03-05T15:04:00+00:00;BU07721612;"{""coordinates"": [5.464239748177642, 51.44242068203528], ""type"": ""Point""}";Annastraat 2;61;6;Wijk Oud-Strijp;Stadsdeel Strijp;51.44242068203528, 5.464239748177642
990552600;4-Woensel-Zuid;6.1 Illegale stort;2019-03-05T14:25:00+00:00;2019-03-05T15:24:00+00:00;BU07721411;"{""coordinates"": [5.4645347138671765, 51.44817567560915], ""type"": ""Point""}";Swammerdamstraat 14;41;4;Wijk Oud-Woensel;Stadsdeel Woensel-Zuid;51.44817567560915, 5.4645347138671765
990552605;4-Woensel-Zuid;6.1 Illegale stort;2019-03-05T14:35:00+00:00;2019-03-05T15:26:00+00:00;BU07721410;"{""coordinates"": [5.470280759743902, 51.44400067817418], ""type"": ""Point""}";Roosje Vosstraat 34;41;4;Wijk Oud-Woensel;Stadsdeel Woensel-Zuid;51.44400067817418, 5.470280759743902
990552614;6-Strijp;6.1 Illegale stort;2019-03-05T14:56:00+00:00;2019-03-05T15:29:00+00:00;BU07721624;"{""coordinates"": [5.4478616782036555, 51.44537568315607], ""type"": ""Point""}";Noord Brabantlaan 2;62;6;Wijk Halve Maan;Stadsdeel Strijp;51.44537568315607, 5.4478616782036555
990552601;4-Woensel-Zuid;6.1 Illegale stort;2019-03-05T14:27:00+00:00;2019-03-05T15:31:00+00:00;BU07721411;"{""coordinates"": [5.465632723001626, 51.44728167586137], ""type"": ""Point""}";Nieuwlandstraat 14;41;4;Wijk Oud-Woensel;Stadsdeel Woensel-Zuid;51.44728167586137, 5.465632723001626
