jaar;variabele;gem;SD;bron
2050;BEV0_17_PROG_P;16.5;5.113;sdbc
2049;BEV0_17_PROG_P;16.5;5.146;sdbc
2048;BEV0_17_PROG_P;16.5;5.161;sdbc
2047;BEV0_17_PROG_P;16.6;5.195;sdbc
2046;BEV0_17_PROG_P;16.5;5.222;sdbc
2045;BEV0_17_PROG_P;16.5;5.235;sdbc
2044;BEV0_17_PROG_P;16.5;5.273;sdbc
2043;BEV0_17_PROG_P;16.5;5.299;sdbc
2042;BEV0_17_PROG_P;16.4;5.322;sdbc
2041;BEV0_17_PROG_P;16.4;5.345;sdbc
2040;BEV0_17_PROG_P;16.3;5.379;sdbc
2039;BEV0_17_PROG_P;16.3;5.389;sdbc
2038;BEV0_17_PROG_P;16.2;5.404;sdbc
2037;BEV0_17_PROG_P;16.1;5.425;sdbc
2036;BEV0_17_PROG_P;16.1;5.441;sdbc
2035;BEV0_17_PROG_P;16.0;5.462;sdbc
2034;BEV0_17_PROG_P;16.0;5.473;sdbc
2033;BEV0_17_PROG_P;15.9;5.493;sdbc
2032;BEV0_17_PROG_P;15.9;5.507;sdbc
2031;BEV0_17_PROG_P;15.9;5.494;sdbc
2030;BEV0_17_PROG_P;15.9;5.489;sdbc
2029;BEV0_17_PROG_P;15.9;5.459;sdbc
2028;BEV0_17_PROG_P;16.0;5.421;sdbc
2027;BEV0_17_PROG_P;16.1;5.404;sdbc
2026;BEV0_17_PROG_P;16.1;5.41;sdbc
2025;BEV0_17_PROG_P;16.2;5.406;sdbc
2024;BEV0_17_PROG_P;16.3;5.43;sdbc
2023;BEV0_17_PROG_P;16.4;5.529;sdbc
2050;BEV18_64_PROG_P;65.7;6.133;sdbc
2049;BEV18_64_PROG_P;65.7;6.249;sdbc
2048;BEV18_64_PROG_P;65.7;6.257;sdbc
2047;BEV18_64_PROG_P;65.8;6.257;sdbc
2046;BEV18_64_PROG_P;65.8;6.297;sdbc
2045;BEV18_64_PROG_P;65.9;6.303;sdbc
2044;BEV18_64_PROG_P;66.0;6.324;sdbc
2043;BEV18_64_PROG_P;66.1;6.361;sdbc
2042;BEV18_64_PROG_P;66.2;6.379;sdbc
2041;BEV18_64_PROG_P;66.3;6.398;sdbc
2040;BEV18_64_PROG_P;66.5;6.417;sdbc
2039;BEV18_64_PROG_P;66.6;6.419;sdbc
2038;BEV18_64_PROG_P;66.8;6.457;sdbc
2037;BEV18_64_PROG_P;67.0;6.449;sdbc
2036;BEV18_64_PROG_P;67.2;6.482;sdbc
2035;BEV18_64_PROG_P;67.5;6.507;sdbc
2034;BEV18_64_PROG_P;67.7;6.534;sdbc
2033;BEV18_64_PROG_P;67.9;6.597;sdbc
2032;BEV18_64_PROG_P;68.1;6.634;sdbc
2031;BEV18_64_PROG_P;68.4;6.697;sdbc
2030;BEV18_64_PROG_P;68.6;6.773;sdbc
2029;BEV18_64_PROG_P;68.9;6.824;sdbc
2028;BEV18_64_PROG_P;69.1;6.895;sdbc
2027;BEV18_64_PROG_P;69.3;6.986;sdbc
2026;BEV18_64_PROG_P;69.6;7.155;sdbc
2025;BEV18_64_PROG_P;69.8;7.217;sdbc
2024;BEV18_64_PROG_P;70.0;7.329;sdbc
2023;BEV18_64_PROG_P;70.2;7.444;sdbc
2050;BEV65PLUS_PROG_P;17.8;4.422;sdbc
2049;BEV65PLUS_PROG_P;17.8;4.541;sdbc
2048;BEV65PLUS_PROG_P;17.7;4.573;sdbc
2047;BEV65PLUS_PROG_P;17.7;4.616;sdbc
2046;BEV65PLUS_PROG_P;17.6;4.677;sdbc
2045;BEV65PLUS_PROG_P;17.6;4.717;sdbc
2044;BEV65PLUS_PROG_P;17.5;4.787;sdbc
2043;BEV65PLUS_PROG_P;17.4;4.836;sdbc
2042;BEV65PLUS_PROG_P;17.4;4.905;sdbc
2041;BEV65PLUS_PROG_P;17.3;4.956;sdbc
2040;BEV65PLUS_PROG_P;17.2;5.003;sdbc
2039;BEV65PLUS_PROG_P;17.1;5.039;sdbc
2038;BEV65PLUS_PROG_P;17.0;5.065;sdbc
2037;BEV65PLUS_PROG_P;16.9;5.078;sdbc
2036;BEV65PLUS_PROG_P;16.7;5.132;sdbc
2035;BEV65PLUS_PROG_P;16.5;5.14;sdbc
2034;BEV65PLUS_PROG_P;16.3;5.173;sdbc
2033;BEV65PLUS_PROG_P;16.1;5.197;sdbc
2032;BEV65PLUS_PROG_P;16.0;5.196;sdbc
2031;BEV65PLUS_PROG_P;15.7;5.237;sdbc
2030;BEV65PLUS_PROG_P;15.5;5.254;sdbc
2029;BEV65PLUS_PROG_P;15.2;5.276;sdbc
2028;BEV65PLUS_PROG_P;14.9;5.262;sdbc
2027;BEV65PLUS_PROG_P;14.6;5.213;sdbc
2026;BEV65PLUS_PROG_P;14.3;5.188;sdbc
2025;BEV65PLUS_PROG_P;14.0;5.165;sdbc
2024;BEV65PLUS_PROG_P;13.7;5.139;sdbc
2023;BEV65PLUS_PROG_P;13.4;5.181;sdbc
2050;BEV75PLUS_PROG_P;9.9;2.75;sdbc
2049;BEV75PLUS_PROG_P;9.8;2.837;sdbc
2048;BEV75PLUS_PROG_P;9.7;2.865;sdbc
2047;BEV75PLUS_PROG_P;9.6;2.897;sdbc
2046;BEV75PLUS_PROG_P;9.5;2.92;sdbc
2045;BEV75PLUS_PROG_P;9.3;2.935;sdbc
2044;BEV75PLUS_PROG_P;9.2;2.957;sdbc
2043;BEV75PLUS_PROG_P;9.1;2.969;sdbc
2042;BEV75PLUS_PROG_P;8.9;2.996;sdbc
2041;BEV75PLUS_PROG_P;8.8;3.007;sdbc
2040;BEV75PLUS_PROG_P;8.6;3.0;sdbc
2039;BEV75PLUS_PROG_P;8.4;2.993;sdbc
2038;BEV75PLUS_PROG_P;8.2;2.988;sdbc
2037;BEV75PLUS_PROG_P;8.1;2.96;sdbc
2036;BEV75PLUS_PROG_P;7.9;2.971;sdbc
2035;BEV75PLUS_PROG_P;7.7;2.952;sdbc
