Leverancier;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Absoluta B.V.;1;;1
Beachclub Copacabana B.V.;1;;1
Beeld en Geluid Den Haag;1;;1
De Brasserij Partycentrum;1;;1
De Gouden Leeuw;1;;1
De Hooilanden;1;;1
De Landgoederij B.V.;1;;1
De Reehorst' B.V.;2;;2
De Stadstuin Events B.V.;1;;1
De Zilveren Vosch B.V.;1;;1
Driessen B.V.;1;;1
Ecotap B.V.;;1;1
Exploitatiemij. Grand Hotel Karel V B.V.;1;;1
Fletcher Hotel Restaur. De Wageningsche Berg;1;;1
Greens in the Park B.V.;1;;1
Groeneveld Horeca B.V.;1;;1
Het Muntgebouw-Utrecht B.V.;2;;2
Het Pleidooi;1;;1
Hoeve 202;1;;1
Holding Beheermaatschappij Ropeni B.V.;1;;1
Holstohus;1;;1
Hotel Heerlickheijd van Ermelo B.V.;2;;2
Keiretsu Europe B.V.;1;;1
Leaseplan Nederland N.V.;;9;9
Pillows Lux.Boutique Hotel IJssel Deventer;1;;1
Rooms Katholiek Kerkgenootschap in Nederland;1;;1
Spaces Rode Olifant B.V.;1;;1
Stichting SBI Prinsjesdagontbijt;1;;1
Stoke B.V.;1;;1
Teka Groep B.V.;1;;1
The Rat Pack B.V.;1;;1
Threeforce B.V.;;1;1
Unlimited Vision & Sound B.V.;1;;1
Van Rooijen Catering B.V.;1;;1
Vineyard Domplein B.V.;1;;1
Webfleet Solutions Sales B.V.;;1;1
Worldmeetings.com B.V.;6;;6
Eindtotaal;6;9;9
