OBJECTID;LEGENDA_1;NR;ROUTENAAM;SHAPE_LENG;FASE
21;5. Trekfietstrace;5;Trekvliettrace binnenstad - Ypenburg;1679.44617462;Gereed
22;5. Trekfietstrace;5;Trekvliettrace binnenstad - Ypenburg;796.823079722;Gereed
23;5. Trekfietstrace;5;Trekvliettrace binnenstad - Ypenburg;1331.71796959;Gereed
24;5. Trekfietstrace;5;Trekvliettrace binnenstad - Ypenburg;2234.22427112;Ontbrekend
25;5. Trekfietstrace;5;Trekvliettrace binnenstad - Ypenburg;482.45671842;Gereed
26;6. Wateringseveld;6;Binnenstad - Schilderswijk - Wateringseveld - Midden Delfland;3264.11251074;Gereed
27;6. Wateringseveld;6;Binnenstad - Schilderswijk - Wateringseveld - Midden Delfland;1230.43882306;Gereed
28;7. Spoorwijk - Rijswijk/Delft (via Waldorpstraat);7;Binnenstad - Spoorwijk - Rijswijk - Delft;4095.0274656;Gereed
29;8. Schilderswijk - Moerwijk;8;Binnenstad - Schilderswijk - Moerwijk;4088.06591681;Voorbereiding
30;9. Scheveningen Dorp;9;Binnenstad - Internationale Zone - scheveningen Dorp / lijn 1;657.839423924;Gereed
31;9. Scheveningen Dorp;9;Binnenstad - Internationale Zone - scheveningen Dorp / lijn 1;2009.18416647;Gereed
32;1. Scheveningen Haven;1;Binnenstad - Regentes - Scheveningen Haven;571.527083917;Gereed
33;1. Scheveningen Haven;1;Binnenstad - Regentes - Scheveningen Haven;664.785840319;Ontbrekend
34;2. Leidschenveen;2;Binnenstad - Bezuidenhout - Leidschenveen;790.604531741;Gereed
35;2. Leidschenveen;2;Binnenstad - Bezuidenhout - Leidschenveen;757.900697858;Voorbereiding
36;2. Leidschenveen;2;Binnenstad - Bezuidenhout - Leidschenveen;2050.37894478;Gereed
37;2. Leidschenveen;2;Binnenstad - Bezuidenhout - Leidschenveen;1269.69509807;Gereed
38;17. Wassenaar;17;Binnenstad - Haagse Bos - Wassenaar;394.863435305;Gereed
39;17. Wassenaar;17;Binnenstad - Haagse Bos - Wassenaar;172.420928039;Gereed
40;17. Wassenaar;17;Binnenstad - Haagse Bos - Wassenaar;1156.90646622;Gereed
41;17. Wassenaar;17;Binnenstad - Haagse Bos - Wassenaar;141.331364852;Ontbrekend
42;9. Scheveningen Dorp;9;Binnenstad - Internationale Zone - scheveningen Dorp / lijn 1;353.959432698;Voorbereiding
43;4. Scheveningen Bad;4;Binnenstad - Scheveningen Bad;286.578364497;Ontbrekend
44;4. Scheveningen Bad;4;Binnenstad - Scheveningen Bad;554.53846561;Gereed
45;4. Scheveningen Bad;4;Binnenstad - Scheveningen Bad;133.323886403;Ontbrekend
46;18. Meijendel (via Pompstationweg);18;Meijendel (via Pompstationweg);1245.47798056;Ontbrekend
47;9. Scheveningen Dorp;9;Binnenstad - Internationale Zone - scheveningen Dorp / lijn 1;1344.65367592;Voorbereiding
48;13. Vroondaal;13;Transvaal - Leyenburg - Vroondaal;969.881349788;Ontbrekend
49;13. Vroondaal;13;Transvaal - Leyenburg - Vroondaal;861.490444821;Gereed
50;13. Vroondaal;13;Transvaal - Leyenburg - Vroondaal;619.999046108;Ontbrekend
51;14. Vrederust;14;Moerwijk - Vrederust (via Melis Stokelaan);637.826129377;Ontbrekend
53;7. Spoorwijk - Rijswijk/Delft (via Waldorpstraat);7;Binnenstad - Spoorwijk - Rijswijk - Delft;1290.87970341;Gereed
54;7. Spoorwijk - Rijswijk/Delft (via Waldorpstraat);7;Binnenstad - Spoorwijk - Rijswijk - Delft;349.297077423;Gereed
55;19. Lijn 11 / Haagse Markt;19;Lijn 11 / Haagse Markt;471.997700846;Gereed
56;19. Lijn 11 / Haagse Markt;19;Lijn 11 / Haagse Markt;644.061126866;Gereed
57;6. Wateringseveld;6;Binnenstad - Schilderswijk - Wateringseveld - Midden Delfland;436.904681315;Voorbereiding
58;15. Rijswijk / Delft (via Oudemanstraat);15;Binnenstad - Rijswijk - Delft (via Oudemanstraat / Rembrandtkade);829.904933179;Gereed
59;15. Rijswijk / Delft (via Oudemanstraat);15;Binnenstad - Rijswijk - Delft (via Oudemanstraat / Rembrandtkade);437.608827822;Ontbrekend
60;10. Verlengde Velostrada;10;Verlengde Velostrada Mariahoeve - Laan van NOI - Binckhorst - Station HS;333.850867826;Gereed
61;9. Scheveningen Dorp;9;Binnenstad - Internationale Zone - scheveningen Dorp / lijn 1;427.589808778;Voorbereiding
62;9. Scheveningen Dorp;9;Binnenstad - Internationale Zone - scheveningen Dorp / lijn 1;396.800018628;Ontbrekend
63;15. Rijswijk / Delft (via Oudemanstraat);15;Binnenstad - Rijswijk - Delft (via Oudemanstraat / Rembrandtkade);809.875101499;Gereed
64;5. Trekfietstrace;5;Trekvliettrace binnenstad - Ypenburg;1267.93636571;Gereed
65;5. Trekfietstrace;5;Trekvliettrace binnenstad - Ypenburg;613.268333606;Gereed
66;5. Trekfietstrace;5;Trekvliettrace binnenstad - Ypenburg;534.593169887;Ontbrekend
67;16. Ypenburg / Nootdorp;16;Binnenstad - Binckhorst - Ypenburg - Nootdorp;1974.40060894;Gereed
68;16. Ypenburg / Nootdorp;16;Binnenstad - Binckhorst - Ypenburg - Nootdorp;1003.63631497;Ontbrekend
69;16. Ypenburg / Nootdorp;16;Binnenstad - Binckhorst - Ypenburg - Nootdorp;1397.36416769;Gereed
70;2. Leidschenveen;2;Binnenstad - Bezuidenhout - Leidschenveen;951.697557922;Gereed
71;15. Rijswijk / Delft (via Oudemanstraat);15;Binnenstad - Rijswijk - Delft (via Oudemanstraat / Rembrandtkade);426.879208931;Gereed
72;7. Spoorwijk - Rijswijk/Delft (via Waldorpstraat);7;Binnenstad - Spoorwijk - Rijswijk - Delft;671.919813892;Gereed
73;6. Wateringseveld;6;Binnenstad - Schilderswijk - Wateringseveld - Midden Delfland;1593.55418714;Gereed
1;1. Scheveningen Haven;1;Binnenstad - Regentes - Scheveningen Haven;2471.61696312;Gereed
2;10. Verlengde Velostrada;10;Verlengde Velostrada Mariahoeve - Laan van NOI - Binckhorst - Station HS;726.399661192;Voorbereiding
3;10. Verlengde Velostrada;10;Verlengde Velostrada Mariahoeve - Laan van NOI - Binckhorst - Station HS;1208.27793689;Gereed
4;10. Verlengde Velostrada;10;Verlengde Velostrada Mariahoeve - Laan van NOI - Binckhorst - Station HS;1495.52922932;Gereed
5;11. Laakweg;11;Moerwijk - Laakweg - Binckhorst;287.117225863;Ontbrekend
6;11. Laakweg;11;Moerwijk - Laakweg - Binckhorst;2846.66325328;Gereed
7;12. Loosduinen;12;Regentes - Loosduinen;4548.60854361;Gereed
8;13. Vroondaal;13;Transvaal - Leyenburg - Vroondaal;2873.32370268;Gereed
9;14. Vrederust;14;Moerwijk - Vrederust (via Melis Stokelaan);2576.84475584;Ontbrekend
10;15. Rijswijk / Delft (via Oudemanstraat);15;Binnenstad - Rijswijk - Delft (via Oudemanstraat / Rembrandtkade);4205.20508776;Gereed
11;16. Ypenburg / Nootdorp;16;Binnenstad - Binckhorst - Ypenburg - Nootdorp;3991.35945312;Gereed
12;17. Wassenaar;17;Binnenstad - Haagse Bos - Wassenaar;729.308229794;Gereed
13;17. Wassenaar;17;Binnenstad - Haagse Bos - Wassenaar;657.358218518;Gereed
14;17. Wassenaar;17;Binnenstad - Haagse Bos - Wassenaar;284.647047616;Gereed
15;17. Wassenaar;17;Binnenstad - Haagse Bos - Wassenaar;1978.55498371;Gereed
16;18. Meijendel (via Pompstationweg);18;Meijendel (via Pompstationweg);1681.03137579;Gereed
17;19. Lijn 11 / Haagse Markt;19;Lijn 11 / Haagse Markt;1798.54751594;Ontbrekend
18;2. Leidschenveen;2;Binnenstad - Bezuidenhout - Leidschenveen;4139.29867978;Gereed
