WKT,id,buurtcode,straatnaam,type,soort,e_type,aantal
"POLYGON ((119810.25 490323.45,119808.3 490329.18,119810.84 490330.02,119812.77 490324.3,119810.25 490323.45))","119811490327",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119812.2 490317.73,119810.25 490323.45,119812.77 490324.3,119814.7 490318.58,119812.2 490317.73))","119812490321",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119814.7 490318.58,119816.64 490312.86,119814.15 490312.02,119812.2 490317.73,119814.7 490318.58))","119814490315",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119817.25 490323.74,119815.32 490329.46,119817.86 490330.31,119819.79 490324.61,119817.25 490323.74))","119818490327",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119819.79 490324.61,119821.73 490318.91,119819.18 490318.04,119817.25 490323.74,119819.79 490324.61))","119819490321",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119821.73 490318.91,119823.66 490313.2,119821.11 490312.34,119819.18 490318.04,119821.73 490318.91))","119821490316",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119823.66 490313.2,119825.6 490307.5,119823.03 490306.65,119821.11 490312.34,119823.66 490313.2))","119823490310",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119825.71 490285.96,119828.67 490277.29,119826.08 490276.41,119823.23 490285.12,119825.71 490285.96))","119826490281",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119831.44 490268.52,119833.35 490262.85,119830.85 490262.0,119828.94 490267.67,119831.44 490268.52))","119831490265",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119834.62 490353.98,119828.84 490352.01,119827.98 490354.59,119833.76 490356.54,119834.62 490353.98))","119831490354",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119833.35 490262.85,119835.27 490257.18,119832.75 490256.33,119830.85 490262.0,119833.35 490262.85))","119833490260",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119835.27 490257.18,119837.18 490251.52,119834.72 490250.75,119832.75 490256.33,119835.27 490257.18))","119835490254",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119837.18 490251.52,119839.09 490245.86,119836.72 490245.11,119834.72 490250.75,119837.18 490251.52))","119837490248",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119833.76 490356.54,119839.54 490358.5,119840.43 490355.95,119834.62 490353.98,119833.76 490356.54))","119837490356",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119846.2 490218.86,119847.97 490213.62,119845.57 490212.8,119843.8 490218.05,119846.2 490218.86))","119846490216",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119847.97 490213.62,119849.73 490208.38,119847.33 490207.56,119845.57 490212.8,119847.97 490213.62))","119848490211",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119849.73 490208.38,119851.5 490203.15,119849.09 490202.33,119847.33 490207.56,119849.73 490208.38))","119849490205",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119851.5 490203.15,119853.27 490197.91,119850.86 490197.09,119849.09 490202.33,119851.5 490203.15))","119851490200",B10a,Archangelkade,Langs,FISCAAL,,1
