OBJECTID,AGEMATERIAAL,AGEGEBRUIKSTATUS,AGELABELCODE,AGEOPMERKING,MBSDIAMETERBINNEN,MBSDIAMETERBUITEN,AGEIDENT,GLOBALID,LDG_LDG_ID,AGE_AGE_ID,SHAPE_Length
1,,300,,Mantelbuis PVC ø400,,,BC1103,{6850EA15-4BC7-47D6-B6EB-604866A5D972},{19BB15B3-95F5-9AFD-E053-07011EAC467A},,6.98595493968943e-05
2,,300,,Mantelbuis spoorkruising,,,BC1318,{0FE296FD-9C67-4E54-95F7-D5ECF66F905C},{19BB15B3-95DC-9AFD-E053-07011EAC467A},,0.000448821856315192
3,,300,,Mantelbuis staal ø152.4,,,BC522,{E473E1BA-C849-4B69-B43C-519559568D3A},{19BB15B3-95E8-9AFD-E053-07011EAC467A},,5.67324974538049e-05
4,,300,,Mantelbuis staal Trompetterspad,,244,BC386,{0B0647F8-B332-4E3C-8792-6B8373E43B12},{19BB15B3-9612-9AFD-E053-07011EAC467A},,5.21607069795643e-05
5,,300,,Mantelbuis geen gegevens,,,BC876,{96E0F5A9-EF22-4B9F-A786-D26F33AE6337},{19BB15B3-9603-9AFD-E053-07011EAC467A},,9.94579199084689e-05
6,,300,,Mantelbuis PVC,,250,BC882,{B9901F3C-5575-440E-9ADF-E7D6BA04C792},{19BB15B3-9603-9AFD-E053-07011EAC467A},,0.000116254621501615
7,,300,,Mantelbuis PVC kl.34,,250,BC878,{4073DD4F-E406-4BB1-90FF-C125A582A025},{19BB15B3-9603-9AFD-E053-07011EAC467A},,8.42264691262723e-05
8,,300,,"Mantelbuis staal
",,315,BC944,{EC5B306D-0DE3-482A-B6A8-6E90F95129AC},{19BB15B3-95F2-9AFD-E053-07011EAC467A},,6.3896529307349e-05
9,6,300,,Mantelbuis Kreuleweg,,600,BC142,{17AE535F-CDA4-4A57-9995-7F4B15768393},{19BB15B3-95D5-9AFD-E053-07011EAC467A},,0.000141707987415797
10,,,,,,,BC1454,{F913FA78-8B02-4973-9D69-C8E433AF7DB6},,{19BB13D3-F778-92C6-E053-07011EAC2355},8.79113748314172e-05
11,,,,,,,BC1455,{3954DDFC-73F3-4DAE-A504-BA610D8ACBE7},,{19BB13D3-F779-92C6-E053-07011EAC2355},5.41997973355587e-05
12,,300,,Mantelbuis PVC,,315,BC248,{6C31149E-326E-4EAF-A0B4-B4B3FA4904B3},{19BB15B3-95D9-9AFD-E053-07011EAC467A},,0.000293676831312468
13,,300,,Mantelbuis PVC,,315,BC255,{812F7410-A668-430A-A9D4-CCE47B980DD3},{19BB15B3-95D9-9AFD-E053-07011EAC467A},,0.000146992369513264
14,,,,,,,BC1456,{5FBC3652-99C0-48BA-9975-A1FB05F996B8},,{19BB13D3-F77A-92C6-E053-07011EAC2355},0.000210581224347812
15,,300,,Mantelbuis staal,,300,BC261,{B53A7600-A764-4229-A87D-2FE0AFFF1926},{19BB15B3-95D9-9AFD-E053-07011EAC467A},,0.000220080730895885
16,,,,,,,BC1457,{87D8AF07-9044-46F4-BB55-56386EB8CE2E},,{19BB13D3-F77B-92C6-E053-07011EAC2355},0.000247846548685586
17,,,,,,,BC1458,{CF77B58F-1A2C-4B8F-B7B4-1DC45CFFF1F5},,{19BB13D3-F77C-92C6-E053-07011EAC2355},0.000114628819038886
18,,,,,,,BC1459,{1A06A6B6-C329-4856-8018-BE6DA31E2FD6},,{19BB13D3-F77D-92C6-E053-07011EAC2355},0.000194751701140406
19,,,,,,,BC1435,{15D52317-8DC4-4098-9106-97D43FD7CB52},,{19BB13D3-F765-92C6-E053-07011EAC2355},0.000375468360172507
20,,300,,Mantelbuis PVC kl.34,,250,BC877,{6B766005-6BB2-4F4D-8F72-977098613AC6},{19BB15B3-9603-9AFD-E053-07011EAC467A},,8.4333594912403e-05
21,,300,,Mantelbuis PVC,,315,BC247,{0DC1000B-509A-4CE1-B9C0-F89FB4FC4577},{19BB15B3-95D9-9AFD-E053-07011EAC467A},,0.000146793808301009
22,,400,,Mantelbuis staal verder geen gegevens op tekening,,,BC414,{C91E4C1A-D183-497F-BF03-5C4000E8323D},{D56613D9-51D3-4855-92C1-A52B4B23B325},,0.000120980743611776
23,,400,,Mantelbuis staal verder geen gegevens op tekening,,,BC413,{3772CDE9-B7A5-4F33-B306-F89CADB38420},{D56613D9-51D3-4855-92C1-A52B4B23B325},,0.000111833687524668
24,,400,,Mantelbuis staal verder geen gegevens op tekening,,,BC411,{DAC6415C-BDEA-41C5-A40C-AF88379B617A},{D56613D9-51D3-4855-92C1-A52B4B23B325},,8.35563215157193e-05
25,,400,,Mantelbuis staal verder geen gegevens op tekening,,,BC412,{D99341A2-33CB-46B4-976F-182512506B6A},{D56613D9-51D3-4855-92C1-A52B4B23B325},,0.000162926506262911
26,,300,,"Mantelbuis geen gegevens
",,,BC783,{9B6D9A0D-DA37-4B13-A9CE-BEFF06D1DB5D},{19BB15B3-95F1-9AFD-E053-07011EAC467A},,3.38266545766635e-05
27,10,300,,,,250,36279,{5D1D9ED2-E7B2-4065-A106-7A1371B41994},{19BB15B3-95D9-9AFD-E053-07011EAC467A},,6.10094398767215e-05
28,10,300,,,,315,36280,{C59F096B-00DB-49C0-9A57-099D53259FB2},{19BB15B3-95D9-9AFD-E053-07011EAC467A},,0.00012579455765712
29,10,300,,,,315,36281,{8CF8389A-21FA-4EAD-8E42-7A9F90710A54},{19BB15B3-95D9-9AFD-E053-07011EAC467A},,0.000131159072702347
30,10,300,,,,315,36282,{57F75F99-DA17-423A-A985-3249D5FC2ECA},{19BB15B3-95D9-9AFD-E053-07011EAC467A},,5.09218510532747e-05
31,,300,,Mantelbuis staal,,300,BC257,{73494EE2-2E57-4A28-BAB4-61B63BE95B10},{19BB15B3-95D9-9AFD-E053-07011EAC467A},,0.000321381292053402
32,,300,,Mantelbuis geen gegevens,,,BC775,{1A3CD118-2A09-45BC-BD5C-78DDAA0BC68A},{19BB15B3-95F1-9AFD-E053-07011EAC467A},,0.000108476280655322
33,,400,,Geen gegevens,,,BC780,{A24B3E28-8736-47DC-84DF-1DE8277A131A},{D56613D9-51D3-4855-92C1-A52B4B23B325},,0.000163581388197668
34,,400,,Mantelbuis Nijverdalseweg,,,BC984,{81E9A195-EC7B-4A9C-934D-4D90A262CC4C},{D56613D9-51D3-4855-92C1-A52B4B23B325},,0.000444968441125799
35,,400,,Geen gegevens,,,BC779,{566298FE-AAD1-40CE-850D-A921956DB65B},{D56613D9-51D3-4855-92C1-A52B4B23B325},,0.000218810939772838
36,,400,,Geen gegevens,,500,BC778,{A5ABB2E1-A963-44D1-9A77-3A57516DAC1A},{D56613D9-51D3-4855-92C1-A52B4B23B325},,6.789221636581e-05
37,,300,,Mantelbuis staal,,,BC782,{AE90409B-DF42-4425-953C-90E511DF2203},{19BB15B3-95F1-9AFD-E053-07011EAC467A},,6.11482348364747e-05
38,,,,,,,BC1436,{613ED6BF-130D-4568-9D6C-5E4D0731ABCD},,{19BB13D3-F766-92C6-E053-07011EAC2355},0.000196609537872266
39,,300,,Mantelbuis pvc ø160,,160,BC1164,{ED1966E3-108A-44B4-BC64-5C3D159B7BCC},{19BB15B3-9606-9AFD-E053-07011EAC467A},,0.000114235389166766
40,,300,,"Mantelbuis pvc ø160
",,160,BC1167,{3611E57A-16E6-4EAC-A4B1-AE72660E5C25},{19BB15B3-9606-9AFD-E053-07011EAC467A},,0.000112224344309866
41,,300,,"Mantelbuis staal ø146
",,146,BC1171,{ED635EFF-18BE-4410-A254-A63B9A1BBA7C},{19BB15B3-9606-9AFD-E053-07011EAC467A},,0.000189606553920611
42,,300,,"Mantelbuis pvc ø160
",,,BC1175,{34A9E3A7-E088-44BC-86DB-4226F168495F},{19BB15B3-9606-9AFD-E053-07011EAC467A},,8.50066688031853e-05
43,,300,,Mantelbuis PVC,,250,BC1062,{FE86A83E-F2CB-4816-8AD4-4DD85E6EB5D4},{19BB15B3-95F4-9AFD-E053-07011EAC467A},,8.66249973480589e-05
44,,,,,,,BC1437,{A0D16307-991A-4A2C-A7D5-0337180F282C},,{19BB13D3-F767-92C6-E053-07011EAC2355},0.000175972048886185
45,,300,,"Mantelbuis pvc ø273
",,273,BC1177,{591F886C-11B3-4841-8A36-4A9B9C6B7BA6},{19BB15B3-9606-9AFD-E053-07011EAC467A},,8.79113748314172e-05
46,,,,,,,BC1440,{204F9EE2-0692-40BB-A49A-A9E3E5EB5646},,{19BB13D3-F76A-92C6-E053-07011EAC2355},9.03391420859667e-05
47,6,300,,Geen lengte bekend,,200,BC199,{92A24D8A-F28A-44E6-9ACB-4AB6D3C6B804},{19BB15B3-95D8-9AFD-E053-07011EAC467A},,0.000114350376837385
48,,300,,Mantelbuis staal  ø457x8,,,BC960,{0326CE36-751C-45EA-83C4-B5668A2C960B},{19BB15B3-960C-9AFD-E053-07011EAC467A},,0.000279845775678668
49,,300,,Mantelbuis staal,,300,BC262,{25A32173-8852-426D-979A-C989E0DE52DC},{19BB15B3-95D9-9AFD-E053-07011EAC467A},,7.5038552877793e-05
50,,300,,"Mantelbuis staal  273 x 10
",,273,BC1063,{7E84CB31-AB21-4ABE-96D7-A4EAEB5D651A},{19BB15B3-95F4-9AFD-E053-07011EAC467A},,0.00015004486602519
51,,300,,"Mantelbuis pvc ø160
",,160,BC1174,{A7B26FD9-6E54-41BF-A6B7-872357A990F0},{19BB15B3-9606-9AFD-E053-07011EAC467A},,9.90874799980971e-05
52,,300,,"Geen gegevens
",,,BC1178,{947E83C1-A9A5-4D3A-BF7B-DAD0A08B8E21},{19BB15B3-9606-9AFD-E053-07011EAC467A},,5.41997973355587e-05
