OBJECTTYPE,ID,HMGETAL,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,OBJECTCODE,VERSIE,GELDIG_VANAF,PUBLICATIEDATUM,Shape__Length
hectometer,69011,0.4,926,,926,926__,Zwolle Rangeerterrein,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69012,0.4,034,,34,034__,Velperbroek Aansl. - Dieren,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69013,0.4,517,a,517,517_a,Venlo,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69014,0.4,486,a,486,486_a,Amsterdam Westhaven (gebied),,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69015,0.4,537,c,537,537_c,Moordrecht Aansl.,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69016,0.4,520,a,520,520_a,Maastricht,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69017,0.4,589,a,589,589_a,Duivendrecht,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69018,0.4,607,a,607,607_a,Winterswijk,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69019,0.4,433,,433,433__,Sittard - Born,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69020,0.4,541,a,541,541_a,Weesp Aansl.,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69021,0.4,938,,938,938__,CUP Valburg,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69022,0.4,549,a,549,549_a,Haren,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69023,0.4,661,a,661,661_a,Landgraaf,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69024,0.4,478,a,478,478_a,Rotterdam Europoort 4,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69025,0.4,152,a,152,152_a,Kijfhoek - Meteren Aansl.,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69026,0.4,463,,463,463__,Stadskanaal Hoofdstation - Musselkanaal=Valthermond,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69027,0.4,819,,819,819__,Etten=Leur Gem. Industrieterrein,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69028,0.4,475,a,475,475_a,Rotterdam Maasvlakte,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69029,0.4,546,a,546,546_a,Blauwkapel,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69030,0.4,823,a,823,823_a,Oosterhout Weststad,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69031,0.4,405,,405,405__,Hengelo - Hengelo Zoutindustrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69032,0.4,056,,56,056__,Venlo Grens - Venlo,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69033,0.4,305,,305,305__,Stadskanaal Hoofdstation - Zuidbroek,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69034,0.4,048,,48,048__,Nijmegen Grens - Nijmegen,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69035,0.4,067,,67,067__,Heerlen - Schin op Geul,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69036,0.4,606,a,606,606_a,Almelo,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69037,0.4,844,a,844,844_a,Emmen Emmtec,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69038,0.4,857,a,857,857_a,Almelo Gem. Stamlijn,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69039,0.4,804,a,804,804_a,"Beverwijk Hoogovens, Van Gelder",,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69040,0.4,544,a,544,544_a,Breda,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69041,0.4,099,,99,099__,Breukelen - Harmelen Aansl.,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69042,0.4,437,a,437,437_a,Arnhem Goederenstation - Velperbroek Aansl.,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69043,0.4,007,,7,007__,Sauwerd - Winsum,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69044,0.4,102,,102,102__,Woerden - Alphen a/d Rijn,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69045,0.4,815,a,815,815_a,Roodeschool Eemshaven,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69046,0.4,205,,205,205__,Mariënberg - Almelo,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69047,0.4,801,a,801,801_a,Moerdijk Industrieterrein,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69048,775.5,801,k,801,801_k,Moerdijk Industrieterrein,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69049,80.5,013,,13,013__,Herfte Aansl. - Meppel,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69050,80.5,036,,36,036__,Ede=Wageningen - Arnhem,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69051,80.5,539,,539,539__,Schiedam Centrum,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69052,80.5,155,b,155,155_b,Meteren Aansl. - Ressen = Bemmel,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
hectometer,69053,80.5,586,,586,586__,Amsterdam Centraal,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,0
