Leveranciersnaam;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
A.C.S. B.V.;;;;1;;;1
All IT Rooms B.V.;;;;1;;;1
Arvato Benelux B.V.;;;2;;;;2
Axiell ALM Netherlands B.V.;;;1;;;;1
Axway B.V.;;;;1;;;1
B.V. Technisch Bureau Jacot;1;1;;;;;1
BCT B.V.;;;;1;;;1
Bourgonje Geluid- en Lichtservice B.V.;;2;;;;;2
BPI Services B.V.;;2;;;;;2
Bumicom Telecommunicatie B.V.;;1;;;;;1
Cimon B.V.;;;;;;1;1
CM Telecom B.V.;;;;;1;;1
COMPAREX Nederland B.V.;;;4;3;;;4
Coolblue B.V.;1;;;;;;1
Coosto Holding B.V.;;;;2;;;2
Dataplus Netherlands B.V.;;;;1;;;1
DBA.NL B.V.;;;;3;;;3
Digital Revolution B.V.;1;;;;;;1
Digital Zoo;;;;1;;;1
DTG B.V.;;;;;1;;1
Entopic B.V.;;;;1;;;1
Eurotempest B.V.;1;;;2;;;2
GW Cross Media B.V.;;;;;;1;1
Hewlett-Packard Nederland B.V.;;;;1;;;1
ICreative;;;;1;;;1
Infotheek ICT Services B.V.;5;4;1;;;;6
ING Bank N.V.;;;1;1;;;1
Intermax outsourcing;;;;;;1;1
KPN B.V.;;;;2;2;3;4
KPN Contact lokatie Eindhoven;;;;1;1;;1
KPN Ventures B.V.;;;;;1;;1
KPN winkel;;;;;3;;3
LocalFocus;;;1;;;;1
Mangrove B.V.;;;;1;;;1
Mavim B.V.;;;;2;;;2
Multi-Post Nederland B.V.;;1;;;;;1
Netlink B.V.;;1;;;;;1
NetwerkShop;1;;;;;;1
NMS;;;;1;;;1
Notificare B.V.;;;1;;;;1
NPQ Nederland B.V.;;;;2;;;2
O. s.P.L. Nederland B.V.;;2;;;;;2
Pardon Consult;;;;1;;;1
PointLogic Solutions B.V.;;;;3;;;3
Preware IT B.V.;;;;1;;;1
Prisma-IT B.V.;;;;2;;1;2
Protinus IT B.V.;5;1;2;1;;;5
SAP Nederland B.V.;;;;2;;;2
Scan Sys B.V.;;;;1;;;1
Scholten Awater B.V.;2;;;;;;2
Sectra Communications B.V.;;;;;4;;4
Servitect B.V.;;;1;;;;1
SOA People Nederland N.V.;;;;1;;2;2
Softcrow B.V.;;;;1;;;1
SoftwareONE B.V.;;;4;;;;4
Solvinity B.V.;;;;;;1;1
Tele2 Nederland B.V.;;;;;2;;2
Telegrootgebruik B.V.;1;;;;;;1
Telindus-ISIT B.V.;4;3;;;;;5
That's Yours;;;;;;1;1
TOPdesk Nederland B.V.;;;1;;;2;2
Trusted-ID B.V.;;;;2;;;2
UNIT4 Business Software B.V.;;;1;2;;;2
VANWAARDE Documentenwacht B.V.;;1;;;;;1
Virtual Security;1;;;;;;1
Vodafone;;;;;3;;3
Went Werkt Journalistiek;;;;1;;;1
Wortell System Integrations & Services B.V.;;1;;;;;1
Xerox (Nederland) B.V.;1;2;;;;;2
Eindtotaal;7;4;5;5;5;4;7
