FID,LOCATIENAAM,STATUSONDERZOEK,RAPPORTAUTEUR,RAPPORTDATUM,RAPPORTNUMMER,CONCLUSIE,ONDERZOEKSNAAM,LOCATIE_ID,LOCATIECODE,ONDERZOEK_ID,NAZCACODE,GEOMETRIE
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_357e,Weurtseweg naast 37,Verkennend onderzoek NVN 5740,Heidemij Advies,30-08-1991,0001/634/EA91/D297/17056,"Het onderzoek betreft een indicatief onderzoek uit 1991, een hypothese is dan ook niet gesteld.
Zintuiglijke waarnemingen: In 2 boringen zijn tot een diepte van 1 m-mv verbrandingsresten en kolengruis waargenomen.
Resultaten:
   Bovengrond: In het geanalyseerde  mengmonster is lood en PAK boven de B-waarde gemten. EOX, kwik en zink zijn boven de A-waarde gemeten.
    Ondergrond en grondwater: Niet geanalyseerd.
Conclusies en aanbevelingen: Mogelijk is er een samenhang tussen de verhoogde gehaltes en de aangetroffen kolenresten en verbrandingsgruis. Op basis van de onderzoeksresultaten kan er potentieel een risico voor de volksgezondheid bestaan. Een nader onderzoek wordt aanbevolen.",Verkennend Onderzoek 1,127,NZ026801199,161,,"POLYGON ((186889.186 429073.323, 186884.44 429066.313, 186870.85 429045.927, 186881.959 429037.73, 186899.001 429062.322, 186900.727 429065.665, 186889.186 429073.323))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_357f,Weurtseweg,Sanerings evaluatie,Tauw Milieu bv,31-10-1991,0111/R3191508.G01/GAE,"Het rapport betreft een verslag van een uitgevoerde sanering bij een tankstation.
Bij deze sanering zijn de oude tanks weggehaald en is bij de voormalige afleverzuilen tot een diepte van 1,5 tot 2,5 m-mv grond afgegraven. In totaal is 118 ton grond afgevoerd. De bij het plaatsen van nieuwe tanks vrijkomende grond is gebruikt voor de aanvulling van de saneringsput. 
Conclusies: De in de voorgaande onderzoeken aangetroffen verontreiniging in de grond zijn in voldoende mate gesaneerd.",Sanering onder Milieukundige begeleiding 1,128,NZ026801196,162,,"POLYGON ((185723.555 429540.479, 185720.655 429540.04, 185718.106 429538.722, 185716.964 429536.173, 185717.579 429532.218, 185718.194 429526.769, 185719.337 429526.329, 185721.534 429526.154, 185724.434 429526.505, 185727.686 429526.681, 185731.202 429527.208, 185738.233 429528.79, 185739.639 429530.987, 185739.902 429534.327, 185739.375 429536.173, 185737.969 429537.667, 185735.684 429538.194, 185723.555 429540.479))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_3580,Weurt II,Verkennend onderzoek NVN 5740,Heidemij Advies,30-03-1991,0204/634/EA90/A636/16935,"Het rapport betreft een indicatief onderzoek, een hypothese is dan ook niet gesteld.
Zintuiglijke waarnemingen: In meerdere boringen zijn kolenstukjes, slakken, cement en/of teerbrokjes aangetroffen.
Resultaten:
   Bovengrond: In alle mengmonsters wordt de A-waarde voor koper overschreden, in meerdere mengmonsters wordt ook de A-waarde voor lood, kwik en PAK overschreden.
   Ondergrond: Niet geanalyseerd.
   Grondwater: Een lichte verontreiniging met minerale olie is gemeten, in 2 peilbuizen is ook EOX verhoogd.
Conclusies en aanbevelingen: Er zijn volgens de onderzoekers geen belemmeringen voor het in gebruik nemen van de lokatie voor woonbebouwing. Vanwege het veelvuldig voorkomen van koolbrokjes e.d. wordt geadviseerd om nader onderzoek te doen naar de maximaal voorkomende gehalten PAK in individuele grondmonsters. Ook wordt geadviseerd monsters dieper dan 0,5 m-mv te laten analyseren.",Verkennend Onderzoek 1,129,NZ026801195,163,,"POLYGON ((186476.293 429350.85, 186464.193 429283.838, 186464.193 429277.788, 186465.124 429240.094, 186448.371 429239.164, 186446.51 429238.698, 186446.044 429235.906, 186444.648 429141.904, 186443.252 429139.111, 186431.618 429112.586, 186513.056 429080.011, 186522.829 429108.398, 186573.087 429089.318, 186600.544 429154.003, 186625.673 429213.569, 186607.524 429221.945, 186606.593 429276.858, 186615.901 429286.63, 186587.048 429311.76, 186574.949 429296.868, 186509.799 429344.335, 186476.293 429350.85))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_3581,Westkanaaldijk,Verkennend onderzoek NVN 5740,Willems milieutechniek,31-01-1996,0602/9601.01/VO1,"Het terrein betreft een gedeelte van een kade welke in 1984 is aangelegd. 
De hypothese wordt niet getoetst.
Zintuiglijke waarnemingen: In verschillende boringen is een lichte tot matige bijmenging met puin aangetroffen.
Resultaten:
   Bovengrond: Licht verhoogde gehalten PAK zijn aangetroffen.
   Ondergrond: Licht verhoogde gehalten lood en PAK worden gemeten.
   Grondwater: Geen verhoogde gehalten zijn gemeten.
Conclusies en aanbevelingen: Mogelijk zijn de waargenomen verontreinigingen te relateren aan de puinresten die waarschijnlijk in 1984 met de partij aanvulzand zijn meegekomen. Er zijn volgens de onderzoekers geen actuele humane risico's aanwezig, er bestaat geen bezwaar tegen de bouw op de lokatie. Rekening moet gehouden worden met beperkingen bij graaf- en transportwerkzaamheden.",Verkennend Onderzoek 1,130,NZ026801190,164,,"POLYGON ((184237.714 428304.43, 184216.022 428261.479, 184216.889 428258.875, 184246.391 428241.087, 184268.952 428288.811, 184237.714 428304.43))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_3582,Weurtseweg 242,Verkennend onderzoek NVN 5740,Willems milieutechniek,25-03-1996,0624/9601.23/V02,"Het onderzoek betreft een gecombineerd nul-situatie/BSB/verkennend bodemonderzoek.
Zintuiglijke waarnemingen: Onder het gehele bedrijfsterrein is een opgebrachte, sterk puinhoudende laag aanwezig. De dikte van de puinlaag varieert van 2,5 m op het noordelijk terreingedeelte tot 4,5 m op het zuidelijk terreingedeelte. Zintuiglijk zijn in de puinlaag kool-, teer-, plastic-, glas-, en metaalresten waargenomen. Ook zijn plaatselijk teer-, beits-, en dieselgeuren waargenomen.
Resultaten:
   Bovengrond: Bij een deellokatie (dieselpomp) is eens sterke verontreiniging, boven de interventiewaarde,  met minerale olie gemeten.
   Ondergrond: In de puinlaag onder de hele lokatie zijn sterke verontreinigingen met koper, lood, zink en PAK gemeten, ook worden in deze puinlaag verhoogde concentraties cadmium, kwik en minerale olie aangetroffen. 
   Grondwater: Niet onderzocht.
Conclusies en aanbevelingen: Een nader onderzoek wordt aanbevolen naar de verontreinigingen; de puinlaag en de minerale olie verontreiniging.",Verkennend Onderzoek 1,142,NZ026801203,183,,"POLYGON ((186384.296 429596.075, 186381.045 429592.824, 186368.038 429577.495, 186350.155 429554.967, 186320.659 429518.968, 186331.807 429513.626, 186345.278 429507.123, 186356.89 429500.852, 186366.877 429495.975, 186372.683 429492.026, 186400.554 429526.864, 186379.187 429543.586, 186406.824 429577.96, 186384.296 429596.075))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_3583,Weurtseweg 234,Verkennend onderzoek NVN 5740,Inbodem,31-03-1992,0262/01011992,"Het onderzoek is een indicatief onderzoek uit 1992, een hypothese wordt dan ook niet gesteld.
Zintuiglijke waarnemingen: Bij 1 boring op een diepte van 2 tot 3,3 m-mv is een sterke oliegeur waargenomen.
Resultaten: 
  Bovengrond: In de monsters zijn verhoogde gehalten zware metalen gemeten; koper en zink boven de B-waarde. Lood is boven de C-waarde gemeten.
   Ondergrond: In de een monster is minerale olie boven de interventiewaarde gemeten, in een andere boring zijn PAK's boven de B-waarde gemeten.
   Grondwater: Geen gehalten boven de B-waarde zijn gemeten.
Conclusies en aanbevelingen: Er is vanuit milieuhygienisch oogpunt bezwaar tegen om de grond zonder meer als schoon te beschouwen. Een uitgebreider onderzoek is noodzakelijk.",Verkennend Onderzoek 1,143,NZ026801201,184,,"POLYGON ((186475.866 429491.173, 186475.498 429490.897, 186443.471 429450.772, 186468.779 429433.746, 186499.701 429472.399, 186475.866 429491.173))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_3584,Aldenhof 11e,Verkennend onderzoek NVN 5740,Afdeling Milieu Gemeente Nijmegen,01-10-1987,0306/3502,"Er is geen hypothese gesteld.
Zintuigelijke waarnemingen: geen.
Resultaten:
  Grond: er zijn gehalten boven de B-waarde gemeten.
  Grondwater: er zijn geen concentraties boven de B-waarde gemeten.
Conclusies en aanbevelingen: de lokatie is niet verontreinigd. Er bestaat geen gevaar voor de volksgezondheid of het milieu. De grond is geschikt voor de bouw van woningen.",Verkennend Onderzoek 1,148,NZ026800008,191,,"POLYGON ((183575.35 424253.598, 183651.954 424118.396, 183655.882 424116.759, 183698.112 424140.984, 183700.731 424141.966, 183702.041 424146.549, 183703.023 424151.133, 183702.041 424158.335, 183703.35 424158.335, 183650.972 424296.81, 183575.35 424253.598))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_3585,Wauderickweg 02,Verkennend onderzoek NVN 5740,Grontmij,30-11-1988,0152/Gt2.1421,"Het onderzoek is een deelrapport van een Bijzonder Inventariserend Onderzoek naar de verontreinigings-situatie op autowrakkenterreinen in de Provinvie Gelderland.
Zintuiglijke waarnemingen: De lokatie is verhard met een puinlaag met een dikte van ca. 0,2 m. Bij 1 boring is een lichte tot matige zurige geur waargenomen.
Resultaten: 
   Grond: Het loodgehalte van het monster onder de puinlaag is boven de A-waarde gemten, het zink-gehalte is rond de B-waarde gemeten. In een grondmengmonster is het olie-gehalte rond de B-waarde gemeten.
   Grondwater: Het minerale olie- en benzeen-gehalte in het grondwater is zeer sterk verhoogd. Tolueen ligt boven de A-waarde.
Conclusies en aanbevelingen: De totale hoeveelheid verontreinigde grond wordt geschat op circa 100-500 m3. De lokatie komt in aanmerking voor verder onderzoek in het kader van de Interimwet Bodemsanering (IBS) gezien de grote verspreidingsmogelijkheid van de aangetroffen verontreinigingen. Aanbevolen wordt het verder onderzoek te combineren met vervolg-onderzoek op omliggende terreinen.",Verkennend Onderzoek 2,145,NZ026801165,193,,"POLYGON ((184119.456 429180.288, 184150.726 429141.928, 184157.563 429147.372, 184167.184 429155.348, 184173.767 429161.931, 184180.857 429168.514, 184167.564 429184.846, 184150.473 429205.608, 184119.456 429180.288))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_3586,Waalkade,Verkennend onderzoek NVN 5740,Tauw Milieu bv,18-02-1993,0412/Lab/41224/ASN/Pro,In het briefrapport worden alleen analyseresultaten gegeven van monsters genomen op de Waalkade. De exact plaats of samenstelling van de monsters is niet bekend.,Verkennend Onderzoek 1,156,NZ026801156,201,,"POLYGON ((187361.155 429236.65, 187346.25 429187.231, 187375.274 429217.823, 187379.197 429220.961, 187383.119 429223.314, 187387.825 429223.314, 187447.834 429212.332, 187510.589 429200.958, 187515.295 429199.781, 187520.787 429197.428, 187527.454 429193.114, 187540.79 429178.602, 187546.281 429172.719, 187550.595 429168.796, 187554.909 429167.228, 187569.029 429163.305, 187612.565 429156.245, 187618.84 429155.853, 187624.724 429155.461, 187646.296 429159.775, 187674.927 429168.796, 187677.281 429184.093, 187609.035 429195.075, 187549.81 429202.135, 187494.9 429211.156, 187429.4 429222.922, 187390.963 429229.59, 187370.96 429233.904, 187361.155 429236.65))"
MIL_BOD_ONDERZ.fid-36cc8544_1861f90ef02_3587,"Weg door Jonkerbos, vlek 8",Verkennend onderzoek NVN 5740,Fugro,14-04-1987,0382/F-5039,"Het onderzoek betreft een indicatief onderzoek, een hypothese is niet gesteld. Op het terrein zijn echter een aantal (HBO-)tanks aanwezig.
Zintuiglijke waarnemingen: Bij 4 boringen is van 0 tot 1 m-mv puin aangetroffen.-
Resultaten:
   Grond: De mengmonster zijn samengeteld over een diepte van 0 tot 1,5 m-mv. In (bijna) alle mengmonsters zijn licht verhoogde EOX-gehalten gemeten, in 2 van de 25 monsters is  PAK boven de A-waarde gemeten.
   Grondwater: De concentratie ftalaten, cadmium en zink zijn boven de B-waarde gemeten. Xylenen en chloroform zijn boven de A-waarde gemeten. In 1 van de 3 peibuizen is zink boven de C-waarde gemeten.
Cocnlusies en aanbevelingen: In het bodemmateriaal zijn geen verontreinigende stoffen in relevante concentraties aangetroffen. In het grondwater is een lichte verontreiniging door cadmium, koper en zink vastgesteld, vanwege de diepte van het grondwater (min 4,5 en max 12,4 m-mv worden dit acceptabel geacht. De bron van de verontreiniging bevindt zich waarschijnlijk niet op het terrein. De verontreiniging vormt geen risico voor de volksgezondheid. Er is geen bezwaar tegen de woningbouwplannen op het terrein.
Alle concnetraties bevinden zich op of rond het nivo van de natuurlijke achtergrondwaarde, er is geen enkel bezwaar tegen de geplande woningbouw.",Verkennend Onderzoek 2,165,NZ026801189,215,,"POLYGON ((186029.652 425666.438, 185855.027 425507.688, 185532.764 425209.237, 185701.039 425037.787, 186028.065 425339.413, 186209.04 425510.863, 186029.652 425666.438))"
