hoofdgroep_id;hoofdgroep (domein);subgroep_id;subgroep;beroepsopleiding_id;beroepsopleiding;verwijzend dossiernummer cohort;beroep_id;inschrijvingscrebo 2020-2021;beroep;niveau_beroep;crebo;naam;Techniek indicatie
hg001;Afbouw, hout en onderhoud;sg000;niet gespecificeerd naar subgroep;bc000;niet gespecificeerd naar beroepsopleiding;n.v.t.;b0000;0;niet gespecificeerd naar beroep;n.v.t.;79010;Afbouw, hout en onderhoud;Technisch
hg001;Afbouw, hout en onderhoud;sg022;Hout en meubel;bc311;Machinaal houtbewerken;23007;b0000;0;niet gespecificeerd naar beroep;n.v.t.;22021;Machinaal houtbewerker;Technisch
hg001;Afbouw, hout en onderhoud;sg022;Hout en meubel;bc311;Machinaal houtbewerken;23007;b0000;0;niet gespecificeerd naar beroep;n.v.t.;23007;Machinaal houtbewerken;Technisch
hg001;Afbouw, hout en onderhoud;sg022;Hout en meubel;bc311;Machinaal houtbewerken;23007;b0515;25016;Machinaal houtbewerker;2;10483;Machinaal Houtbewerker Timmerindustrie/Meubelindustrie;Technisch
hg001;Afbouw, hout en onderhoud;sg022;Hout en meubel;bc311;Machinaal houtbewerken;23007;b0515;25016;Machinaal houtbewerker;2;10485;Gereedschapslijper;Technisch
hg001;Afbouw, hout en onderhoud;sg022;Hout en meubel;bc311;Machinaal houtbewerken;23007;b0515;25016;Machinaal houtbewerker;2;10487;Machinaal Houtbewerker Houthandel;Technisch
hg001;Afbouw, hout en onderhoud;sg022;Hout en meubel;bc311;Machinaal houtbewerken;23007;b0515;25016;Machinaal houtbewerker;2;10934;Machinaal Houtbewerker Meubelindustrie;Technisch
hg001;Afbouw, hout en onderhoud;sg022;Hout en meubel;bc311;Machinaal houtbewerken;23007;b0515;25016;Machinaal houtbewerker;2;10936;Machinaal Houtbewerker Timmerindustrie;Technisch
hg001;Afbouw, hout en onderhoud;sg022;Hout en meubel;bc311;Machinaal houtbewerken;23007;b0515;25016;Machinaal houtbewerker;2;25016;Machinaal houtbewerker;Technisch
hg001;Afbouw, hout en onderhoud;sg022;Hout en meubel;bc311;Machinaal houtbewerken;23007;b0515;25016;Machinaal houtbewerker;2;93520;Machinaal houtbewerker;Technisch
hg001;Afbouw, hout en onderhoud;sg022;Hout en meubel;bc311;Machinaal houtbewerken;23007;b0515;25016;Machinaal houtbewerker;2;93521;Machinaal houtbewerker (Machinaal houtbewerker houthandel);Technisch
hg001;Afbouw, hout en onderhoud;sg022;Hout en meubel;bc311;Machinaal houtbewerken;23007;b0515;25016;Machinaal houtbewerker;2;93522;Machinaal houtbewerker (Machinaal houtbewerker meubelindustrie);Technisch
hg001;Afbouw, hout en onderhoud;sg022;Hout en meubel;bc311;Machinaal houtbewerken;23007;b0515;25016;Machinaal houtbewerker;2;93523;Machinaal houtbewerker (Machinaal houtbewerker timmerindustrie);Technisch
