"submitted_date","case_number","program_designation","employer_name","zip_code","nbr_immigrants","begin_date","end_date","job_title","dol_decision_date","certified_begin_date","certified_end_date","occupation_code","case_status","wage_rate_from_1","wage_rate_per_1","wage_rate_to_1","part_time_1","work_city_1","work_state_1","prevailing_wage_1","prevailing_wage_source_1","year_source_published_1","other_wage_source_1","wage_rate_from_2","wage_rate_per_2","wage_rate_to_2","part_time_2","work_city_2","work_state_2","prevailing_wage_2","prevailing_wage_source_2","year_source_published_2","other_wage_source_2","withdrawn","location_1","location_2"
"2006-11-13T16:55:00.000","I-06317-2897639","R","1-Nov","84042","1","2007-02-09T00:00:00.000","2008-02-09T00:00:00.000","DATA BASE COORDINATOR","2006-11-13T16:55:00.000","2007-02-09T00:00:00.000","2008-02-09T00:00:00.000","31","Certified","39370.00","Year",,"N","LINDON","UT","37232.00","S",,,,,,,,,,,,,"N","1350 WEST 200 SOUTH
LINDON, UT 
(40.33354800300049, -111.74712105199967)",
"2007-03-13T17:32:00.000","I-07072-3108673","R","NWT Inc.","84124","1","2007-04-13T00:00:00.000","2010-04-13T00:00:00.000","Senior Research Scientist","2007-03-13T17:32:00.000","2007-04-13T00:00:00.000","2010-04-13T00:00:00.000","41","Certified","83338.00","Year",,"N","West Trenton","UT","77584.00","O","2007","OES Wage Data",,,,,,,,,,,"N","1121 East 3900 South Suite C-100
Salt Lake City, UT 
(40.68708765200046, -111.85933025499969)",
"2006-11-30T17:48:00.000","I-06334-2921129","R","RxAmerica L.L.C.","84116","1","2007-01-01T00:00:00.000","2010-01-01T00:00:00.000","Director of Clinical Account Management","2006-11-30T17:48:00.000","2007-01-01T00:00:00.000","2010-01-01T00:00:00.000","74","Certified","118000.00","Year",,"N","Detroit","UT","96034.00","O","2006","Online Wage Library",,,,,,,,,,,"N","221 N. Charles Lindberg Dr.
Salt Lake City, UT 
(40.66726905100046, -111.92357267799969)",
"2006-10-30T13:41:00.000","I-06303-2876253","R","Intermountain Healthcare","84123","1","2006-11-06T00:00:00.000","2009-11-06T00:00:00.000","Software Engineer","2006-10-30T13:41:00.000","2006-11-06T00:00:00.000","2009-11-06T00:00:00.000","30","Certified","38.31","Hour",,"N","Salt Lake County","UT","34.48","O","2006","OES Wage Data",,,,,,,,,,,"Y","5770 So. 1500 West
Salt Lake City, UT 
(40.647040098000446, -111.93395663399968)",
"2007-04-27T12:42:00.000","I-07117-3424519","R","Digital Bytes, Inc.","84121","1","2007-05-02T00:00:00.000","2010-05-02T00:00:00.000","Multimedia/Production Specialist","2007-04-27T12:42:00.000","2007-05-02T00:00:00.000","2010-05-02T00:00:00.000","159","Certified","14.70","Hour","14.70","N","Salt Lake City","UT","14.70","O","2006","oes wage data",,,,,,,,,,,"N","5882 South 900 East
Salt Lake City, UT 
(40.64287193700045, -111.86600515699968)","Suite 300
,  "
"2007-03-30T15:59:00.000","I-07089-3333847","R","NITYA Software Solutions, LLC","84119","2","2007-09-29T00:00:00.000","2010-09-29T00:00:00.000","Programmer Analyst","2007-03-30T15:59:00.000","2007-09-29T00:00:00.000","2010-09-29T00:00:00.000","30","Certified","34341.00","Year",,"N","West Valley City","UT","34341.00","O","2006","Online Wage Library",,,,,,,,,,,"N","2162 W. 3100 S. # 41
Salt Lake City, UT 
(40.70396101400047, -111.94729922899967)",
"2007-03-30T15:18:00.000","I-07089-3332723","R","NITYA Software Solutions, LLC","84119","2","2007-09-29T00:00:00.000","2010-09-29T00:00:00.000","Programmer Analyst","2007-03-30T15:18:00.000","2007-09-29T00:00:00.000","2010-09-29T00:00:00.000","30","Certified","34341.00","Year",,"N","West Valley City","UT","34341.00","O","2006","Online Wage Library",,,,,,,,,,,"N","2162 W. 3100 S. # 41
Salt Lake City, UT 
(40.70396101400047, -111.94729922899967)",
"2007-03-15T14:19:00.000","I-07074-3123005","R","Multiling Corporation","84601","1","2007-09-15T00:00:00.000","2010-09-15T00:00:00.000","Frence Editor/Reviewer","2007-03-15T14:19:00.000","2007-09-15T00:00:00.000","2010-09-15T00:00:00.000","139","Certified","20.00","Hour",,"N","Provo","UT","19.81","O","2007","OES Wage Data",,,,,,,,,,,"Y","86 North University Avenue, 3rd Floor
Provo, UT 
(40.23488864100045, -111.65865483399966)",
"2007-02-12T16:29:00.000","I-07043-3028089","R","Komatsu Equipment Company","84104","1","2007-02-21T00:00:00.000","2010-02-21T00:00:00.000","Marketing Analyst","2007-02-12T16:29:00.000","2007-02-21T00:00:00.000","2010-02-21T00:00:00.000","163","Certified","57000.00","Year","57000.00","N","Salt Lake City","UT","54059.00","O","2006","oes wage data",,,,,,,,,,,"N","2350 West 1500
Salt Lake City, UT 
(40.73779842300047, -111.95340023799969)",
"2007-07-18T13:25:00.000","I-07199-3571253","R","Amedica Corporation","84108","1","2007-11-08T00:00:00.000","2010-11-07T00:00:00.000","Manufacturing Engineer","2007-07-18T13:25:00.000","2007-11-08T00:00:00.000","2010-11-07T00:00:00.000","7","Certified","52312.00","Year","72159.00","N","Salt Lake City","UT","52312.00","O","2007","OES",,,,,,,,,,,"N","615 Arapeen Drive
Salt Lake City, UT 
(40.75664954700045, -111.82795146599972)","Suite 302
,  "
"2007-08-07T18:10:00.000","I-07219-3604203","R","WINGATE WEB LLC","84042","1","2007-09-30T00:00:00.000","2010-09-30T00:00:00.000","Software engineer","2007-08-07T18:10:00.000","2007-09-30T00:00:00.000","2010-09-30T00:00:00.000","30","Certified","69243.00","Year","69243.00","N","Lindon","UT","69243.00","S",,,,,,,,,,,,,"N","387 S 520 W
LINDON, UT 
(40.33053593800048, -111.72763481399971)",
"2006-11-02T16:09:00.000","I-06306-2883317","R","Tomax Corporation","84101","1","2006-11-09T00:00:00.000","2009-11-09T00:00:00.000","Java Programmer Analyst","2006-11-02T16:09:00.000","2006-11-09T00:00:00.000","2009-11-09T00:00:00.000","30","Certified","75000.00","Year",,"N","Salt Lake City","UT","68349.00","O","2006","OES Wage Data",,,,,,,,,,,"Y","224 South 200 West
Salt Lake City, UT 
(40.76424098600046, -111.8968773579997)",
"2006-11-03T17:41:00.000","I-06307-2885475","R","Waterford Institute, Inc.","84101","1","2006-11-13T00:00:00.000","2009-11-13T00:00:00.000","Education Project Development Man. /Latin America","2006-11-03T17:41:00.000","2006-11-13T00:00:00.000","2009-11-13T00:00:00.000","99","Certified","65000.00","Year",,"N","Salt Lake City","UT","55058.00","O","2006","SWA",,,,,,,,,,,"N","55 West 900 South
Salt Lake City, UT 
(40.74975334700048, -111.89288009299969)",
"2007-05-16T19:14:00.000","I-07136-3461963","R","Suh'dutsing Technologies, LLC",,"1","2007-10-16T00:00:00.000","2010-10-15T00:00:00.000","Programmer Analyst","2007-05-16T19:14:00.000","2007-10-16T00:00:00.000","2010-10-15T00:00:00.000","30","Certified","62200.00","Year",,"N","Cedar City","UT","54400.00","O","2006","Watson Wyatt Data Services","62200.00","Year",,"N","Suitland","UT","62200.00","O","2006","Watson Wyatt Data Services","Y","600 North 100 East
Cedar City, UT 
(37.68797533400044, -113.06020026799968)",
"2007-03-10T12:17:00.000","I-07069-3093781","R","Otter Lake Productions, L.L.C.","84106","1","2007-09-10T00:00:00.000","2010-09-10T00:00:00.000","Producer - production manager","2007-03-10T12:17:00.000","2007-09-10T00:00:00.000","2010-09-10T00:00:00.000","159","Certified","32000.00","Year",,"N","Salt Lake City","UT","28808.00","O","2007","OES Wage Data",,,,,,,,,,,"Y","623 East 2100 South
Salt Lake City, UT 
(40.72546785600048, -111.8731806829997)",
"2007-03-29T10:48:00.000","I-07086-3254411","R","The Generations Network, Inc.","84604","1","2007-09-29T00:00:00.000","2010-09-29T00:00:00.000","Software Engineer","2007-03-29T10:48:00.000","2007-09-29T00:00:00.000","2010-09-29T00:00:00.000","30","Certified","50000.00","Year",,"N","Provo","UT","39437.00","O","2007","Online Wage Library",,,,,,,,,,,"N","360 West 4800 South
Provo, UT 
(40.297337547000495, -111.6643365169997)",
"2007-09-04T16:03:00.000","I-07247-3644021","R","CAO Group, Inc.","84084","1","2007-10-01T00:00:00.000","2010-09-30T00:00:00.000","Software Application Engineer","2007-09-04T16:03:00.000","2007-10-01T00:00:00.000","2010-09-30T00:00:00.000","39","Certified","57574.00","Year",,"N","West Jordan","UT","53227.00","O","2007","Online Wage Library",,,,,,,,,,,"N","4628 W. Skyhawk Drive
West Jordan, UT 
(40.62947058800046, -112.00135309399968)",
"2007-02-12T16:22:00.000","I-07043-3028063","R","Intermountain Healthcare","84123","1","2007-04-09T00:00:00.000","2010-04-09T00:00:00.000","Medical Knowledge Engineer-Java Programmer","2007-02-12T16:22:00.000","2007-04-09T00:00:00.000","2010-04-09T00:00:00.000","30","Certified","74880.00","Year",,"N","Salt Lake County","UT","71718.00","O","2007","OES Wage Data",,,,,,,,,,,"N","5770 So. 1500 West
Salt Lake City, UT 
(40.647040098000446, -111.93395663399968)",
"2007-03-29T19:37:00.000","I-07086-3263381","R","White Towel Services, Inc.","84120","1","2007-09-29T00:00:00.000","2010-09-28T00:00:00.000","Technical Translator / Account Manager","2007-03-29T19:37:00.000","2007-09-29T00:00:00.000","2010-09-28T00:00:00.000","137","Certified","26400.00","Year",,"N","Salt Lake City","UT","21341.00","O","2006","Online Wage Library",,,,,,,,,,,"N","3759 West 2340 South
Salt Lake City, UT 
(40.71987155400046, -111.98193405299969)","Suite D
,  "
"2007-05-03T18:07:00.000","I-07123-3437857","R","Hammerton, Inc.",,"1","2007-05-21T00:00:00.000","2010-05-21T00:00:00.000","Manufacturing Manager","2007-05-03T18:07:00.000","2007-05-21T00:00:00.000","2010-05-21T00:00:00.000","12","Certified","70000.00","Year",,"N","Salt Lake City","UT","69722.00","O","2007","OES",,,,,,,,,,,"N","2149 South 3140 West
Salt Lake City, UT 
(40.724811916000476, -111.96595781599967)",
"2007-07-19T18:13:00.000","I-07200-3575131","A","Novatek International Inc.","84606","1","2007-07-19T00:00:00.000","2009-07-01T00:00:00.000","Geophysicist / Business Manager","2007-07-19T18:13:00.000","2007-07-19T00:00:00.000","2009-07-01T00:00:00.000","24","Certified","58.00","Hour",,"N","Houston","UT","57.09","S",,,"58.00","Hour",,"N","Provo","UT","35.39","S",,,"N","2185 South Larsen Parkway
Provo, UT 
(40.233703971000466, -111.66849735299968)",
"2007-04-09T13:31:00.000","I-07099-3379781","R","Snowbird Corporation","84092","1","2007-04-15T00:00:00.000","2010-04-15T00:00:00.000","Assistant General Hotel Manager","2007-04-09T13:31:00.000","2007-04-15T00:00:00.000","2010-04-15T00:00:00.000","187","Certified","24000.00","Year",,"N","Snowbird","UT","23000.00","O","2007","FLC",,,,,,,,,,,"N","State Highway 210 Little Cottonwood Canyon Rd
Snowbird, UT 
(40.5808624120005, -111.66278961099971)",
"2006-10-10T17:01:00.000","I-06283-2845589","R","1-800 CONTACTS, INC.","84020","1","2007-01-09T00:00:00.000","2007-11-30T00:00:00.000","Director, Corporate Development/Financial Planning","2006-10-10T17:01:00.000","2007-01-09T00:00:00.000","2007-11-30T00:00:00.000","186","Certified","115000.00","Year",,"N","Draper","UT","96928.00","O","2006","Online Wage Library",,,,,,,,,,,"N","66 E. Wadsworth Park Drive
Draper, UT 
(40.501897665000456, -111.8900313309997)",
"2007-06-25T18:12:00.000","I-07176-3531849","R","Zions Bancorporation","84111","1","2007-07-16T00:00:00.000","2010-07-16T00:00:00.000","Sr. Programmer/Analyst","2007-06-25T18:12:00.000","2007-07-16T00:00:00.000","2010-07-16T00:00:00.000","30","Certified","80000.00","Year",,"N","Salt Lake City","UT","65021.00","O","2007","OES",,,,,,,,,,,"N","1 South Main Street
Salt Lake City, UT 
(40.76920312900046, -111.89095011299969)",
"2007-07-18T13:06:00.000","I-07199-3571167","R","Amedica Corporation","84108","1","2007-10-25T00:00:00.000","2010-10-24T00:00:00.000","Materials Engineer","2007-07-18T13:06:00.000","2007-10-25T00:00:00.000","2010-10-24T00:00:00.000","8","Certified","43000.00","Year",,"N","Salt Lake City","UT","34819.00","O","2007","OES",,,,,,,,,,,"N","615 Arapeen Drive
Salt Lake City, UT 
(40.75664954700045, -111.82795146599972)","Suite 302
,  "
"2007-04-01T13:02:00.000","I-07091-3349349","R","Iwo Creative Design Group, Inc.","84321","1","2007-10-01T00:00:00.000","2010-10-01T00:00:00.000","Graphic Designer","2007-04-01T13:02:00.000","2007-10-01T00:00:00.000","2010-10-01T00:00:00.000","141","Certified","40000.00","Year",,"N","Logan","UT","31325.00","O","2007","Online OES Wage Library",,,,,,,,,,,"N","106 Church Street
Logan, UT 
(41.73343235100049, -111.83365561199969)",
"2007-03-29T03:47:00.000","I-07088-3296879","R","Technosai Global Solutions LLC","84088","3","2007-09-29T00:00:00.000","2010-09-28T00:00:00.000","Programmer Analyst","2007-03-29T03:47:00.000","2007-09-29T00:00:00.000","2010-09-28T00:00:00.000","30","Certified","40000.00","Year","45000.00","N","Salt Lake City","UT","34341.00","O","2007","Online Wage Library",,,,,,,,,,,"N","8783 South 2240 West
West Jordan, UT 
(40.591660282000475, -111.94888444599968)",
"2007-03-19T08:42:00.000","I-07073-3111559","R","Pioneer Valley Hospital","84120","1","2007-09-01T00:00:00.000","2010-09-01T00:00:00.000","Hospitalist","2007-03-19T08:42:00.000","2007-09-01T00:00:00.000","2010-09-01T00:00:00.000","47","Certified","160000.00","Year",,"N","West Valley City","UT","141606.00","O","2006","OES Online Wage Library",,,,,,,,,,,"N","3460 South Pioneer Parkway
West Valley City, UT 
(40.69669077000049, -111.99035622099967)",
"2007-03-30T15:34:00.000","I-07089-3333171","R","NITYA Software Solutions, LLC","84119","2","2007-09-29T00:00:00.000","2010-09-29T00:00:00.000","Programmer Analyst","2007-03-30T15:34:00.000","2007-09-29T00:00:00.000","2010-09-29T00:00:00.000","30","Certified","34341.00","Year",,"N","West Valley City","UT","34341.00","O","2006","Online Wage Library",,,,,,,,,,,"N","2162 W. 3100 S. # 41
Salt Lake City, UT 
(40.70396101400047, -111.94729922899967)",
"2007-03-27T18:40:00.000","I-07079-3157943","R","Kennecott Utah Copper Corporation",,"1","2007-09-27T00:00:00.000","2010-09-27T00:00:00.000","Senior Mineralogist","2007-03-27T18:40:00.000","2007-09-27T00:00:00.000","2010-09-27T00:00:00.000","24","Certified","70000.00","Year",,"N","Magna","UT","52208.00","O","2007","OES Wage Survey",,,,,,,,,,,"N","8362 West 10200 South
Bingham Canyon, UT 
(40.5661280220005, -112.09027057599968)","P.O. Box 351
,  "
"2007-07-10T10:14:00.000","I-07191-3553403","R","Fairchild Semiconductor","84088","1","2007-07-16T00:00:00.000","2008-07-16T00:00:00.000","Technical Marketing Project Manager",,,,"3","Hold","110000.00","Year","120000.00","N","San Jose","UT","108300.00","O","2007","The Survey Group",,,,,,,,,,,"Y","3333 West 9000 South
West Jordan, UT 
(40.5877229350005, -111.96951028999968)",
"2007-04-16T09:58:00.000","I-07106-3395627","R","Wasatch Front Regional Council","84116","1","2007-10-01T00:00:00.000","2010-09-30T00:00:00.000","Transportation Engineer","2007-04-16T09:58:00.000","2007-10-01T00:00:00.000","2010-09-30T00:00:00.000","5","Certified","50731.00","Year",,"N","Salt Lake City","UT","50731.00","O","2007","Occupational Employment Stats",,,,,,,,,,,"N","295 N. Jimmy Doolitte Road
Salt Lake City, UT 
(40.66726905100046, -111.92357267799969)",
"2007-03-20T14:13:00.000","I-07079-3158571","R","IM Flash Technologies, LLC","84043","1","2007-09-20T00:00:00.000","2010-09-19T00:00:00.000","Process Engineer","2007-03-20T14:13:00.000","2007-09-20T00:00:00.000","2010-09-19T00:00:00.000","3","Certified","65000.00","Year",,"N","Lehi","UT","39811.00","S",,,,,,,,,,,,,"N","1550 East 3400 North
Lehi, UT 
(40.4317194570005, -111.82544281799971)",
"2007-02-03T12:10:00.000","I-07034-3013303","R","Tomax Corporation","84101","1","2007-03-10T00:00:00.000","2010-03-10T00:00:00.000","Programmer Analyst/Development Mgr.","2007-02-03T12:10:00.000","2007-03-10T00:00:00.000","2010-03-10T00:00:00.000","30","Certified","100000.00","Year",,"N","Salt Lake City","UT","85738.00","O","2007","OES Wage Data",,,,,,,,,,,"N","224 South 200 West
Salt Lake City, UT 
(40.76424098600046, -111.8968773579997)",
"2007-03-20T13:27:00.000","I-07079-3157617","R","NITYA SOFTWARE SOLUTIONS LLC","84119","1","2007-03-20T00:00:00.000","2010-03-20T00:00:00.000","PROGRAMMER ANALYST","2007-03-20T13:27:00.000","2007-03-20T00:00:00.000","2010-03-20T00:00:00.000","30","Certified","34341.00","Year",,"N","WEST VALLEY","UT","34341.00","O","2006","online wage library",,,,,,,,,,,"N","2162, WEST 3100 SOUTH
WEST VALLEY, UT 
(40.70396101400047, -111.94729922899967)","SUITE 41
,  "
"2006-12-14T15:12:00.000","I-06346-2935901","R","Galileo Processing, Inc.","84121","1","2006-12-18T00:00:00.000","2009-12-17T00:00:00.000","Database Programmer","2006-12-14T15:12:00.000","2006-12-18T00:00:00.000","2009-12-17T00:00:00.000","30","Certified","50000.00","Year",,"N","Salt Lake City","UT","34341.00","O","2006","FLC Online Wage Library",,,,,,,,,,,"N","6550 South Millrock
Salt Lake City, UT 
(40.63153269000048, -111.8006629789997)","Suite 100
,  "
"2007-08-02T19:33:00.000","I-07214-3598509","R","Wingate Web","84042","1","2007-09-30T00:00:00.000","2010-09-30T00:00:00.000","Software engineer","2007-08-02T19:33:00.000","2007-09-30T00:00:00.000","2010-09-30T00:00:00.000","30","Certified","69243.00","Year","69243.00","N","Lindon","UT","69243.00","S",,,,,,,,,,,,,"N","387 S 520 W
Lindon, UT 
(40.33053593800048, -111.72763481399971)",
"2007-03-28T19:27:00.000","I-07087-3291259","R","Velosum Inc","84070","1","2007-09-28T00:00:00.000","2010-09-28T00:00:00.000","J2ME programmer","2007-03-28T19:27:00.000","2007-09-28T00:00:00.000","2010-09-28T00:00:00.000","30","Certified","54000.00","Year",,"N","Sandy","UT","51355.00","O","2007","OES",,,,,,,,,,,"N","9690 South 300 West
Sandy, UT 
(40.57518464900045, -111.9008434909997)","313
,  "
"2007-03-29T13:07:00.000","I-07088-3304111","R","IM Flash Technologies, LLC","84043","1","2007-09-29T00:00:00.000","2010-09-28T00:00:00.000","CVD Engineer","2007-03-29T13:07:00.000","2007-09-29T00:00:00.000","2010-09-28T00:00:00.000","3","Certified","68000.00","Year",,"N","Lehi","UT","55058.00","O","2007","OES Wage Data",,,,,,,,,,,"N","1550 East 3400 North
Lehi, UT 
(40.4317194570005, -111.82544281799971)",
"2007-01-19T12:57:00.000","I-07019-2987955","R","International Bridge, Inc. dba ParcelPool.com","84097","1","2007-02-01T00:00:00.000","2010-02-01T00:00:00.000","CFO/Senior Accountant","2007-01-19T12:57:00.000","2007-02-01T00:00:00.000","2010-02-01T00:00:00.000","160","Certified","36.19","Hour",,"Y","Orem","UT","36.19","O","2006","OES",,,,,,,,,,,"N","525 East Technology Ave. Suite C
Orem, UT 
(40.3261821210005, -111.6825687009997)",
"2007-07-12T13:03:00.000","I-07193-3560171","R","APPLESOFT INC.","84003","1","2007-07-16T00:00:00.000","2010-07-15T00:00:00.000","COMPUTER PROGRAMMER","2007-07-12T13:03:00.000","2007-07-16T00:00:00.000","2010-07-15T00:00:00.000","30","Certified","47965.00","Year",,"N","DALLAS","UT","47965.00","O","2006","OES",,,,,,,,,,,"N","356 North Meadow Lane
AMERICAN FORK, UT 
(40.38410004400049, -111.8190328069997)","#D-9-333
,  "
"2007-06-08T14:05:00.000","I-07159-3502541","R","HyClone Laboratories Inc.","84321","1","2007-10-01T00:00:00.000","2010-09-30T00:00:00.000","International Operation Analyst","2007-06-08T14:05:00.000","2007-10-01T00:00:00.000","2010-09-30T00:00:00.000","161","Certified","471000.00","Year",,"N","Logan","UT","471000.00","O","2007","Employer's Own Survey",,,,,,,,,,,"N","925 West, 1800 South
Logan, UT 
(41.70011295500046, -111.85771237899968)",
"2007-03-15T14:43:00.000","I-07074-3123371","R","Multiling Corporation","84601","1","2007-09-15T00:00:00.000","2010-09-15T00:00:00.000","Chinese Editor/Reviewer","2007-03-15T14:43:00.000","2007-09-15T00:00:00.000","2010-09-15T00:00:00.000","139","Certified","42000.00","Year",,"N","Provo","UT","41205.00","O","2007","OES Wage Data",,,,,,,,,,,"N","86 North University Avenue, 3rd Floor
Provo, UT 
(40.23488864100045, -111.65865483399966)",
"2007-03-19T20:06:00.000","I-07078-3151701","R","Western Investment LLC","84121","1","2007-09-19T00:00:00.000","2010-09-19T00:00:00.000","Financial Analyst","2007-03-19T20:06:00.000","2007-09-19T00:00:00.000","2010-09-19T00:00:00.000","160","Certified","44000.00","Year",,"N","Salt Lake City","UT","41766.00","O","2007","OES Wage Data",,,,,,,,,,,"N","2855 E. Cottonwood Parkway, Suite 110
Salt Lake Citiy, UT 
(40.63278752400049, -111.81142989999967)",
"2007-04-09T13:25:00.000","I-07099-3379753","R","Snowbird Corporation","84092","1","2007-04-15T00:00:00.000","2010-04-15T00:00:00.000","Assistant General Hotel Manager","2007-04-09T13:25:00.000","2007-04-15T00:00:00.000","2010-04-15T00:00:00.000","187","Certified","24000.00","Year",,"N","Snowbird","UT","23000.00","O","2007","FLC",,,,,,,,,,,"N","State Highway 210 Little Cottonwood Canyon Rd
Snowbird, UT 
(40.5808624120005, -111.66278961099971)",
"2007-09-18T18:13:00.000","I-07261-3667007","R","IM Flash Technologies, LLC","84043","1","2007-10-01T00:00:00.000","2010-09-30T00:00:00.000","CVD Engineer","2007-09-18T18:13:00.000","2007-10-01T00:00:00.000","2010-09-30T00:00:00.000","3","Certified","68500.00","Year",,"N","Lehi","UT","41163.00","O","2007","OES Wage Data",,,,,,,,,,,"N","1550 East 3400 North
Lehi, UT 
(40.4317194570005, -111.82544281799971)",
"2007-01-29T11:26:00.000","I-07022-2990385","C","The Generations Network, Inc.","84604","1","2007-05-31T00:00:00.000","2008-05-30T00:00:00.000","Information Systems Developer","2007-01-29T11:26:00.000","2007-05-31T00:00:00.000","2008-05-30T00:00:00.000","30","Certified","54000.00","Year",,"N","Provo","UT","39437.00","O","2006","Online Wage Library",,,,,,,,,,,"N","360 West 4800 South
Provo, UT 
(40.297337547000495, -111.6643365169997)",
"2007-06-19T20:03:00.000","I-07170-3522603","R","MILLENIUM INTERNATIONAL SERVICES","84040","1","2007-11-19T00:00:00.000","2008-11-19T00:00:00.000","Business Analyst","2007-06-19T20:03:00.000","2007-11-19T00:00:00.000","2008-11-19T00:00:00.000","30","Certified","35000.00","Year",,"N","Layton","UT","35000.00","O","2007","FLC",,,,,,,,,,,"N","1620 East 2400 North
Layton, UT 
(41.095053029000496, -111.9353912259997)",
"2007-03-14T19:28:00.000","I-07073-3117639","R","Intermountain Healthcare","84123","1","2007-05-14T00:00:00.000","2010-05-14T00:00:00.000","User Interface/Interaction Designer","2007-03-14T19:28:00.000","2007-05-14T00:00:00.000","2010-05-14T00:00:00.000","30","Certified","50003.00","Year",,"N","Salt Lake County","UT","43430.00","O","2007","OES Wage Data",,,,,,,,,,,"Y","5770 So. 1500 West
Salt Lake City, UT 
(40.647040098000446, -111.93395663399968)",
"2007-03-28T18:02:00.000","I-07087-3288947","R","IM Flash Technologies, LLC","84043","1","2007-09-28T00:00:00.000","2010-09-27T00:00:00.000","CVD Engineer","2007-03-28T18:02:00.000","2007-09-28T00:00:00.000","2010-09-27T00:00:00.000","3","Certified","67000.00","Year",,"N","Lehi","UT","39811.00","O","2007","OES Wage Data",,,,,,,,,,,"N","1550 East 3400 North
Lehi, UT 
(40.4317194570005, -111.82544281799971)",
"2007-07-30T12:05:00.000","I-07211-3591747","R","Move Networks Inc.","84003","1","2007-08-06T00:00:00.000","2010-08-06T00:00:00.000","Software Development Manager","2007-07-30T12:05:00.000","2007-08-06T00:00:00.000","2010-08-06T00:00:00.000","187","Certified","105000.00","Year",,"N","Utah County","UT","103771.00","O","2007","OES Wage Data",,,,,,,,,,,"N","796 East Utah Valley Drive - 1st Floor
American Fork, UT 
(40.3580229960005, -111.77717158199971)",
"2007-03-05T17:20:00.000","I-07064-3072511","R","Granite School District","84115","1","2007-03-05T00:00:00.000","2010-03-05T00:00:00.000","teacher","2007-03-05T17:20:00.000","2007-03-05T00:00:00.000","2010-03-05T00:00:00.000","92","Certified","35000.00","Year",,"N","Salt lake City","UT","35000.00","S",,,,,,,,,,,,,"N","340 East 3545 South
SALT LAKE CITY, UT 
(40.694082333000495, -111.8558813629997)",
"2007-09-20T13:12:00.000","I-07263-3670535","R","TaxWorks, Inc.","84037","1","2007-10-01T00:00:00.000","2010-10-01T00:00:00.000","Software Engineer","2007-09-20T13:12:00.000","2007-10-01T00:00:00.000","2010-10-01T00:00:00.000","30","Certified","59000.00","Year",,"N","Kaysville","UT","41018.00","O","2007","OES Wage Survey",,,,,,,,,,,"N","350 North 400 West
Kaysville, UT 
(41.0397204570005, -111.9461039899997)",
"2006-12-26T17:08:00.000","I-06360-2954103","R","Swan Valley Construction, LLC","84015","30","2007-01-01T00:00:00.000","2010-01-01T00:00:00.000","Framing Foreman","2006-12-26T17:08:00.000","2007-01-01T00:00:00.000","2010-01-01T00:00:00.000","189","Certified","9.91","Hour",,"N","Salt Lake City","UT","9.91","S",,,,,,,,,,,,,"N","2122 West 1800 North
Clinton, UT 
(41.13991977900048, -112.06674316999971)",
"2007-03-30T16:37:00.000","I-07089-3334817","R","INTELLICASE CORPORATION","84058","1","2007-09-30T00:00:00.000","2010-09-30T00:00:00.000","DIRECTOR OF INTERNATIONAL MARKETING & BUSINESS DEV","2007-03-30T16:37:00.000","2007-09-30T00:00:00.000","2010-09-30T00:00:00.000","63","Certified","88000.00","Year",,"N","OREM","UT","87610.00","O","2007","ONLINE WAGE LIBRARY",,,,,,,,,,,"Y","200 E. CENTER STREET
OREM, UT 
(40.29710363400045, -111.69064080599969)",
"2007-03-16T15:35:00.000","I-07075-3133247","R","Weir Floway Inc.","84110","1","2007-09-16T00:00:00.000","2010-09-16T00:00:00.000","Project Engineer","2007-03-16T15:35:00.000","2007-09-16T00:00:00.000","2010-09-16T00:00:00.000","7","Certified","45000.00","Year",,"N","Fresno","UT","41350.00","O","2006","Online Wage Library",,,,,,,,,,,"N","440 West 800 South
Salt Lake City, UT 
(40.751978403000464, -111.90386018599969)",
"2007-03-29T18:41:00.000","I-07088-3314557","R","Christensen Industries, Inc.","84115","1","2007-09-29T00:00:00.000","2010-09-29T00:00:00.000","Engineer","2007-03-29T18:41:00.000","2007-09-29T00:00:00.000","2010-09-29T00:00:00.000","7","Certified","40000.00","Year",,"N","Salt Lake City","UT","38938.00","O","2007","OES Wage Data",,,,,,,,,,,"Y","2990 South Main Street
Salt Lake City, UT 
(40.70562095300045, -111.89115627899969)",
"2007-03-29T23:57:00.000","I-07088-3319655","R","NITYA SOFTWARE SOLUTIONS LLC","84119","2","2007-09-29T00:00:00.000","2010-09-29T00:00:00.000","PROGRAMMER ANALYST","2007-03-29T23:57:00.000","2007-09-29T00:00:00.000","2010-09-29T00:00:00.000","30","Certified","34341.00","Year",,"N","WEST VALLEY","UT","34341.00","O","2006","online wage library",,,,,,,,,,,"N","2162, WEST 3100 SOUTH
WEST VALLEY, UT 
(40.70396101400047, -111.94729922899967)","SUITE 41
,  "
