"service_request_id","requested_datetime","updated_datetime","closed_date","status_description","source","service_name","description","agency_responsible","address","city","state","zip","lat","long","geocoded_column"
"42651","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"N WOODLAWN","Bloomington","IN",,,,
"42653","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","INLET IS CLOGGED",,"N COLLEGE","Bloomington","IN",,,,
"44925","2003-06-10T05:00:00.000","2020-10-05T14:42:52.000","2003-06-10T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal",,,"900 S PLEASANT RIDGE ST","Bloomington","IN",,,,
"44928","2003-06-10T05:00:00.000","2016-09-11T22:02:05.000","2003-06-10T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","unclogged",,"700 N HARVEY DR","Bloomington","IN",,,,
"44929","2003-06-10T05:00:00.000","2016-09-11T22:02:05.000","2003-06-10T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal",,,"6TH ST","Bloomington","IN",,,,
"44574","2002-05-29T05:00:00.000","2016-09-11T22:02:05.000","2002-05-29T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Private storm sewer needs vactored.",,"4235 E 3RD","Bloomington","IN",,,,
"44546","2002-05-31T05:00:00.000","2016-09-11T22:02:05.000","2002-05-31T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN BEHIND THE HOUSE IS CLOGGED",,"4100 E Saratoga DR","Bloomington","IN","47408","39.16505051","-86.47867584","POINT (-86.47867584 39.16505051)"
"34911","2004-09-03T05:00:00.000","2020-10-05T14:42:52.000","2004-09-03T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Standing water in back yard after rain-neighbor to the east gets water in basement","Utilities Engineering","725 S Meadowbrook DR","Bloomington","IN","47401","39.15805817","-86.48689270","POINT (-86.4868927 39.15805817)"
"42643","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLOGGED STORM DRAIN",,"E YANCY","Bloomington","IN",,,,
"44918","2003-06-17T05:00:00.000","2016-09-11T22:02:05.000","2003-06-17T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","unclogged storm drain",,"219 E 3RD ST","Bloomington","IN",,,,
"42647","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"3215 E Winston ST","Bloomington","IN","47401","39.14421463","-86.49198151","POINT (-86.49198151 39.14421463)"
"6862","2010-04-29T04:00:00.000","2016-09-11T22:02:05.000","2013-05-28T13:24:21.000","closed","Email","Sidewalk Snow Removal","Storm water has broken concrete and asphalt draining under street. Two small holes on either side of inlet. The drain elevation is also a problem on other end.",,"400 E LAURELWOOD DRIVE DR","Bloomington","IN",,,,
"22968","2007-06-08T04:00:00.000","2016-09-11T22:02:05.000","2007-06-08T04:00:00.000","closed",,"Sidewalk Snow Removal","will not comply and use stickers.  i sent them a letter on 5/4 letting them know that if they did not comply then they would be turned over to you, so i am turning them over to you.  no stickers again today.",,"1483 W Allen ST","Bloomington","IN","47403","39.15546036","-86.54991913","POINT (-86.54991913 39.15546036)"
"37396","2004-04-13T05:00:00.000","2017-06-02T10:08:36.000","2004-04-13T05:00:00.000","closed","Email","Sidewalk Snow Removal","Water run off from several lots behind me is crating an erosion of mud that is affecting my property.","Utilities Engineering","2121 S White Tail RUN","Bloomington","IN","47401","39.14189529","-86.52239990","POINT (-86.5223999 39.14189529)"
"38996","2003-10-16T05:00:00.000","2016-09-11T22:02:05.000","2003-10-16T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Mr. Schmid left a message with Mr. Heald in Utilities, Mr. Heald then forwarded the message to the Eng. Dept. stating that it was the Eng. Dept's problem 

Mr. Schmid has issues with drainage at Covenanter and College Mall Rd. stated that it is not draining properly and was very unhappy with the person who designed the system.",,"2114 S Smith RD","Bloomington","IN","47401","39.14714432","-86.48141479","POINT (-86.48141479 39.14714432)"
"39102","2003-10-08T05:00:00.000","2016-09-11T22:02:05.000","2003-10-08T05:00:00.000","closed",,"Sidewalk Snow Removal","Mr. Kuh would like to appeal the reimbursement amount of $1,200.00 that he said he was offered by Mike Phillips for stormwater drain pipe improvements he installed.",,"3259 S Southern Oaks DR","Bloomington","IN","47401","39.13231659","-86.50331116","POINT (-86.50331116 39.13231659)"
"40368","2003-07-08T05:00:00.000","2016-09-11T22:02:05.000","2003-07-08T05:00:00.000","closed","Letter","Sidewalk Snow Removal","Mike called to report a large hole in the pavement by the curb.  He said it appears to be storm work being done and had caved in.",,"E 11TH ST","Bloomington","IN",,,,
"40834","2003-05-23T05:00:00.000","2016-09-11T22:02:05.000","2003-05-23T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal",,,"304 E 19th ST","Bloomington","IN","47408","39.18082047","-86.53034973","POINT (-86.53034973 39.18082047)"
"40864","2003-05-21T05:00:00.000","2016-09-11T22:02:05.000","2003-05-21T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","needs gravel in street cut",,"N 10TH ST","Bloomington","IN",,,,
"40909","2003-05-16T05:00:00.000","2016-09-11T22:02:05.000","2003-05-16T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal",,,"119 S Glenwood W AVE","Bloomington","IN","47408","39.16521454","-86.48959351","POINT (-86.48959351 39.16521454)"
"40910","2003-05-16T05:00:00.000","2016-09-11T22:02:05.000","2003-05-16T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","storm sewer lid was off but man cutting grass replaced it",,"5900 S Rogers ST","Bloomington","IN","47403","39.10192490","-86.53954315","POINT (-86.53954315 39.1019249)"
"40912","2003-05-16T05:00:00.000","2016-09-11T22:02:05.000","2003-05-16T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","storm drain is clogged",,"1208 S EAST BRANCH ST","Bloomington","IN",,,,
"40914","2003-05-16T05:00:00.000","2016-09-11T22:02:05.000","2003-05-16T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","storm drain is clogged and overflowing",,"1815 S SOUTHDOWNS DR","Bloomington","IN",,,,
"40915","2003-05-16T05:00:00.000","2016-09-11T22:02:05.000","2003-05-16T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","storm drain clogged",,"964 S GREYSTONE ST","Bloomington","IN",,,,
"40916","2003-05-16T05:00:00.000","2016-09-11T22:02:05.000","2003-05-16T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","drain pipe has exited from current location and could cause flooding",,"2704 S SKYLINE DR","Bloomington","IN",,,,
"40917","2003-05-16T05:00:00.000","2016-09-11T22:02:05.000","2003-05-16T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","alley between 310 312 n park is flooded",,"312 W PARK AVE","Bloomington","IN",,,,
"40918","2003-05-16T05:00:00.000","2016-09-11T22:02:05.000","2003-05-16T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","2 storm drains clogged",,"4112 S SARATOGA DR","Bloomington","IN",,,,
"40975","2003-05-13T05:00:00.000","2016-09-11T22:02:05.000","2003-05-13T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","would like storm ditch cleaned out",,"2611 N Skyline DR","Bloomington","IN","47404","39.19187546","-86.54115295","POINT (-86.54115295 39.19187546)"
"40977","2003-05-13T05:00:00.000","2016-09-11T22:02:05.000","2003-05-13T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","stopped up storm drain ne corner of 8th +college",,"W 8TH ST","Bloomington","IN",,,,
"40987","2003-05-13T05:00:00.000","2016-09-11T22:02:05.000","2003-05-13T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","storm drain lid missing",,"626 S Western DR","Bloomington","IN","47403","39.16105270","-86.58709717","POINT (-86.58709717 39.1610527)"
"41425","2003-03-20T05:00:00.000","2016-09-11T22:02:05.000","2003-03-20T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLOGGED STORM DRAIN",,"515 S Walnut ST","Bloomington","IN","47401","39.16064453","-86.53317261","POINT (-86.53317261 39.16064453)"
"41441","2003-03-17T05:00:00.000","2016-09-11T22:02:05.000","2003-03-17T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","PIPE WITH NO CAP ON IT AND HOLE IN THE STREET",,"300 N Jordan AVE","Bloomington","IN","47408","39.16821289","-86.51557159","POINT (-86.51557159 39.16821289)"
"41442","2003-03-17T05:00:00.000","2016-09-11T22:02:05.000","2003-03-17T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","LARGE HOLE NEXT TO STORM DRAIN",,"3232 E SOUTHERN OAKS","Bloomington","IN",,,,
"41444","2003-03-17T05:00:00.000","2016-09-11T22:02:05.000","2003-03-17T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED.",,"2006 W 3rd ST","Bloomington","IN","47404","39.16490173","-86.56062317","POINT (-86.56062317 39.16490173)"
"41445","2003-03-17T05:00:00.000","2016-09-11T22:02:05.000","2003-03-17T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"W BRIARCLIFF","Bloomington","IN",,,,
"41500","2003-03-06T05:00:00.000","2016-09-11T22:02:05.000","2003-03-06T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Drainage culvert on Henderson & Graham Place that empties into retention pond is chipped and a hazard.",,"S HENDERSON ST","Bloomington","IN",,,,
"41595","2003-02-20T05:00:00.000","2016-09-11T22:02:05.000","2003-02-20T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Storm drains are always clogged at 17th & Madison Streets.",,"W 17TH","Bloomington","IN",,,,
"41604","2003-02-20T05:00:00.000","2016-09-11T22:02:05.000","2003-02-20T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","INSTALLED A CULVERT AND GROUND HAS SUNK IN, NEEDS MORE FILL DIRT.",,"E FIELDCREST","Bloomington","IN",,,,
"41612","2003-02-20T05:00:00.000","2019-01-10T09:01:17.000","2003-02-20T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLOGGED STORM SEWER",,"N 17TH","Bloomington","IN",,,,
"41613","2003-02-20T05:00:00.000","2016-09-11T22:02:05.000","2003-02-20T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"1516 S HIGH","Bloomington","IN",,,,
"41670","2003-02-12T05:00:00.000","2016-09-11T22:02:05.000","2003-02-12T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM GRATE IS UPSIDE DOWN",,"E KIRKWOOD","Bloomington","IN",,,,
"41671","2003-02-12T05:00:00.000","2016-09-11T22:02:05.000","2003-02-12T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"1340 E Sheridan DR","Bloomington","IN","47401","39.15571976","-86.51634979","POINT (-86.51634979 39.15571976)"
"41672","2003-02-12T05:00:00.000","2016-09-11T22:02:05.000","2003-02-12T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","ALLEY IS FLOODED WITH WATER, CLOGGED INLET",,"E 7TH","Bloomington","IN",,,,
"42070","2002-12-31T05:00:00.000","2016-09-11T22:02:05.000","2002-12-31T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM GRATE IS TOO LOW",,"W 11TH","Bloomington","IN",,,,
"42212","2002-11-20T05:00:00.000","2016-09-11T22:02:05.000","2002-11-20T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Mr. Vanest called and stated that neighbor directly behind his property was building up his property line with dirt. This will cause drainage problems for Mr. Vanest. Mr. Vanest would like for someone to investigate.",,"3515 E Park LN","Bloomington","IN","47408","39.16554642","-86.48760986","POINT (-86.48760986 39.16554642)"
"42217","2002-11-20T05:00:00.000","2016-09-11T22:02:05.000","2002-11-20T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","GRAVEL WASHES OUT OF THE DRIVE WAY, AFTER ALLEN STREET WORK.",,"1101 S Rogers ST","Bloomington","IN","47403","39.15549469","-86.53846741","POINT (-86.53846741 39.15549469)"
"42394","2002-10-30T05:00:00.000","2016-09-11T22:02:05.000","2002-10-30T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"3707 E Winston ST","Bloomington","IN","47401","39.14599991","-86.48478699","POINT (-86.48478699 39.14599991)"
"42396","2002-10-30T05:00:00.000","2016-09-11T22:02:05.000","2002-10-30T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLOGGED STORM DRAIN",,"E 4TH","Bloomington","IN",,,,
"42397","2002-10-30T05:00:00.000","2016-09-11T22:02:05.000","2002-10-30T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLOGGED STORM DRAIN",,"2217 E Wimbleton LN","Bloomington","IN","47401","39.14404678","-86.50615692","POINT (-86.50615692 39.14404678)"
"42444","2002-10-25T05:00:00.000","2016-09-11T22:02:05.000","2002-10-25T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLEAN OUT STORM DRAIN DITCH",,"1900 E Ruby LN","Bloomington","IN","47401","39.15435410","-86.51086426","POINT (-86.51086426 39.1543541)"
"42641","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM WATER FLOWING INTO HER BASEMENT",,"2303 S Milton DR","Bloomington","IN","47403","39.14175415","-86.53981018","POINT (-86.53981018 39.14175415)"
"42642","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"N 10TH","Bloomington","IN",,,,
"42654","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN DITCH PAVEMENT HAS LARGE HOLES AND IS FALLING APART",,"1727 E Windsor DR","Bloomington","IN","47401","39.14693451","-86.51208496","POINT (-86.51208496 39.14693451)"
"42657","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","WANTS CULVERT PUT IN DRIVE WAY",,"1305 S Park AVE","Bloomington","IN","47401","39.15188599","-86.52341461","POINT (-86.52341461 39.15188599)"
"42659","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM GRATE HAS FALLEN IN",,"533 W VILLAGE","Bloomington","IN",,,,
"42661","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN EXPOSED, GRAVEL WASHED AWAY",,"2922 S Walnut Street PIKE","Bloomington","IN","47401","39.13195419","-86.52709961","POINT (-86.52709961 39.13195419)"
"42666","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","WHEN WILL ANOTHER STORM DRAIN BE INSTALLED",,"1112 W CHASEWAY","Bloomington","IN",,,,
"42671","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM SEWER IN BACK NEEDS DIRT AROUND IT",,"1347 S BROWNING","Bloomington","IN",,,,
"42678","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","WANTS WEEDS CUT FROM THE STROM DITCH",,"1314 W 5TH","Bloomington","IN",,,,
"42680","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","NO STROM DRAIN, SAYS YARD IS THE STORM DRAIN",,"510 S Rose AVE","Bloomington","IN","47401","39.16156387","-86.51126099","POINT (-86.51126099 39.16156387)"
"42682","2002-10-04T05:00:00.000","2016-09-11T22:02:05.000","2002-10-04T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLOGGED STORM DRAIN IN FRONT OF DENNYS",,"N WALNUT","Bloomington","IN",,,,
"42884","2002-09-17T05:00:00.000","2016-09-11T22:02:05.000","2002-09-17T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN AT END OF DRIVE IS CLOGGED",,"640 S Walker ST","Bloomington","IN","47403","39.15993118","-86.54631042","POINT (-86.54631042 39.15993118)"
"42885","2002-09-17T05:00:00.000","2016-09-11T22:02:05.000","2002-09-17T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"4100 E Saratoga DR","Bloomington","IN","47408","39.16505051","-86.47867584","POINT (-86.47867584 39.16505051)"
"42903","2002-09-16T05:00:00.000","2016-09-11T22:02:05.000","2002-09-16T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM PIPE IS CRUSHED, CUSTOMER WANTS IT REPAIRED.",,"803 S CHEROKEE","Bloomington","IN",,,,
"42992","2002-09-09T05:00:00.000","2016-09-11T22:02:05.000","2002-09-09T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN CANT HANDLE HEAVY RAINS, AND WATER FLOWS OVER IT",,"555 N Morton ST","Bloomington","IN","47404","39.17153549","-86.53636169","POINT (-86.53636169 39.17153549)"
"43384","2002-08-12T05:00:00.000","2016-09-11T22:02:05.000","2002-08-12T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLOGGED STORM DRAIN",,"N SMITH","Bloomington","IN",,,,
"43613","2002-07-29T05:00:00.000","2016-09-11T22:02:05.000","2002-07-29T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","DRAINAGE AREA IS SUNKEN IN",,"3600 N Prow RD","Bloomington","IN","47404","39.20600510","-86.55116272","POINT (-86.55116272 39.2060051)"
"43630","2002-07-29T05:00:00.000","2016-09-11T22:02:05.000","2002-07-29T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLEAN INLET",,"400 S Swain AVE","Bloomington","IN","47401","39.16297150","-86.51536560","POINT (-86.5153656 39.1629715)"
"43750","2002-07-17T05:00:00.000","2016-09-11T22:02:05.000","2002-07-17T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Standing water in yard of old house next door; is concerned about mosquitos.  Also the weeds are very high.",,"1753 S Park AVE","Bloomington","IN","47401","39.14745712","-86.52407074","POINT (-86.52407074 39.14745712)"
"43891","2002-07-05T05:00:00.000","2016-09-11T22:02:05.000","2002-07-05T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"1300 E 3rd ST","Bloomington","IN",,,,
"43895","2002-07-05T05:00:00.000","2016-09-11T22:02:05.000","2002-07-05T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DITCH IN FRONT OF HOUSE NEEDS WORK ON IT",,"1013 S Washington ST","Bloomington","IN","47401","39.15440369","-86.53227997","POINT (-86.53227997 39.15440369)"
"43898","2002-07-05T05:00:00.000","2016-09-11T22:02:05.000","2002-07-05T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM SEWER PIPE MAY BE DAMAGED, WILL SEE SINK HOLES",,"1618 E GREENFIELD","Bloomington","IN",,,,
"43900","2002-07-05T05:00:00.000","2016-09-11T22:02:05.000","2002-07-05T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CUSTOMER SAYS HE NEEDS DRAINING DITCHES IN FRONT OF THE HOUSE",,"1924 E Viva DR","Bloomington","IN","47401","39.15245056","-86.50991058","POINT (-86.50991058 39.15245056)"
"43922","2002-07-05T05:00:00.000","2016-09-11T22:02:05.000","2002-07-05T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"827 W 11th ST","Bloomington","IN","47404","39.17315674","-86.54356384","POINT (-86.54356384 39.17315674)"
"43935","2002-07-05T05:00:00.000","2016-09-11T22:02:05.000","2002-07-05T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"2516 E Eastgate LN","Bloomington","IN","47408","39.16999435","-86.50268555","POINT (-86.50268555 39.16999435)"
"43936","2002-07-05T05:00:00.000","2016-09-11T22:02:05.000","2002-07-05T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DITHC HAS FILLED UP WITH DEBRIS, CUSTOMER WOULD LIKE THIS REPAIRED
'",,"1212 S High ST","Bloomington","IN","47401","39.15451050","-86.50876617","POINT (-86.50876617 39.1545105)"
"43939","2002-07-05T05:00:00.000","2016-09-11T22:02:05.000","2002-07-05T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","DRAINAGE AREA IS SUNKEN IN",,"3600 N Prow RD","Bloomington","IN","47404","39.20600510","-86.55116272","POINT (-86.55116272 39.2060051)"
"43943","2002-07-05T05:00:00.000","2016-09-11T22:02:05.000","2002-07-05T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"320 S Wynnedale DR","Bloomington","IN","47403","39.16383743","-86.57048035","POINT (-86.57048035 39.16383743)"
"43946","2002-07-05T05:00:00.000","2016-09-11T22:02:05.000","2002-07-05T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","DRAIN OUT SIDE THE DOOR IS OVER FLOWING INTO THE BUILDING",,"213 S Rogers ST","Bloomington","IN","47404","39.16500854","-86.53849792","POINT (-86.53849792 39.16500854)"
"43988","2002-07-02T05:00:00.000","2016-09-11T22:02:05.000","2002-07-02T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED UP",,"E YANCY","Bloomington","IN",,,,
"44005","2002-07-02T05:00:00.000","2016-09-11T22:02:05.000","2002-07-02T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN GRATE IS BROKEN AND CAVED IN",,"2600 S Rogers ST","Bloomington","IN","47403","39.13820267","-86.53870392","POINT (-86.53870392 39.13820267)"
"44011","2002-07-02T05:00:00.000","2016-09-11T22:02:05.000","2002-07-02T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","DRAINAGE DITCH IS FLOODING IN THE BACK YARD",,"2737 N PINE MEADOWS","Bloomington","IN",,,,
"44012","2002-07-02T05:00:00.000","2016-09-11T22:02:05.000","2002-07-02T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","FLOODED INLET",,"102 N Clark ST","Bloomington","IN","47408","39.16689682","-86.50470734","POINT (-86.50470734 39.16689682)"
"44079","2002-06-26T05:00:00.000","2016-09-11T22:02:05.000","2002-06-26T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN AT RESIDENT BACKED UP AND CUSTOMER FEELS THIS IS CAUSING A RAT PROBLEM IN HER AND HER NEIGHBORS YARD.",,"2815 E DALE","Bloomington","IN",,,,
"44117","2002-06-24T05:00:00.000","2016-09-11T22:02:05.000","2002-06-24T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Ms. Glenn called and stated that the stormwater drain at 2815 Dale Court was backed up. She feels that this causes rats in her yard and her neighbor's yard. She would like to be called today (6/24) to discuss the matter.",,"2815 S Dale CT","Bloomington","IN","47401","39.14173889","-86.48879242","POINT (-86.48879242 39.14173889)"
"44261","2002-06-17T05:00:00.000","2016-09-11T22:02:05.000","2002-06-17T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN ISNT DRAINING CORRECTLY",,"3249 S Southern Oaks DR","Bloomington","IN","47401","39.13236618","-86.50273132","POINT (-86.50273132 39.13236618)"
"44376","2002-06-11T05:00:00.000","2016-09-11T22:02:05.000","2002-06-11T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Mr. Koch believes that the four retention ponds that the city built to deal with storm water run off around Clarizz Boulevard is a breeding ground for mosquitoes and other insects.  He wants the city  to remove some of these ponds.  He would like to speak to the Storm Water Engineer regarding the need to have four ponds.",,"3420 E Adair LN","Bloomington","IN","47401","39.15898514","-86.48953247","POINT (-86.48953247 39.15898514)"
"44424","2002-06-07T05:00:00.000","2016-09-11T22:02:05.000","2002-06-07T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Ms. Gregory called to report that the stormwater drain in front of her house was stopped up. Her driveway is flooded. She would like to know why her driveway always floods, and her neighbors' do not.",,"2949 E RAMBLE RD","Bloomington","IN",,,,
"44535","2002-05-31T05:00:00.000","2016-09-11T22:02:05.000","2002-05-31T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","DRAINAGE DITCH IN FRONT OF THE HOUSE IS WASHING AWAY EXPOSING TREE ROOTS",,"1321 E WINFIELD","Bloomington","IN",,,,
"45275","2002-05-13T05:00:00.000","2016-09-11T22:02:05.000","2002-05-13T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CONCERNED ABOUT WATER RUN OFF FROM NEW CHURCH BEING BUILT",,"420 W WESTWOOD","Bloomington","IN",,,,
"45280","2002-05-13T05:00:00.000","2016-09-11T22:02:05.000","2002-05-13T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM WATER IS STANDING IN HIS YARD",,"714 W 8th ST","Bloomington","IN","47404","39.16971207","-86.54180145","POINT (-86.54180145 39.16971207)"
