"street_id","street_status","dir","street_name","suffix","post_dir","name_type","start_date"
"1","current","E","10th","STREET",,"STREET","2000-01-01T00:00:00.000"
"2","current","W","10th","STREET",,"STREET","2000-01-01T00:00:00.000"
"3","current","E","11th","STREET",,"STREET","2000-01-01T00:00:00.000"
"4","current","W","11th","STREET",,"STREET","2000-01-01T00:00:00.000"
"5","current","W","12th","COURT",,"STREET","2000-01-01T00:00:00.000"
"6","current","E","12th","STREET",,"STREET","2000-01-01T00:00:00.000"
"7","current","W","12th","STREET",,"STREET","2000-01-01T00:00:00.000"
"8","current","W","13th","COURT",,"STREET","2000-01-01T00:00:00.000"
"9","current","E","13th","STREET",,"STREET","2000-01-01T00:00:00.000"
"10","current","W","13th","STREET",,"STREET","2000-01-01T00:00:00.000"
"3056","current","W","14th","COURT",,"STREET","2005-07-12T00:00:00.000"
"11","current","E","14th","STREET",,"STREET","2000-01-01T00:00:00.000"
"12","current","W","14th","STREET",,"STREET","2000-01-01T00:00:00.000"
"13","current","E","15th","STREET",,"STREET","2000-01-01T00:00:00.000"
"14","current","W","15th","STREET",,"STREET","2000-01-01T00:00:00.000"
"15","current","E","16th","STREET",,"STREET","2000-01-01T00:00:00.000"
"16","current","W","16th","STREET",,"STREET","2000-01-01T00:00:00.000"
"17","current","E","17th","STREET",,"STREET","2000-01-01T00:00:00.000"
"18","current","W","17th","STREET",,"STREET","2000-01-01T00:00:00.000"
"19","current","E","18th","STREET",,"STREET","2000-01-01T00:00:00.000"
"20","current","E","19th","STREET",,"STREET","2000-01-01T00:00:00.000"
"23","current","E","1st","STREET",,"STREET","2000-01-01T00:00:00.000"
"26","current","W","1st","STREET",,"STREET","2000-01-01T00:00:00.000"
"22","current","E","1st Avenue Sanders",,,"HISTORIC","2000-01-01T00:00:00.000"
"27","current","E","20th","STREET",,"STREET","2000-01-01T00:00:00.000"
"28","current","W","20th","STREET",,"STREET","2000-01-01T00:00:00.000"
"29","current","E","2nd","STREET",,"STREET","2000-01-01T00:00:00.000"
