"precinct","backing_unsafely","brake_lights_defect_or_improper","bus_lane_driving_in","cell_phone","commercial_veh_on_pkwy","defective_brakes","disobey_sign","equipment_other","fail_to_keep_right","fail_to_signal","fail_to_stop_on_signal","following_too_closely","headlights_defect_or_improper","improper_lights","improper_passing","improper_turn","improper_missing_plates","not_giving_r_of_w_to_pedes","not_giving_r_of_w_to_veh","one_way_street","pavement_markings","safety_belt","school_bus_passing_stopped","speeding","spillback","tinted_windows","truck_routes","u_turn","uninspected","uninsured","unlicensed_operator","unregistered","unsafe_lane_change","other_movers","total_precinct_movers","location_1"
" Precinct 40","7","6","0","110","0","0","128","0","2","22","23","2","16","1","5","97","0","40","19","5","19","77","1","92","19","135","6","22","1","76","77","11","6","42","1025","POINT (-73.916387 40.810857)"
"Precinct 41","3","16","0","23","0","0","136","0","0","4","44","0","18","0","2","40","3","10","2","1","5","65","0","64","3","25","10","5","7","46","34","5","1","4","576","POINT (-73.887279 40.814957)"
"Precinct 42","3","12","0","77","0","0","122","0","0","9","53","0","20","4","0","94","0","14","2","2","14","68","3","35","0","76","2","1","2","24","45","5","1","10","698","POINT (-73.89864 40.832554)"
"Precinct 43","5","15","0","25","0","0","53","12","0","26","36","0","9","0","0","60","0","9","0","0","14","50","1","22","0","89","0","3","2","14","38","14","2","45","544","POINT (-73.861463 40.824725)"
"Precinct 44","1","39","0","38","0","0","175","9","0","2","25","0","10","0","0","0","5","1","2","3","5","164","0","0","1","31","0","5","9","14","47","19","2","7","614","POINT (-73.920798 40.833804)"
"Precinct 45","1","16","0","50","1","0","53","0","0","0","9","0","11","0","2","4","0","3","2","2","8","81","0","6","0","110","0","1","2","42","29","7","0","9","449","POINT (-73.816774 40.848829)"
"Precinct 46","2","45","5","91","0","0","134","27","0","11","25","0","40","0","1","5","5","13","2","3","11","53","0","9","5","216","2","13","1","118","46","22","2","126","1033","POINT (-73.909574 40.852747)"
"Precinct 47","1","8","0","34","0","0","26","0","0","0","16","0","30","0","0","32","0","11","0","0","8","78","0","18","0","32","0","0","4","87","53","16","0","17","471","POINT (-73.852288 40.886924)"
"Precinct 48","4","10","1","66","0","0","10","1","0","4","26","2","11","0","0","84","0","0","0","0","16","53","0","146","1","143","2","3","0","9","47","3","0","19","661","POINT (-73.887621 40.849949)"
"Precinct 49","1","21","0","47","0","3","148","0","0","32","6","1","2","0","0","20","0","8","3","0","6","69","0","9","1","22","2","2","3","18","40","6","0","4","474","POINT (-73.853727 40.856092)"
"Precinct 50","0","7","0","114","1","2","120","3","0","2","6","0","2","1","0","13","1","7","0","4","0","92","1","16","1","42","0","0","3","19","20","3","0","17","497","POINT (-73.900486 40.8924)"
"Precinct 52","3","63","0","89","0","0","60","1","1","15","42","0","39","5","1","131","8","2","3","1","32","72","1","26","0","337","2","18","14","64","105","40","6","35","1216","POINT (-73.886428 40.866503)"
"Total Violations","31","258","6","764","2","5","1165","53","3","127","311","5","208","11","11","580","22","118","35","21","138","922","7","443","31","1258","26","73","48","531","581","151","20","293",,
