"name","remote","point_x","point_y","cross_st","label","routes","transfers","color","express","closed","full_fare","senior_discount","day_afas_1","day_afas_2","joint_railroad_subway_ticket","day_unlimited_1","day_unlimited_2","transitcheck_metrocard","railroad_unlimited","annual_transitcheck_metrocard","mail_ride_ezpay_express","mail_ride_ezpay_unlimited","airtrain_full_fare"
"138th St","307","POINT (-73.929918 40.813077)","40.813077","Grand Concourse","138th St / Grand Concourse (4,5)","4,5","4,5","GREEN"," ",,"9051","244","48","105","1","3924","3594","20","5","251","48","24","18"
"149th St","205","POINT (-73.927406 40.818348)","40.818348","Grand Concourse","149th St / Grand Concourse (4)","4","2,4,5","GREEN","express",,"30793","1124","214","319","11","20016","17023","65","15","2890","70","60","120"
"149th St","205","POINT (-73.927271 40.818553)","40.818553000000001","Grand Concourse","149th St / Grand Concourse (2,5)","2,5","2,4,5","RED-GREEN","express",,"30793","1124","214","319","11","20016","17023","65","15","2890","70","60","120"
"161st St","195","POINT (-73.925847 40.827963)","40.827962999999997","River Ave","161st St / Yankee Stadium (B,D,4)","B,D,4","B,D,4","GREEN-ORANGE"," ",,"51861","2397","370","855","23","33730","27297","100","88","2073","161","122","198"
"167th St","104","POINT (-73.91768 40.834513)","40.834513000000001","Grand Concourse","167th St (B,D)","B,D","B,D","ORANGE"," ",,"20323","775","91","200","4","14874","10179","50","7","779","32","41","54"
"167th St","221","POINT (-73.921296 40.835691)","40.835690999999997","River Ave","167th St (4)","4","4","GREEN"," ",,"23194","747","96","190","0","17531","11010","47","5","965","28","39","50"
"170th St","443","POINT (-73.913686 40.83884)","40.838839999999998","Grand Concourse","170th St (B,D)","B,D","B,D","ORANGE"," ",,"14809","636","67","219","5","11879","6971","23","5","578","16","33","39"
"170th St","243","POINT (-73.917705 40.840203)","40.840203000000002","Jerome Ave","170th St (4)","4","4","GREEN"," ",,"22301","857","108","223","0","16863","8863","29","2","707","26","38","78"
"174th St","386","POINT (-73.887682 40.837349)","40.837349000000003","Southern Blvd","174th St (2,5)","2,5","2,5","RED-GREEN"," ",,"15684","584","96","214","6","11482","6620","18","2","629","28","27","45"
"174th St","253","POINT (-73.910174 40.845914)","40.845914","Grand Concourse","174th St / 175th St (B,D)","B,D","B,D","ORANGE"," ",,"12555","516","67","131","0","7284","5688","19","4","340","22","41","40"
"176th St","309","POINT (-73.911694 40.848646)","40.848646000000002","Jerome Ave","176th St (4)","4","4","GREEN"," ",,"14499","504","62","194","0","9796","5635","34","5","418","14","17","13"
"182nd St","237","POINT (-73.900271 40.856816)","40.856816000000002","Grand Concourse","182nd St / 183rd St (B,D)","B,D","B,D","ORANGE"," ",,"12954","481","30","102","3","6947","4481","9","0","299","32","15","30"
"183rd St","275","POINT (-73.903962 40.858367)","40.858367000000001","Jerome Ave","183rd St (4)","4","4","GREEN"," ",,"17779","531","54","103","0","10797","5765","13","6","334","16","22","25"
"205th St","157","POINT (-73.879427 40.874979)","40.874979000000003","Bainbridge Ave","205th St / Norwood (D)","D","D","ORANGE"," ",,"18458","771","86","267","5","10126","9900","36","23","748","49","30","123"
"219th St","365","POINT (-73.8628 40.883579)","40.883578999999997","White Plains Rd","219th St (2,5)","2,5","2,5","RED-GREEN"," ",,"9780","354","37","85","0","4451","3099","25","0","230","7","11","22"
"225th St","366","POINT (-73.860425 40.88781)","40.887810000000002","White Plains Rd","225th St (2,5)","2,5","2,5","RED-GREEN"," ",,"12342","461","42","114","0","5681","3509","46","1","268","18","17","33"
"231st St","40","POINT (-73.904784 40.87891)","40.878909999999998","Broadway","231st St (1)","1","1","RED"," ",,"19444","1534","146","414","1","10231","13399","57","12","799","145","102","54"
"233rd St","367","POINT (-73.857349 40.893393)","40.893393000000003","White Plains Rd","233rd St (2,5)","2,5","2,5","RED-GREEN"," ",,"13620","742","101","160","0","7277","4993","31","3","427","18","12","35"
