"objectid","name","ward","phone","fax","ct_hpsa","medicaldir","chargenurs","administra","web_url","gis_id","mar_census","see_patients_who_cant_pay","population_served","walkin_unscheduled","insurance_accepted","open_to_public","limited_access","treatment_for_all","public_insurance","medicaid","medicare","private_employer_insurance","private_insurance","sliding_scale","facility_setting","facility_type","practice_type","yesno","last_modified_date","last_modified_user","last_modified_action","location_1"
"1","Unity - Central Union Mission Health Center","6","202-508-0500; 202-469-4699 (Appointment Scheduling Number)",,,,,,"http://www.unityhealthcare.org/HealthCenters/ServiceCentralUnion.html","PC_32","5900",,,"Yes",,"Yes"," ","Yes","Yes","Yes","Yes","Yes","Private insurance is also accepted","Yes","Community Health Center-FQHC","Private Non-Profit",,,,,,"425 2ND STREET NW
,  
(38.89551157, -77.01329922)"
"2","Bread for the City","6","202-386-7020",,,,,,"http://www.breadforthecity.org/","PC_02","4801",,,"Yes -some",,"No","Only Medicaid, Alliance & Uninsured DC residents","Yes","Yes","Yes","Yes","No","NONE","No fees","Community Health Center - FREE Clinic","Private Non-Profit",,,,,,"1525 7TH STREET NW
,  
(38.91033943, -77.02162724)"
"3","S.O.M.E (So Others Might Eat)","5","202-797-8806",,,,,,"http://www.some.org/","PC_26","4600",,,"Yes",,"No","Homeless and under-served","Yes","Yes","Yes","Yes"," ","N/A","Yes","Community Health Center","Private Non-Profit",,,,,,"60 O STREET NW
,  
(38.90824953, -77.01110291)"
"4","Unity - Walker Jones Health Center","6","202-354-1120; 202-469-4699 (Appointment Scheduling Number)",,,,,,"http://www.unityhealthcare.org/HealthCenters/ServiceWalkerJones.html","PC_50","10600",,,"Yes",,"Yes"," ","Yes","Yes","Yes","Yes","Yes","Private insurance is also accepted","Yes","Community Health Center-FQHC","Private Non-Profit",,,,,,"40 PATTERSON STREET NE
,  
(38.90665875, -77.00767478)"
"5","Unity - Blair Shelter Health Center","6","202-276-3381; 202-469-4699 (Appointment Scheduling Number)",,,,,,"http://www.unityhealthcare.org/HealthCenters/ServiceBlair.html","PC_30","10600",,,"Yes",,"Yes"," ","Yes"," ","Yes","Yes"," "," ","Yes","Community Health Center-FQHC","Private Non-Profit",,,,,,"635 I STREET NE
,  
(38.90106964, -76.99702162)"
"6","Unity - Harbor Light Health Center","5","202-276-3381",,,,,,"http://www.unityhealthcare.org/HealthCenters/ServiceHarbor.html","PC_41","11100",,,"Yes",,"Yes"," "," "," ","Yes","Yes"," "," ","Yes","Community Health Center-FQHC","Private Non-Profit",,,,,,"2100 NEW YORK AVENUE NE
,  
(38.91784892, -76.97417163)"
"7","Unity - New York Avenue Health Center","5","202-276-3381; 202-469-4699 (Appointment Scheduling Number)",,,,,,"http://www.unityhealthcare.org/HealthCenters/ServiceNewYork.html","PC_45","8803",,,"Yes",,"Yes"," ","Yes"," ","Yes","Yes"," "," ","Yes","Community Health Center-FQHC","Private Non-Profit",,,,,,"1355 NEW YORK AVENUE NE
,  
(38.91507572, -76.98583171)"
"8","Community of Hope - Family Health & Birth","5","202-398-5520",,,,,,"http://www.communityofhopedc.org/","PC_10","8904",,,"Yes -call",,"Yes"," ","Yes","Yes","Yes","Yes","Yes","Private insurance is also accepted","Yes","FQHC","Private Non-Profit",,,,,,"801 17TH STREET NE
,  
(38.90081713, -76.97822631)"
"9","Unity - Pathways to Housing Health Center","5","202-276-3381; 202-469-4699 (Appointment Scheduling Number)",,,,,,"http://www.unityhealthcare.org/HealthCenters/ServicePathways.html","PC_46","8701",,,"Yes",,"Yes"," ","Yes"," ","Yes","Yes"," "," ","Yes","Community Health Center-FQHC","Private Non-Profit",,,,,,"101 Q STREET NE
,  
(38.91082187, -77.00617127)"
"10","Unity - N Street Village Health Center","2","202-276-3381; 202-469-4699 (Appointment Scheduling Number)",,,,,,"http://www.unityhealthcare.org/HealthCenters/ServiceNStreet.html","PC_44","5002",,,"Yes",,"Yes"," ","Yes"," ","Yes","Yes"," "," ","Yes","Community Health Center-FQHC","Private Non-Profit",,,,,,"1333 N STREET NW
,  
(38.90757354, -77.03142791)"
