"row_id","fiscal_year","department","department_name","fund","fund_name","fund_category","business_objective","business_objective_name","service_level","service_level_name","core_business_process","core_business_process_name","activity","activity_name","expense_object_category","expense_object_category_name","expense_object_code","expense_object_code_name","appropriation","appropriation_name","adopted_budget","amended_budget","actual_expenditures","year_end_estimate","fiscal_year_date","full_time_equivalent"
"2016F1001101AA001DA0110011001100011011","2016","F100","Mayor and Council","1101A","General Fund","General Fund","A001","Legislative","DA01","Mayor and Council","1001","Legislative","1001","Legislative","1000","Personal Services","1101","Personal Services","1","Operating Budget","681156","682315","489323.07","0","2015-01-07T00:00:00.000","0"
"2016F1001101AA001DA0110011001200021021","2016","F100","Mayor and Council","1101A","General Fund","General Fund","A001","Legislative","DA01","Mayor and Council","1001","Legislative","1001","Legislative","2000","Other Services","2102","Advertising","1","Operating Budget","500","500","0","0","2015-01-07T00:00:00.000","0"
"2016F1001101AA001DA0110011001200021051","2016","F100","Mayor and Council","1101A","General Fund","General Fund","A001","Legislative","DA01","Mayor and Council","1001","Legislative","1001","Legislative","2000","Other Services","2105","Concessions and Catering","1","Operating Budget","1500","1500","0","0","2015-01-07T00:00:00.000","0"
"2016F1001101AA001DA0110011001200021121","2016","F100","Mayor and Council","1101A","General Fund","General Fund","A001","Legislative","DA01","Mayor and Council","1001","Legislative","1001","Legislative","2000","Other Services","2112","Print Service Charges","1","Operating Budget","1000","1000","581.5","0","2015-01-07T00:00:00.000","0"
"2016F1001101AA001DA0110011001200021161","2016","F100","Mayor and Council","1101A","General Fund","General Fund","A001","Legislative","DA01","Mayor and Council","1001","Legislative","1001","Legislative","2000","Other Services","2116","Managed Print Services","1","Operating Budget","443","443","0","0","2015-01-07T00:00:00.000","0"
"2016F1001101AA001DA0110011001200021301","2016","F100","Mayor and Council","1101A","General Fund","General Fund","A001","Legislative","DA01","Mayor and Council","1001","Legislative","1001","Legislative","2000","Other Services","2130","Rents/Leases - Equipment/Vehicles","1","Operating Budget","2000","2000","0","0","2015-01-07T00:00:00.000","0"
"2016F1001101AA001DA0110011001200021801","2016","F100","Mayor and Council","1101A","General Fund","General Fund","A001","Legislative","DA01","Mayor and Council","1001","Legislative","1001","Legislative","2000","Other Services","2180","Other Professional  Services","1","Operating Budget","20159","18678.28","8445.91","0","2015-01-07T00:00:00.000","0"
"2016F1001101AA001DA0110011001200021811","2016","F100","Mayor and Council","1101A","General Fund","General Fund","A001","Legislative","DA01","Mayor and Council","1001","Legislative","1001","Legislative","2000","Other Services","2181","Other Contractual Services","1","Operating Budget","6742","6742","1970","0","2015-01-07T00:00:00.000","0"
"2016F1001101AA001DA0110011001200022011","2016","F100","Mayor and Council","1101A","General Fund","General Fund","A001","Legislative","DA01","Mayor and Council","1001","Legislative","1001","Legislative","2000","Other Services","2201","Utilities","1","Operating Budget","16000","16475.37","17814.78","0","2015-01-07T00:00:00.000","0"
"2016F1001101AA001DA0110011001200022101","2016","F100","Mayor and Council","1101A","General Fund","General Fund","A001","Legislative","DA01","Mayor and Council","1001","Legislative","1001","Legislative","2000","Other Services","2210","Telecommunications","1","Operating Budget","4000","4000","3147.36","0","2015-01-07T00:00:00.000","0"
