"trip_id","start_time","stop_time","bike_id","trip_duration","from_station_id","from_station_name","to_station_id","to_station_name","user_type","gender","birth_year","from_location","to_location","location_1","location_2"
"2462176","2014-07-07T01:19:00.000","2014-07-07T01:39:00.000","2515","1213","255","Indiana Ave & Roosevelt Rd","90","Millennium Park","Customer",,,,,"(41.867888, -87.623041)","(41.8810317, -87.62408432)"
"5892340","2015-06-28T01:57:00.000","2015-06-28T02:59:00.000","323","3757","158","Milwaukee Ave & Wabansia Ave","158","Milwaukee Ave & Wabansia Ave","Subscriber","Female","1978",,,"(41.912616, -87.681391)","(41.912616, -87.681391)"
"9938999","2016-06-06T04:24:00.000","2016-06-06T04:35:00.000","4799","680","98","LaSalle St & Washington St","24","Fairbanks Ct & Grand Ave","Subscriber","Male","1957",,,"(41.882664, -87.63253)","(41.89186, -87.62062)"
"5614719","2015-06-13T11:53:00.000","2015-06-13T12:13:00.000","1918","1190","325","Clark St & Winnemac Ave","257","Lincoln Ave & Waveland Ave","Subscriber","Female","1987",,,"(41.973385, -87.668365)","(41.94911, -87.675112)"
"8763263","2016-02-18T04:33:00.000","2016-02-18T04:43:00.000","4182","586","133","Kingsbury St & Kinzie St","86","Eckhart Park","Customer",,,,,"(41.889176833, -87.638505772)","(41.89637337, -87.66098386)"
"5517479","2015-06-06T11:33:00.000","2015-06-06T11:57:00.000","4325","1464","118","Sedgwick St & North Ave","158","Milwaukee Ave & Wabansia Ave","Customer",,,,,"(41.911386, -87.638677)","(41.912616, -87.681391)"
"1979952","2014-06-06T09:04:00.000","2014-06-06T09:08:00.000","57","262","306","Sheridan Rd & Buena Ave","240","Sheridan Rd & Irving Park Rd","Customer",,,,,"(41.958494, -87.654966)","(41.954245, -87.654406)"
"9105964","2016-04-04T10:25:00.000","2016-04-04T10:29:00.000","4678","270","42","Wabash Ave & Cermak Rd","370","Calumet Ave & 21st St","Subscriber","Male","1989",,,"(41.852619, -87.626488)","(41.854184249, -87.619153742)"
"7602055","2015-09-22T04:48:00.000","2015-09-22T04:53:00.000","2615","258","164","Franklin St & Lake St","56","Desplaines St & Kinzie St","Subscriber","Male","1988",,,"(41.885837, -87.6355)","(41.888716036, -87.644447853)"
"9471471","2016-05-08T02:39:00.000","2016-05-08T02:47:00.000","414","519","150","Fort Dearborn Dr & 31st St","4","Burnham Harbor","Subscriber","Male","1979",,,"(41.838556, -87.608218)","(41.856268, -87.613348)"
"511832","2013-09-16T08:24:00.000","2013-09-16T08:33:00.000","701","551","86","Eckhart Park","183","Damen Ave & Augusta Blvd","Subscriber","Female","1963",,,"(41.89637337, -87.66098386)","(41.899714, -87.677234)"
"7447823","2015-09-13T10:11:00.000","2015-09-13T10:51:00.000","1205","2444","436","Fairfield Ave & Roosevelt Rd","129","Blue Island Ave & 18th St","Subscriber","Female","1984",,,"(41.866624, -87.694521)","(41.857556, -87.661535)"
"9143664","2016-04-11T09:44:00.000","2016-04-11T10:34:00.000","1735","3014","328","Ellis Ave & 58th St","328","Ellis Ave & 58th St","Subscriber","Male","1985",,,"(41.788746, -87.601334)","(41.788746, -87.601334)"
"1792168","2014-05-24T04:00:00.000","2014-05-24T04:07:00.000","2110","402","248","Woodlawn Ave & 55th St","322","Kimbark Ave & 53rd St","Customer",,,,,"(41.795264, -87.596471)","(41.799568, -87.594747)"
"8646510","2016-01-26T09:16:00.000","2016-01-26T09:34:00.000","423","1107","289","Wells St & Concord Ln","286","Franklin St & Quincy St","Subscriber","Female","1976",,,"(41.912133, -87.634656)","(41.878724, -87.634793)"
"9833829","2016-05-31T07:25:00.000","2016-05-31T07:30:00.000","4810","316","164","Franklin St & Lake St","56","Desplaines St & Kinzie St","Subscriber","Male","1991",,,"(41.885837, -87.6355)","(41.888716036, -87.644447853)"
"4456523","2015-01-20T08:51:00.000","2015-01-20T09:02:00.000","2094","620","192","Canal St & Adams St","43","Michigan Ave & Washington St","Subscriber","Male","1976",,,"(41.879255, -87.639904)","(41.883892766, -87.624649141)"
"8274897","2015-11-13T09:44:00.000","2015-11-13T10:07:00.000","465","1339","94","Clark St & Armitage Ave","24","Fairbanks Ct & Grand Ave","Subscriber","Male","1971",,,"(41.918306, -87.636282)","(41.89186, -87.62062)"
"1924841","2014-06-02T09:08:00.000","2014-06-02T09:16:00.000","937","478","240","Sheridan Rd & Irving Park Rd","245","Clarendon Ave & Junior Ter","Subscriber","Female","1980",,,"(41.954245, -87.654406)","(41.961004, -87.649603)"
"292997","2013-08-22T07:53:00.000","2013-08-22T08:02:00.000","839","500","112","Green St & Randolph St","44","State St & Randolph St","Subscriber","Female","1985",,,"(41.884078, -87.648684)","(41.884730201, -87.627733569)"
"5646800","2015-06-15T06:51:00.000","2015-06-15T07:00:00.000","1964","508","190","Southport Ave & Wrightwood Ave","58","Marshfield Ave & Cortland St","Subscriber","Male","1989",,,"(41.92888, -87.66317)","(41.916017, -87.668879)"
"3026374","2014-08-08T10:58:00.000","2014-08-08T11:05:00.000","2241","451","112","Green St & Randolph St","233","Sangamon St & Washington Blvd","Subscriber","Male","1983",,,"(41.884078, -87.648684)","(41.883004, -87.651148)"
"5819333","2015-06-24T04:34:00.000","2015-06-24T04:53:00.000","2306","1155","183","Damen Ave & Augusta Blvd","134","Peoria St & Jackson Blvd","Subscriber","Male","1989",,,"(41.899714, -87.677234)","(41.877749, -87.649633)"
"9816048","2016-05-30T05:17:00.000","2016-05-30T05:45:00.000","1904","1732","2","Michigan Ave & Balbo Ave","268","Lake Shore Dr & North Blvd","Customer",,,,,"(41.876428, -87.620339)","(41.911722, -87.626804)"
"3855263","2014-10-05T05:48:00.000","2014-10-05T06:13:00.000","2940","1503","286","Franklin St & Quincy St","74","Kingsbury St & Erie St","Customer",,,,,"(41.878724, -87.634793)","(41.893882, -87.641711)"
"293036","2013-08-22T07:59:00.000","2013-08-22T08:05:00.000","1596","369","111","Sedgwick St & Huron St","110","State St & Erie St","Subscriber","Female","1984",,,"(41.894666, -87.638437)","(41.893992, -87.629318)"
"5330399","2015-05-25T07:28:00.000","2015-05-25T07:48:00.000","3280","1203","118","Sedgwick St & North Ave","24","Fairbanks Ct & Grand Ave","Customer",,,,,"(41.911386, -87.638677)","(41.89186, -87.62062)"
"4075483","2014-10-26T02:59:00.000","2014-10-26T03:10:00.000","69","674","237","MLK Jr Dr & 29th St","237","MLK Jr Dr & 29th St","Subscriber","Male","1988",,,"(41.842052, -87.617)","(41.842052, -87.617)"
"1052487","2013-12-04T06:26:00.000","2013-12-04T06:33:00.000","2255","414","91","Clinton St & Washington Blvd","134","Peoria St & Jackson Blvd","Subscriber","Male","1974",,,"(41.88338, -87.64117)","(41.877749, -87.649633)"
"2937718","2014-08-03T08:22:00.000","2014-08-03T08:46:00.000","2079","1469","253","Clifton Ave & Lawrence Ave","343","Racine Ave & Wrightwood Ave","Subscriber","Female","1975",,,"(41.968873, -87.658857)","(41.928887, -87.658971)"
"9689854","2016-05-23T08:50:00.000","2016-05-23T09:13:00.000","1228","1407","181","LaSalle St & Illinois St","22","May St & Taylor St","Subscriber","Male","1988",,,"(41.890749, -87.63206)","(41.8694821, -87.6554864)"
"1160952","2014-02-04T07:11:00.000","2014-02-04T07:13:00.000","1425","131","31","Franklin St & Chicago Ave","46","Wells St & Walton St","Subscriber","Male","1981",,,"(41.89680204, -87.63563839)","(41.89993001, -87.63443007)"
