"category","indicator","sub_indicator","locality","gender","council_district","fiscal_year","fy_qtr","calendar_year","cy_qtr","quarter_start","as_of_date","unit_of_measure","unit_text","value","source"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"CITY TOTAL",,,"2013",,,"04-11-2017","#",,"1406849","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"11",,,"2013",,,"04-11-2017","#",,"132069.16","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"4",,,"2013",,,"04-11-2017","#",,"128403.73","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"5",,,"2013",,,"04-11-2017","#",,"116855.07","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"13",,,"2013",,,"04-11-2017","#",,"103482.88","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"2",,,"2013",,,"04-11-2017","#",,"97498.07","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"12",,,"2013",,,"04-11-2017","#",,"95204.758","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"10",,,"2013",,,"04-11-2017","#",,"95186.102","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"3",,,"2013",,,"04-11-2017","#",,"93860.688","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"15",,,"2013",,,"04-11-2017","#",,"85130.625","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"1",,,"2013",,,"04-11-2017","#",,"83185.656","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"14",,,"2013",,,"04-11-2017","#",,"80614.75","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"8",,,"2013",,,"04-11-2017","#",,"80218.883","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"6",,,"2013",,,"04-11-2017","#",,"74849.445","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"7",,,"2013",,,"04-11-2017","#",,"73520.086","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","HOUSING UNITS",,"LOS ANGELES CITY",,"9",,,"2013",,,"04-11-2017","#",,"66769.031","U.S. CENSUS BUREAU; BEACON ECONOMICS"
