"id","year","month","period","actual_data"
"1","2010","Jan","Jan","45.28"
"2","2010","Feb","Feb","45.28"
"3","2010","Mar","Mar","45.28"
"4","2010","Apr","Apr","49.68"
"5","2010","May","May","49.68"
"6","2010","Jun","Jun","60"
"7","2010","Jul","Jul","60"
"8","2010","Aug","Aug","75"
"9","2010","Sep","Sep","75"
"10","2010","Oct","Oct","75"
"11","2010","Nov","Nov","75"
"12","2010","Dec","Dec","104.81"
"13","2011","Jan","Jan","117.28"
"14","2011","Feb","Feb","121.06"
"15","2011","Mar","Mar","121.06"
"16","2011","Apr","Apr","121.06"
"17","2011","May","May","127.64"
"18","2011","Jun","Jun","130.22"
"19","2011","Jul","Jul","130.22"
"20","2011","Aug","Aug","140.72"
"21","2011","Sep","Sep","141.64"
"22","2011","Oct","Oct","141.64"
"23","2011","Nov","Nov","141.64"
"24","2011","Dec","Dec","141.64"
"25","2012","Jan","Jan","171.12"
"26","2012","Feb","Feb","183.62"
"27","2012","Mar","Mar","187.52"
"28","2012","Apr","Apr","194.82"
"29","2012","May","May","197.41"
"30","2012","Jun","Jun","220.09"
"31","2012","Jul","Jul","233.09"
"32","2012","Aug","Aug","268.18"
"33","2012","Sep","Sep","268.37"
"34","2012","Oct","Oct","280.37"
"35","2012","Nov","Nov","296.6"
"36","2012","Dec","Dec","304.77"
"37","2013","Jan","Jan","310.79"
"38","2013","Feb","Feb","314.49"
"39","2013","Mar","Mar","314.49"
"40","2013","Apr","Apr","318.36"
"41","2013","May","May","341.82"
"42","2013","Jun","Jun","354.82"
"43","2013","Jul","Jul","361.88"
"44","2013","Aug","Aug","369.23"
"45","2013","Sep","Sep","380.07"
"46","2013","Oct","Oct","440.415"
"47","2013","Nov","Nov","753.715"
"48","2013","Dec","Dec","756.715"
"49","2014","Jan","Jan","780.725"
"50","2014","Feb","Feb","792.725"
"51","2014","Mar","Mar","808.205"
"52","2014","Apr","Apr","811.215"
"53","2014","May","May","817.715"
"54","2014","Jun","Jun","836.535"
"55","2014","Jul","Jul","863.285"
"56","2014","Aug","Aug","884.765"
"57","2014","Sep","Sep","919.865"
"58","2014","Oct","Oct","969.155"
"59","2014","Nov","Nov","1134.355"
"60","2014","Dec","Dec","1262.785"
"61","2015","Jan","Jan","1262.785"
"62","2015","Feb","Feb","1262.785"
"63","2015","Mar","Mar","1262.785"
"64","2015","Apr","Apr","1262.785"
"65","2015","May","May","1396.915"
"66","2015","Jun","Jun","2394.595"
"67","2015","Jul","Jul","2424.075"
"68","2015","Aug","Aug","2448.815"
"69","2015","Sep","Sep","2479.395"
"70","2015","Oct","Oct","2513.62"
"71","2015","Nov","Nov","2578.37"
"72","2015","Dec","Dec","2594.91"
"73","2016","Jan","Jan","2621.09"
"74","2016","Feb","Feb","2631.61"
"75","2016","Mar","Mar","2696.78"
"76","2016","Apr","Apr","2707.28"
"77","2016","May","May","2762.98"
"78","2016","Jun","Jun","2859.63"
"79","2016","Jul","Jul","2890.84"
"80","2016","Aug","Aug","2922.37"
"81","2016","Sep","Sep","2959.63"
"82","2016","Oct","Oct","2978.17"
"83","2016","Nov","Nov","3003.52"
"84","2016","Dec","Dec","3008.92"
"85","2017","Jan","Jan","3020.185"
"86","2017","Feb","Feb","3020.185"
"87","2017","Mar","Mar","3088.43"
"88","2017","Apr","Apr","3106.43"
"89","2017","May","May","3137.01"
"90","2017","Jun","Jun","3193.16"
"91","2017","Jul","Jul","3310.805"
"92","2017","Aug","Aug","3517.615"
"93","2017","Sep","Sep","4389.615"
"94","2017","Oct","Oct","4514.615"
"95","2017","Nov","Nov","4934.2"
"96","2017","Dec","Dec","4971.77"
"97","2018","Jan","Jan","5218.13"
"98","2018","Feb","Feb","5259.785"
"99","2018","Mar","Mar","5527.635"
"100","2018","Apr","Apr","6024.385"
"101","2018","May","May","6341.085"
"102","2018","Jun","Jun","6710.375"
"103","2018","Jul","Jul","6811.875"
"104","2018","Aug","Aug","7009.345"
"105","2018","Sep","Sep","7228.445"
"106","2018","Oct","Oct","7311.465"
"107","2018","Nov","Nov","7582.985"
"108","2018","Dec","Dec","7687.785"
"109","2019","Jan","Jan","7748.975"
"110","2019","Feb","Feb","7961.955"
"111","2019","Mar","Mar","8106.105"
"112","2019","April","April","9207.195"
"113","2019","May","May","10436.165"
"114","2019","June","June","10606.235"
"115","2019","July","July","10916.421"
"116","2019","August","August","11191.191"
"117","2019","Sep","Sep","11461.171"
"118","2019","October","October","11568.701"
"119","2019","November","November","11877.338"
"120","2019","December","December","12015.8"
"121","2020","Jan","Jan","12447.35"
"122","2020","Feb","Feb","12528.81"
"123","2020","March","March","14887.17"
"124","2020","April","April","15861.83"
"125","2020","May","May","16958.65"
"126","2020","June","June","17150.63"
"127","2020","July","July","17408.92"
"128","2020","August","August","17534.91"
"129","2020","September","September","17881.86"
"130","2020","October","October","18518.89"
"131","2020","November","November","18661.17"
"132","2020","December","December","18834.17"
"133","2021","January","January","19150.12"
"134","2021","February","February","19165.32"
"135","2021","March","March","19282.32"
"136","2021","April","April","19593.8"
"137","2021","May","May","19640.9"
"138","2021","June","June","20282.17"
"139","2021","July","July","20450.27"
"140","2021","August","August","20652.67"
