"fiscal_year","adopted_tax_rate","debt_service_tax_rate","adopted_o_m_rate","effective_o_m_rate","adopted_operations_and"
"2010-10-01T00:00:00.000","0.4571","0.1309","0.3262","0.3134","1.041"
"2011-10-01T00:00:00.000","0.4811","0.1260","0.3551","0.3308","1.073"
"2012-10-01T00:00:00.000","0.5029","0.1208","0.3821","0.3558","1.074"
"2013-10-01T00:00:00.000","0.5027","0.1171","0.3856","0.3668","1.051"
"2014-10-01T00:00:00.000","0.4809","0.1118","0.3691","0.3523","1.048"
"2015-10-01T00:00:00.000","0.4589","0.1062","0.3527","0.3285","1.074"
"2016-10-01T00:00:00.000","0.4418","0.1019","0.3399","0.3148","1.08"
"2017-10-01T00:00:00.000","0.4448","0.1055","0.3393","0.3145","1.079"
"2018-10-01T00:00:00.000","0.4403","0.1095","0.3308","0.3137","1.055"
"2019-10-01T00:00:00.000","0.4431","0.1094","0.3337","0.3090","1.08"
