"masterincidentnumber","calendaryear","month","dayofmonth","call_type","problem","battalion","jurisdiction","responsearea","prioritydescription","response_status","districts","location_1"
"14002097","2014","Jan","7","Fire","AUTO - Auto Fire","B3","AFD","00-2303","2F","Code 3","-","(30345401, 97675207)"
"14002327","2014","Jan","7","Fire","ELEC - Electrical Fire","B1","AFD","00-1001","3F","Code 3","-","(30290928, 97772748)"
"14002361","2014","Jan","7","Fire","BBQ - Unsafe Cooking","B3","AFD","00-2305","4F","Code 3","-","(30344744, 97701828)"
"14002433","2014","Jan","7","Fire","AUTO - Auto Fire","B3","AFD","00-2301","2F","Code 3","-","(30375077, 97677241)"
"14002450","2014","Jan","8","Fire","AUTO - Auto Fire","B3","AFD","00-2803","2F","Code 3","-","(30410026, 97711021)"
"14002586","2014","Jan","8","Fire","BOXL- Structure Fire","B4","AFD","00-2703","1F","Code 3","-","(30237073, 97841541)"
"14002683","2014","Jan","8","Fire","TRASH - Trash Fire","B3","AFD","00-3001","3F","Code 3","-","(30377042, 97697247)"
"14002729","2014","Jan","8","Fire","TRASH - Trash Fire","B5","AFD","00-1504","3F","Code 3","-","(30266073, 97711105)"
"14002824","2014","Jan","8","Fire","BOXL- Structure Fire","B5","AFD","00-2203","1F","Code 3","-","(30240419, 97711549)"
"14002849","2014","Jan","8","Fire","ELEC - Electrical Fire","B2","AFD","00-3802","3F","Code 1","-","(30451656, 97814662)"
"14002868","2014","Jan","8","Fire","ELEC - Electrical Fire","B1","AFD","00-0101","3F","Code 3","-","(30269776, 97730828)"
"14002897","2014","Jan","8","Fire","BOXL- Structure Fire","B4","AFD","00-3606","1F","Code 3","-","(30194777, 97785565)"
"14002959","2014","Jan","9","Fire","AUTO - Auto Fire","B3","AFD","00-2301","2F","Code 3","-","(30375426, 97672535)"
"14003004","2014","Jan","9","Fire","TRASH - Trash Fire","B5","AFD","00-2205","3F","Code 3","-","(30229675, 97694658)"
"14003155","2014","Jan","9","Fire","GRASS - Small Grass Fire","B4","AFD","00-1103","3F","Code 3","-","(30243871, 97787459)"
"14003196","2014","Jan","9","Fire","TRASH - Trash Fire","B2","AFD","00-3102","3F","Left Blank","-","(30376714, 97781308)"
"14003233","2014","Jan","9","Fire","DUMP - Dumpster Fire","B4","AFD","00-1102","3F","Code 3","-","(30238372, 97783002)"
"14003300","2014","Jan","10","Fire","ELEC - Electrical Fire","B4","AFD","00-1101","3F","Code 3","-","(30254957, 97764143)"
"14003457","2014","Jan","10","Fire","AUTO - Auto Fire","B2","AFD","00-2104","2F","Code 3","-","(30361794, 97746945)"
"14003523","2014","Jan","10","Fire","AUTO - Auto Fire","B3","AFD","00-4004","2F","Left Blank","-","(30387004, 97648592)"
"14003540","2014","Jan","10","Fire","AUTO - Auto Fire","B5","AFD","00-0702","2F","Code 3","-","(30261006, 97714399)"
"14003556","2014","Jan","10","Fire","ELEC - Electrical Fire","B5","AFD","00-0504","3F","Code 3","-","(30307666, 97669528)"
"14003590","2014","Jan","10","Fire","TRASH - Trash Fire","B5","AFD","00-0501","3F","Code 3","-","(30273435, 97681268)"
"14003658","2014","Jan","11","Fire","AUTO - Auto Fire","B3","AFD","00-1804","2F","Code 3","-","(30323811, 97706398)"
"14003752","2014","Jan","11","Fire","GRASS - Small Grass Fire","B1","AFD","00-1206","3F","Code 3","-","(30312462, 97756698)"
"14003896","2014","Jan","11","Fire","ELEC - Electrical Fire","B3","AFD","00-2601","3F","Code 3","-","(30300875, 97647801)"
"14003912","2014","Jan","11","Fire","BBQ - Unsafe Cooking","B3","AFD","00-0801","4F","Code 1","-","(30375791, 97711007)"
"14003924","2014","Jan","11","Fire","DUMP - Dumpster Fire","B5","AFD","00-0501","3F","Code 3","-","(30285862, 97682628)"
"14004027","2014","Jan","12","Fire","TRASH - Trash Fire","B3","AFD","00-4003","3F","Code 3","-","(30357032, 97644359)"
"14004048","2014","Jan","12","Fire","DUMP - Dumpster Fire","B1","AFD","00-1003","3F","Code 3","-","(30278005, 97772437)"
"14004085","2014","Jan","12","Fire","AUTO - Auto Fire","B5","AFD","00-1505","2F","Left Blank","-","(30248006, 97682206)"
"14004101","2014","Jan","12","Fire","BOXL- Structure Fire","B3","AFD","00-0801","1F","Code 3","-","(30369805, 97716986)"
