"fiscal_year","number_of_disconnects_for_non_pay"
"2016-01-01T00:00:00.000","9056"
"2015-01-01T00:00:00.000","9590"
"2014-01-01T00:00:00.000","23044"
"2013-01-01T00:00:00.000","3111"
"2012-01-01T00:00:00.000","0"
"2011-01-01T00:00:00.000","26280"
"2010-01-01T00:00:00.000","43175"
"2009-01-01T00:00:00.000","43195"
"2008-01-01T00:00:00.000","43531"
"2007-01-01T00:00:00.000","41507"
"2006-01-01T00:00:00.000","45741"
"2005-01-01T00:00:00.000","38473"
"2004-01-01T00:00:00.000","34651"
"2003-01-01T00:00:00.000","46808"
"2002-01-01T00:00:00.000","27769"
