"fiscal_year_2","system_average_transmission_line_performance_index_satlpi","system_average_interruption_frequency_index_saifi","system_average_interruption_duration_index_saidi","average_duration_of_outage_a_customer_experiences_minutes"
"2006-09-30T00:00:00.000","3.56","1.00","84.68",
"2007-09-30T00:00:00.000","3.24","1.03","82.13",
"2008-09-30T00:00:00.000","1.46","0.63","46.48",
"2009-09-30T00:00:00.000","2.10","0.89","63.41",
"2010-09-30T00:00:00.000","1.94","0.69","51.57",
"2011-09-30T00:00:00.000","1.78","0.77","54.54",
"2012-09-30T00:00:00.000","2.90","0.77","60.74",
"2013-09-30T00:00:00.000","1.44","0.59","46.24",
"2014-09-30T00:00:00.000","4.17","0.57","45.25","79.39"
"2015-09-30T00:00:00.000","3.36","0.65","56.04","86.20"
"2016-09-30T00:00:00.000","3.84","0.68","48.87","71.87"
"2017-09-30T00:00:00.000","2.24","0.81","65.16","80.44"
"2018-09-30T00:00:00.000","1.43","0.62","41.43","66.82"
"2019-09-30T00:00:00.000","1.75","0.94","71.51","76.07"
