"record_id","origin_reader_identifier","destination_reader_identifier","origin_roadway","origin_cross_street","origin_direction","destination_roadway","destination_cross_street","destination_direction","segment_length_miles","timestamp","average_travel_time_seconds","average_speed_mph","summary_interval_minutes","number_samples","standard_deviation"
"ddd8dc1f3adfadcc4e3755054eddefde","rm620_boulder_south","rm620_boulder_north","RM 620","Boulder South","Northbound","RM 620","Boulder North","Southbound","1.19","2018-06-12T05:16:00.000","-1","-1","15","0","-1.0"
"fb21950db0c449c6ded26795281666e1","rm620_boulder_south","rm620_boulder_north","RM 620","Boulder South","Northbound","RM 620","Boulder North","Southbound","1.19","2018-06-12T05:30:00.000","91","47","15","2","2.83"
"85b4dd01a80f102d5ad3e0e429dfbf22","rm620_boulder_south","rm620_boulder_north","RM 620","Boulder South","Northbound","RM 620","Boulder North","Southbound","1.19","2018-06-12T05:45:00.000","-1","-1","15","0","-1.0"
"aa516a7070b3bf4dfc1e693b4f7cefa5","rm620_boulder_south","rm620_boulder_north","RM 620","Boulder South","Northbound","RM 620","Boulder North","Southbound","1.19","2018-06-12T06:00:00.000","-1","-1","15","0","-1.0"
"6348f04e4a69e0cb9bb696f0b0fddec0","rm620_boulder_south","rm620_boulder_north","RM 620","Boulder South","Northbound","RM 620","Boulder North","Southbound","1.19","2018-06-12T06:15:00.000","89","48","15","1","0.0"
"342807f0fbe8815b9978c0ec664f49fd","rm620_boulder_south","rm620_boulder_north","RM 620","Boulder South","Northbound","RM 620","Boulder North","Southbound","1.19","2018-06-12T06:30:00.000","92","47","15","2","2.12"
"dfa61ee62d73f85ff2463e477507058c","rm620_boulder_south","rm620_boulder_north","RM 620","Boulder South","Northbound","RM 620","Boulder North","Southbound","1.19","2018-06-12T06:45:00.000","96","45","15","2","4.24"
"1259b91fcbab97336c406a8818f6ea89","rm620_boulder_south","rm620_boulder_north","RM 620","Boulder South","Northbound","RM 620","Boulder North","Southbound","1.19","2018-06-12T07:00:00.000","115","37","15","3","9.24"
"4b12cb5f7370ffd64a2503ce3192a2bb","rm620_boulder_south","rm620_boulder_north","RM 620","Boulder South","Northbound","RM 620","Boulder North","Southbound","1.19","2018-06-12T07:15:00.000","104","41","15","8","5.59"
"31edb0f2c924a817e9c0037e4d98f025","rm620_boulder_south","rm620_boulder_north","RM 620","Boulder South","Northbound","RM 620","Boulder North","Southbound","1.19","2018-06-12T07:30:00.000","94","46","15","9","4.18"
"4f08be00699e9648269dc76b5b8a7c02","rm620_boulder_south","rm620_boulder_north","RM 620","Boulder South","Northbound","RM 620","Boulder North","Southbound","1.19","2018-06-12T07:45:00.000","105","41","15","6","4.02"
