"county","year","_3yraverage","_3yravgchange","source"
"Alameda County","2003","57",,"StreetSaver"
"Alameda County","2004","60","3","StreetSaver"
"Alameda County","2005","65","5","StreetSaver"
"Alameda County","2006","66","1","StreetSaver"
"Alameda County","2007","67","1","StreetSaver"
"Alameda County","2009","67","0","StreetSaver"
"Alameda County","2010","67","0","StreetSaver"
"Alameda County","2011","67","0","StreetSaver"
"Alameda County","2012","68","1","StreetSaver"
"Alameda County","2013","68","0","StreetSaver"
"Alameda County","2014","68","0","StreetSaver"
"Alameda County","2015","68","0","StreetSaver"
"Alameda County","2016","68","0","StreetSaver"
"Alameda County","2017","68","0","StreetSaver"
"Contra Costa County","2003","67",,"StreetSaver"
"Contra Costa County","2004","67","0","StreetSaver"
"Contra Costa County","2005","66","-1","StreetSaver"
"Contra Costa County","2006","68","2","StreetSaver"
"Contra Costa County","2007","69","1","StreetSaver"
"Contra Costa County","2009","71","2","StreetSaver"
"Contra Costa County","2010","71","0","StreetSaver"
"Contra Costa County","2011","71","0","StreetSaver"
"Contra Costa County","2012","70","-1","StreetSaver"
"Contra Costa County","2013","69","-1","StreetSaver"
"Contra Costa County","2014","69","0","StreetSaver"
"Contra Costa County","2015","69","0","StreetSaver"
"Contra Costa County","2016","70","1","StreetSaver"
"Contra Costa County","2017","70","0","StreetSaver"
"Marin County","2003","57",,"StreetSaver"
"Marin County","2004","55","-2","StreetSaver"
"Marin County","2005","58","3","StreetSaver"
"Marin County","2006","58","0","StreetSaver"
"Marin County","2007","59","1","StreetSaver"
"Marin County","2009","61","2","StreetSaver"
"Marin County","2010","62","1","StreetSaver"
"Marin County","2011","63","1","StreetSaver"
"Marin County","2012","63","0","StreetSaver"
"Marin County","2013","63","0","StreetSaver"
"Marin County","2014","64","1","StreetSaver"
"Marin County","2015","64","0","StreetSaver"
"Marin County","2016","65","1","StreetSaver"
"Marin County","2017","66","1","StreetSaver"
"Napa County","2003","58",,"StreetSaver"
"Napa County","2004","59","1","StreetSaver"
"Napa County","2005","57","-2","StreetSaver"
"Napa County","2006","56","-1","StreetSaver"
"Napa County","2007","54","-2","StreetSaver"
"Napa County","2009","57","3","StreetSaver"
"Napa County","2010","58","1","StreetSaver"
"Napa County","2011","60","2","StreetSaver"
"Napa County","2012","60","0","StreetSaver"
"Napa County","2013","60","0","StreetSaver"
"Napa County","2014","60","0","StreetSaver"
"Napa County","2015","59","-1","StreetSaver"
"Napa County","2016","59","0","StreetSaver"
"Napa County","2017","59","0","StreetSaver"
"San Francisco County","2003","66",,"StreetSaver"
"San Francisco County","2004","65","-1","StreetSaver"
"San Francisco County","2005","65","0","StreetSaver"
"San Francisco County","2006","64","-1","StreetSaver"
"San Francisco County","2007","64","0","StreetSaver"
"San Francisco County","2009","64","0","StreetSaver"
"San Francisco County","2010","64","0","StreetSaver"
"San Francisco County","2011","64","0","StreetSaver"
"San Francisco County","2012","64","0","StreetSaver"
"San Francisco County","2013","65","1","StreetSaver"
"San Francisco County","2014","66","1","StreetSaver"
"San Francisco County","2015","67","1","StreetSaver"
"San Francisco County","2016","68","1","StreetSaver"
"San Francisco County","2017","70","2","StreetSaver"
"San Mateo County","2003","64",,"StreetSaver"
"San Mateo County","2004","64","0","StreetSaver"
"San Mateo County","2005","65","1","StreetSaver"
"San Mateo County","2006","66","1","StreetSaver"
"San Mateo County","2007","68","2","StreetSaver"
"San Mateo County","2009","69","1","StreetSaver"
"San Mateo County","2010","70","1","StreetSaver"
"San Mateo County","2011","70","0","StreetSaver"
"San Mateo County","2012","70","0","StreetSaver"
"San Mateo County","2013","70","0","StreetSaver"
"San Mateo County","2014","70","0","StreetSaver"
"San Mateo County","2015","70","0","StreetSaver"
"San Mateo County","2016","71","1","StreetSaver"
"San Mateo County","2017","72","1","StreetSaver"
"Santa Clara County","2003","67",,"StreetSaver"
"Santa Clara County","2004","68","1","StreetSaver"
"Santa Clara County","2005","68","0","StreetSaver"
"Santa Clara County","2006","67","-1","StreetSaver"
"Santa Clara County","2007","67","0","StreetSaver"
"Santa Clara County","2009","68","1","StreetSaver"
"Santa Clara County","2010","69","1","StreetSaver"
"Santa Clara County","2011","70","1","StreetSaver"
"Santa Clara County","2012","69","-1","StreetSaver"
"Santa Clara County","2013","69","0","StreetSaver"
"Santa Clara County","2014","68","-1","StreetSaver"
"Santa Clara County","2015","68","0","StreetSaver"
"Santa Clara County","2016","68","0","StreetSaver"
"Santa Clara County","2017","68","1","StreetSaver"
