"case_id","accident_year","alcohol_involved","bicycle_accident","collision_date","collision_severity","collision_time","control_device","count_bicyclist_injured","count_bicyclist_killed","count_complaint_pain","count_mc_injured","count_mc_killed","count_ped_injured","count_ped_killed","count_severe_inj","count_visible_inj","accidentdisplaycolor","day_of_week","direction","distance","hit_and_run","intersection","lighting","location_type","motorcycle_accident","mviw","number_injured","number_killed","number_of_records","party_count","pcf_code_of_viol","pcf_violation","pcf_viol_category","pcf_viol_subsection","pedestrian_accident","ped_action","postmile","postmile_prefix","primary_coll_factor","primary_rd","ramp_intersection","road_cond_1","road_cond_2","road_surface","route_suffix","secondary_rd","side_of_hwy","state_hwy_ind","state_route","stwd_vehtype_at_fault","tow_away","truck_accident","type_of_collision","weather_1","weather_2","county","longitudefixed","latitude","city"
"5639883","2013",,,"2/28/2013","1","1906","A","0","0","0","0","0","0","1","0","0","Unclassified","4","N","8","N","N","C",,,"B","0","1","1","2","-","21950","11","B","Y","B",,,"A","HESPERIAN BL",,"H","-","A",,"GOLF COURSE RD",,"N",,"N","N",,"G","A","-","ALAMEDA","-122.1194964","37.6677842","UNINCORPORATED"
"3269135","2007",,,"7/9/2007","1","225","D","0","0","0","0","0","0","0","0","0","Unclassified","1","S","620","N","N","D",,,"I","0","1","1","1","-",,"0",,,"A",,,"D","OLD HIGHWAY 40",,"B","G","A",,"WEST A ST",,"N",,"-","Y",,"F","A","-","SOLANO","0","0","DIXON"
"90085132","2015","Y","Y","9/6/2015","1","1835","D","0","1","0","0","0","0","0","0","0","Bicyclists killed","7","E","1130","N","N","A",,,"G","0","1","1","2","-","23152","1","A",,"A",,,"A","BALFOUR ROAD",,"H","-","A",,"SELLERS AVE",,"N",,"A","Y",,"H","A","-","CONTRA COSTA","-121.6740265","37.9255486","UNINCORPORATED"
"3069378","2006","Y",,"11/18/2006","1","338","D","0","0","0","0","0","0","0","1","1","Unclassified","6","N","189","N","N","C","H",,"C","2","1","1","2","-","22350","3",,,"A","8.88","-","A","RT 880",,"H","-","A","-","THORNTON AV","S","Y","880","A","Y",,"D","A","-","ALAMEDA","-122.0218336","37.54510818","FREMONT"
"3117466","2006",,,"10/15/2006","1","1907","D","0","0","0","0","0","0","1","0","0","Unclassified","7",,"0","N","Y","C",,,"B","0","1","1","2","-","21950","10","A","Y","D",,,"A","WREN AV",,"H","-","A",,"EL CERRITO WY",,"N",,"-","Y",,"G","A","-","SANTA CLARA","-121.586743","37.0153656","GILROY"
"3328632","2007",,,"7/12/2007","1","1502","A","0","0","0","0","0","0","0","0","0","Unclassified","4","W","136","N","N","A",,,"C","0","1","1","3","-",,"18",,,"A",,,"C","ELMIRA RD",,"H","-","A",,"ALLISON DR",,"N",,"-","Y",,"C","A","-","SOLANO","-121.9650511","38.35227585","VACAVILLE"
"90321692","2016",,,"10/1/2016","1","2155",,"0","0",,"0","0","0","1","0",,"Pedestrian Fatality","6","E","50",,"N","D",,,,,,,"4",,,,,"Y","E",,"0","A","I-80 W/B",,"H","-","A",,"PITTMAN RD","W","Y","80",,,,"G","A","-","SOLANO","-122.1288147","38.2230911","UNINCORPORATED"
"7200000","2016",,,"11/30/2016","1","2027",,"0","0",,"0","0","0","0","0",,"Unclassified","3","E","1062",,"N","D",,,,,,,"2",,,,,,"A",,"0","A","BUCHANAN RD",,"H","-","A",,"MEADOWS AV",,"N","0",,,,"A","A","-","CONTRA COSTA","-121.8601303","37.998024","PITTSBURG"
"5639721","2013",,,"1/17/2013","1","1340","D","0","0","0","0","0","0","0","0","0","Unclassified","4","N","5280","N","N","A",,,"J","0","1","1","1","-","22107","8",,,"A",,,"A","SILVERADO TRL",,"H","-","A",,"CLOVER FLAT RD",,"N",,"D","Y",,"E","A","-","NAPA","-122.5447399","38.5744129","UNINCORPORATED"
"5291210","2011",,,"8/19/2011","1","1430","A","0","0","0","0","0","0","1","0","0","Unclassified","5","N","10","N","N","A",,,"B","0","1","1","2","-","21950","10","A","Y","B",,,"A","HARTFORD ST",,"H","-","A",,"18TH ST",,"N",,"I","Y",,"G","A","-","SAN FRANCISCO","-122.4339556","37.76101239","SAN FRANCISCO"
"90241949","2016",,,"6/21/2016","1","1730",,"0","0",,"1","1","0","0","0",,"Unclassified","2","N","1267",,"N","A",,"Y",,,,,"2",,,,,,"A",,"0","A","US-101 N/B",,"H","-","A",,"MENDOCINO AVE O/C","N","Y","101",,"Y",,"C","A","-","SONOMA","-122.732399","38.4779205","SANTA ROSA"
