"the_geom","id","name","full_address","city","state","zip","phone_number","website"
"MULTIPOLYGON (((-91.145753953495 30.353304678611, -91.148348937437 30.356829145516, -91.148878491776 30.357548341445, -91.149049130052 30.357780085025, -91.150026897856 30.359107963843, -91.150401087162 30.359565038633, -91.152575103116 30.362517318791, -91.151956251672 30.362860021361, -91.151543922569 30.363088353731, -91.151336307762 30.363203322105, -91.151166758732 30.36329721093, -91.150982896109 30.363399026387, -91.15088626115 30.363453252667, -91.150807439611 30.363499172585, -91.150738681761 30.363540551657, -91.150665251699 30.363586012553, -91.150463071272 30.363719129196, -91.150267191103 30.363859151712, -91.150077924723 30.364005854138, -91.149720434499 30.364318354193, -91.149576784418 30.364459472115, -91.149439086707 30.364604984171, -91.149307518573 30.364754701185, -91.149182253082 30.364908427659, -91.148951264066 30.365227111586, -91.148877107197 30.365338510358, -91.144834043374 30.363451282629, -91.14544944875 30.362487890226, -91.14605214859 30.361519673036, -91.144865960024 30.360968534827, -91.144941345957 30.360847091425, -91.144801751356 30.360781925711, -91.144800595721 30.360781328675, -91.144726606339 30.360902980574, -91.143524251805 30.362839853844, -91.143021704948 30.362605252395, -91.14072976517 30.361535768347, -91.139095423622 30.3607730753, -91.138219580663 30.360364335563, -91.139117178047 30.35899671175, -91.139466169774 30.359159545703, -91.140948707516 30.357048936923, -91.14101048264 30.35696098891, -91.143325965027 30.358041537885, -91.145365189022 30.360020595438, -91.145527044642 30.359842849116, -91.145696765844 30.359670709492, -91.146058763791 30.359344286163, -91.142811562627 30.354933445862, -91.145162565754 30.353631857624, -91.145753953495 30.353304678611)))","19","LSU - South Campus","8000 INNOVATION PARK DR","BATON ROUGE","LOUISIANA","70820",,"http://www.lsu.edu"
"MULTIPOLYGON (((-91.09441577305 30.358132735869, -91.09372633541 30.357828697649, -91.093745933968 30.357794772634, -91.093887948447 30.357548936474, -91.094041196644 30.35728365492, -91.094183237863 30.357037770649, -91.094325277337 30.35679188711, -91.094467246121 30.35654612506, -91.094609667647 30.356300399745, -91.09476550237 30.356029811264, -91.094836508742 30.355906889897, -91.095180605856 30.355311209599, -91.096188038598 30.355740023039, -91.096537842359 30.355879708673, -91.096284240891 30.356314830733, -91.096204265427 30.35645204953, -91.09613300395 30.356574315325, -91.095998384169 30.356805293361, -91.095855362837 30.357050680769, -91.095712333482 30.357296082427, -91.095569301336 30.357541485714, -91.09546202651 30.357725535362, -91.095333296812 30.357946397158, -91.095191274622 30.358171531575, -91.095059378908 30.358390842976, -91.095044417363 30.358416377067, -91.09441577305 30.358132735869)))","8","LSU Hilltop Arboretum","11855 HIGHLAND RD","BATON ROUGE","LOUISIANA","70810","225-767-6916","https://www.lsu.edu/hilltop/index.php"
"MULTIPOLYGON (((-91.156370856912 30.478310792124, -91.154640926947 30.478355527901, -91.154621114293 30.477940450919, -91.154596976401 30.477435228547, -91.154538007595 30.476200437385, -91.154692789003 30.47619609643, -91.15601218147 30.476159076054, -91.156029508178 30.47632241757, -91.156047719568 30.476455790733, -91.156066033068 30.476546598869, -91.156098524999 30.476692929564, -91.15621016712 30.477106483168, -91.156240620747 30.477214584891, -91.156271469917 30.47733160411, -91.156303276043 30.477457514512, -91.156339553982 30.477656646609, -91.156351595427 30.477751950323, -91.156359019938 30.47792321309, -91.156359293175 30.47804975151, -91.156370856912 30.478310792124)))","5","Baton Rouge Community College - Acadian Campus","3250 N ACADIAN THWY","BATON ROUGE","LOUISIANA","70805","1-866-217-9823","http://www.mybrcc.edu"
"MULTIPOLYGON (((-91.101792028752 30.40873426433, -91.101936866382 30.408749420449, -91.102043655494 30.408824634151, -91.102602440294 30.409218188401, -91.103192867271 30.409634022818, -91.103695850998 30.409988266765, -91.103929367977 30.410159730032, -91.104162885763 30.410331192878, -91.105149891173 30.411055914046, -91.105279990337 30.411161559405, -91.105945814551 30.411702226947, -91.106383409306 30.41205756126, -91.107066894026 30.41261255323, -91.107800763299 30.413208447952, -91.108680765619 30.413922985114, -91.10974252388 30.414762359776, -91.111332878392 30.416019609074, -91.111685458706 30.416476769028, -91.111710104528 30.416585104197, -91.111723595525 30.416694904596, -91.111725825334 30.416805309459, -91.111716778157 30.416915451853, -91.111696523538 30.417024468593, -91.111665220518 30.417131504763, -91.111623115534 30.417235721827, -91.11157053617 30.417336301228, -91.111507897379 30.417432455225, -91.111435690023 30.417523430484, -91.107754977405 30.417573938663, -91.107741152192 30.417463312799, -91.107709118197 30.417214853825, -91.107672972361 30.416934159816, -91.10766848192 30.416695609428, -91.107668296964 30.416681271326, -91.107667592829 30.416626535034, -91.107666702017 30.416557301868, -91.107663351057 30.416296884981, -91.107081299517 30.416175810561, -91.106925497315 30.416143401548, -91.10663711266 30.416083412871, -91.106369311544 30.416027704128, -91.106352386201 30.41602418399, -91.106092563785 30.415970134693, -91.105846849713 30.415919020199, -91.105557587274 30.415858846332, -91.105231524262 30.415791015468, -91.105041131007 30.415751408124, -91.104904146707 30.4157229109, -91.104583504734 30.415656206389, -91.104052132198 30.415545660574, -91.103914834286 30.415517096828, -91.103624840755 30.415456765902, -91.103437516718 30.41541779394, -91.10367539927 30.414552923209, -91.103750586343 30.41427955947, -91.103955850545 30.413533271341, -91.104161110621 30.412786982736, -91.103772451939 30.412706679253, -91.103070042434 30.412561545677, -91.102440245855 30.412431411545, -91.101870285731 30.412313639472, -91.101291902648 30.412194123554, -91.100277705214 30.411984545157, -91.101466615192 30.409432738859, -91.101792028752 30.40873426433)))","11","LSU Burden Museum & Gardens N","4560 ESSEN LN","BATON ROUGE","LOUISIANA","70809","225-763-3990","http://www.lsuagcenter.com/portals/burden/"
"MULTIPOLYGON (((-91.187722339044 30.354188540884, -91.185450414347 30.369378671185, -91.186878191079 30.369444174032, -91.187511600167 30.369461076188, -91.188365975286 30.36948804355, -91.188958962915 30.369540919724, -91.190149801646 30.369645928731, -91.190123937673 30.369791605846, -91.190809260751 30.369907321903, -91.190718808957 30.370584545011, -91.190481118556 30.372364101571, -91.190015993773 30.372308861377, -91.189230321861 30.372215548274, -91.18845977068 30.372124026913, -91.187804592028 30.37204620473, -91.187019116706 30.371952901239, -91.186233638698 30.371859593073, -91.185345193196 30.371751010622, -91.184559193446 30.371658068085, -91.183773195168 30.371565119969, -91.182910873012 30.371463694416, -91.182169200944 30.371376694138, -91.181419465329 30.371283509171, -91.181378187961 30.371562241616, -91.176612161391 30.370995973559, -91.176449399693 30.371214552799, -91.175720907856 30.372192862975, -91.174732341343 30.373520394655, -91.17518067823 30.373572033083, -91.17729124331 30.373815099873, -91.178117839871 30.373910286566, -91.178904018566 30.37400081475, -91.179690199735 30.374091337353, -91.180476381294 30.374181856179, -91.181262565328 30.374272369425, -91.182051424732 30.374348457417, -91.182785910415 30.374433773076, -91.183552831479 30.374524183986, -91.184212062116 30.374601246028, -91.187005867211 30.374929279149, -91.188086585357 30.375056254363, -91.189115328539 30.375177452845, -91.190276566656 30.375313541504, -91.191899436217 30.375496522276, -91.192682505351 30.375587632652, -91.193356714032 30.375664165218, -91.193316782016 30.375827251823, -91.191452654725 30.386350289582, -91.19014341705 30.386161551452, -91.188650201332 30.385967845033, -91.177043738607 30.384548906635, -91.175167397968 30.384330522646, -91.171972215022 30.383958578464, -91.168867881155 30.383597132556, -91.168393635636 30.382953820223, -91.167824464823 30.38218172854, -91.167641702043 30.381952774974, -91.164987220249 30.378355431218, -91.160621049337 30.372433303079, -91.161719534684 30.365724501917, -91.159154230963 30.365441611812, -91.157398734624 30.367070943633, -91.156973285678 30.367506488361, -91.15688701669 30.367143118516, -91.159795714113 30.348754923946, -91.159830324083 30.348499581114, -91.160159852819 30.346416904538, -91.163792085373 30.347618448835, -91.166572070719 30.34853798233, -91.168875902056 30.34929996145, -91.169758445871 30.349591710278, -91.170623627622 30.349877712466, -91.17260276222 30.35053192443, -91.172972048637 30.350653989297, -91.173177592955 30.35070892591, -91.174278730236 30.351001030079, -91.176724877465 30.351401832834, -91.177474296851 30.351524616566, -91.180026739897 30.351681610783, -91.180303343039 30.351704601286, -91.182845442332 30.351915862701, -91.185318007358 30.351447915092, -91.18817176738 30.350907761851, -91.187755130802 30.353969264245, -91.187722339044 30.354188540884)))","6","LSU AgCenter Central Res Stat","2310 BEN HUR RD","BATON ROUGE","LOUISIANA","70820","225-578-4161","http://www.lsuagcenter.com/portals/our_offices/research_stations/central"
"MULTIPOLYGON (((-91.13841777539 30.449316011378, -91.137645104791 30.449402159182, -91.136094874826 30.449536972416, -91.135931064902 30.449542598754, -91.13594546161 30.449857230245, -91.135799967811 30.44986232627, -91.135808745147 30.450027125762, -91.135713615061 30.45003045756, -91.135724585274 30.450236456469, -91.135486759537 30.450244787037, -91.135074526432 30.450259224531, -91.135096361985 30.450669276476, -91.134956820525 30.450673856388, -91.134252767537 30.450696961589, -91.133492012921 30.450721922262, -91.133445191868 30.449676457426, -91.13343810302 30.449539118694, -91.133428701938 30.449332897301, -91.133420563383 30.449154313001, -91.133412423808 30.448975732299, -91.133404284257 30.448797154293, -91.133396145784 30.448618572671, -91.133388006298 30.448439991939, -91.133379864758 30.448261411195, -91.133371725331 30.448082829542, -91.133369221613 30.448027884601, -91.133361082223 30.447849303837, -91.133352943898 30.447670725772, -91.133345476632 30.447506879672, -91.134543755092 30.447479792588, -91.135835341248 30.447450583329, -91.13598383665 30.447446891773, -91.135925207061 30.445946419931, -91.136982468066 30.445909884553, -91.137218344314 30.445901732433, -91.137275292077 30.447138628846, -91.138722104531 30.447092202261, -91.13880028706 30.448828929474, -91.138402907593 30.448837527552, -91.13841777539 30.449316011378)))","18","Baton Rouge Community College - Mid City Campus","201 COMMUNITY COLLEGE DR","BATON ROUGE","LOUISIANA","70806","1-866-217-9823","http://www.mybrcc.edu"
"MULTIPOLYGON (((-91.103795792348 30.402732510469, -91.103602650925 30.402996755694, -91.103431351788 30.403256064475, -91.103285493215 30.403481075577, -91.102276738582 30.402828846103, -91.101407192904 30.402278252716, -91.101890806406 30.401649396962, -91.102392702584 30.401942196138, -91.103510009878 30.402566730919, -91.103795792348 30.402732510469)))","14","Southeastern La. University School of Nursing","7900 MARGARET ANN AVE","BATON ROUGE","LOUISIANA","70809","985-549-2156","http://southeastern.edu/acad_research/depts/nurs/"
"MULTIPOLYGON (((-91.122109338428 30.46743875523, -91.122136168004 30.468202480806, -91.120740235059 30.468239270314, -91.120510716963 30.467929386884, -91.11980021646 30.4669700041, -91.121052002137 30.466274320788, -91.121112725443 30.466272714201, -91.121651509924 30.467000161765, -91.122093521083 30.466988510824, -91.122109338428 30.46743875523)))","13","Baton Rouge Community College - Ardendale Campus","2115 LOBDELL BLVD","BATON ROUGE","LOUISIANA","70806","1-866-217-9823","http://www.mybrcc.edu"
"MULTIPOLYGON (((-91.160621049337 30.372433303079, -91.158088489625 30.368987763746, -91.156973285678 30.367506488361, -91.157398734624 30.367070943633, -91.159154230963 30.365441611812, -91.161719534684 30.365724501917, -91.160621049337 30.372433303079)))","15","LSU Fire & Emerg Training Inst","6868 NICHOLSON DR","BATON ROUGE","LOUISIANA","70820","225-334-3600","https://www.lsu.edu/feti/"
"MULTIPOLYGON (((-91.066180655991 30.540055203532, -91.067308615082 30.539700874412, -91.067511997079 30.539637593325, -91.067581009653 30.539616099689, -91.067818311383 30.540393448542, -91.06802103693 30.541057524073, -91.066817589764 30.541584557165, -91.066180655991 30.540055203532)))","9","Baton Rouge Community College - Central Campus","10700 HOOPER RD","CENTRAL","LOUISIANA","70818","1-866-217-9823","http://www.mybrcc.edu"
