"the_geom","id","business_name","full_address","city","state","zip","phone_number","website"
"POINT (-91.139613241069 30.445782204832)","25235","A.C. LEWIS YMCA","350 S FOSTER DR","BATON ROUGE","LOUISIANA","70806","225-924-3606","http://ymcabr.org/"
"POINT (-91.01545218137 30.35216830855)","93564","HEALING PLACE CHURCH","19202 HIGHLAND RD","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.155546613189 30.515508423246)","46866","EXXONMOBIL YMCA","7717 HOWELL BLVD","BATON ROUGE","LOUISIANA","70807","225-906-5424","http://ymcabr.org/"
"POINT (-91.16787093078 30.511199985315)","19897","SCOTLANDVILLE GARDEN PARK","2350 GOUDCHAUX ST","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.040649652632 30.39276884504)","45037","SKATE GALAXY","12828 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.076141869753 30.375108102401)","33886","PAULA G. MANSHIP YMCA & LAMAR TENNIS CENTER","8100 YMCA PLAZA DR","BATON ROUGE","LOUISIANA","70810","225-767-9622","http://ymcabr.org/"
"POINT (-91.024933592729 30.367298312661)","1151","HEALING PLACE CHURCH","14141 AIRLINE HWY","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.176792933794 30.432019301326)","9474","BARANCO-CLARK YMCA","1735 THOMAS H DELPIT DR","BATON ROUGE","LOUISIANA","70802","225-344-6775","http://ymcabr.org/"
"POINT (-91.011579902589 30.457338137897)","150343","C.B. PENNINGTON JR. YMCA","15550 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816","225-272-9622","http://ymcabr.org/"
"POINT (-91.188507394347 30.452367300895)","152618","CHARLES W. LAMAR, JR. YMCA","521 3RD ST","BATON ROUGE","LOUISIANA","70802","225-612-9622","http://ymcabr.org/"
"POINT (-91.105274127956 30.387827426326)","43746","SOUTHSIDE YMCA","8482 PERKINS RD","BATON ROUGE","LOUISIANA","70810",,"http://ymcabr.org/"
"POINT (-91.138290068197 30.418811561155)","41213","SOUTHSIDE CHILD DEVELOPMENT CENTER","3030 VALLEY CREEK DR","BATON ROUGE","LOUISIANA","70808",,
