"the_geom","id","business_name","full_address","city","state","zip","phone_number","website"
"POINT (-91.098694095638 30.451842238087)","28877","CAPITOL CYCLERY & FITNESS","8434 FLORIDA BLVD, STE B","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.129030288318 30.423741594686)","161553","GOLF TEC","2561 CITIPLACE CT, STE 700","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.081854503306 30.386452327527)","101707","DICKS SPORTING GOODS","9330 MALL OF LOUISIANA BLVD","BATON ROUGE","LOUISIANA","70836",,
"POINT (-91.109373527452 30.397417895034)","150531","CAPITOL CYCLERY","5778 ESSEN LN","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.08410459757 30.432393469627)","150404","PURPLE AND GOLD SPORTS","9636 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.140352417704 30.585550286641)","186387","LOUISIANA LADY MYSTICS","1124 CHEMIN DR","BAKER","LOUISIANA","70714","225-439-9232",
"POINT (-91.112278347878 30.449926678377)","32712","BATON ROUGE SOCCER ASSOCIATION","142 LOBDELL AVE","BATON ROUGE","LOUISIANA","70806","225-924-2157","http://brsa.org"
"POINT (-91.091443781406 30.418418523564)","150914","ON-COURT TENNIS","8775 JEFFERSON HWY, STE D","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.105334588335 30.465195299743)","33496","MARKSMAN GUNSMITHING","8056 AIRLINE HWY, STE A","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.036401809978 30.44332384243)","27064","LOUISIANA HIGH SCHOOL ATHLETIC ASSOCIATION","12720 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816","225-296-5882","http://lhsaa.org"
"POINT (-91.180297827716 30.524401573514)","177620","JOE'S SPORTING GOODS AND PAWN SHOP","8478 SCOTLAND AVE","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.135564543592 30.552654827325)","10831","SPORTS CONNECTION","11713 PLANK RD","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.097691413548 30.403724535913)","43064","SEVEN SEAS","8350 ONE CALAIS AVE","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.016912433314 30.403376394594)","36116","CAPITOL CYCLERY","5542 JONES CREEK RD","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.057509299845 30.39704707809)","36591","GOALS & POLES LLC","5860 SIEGEN LN","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.082166413049 30.434614762235)","28096","FITNESS EXPO INC","9603 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.14024592205 30.508901506508)","24622","SPORTMAN'S HAVEN","5035 AIRLINE HWY","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.084225286926 30.467928158904)","134152","DIXIELAND DIVERS","2030 MONTERREY BLVD","BATON ROUGE","LOUISIANA","70815","225-266-8360","http://members.tripod.com/dixieland_divers0"
"POINT (-91.056234303553 30.394122899391)","41622","X-TREME WEAPONS LLC","11062 CLOVERLAND AVE, STE F","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.176373845725 30.417921806339)","41433","THE BICYCLE SHOP","3315 HIGHLAND RD","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.023085788492 30.368742314003)","174940","BAYOU PELICAN STOCKS & STEEL, LLC","14141 AIRLINE HWY, STE 4J","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.083335970342 30.475995394275)","5765","RICHS GUNS & COINS","2922 MONTERREY DR","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.016292301733 30.40289164852)","150240","RUKUS BOARD SPORTS","5551 JONES CREEK RD, STE F","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.129384006622 30.498509736504)","153712","HIBBITT SPORTS","6180 AIRLINE HWY","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.074107880495 30.370328070685)","60191","CRAWFISH AQUATICS","8716 SIEGEN LN","BATON ROUGE","LOUISIANA","70810","225-769-4323","http://crawfishaquatics.com/"
"POINT (-91.052760510361 30.402814402997)","175289","ZENOS SPORTS CENTER","5830 S SHERWOOD FOREST BLVD, STE A5","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.10581526786 30.455719360639)","119166","LA THUNDER FOOTBALL TEAM","650 WOODDALE BLVD","BATON ROUGE","LOUISIANA","70806","225-278-6475",
"POINT (-91.139796117706 30.483113196637)","128269","ACCARDO TACKLE COMPANY","3702 CONRAD DR","BATON ROUGE","LOUISIANA","70805",,
