"id","address","latitude","longitude","geocoded_column","status","submit_date","issue_date","business","erected_date","removed_date","description","tent_expiration","tent_count","size_of_additional_tents","tent_1_size","tent_2_size","tent_3_size","tent_4_size","tent_5_size","building_cost","electrical_cost","total_construction_cost","electrical_inspector","license_number"
"189980","18 Harvard Yard, Cambridge, MA 02138","42.3756","-71.1179","(42.3756, -71.117947)","Complete","2022-08-15T00:00:00.000","2022-08-22T00:00:00.000","Wm Blanchard Co Inc","2022-08-30T00:00:00.000","2022-11-19T00:00:00.000","Erect Temporary Tent for Harvard University classroom and meeting areas. Tent will be<br>staked into ground. Digsafe will be notified of the event. There will be no sides on the<br>tent. Daytime use only","2023-11-29T00:00:00.000","1","","30x40","","","","","2400","0","2400","","CS-026636"
"189731","8 Harvard Yard, Cambridge, MA 02138","42.3736","-71.1184","(42.373639, -71.118401)","Complete","2022-08-12T00:00:00.000","2022-08-22T00:00:00.000","Wm Blanchard Co Inc","2022-08-24T00:00:00.000","2022-08-29T00:00:00.000","Erect Temporary Tent for Harvard University sign ups, for clubs and student activities.<br>Tents will be staked into the ground. Digsafe will be notified of the event. There will be no sides on any of the tents","2023-11-29T00:00:00.000","3","","20x30","20x30","20x30","","","3300","0","3300","","CS-026636"
"189729","23 Harvard Yard, Cambridge, MA 02138","42.3748","-71.1157","(42.374779, -71.115733)","Complete","2022-08-12T00:00:00.000","2022-08-22T00:00:00.000","Wm Blanchard Co Inc","2022-08-25T00:00:00.000","2022-09-02T00:00:00.000","Erect temporary tent for Harvard University for covering speakers platform area. Tent<br>will be weighted down to ground. There will be no sides on tent","2023-11-29T00:00:00.000","1","","20x40","","","","","3400","0","3400","","CS-026636"
"189440","26 Oxford St, Cambridge, MA 02138","42.3787","-71.1158","(42.378695, -71.115809)","Complete","2022-08-11T00:00:00.000","2022-08-22T00:00:00.000","Wm Blanchard Co Inc","2022-09-09T00:00:00.000","2022-09-12T00:00:00.000","Erect Temporary tents for Harvard University Graduate school summer outing.<br>Tents will be staked into the ground. Digsafe will be notified of the event. There<br>will be no sides on the tents. This is a daytime event.","2023-11-29T00:00:00.000","2","","30x50","20x20","","","","4000","0","4000","","CS-026636"
"189289","9 Kirkland Pl, Cambridge, MA 02138","42.3779","-71.1131","(42.377854, -71.113111)","Complete","2022-08-10T00:00:00.000","2022-08-18T00:00:00.000","BC Tent & Awning","2022-08-27T00:00:00.000","2022-08-31T00:00:00.000","Temporary 30x30 tent without walls staked to be installed on or abouit 8/27, used on 8/29 and removed on or about 8/31","2023-05-23T00:00:00.000","1","","30x30","","","","","1113","0","1113","","146"
"189323","15 Craigie St, Cambridge, MA 02138","42.3789","-71.1278","(42.37894, -71.127791)","Complete","2022-08-10T00:00:00.000","2022-08-15T00:00:00.000","Atent For Rent Inc","2022-08-20T00:00:00.000","2022-12-30T00:00:00.000","Install temporary 40x60 tent with no sides to be used as outdoor gathering space. Secured with (24) 500lb concrete ballasts.&nbsp;","2022-12-29T00:00:00.000","1","","2400","","","","","31480","0","31480","","CS-050960"
"189145","48-R Massachusetts Ave, Cambridge, MA 02139","42.3584","-71.094","(42.358371, -71.093951)","Complete","2022-08-09T00:00:00.000","2022-08-10T00:00:00.000","Peak Event Services","2022-08-18T00:00:00.000","2022-10-03T00:00:00.000","To Erect an 82x197,20x40 &amp; 20x20 Temporary Tent on 8/18/22 &nbsp;Events thru 10/2/22 &nbsp;Removed 10/3/22. Main Tent will have (8) 6&#39; Exits w/illum. Exit signs, (2) No Smoking Signs 7 (4) 10lb Abc Fire Extinguishers. Tents will be anchored down u","2023-04-27T00:00:00.000","3","","82x197","20x40","20x20","","","52000","0","52000","","CS-060219"
"188487","182-R Memorial Dr, Cambridge, MA 02142","42.3589","-71.0908","(42.35893, -71.09084)","Complete","2022-08-04T00:00:00.000","2022-08-08T00:00:00.000","Peak Event Services","2022-09-05T00:00:00.000","2022-09-08T00:00:00.000","To Erect a 30x45 Temporary Tent on 9/5/22 &nbsp;Event( Luncheon) on 9/6/22 &nbsp;Removed 9/8/22. Tent will have (2) 6&#39; Exits w/Plastic Exit Signs, (1) No Smoking Sign &amp; (1) Fire Extinguisher. Tent will be anchored down using 42&quot; spikes w/3&qu","2023-04-27T00:00:00.000","1","","30x45","","","","","2000","0","2000","","CS-060219"
"187765","450 Kendall St, Cambridge, MA 02142","42.3635","-71.0817","(42.363495, -71.081729)","Complete","2022-08-01T00:00:00.000","2022-08-01T00:00:00.000","AtlanticT ent Rental, Inc.","2022-08-16T00:00:00.000","2022-08-19T00:00:00.000","Weights","2023-04-23T00:00:00.000","1","","20 X 20","","","","","900","0","900","","B34574"
"187587","780 Memorial Dr, Cambridge, MA 02139","42.3596","-71.1148","(42.359595, -71.114798)","Complete","2022-07-30T00:00:00.000","2022-08-01T00:00:00.000","BC Tent & Awning","2022-08-08T00:00:00.000","2022-08-10T00:00:00.000","Install temporary 30x45 tent without walls weighted on or about 8/8, used on 8/9, removed on or about 8/10","2024-05-23T00:00:00.000","1","","30x45","","","","","2387","0","2387","","146"
