"crash_number","date_time","day_of_week","object_1","object_2","street_number","steet_name","cross_street","location","latitude","longitude","coordinates"
"23638","2010-01-01T01:50:00.000","Friday","Auto","Auto",,"Massachusetts Ave","Rindge Ave"," Massachusetts Ave & Rindge Ave Cambridge, MA","42.392614999999999","-71.124874000000005",
"23639","2010-01-01T02:04:00.000","Friday","Taxi","Auto",,"Cambridge St","SCIARAPPA ST"," Cambridge St & SCIARAPPA ST Cambridge, MA","42.371232999999997","-71.081492999999995",
"23640","2010-01-01T03:59:00.000","Friday","Auto","Parked Vehicle","105","Coolidge Ave",,"105 Coolidge Ave Cambridge, MA","42.368662","-71.141390999999999",
"23641","2010-01-01T08:49:00.000","Friday","Auto","Parked Vehicle",,"Western Ave","HOWARD ST"," Western Ave & HOWARD ST Cambridge, MA","42.364749000000003","-71.110774000000006",
"25270","2010-01-01T11:00:00.000","Saturday","Auto","Parked Vehicle","350","MAIN ST",,"350 MAIN ST Cambridge, MA","42.362388000000003","-71.087276000000003",
"23644","2010-01-02T00:00:00.000","Saturday","Auto","Parked Vehicle","91","SHERMAN ST",,"91 SHERMAN ST Cambridge, MA","42.388514999999998","-71.132695999999996",
"23642","2010-01-02T07:31:00.000","Saturday","Truck","Fixed Object",,"MAGAZINE ST","PRINCE ST"," MAGAZINE ST & PRINCE ST Cambridge, MA","42.36027","-71.109808999999998",
"23643","2010-01-02T08:00:00.000","Saturday","Auto","Auto",,"River St","Putnam Ave"," River St & Putnam Ave Cambridge, MA","42.362257","-71.113546999999997",
"23645","2010-01-03T00:00:00.000","Sunday","Auto","Auto","10","Clinton St",,"10 Clinton St Cambridge, MA","42.368200999999999","-71.106099999999998",
"23654","2010-01-03T11:06:00.000","Sunday","Auto","Parked Vehicle","18","Belmont St",,"18 Belmont St Cambridge, MA","42.374830000000003","-71.151090999999994",
"23677","2010-01-03T18:00:00.000","Sunday","Auto","Parked Vehicle","169","Monsignor OBrien Hwy",,"169 Monsignor OBrien Hwy Cambridge, MA","42.371808000000001","-71.077769000000004",
"23647","2010-01-04T08:00:00.000","Monday","Auto","Truck",,"Massachusetts Ave","EVERETT ST"," Massachusetts Ave & EVERETT ST Cambridge, MA","42.380006000000002","-71.119917000000001",
"23650","2010-01-04T10:15:00.000","Monday","Auto","Auto",,"Rogers St","FIRST ST"," Rogers St & FIRST ST Cambridge, MA","42.365878000000002","-71.078034000000002",
"23651","2010-01-04T12:00:00.000","Monday","Auto","Parked Vehicle","1575","Cambridge St",,"1575 Cambridge St Cambridge, MA","42.375042000000001","-71.107168999999999",
"23653","2010-01-04T17:29:00.000","Monday","Auto","Parked Vehicle",,"HENRY ST","PEARL ST"," HENRY ST & PEARL ST Cambridge, MA","42.356803999999997","-71.111153000000002",
"23652","2010-01-04T22:12:00.000","Monday","Auto","Auto","2360","Massachusetts Ave","DUDLEY ST","2360 Massachusetts Ave Cambridge, MA","42.396307","-71.129259000000005",
"23655","2010-01-05T18:30:00.000","Tuesday","Auto","Auto",,"Hampshire St","ELM ST"," Hampshire St & ELM ST Cambridge, MA","42.370480000000001","-71.096879000000001",
"23658","2010-01-06T06:59:00.000","Thursday","Auto","Parked Vehicle",,"Ames St",," Ames St &  Cambridge, MA",,,
