"data_as_of","start_date","end_date","year","sex","age_group","total_deaths"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","All Ages","2712630"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","0 years","23455"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","1-4 years","3965"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","5-9 years","2402"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","10-14 years","3009"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","15-19 years","10186"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","20-24 years","20308"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","25-29 years","23898"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","30-34 years","27619"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","35-39 years","31417"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","40-44 years","41671"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","45-49 years","64377"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","50-54 years","110117"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","55-59 years","159589"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","60-64 years","198196"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","65-69 years","235482"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","70-74 years","259534"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","75-79 years","290405"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","80-84 years","347161"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","85 years and over","859701"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","All Sexes","Unknown","138"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","All Ages","1339226"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","0 years","10447"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","1-4 years","1684"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","5-9 years","1025"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","10-14 years","1233"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","15-19 years","2999"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","20-24 years","5149"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","25-29 years","6725"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","30-34 years","9011"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","35-39 years","11227"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","40-44 years","16191"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","45-49 years","25570"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","50-54 years","43377"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","55-59 years","62417"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","60-64 years","77742"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","65-69 years","97852"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","70-74 years","114817"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","75-79 years","136686"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","80-84 years","177034"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","85 years and over","537997"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","F","Unknown","43"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","All Ages","1373404"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","0 years","13008"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","1-4 years","2281"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","5-9 years","1377"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","10-14 years","1776"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","15-19 years","7187"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","20-24 years","15159"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","25-29 years","17173"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","30-34 years","18608"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","35-39 years","20190"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","40-44 years","25480"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","45-49 years","38807"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","50-54 years","66740"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","55-59 years","97172"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","60-64 years","120454"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","65-69 years","137630"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","70-74 years","144717"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","75-79 years","153719"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","80-84 years","170127"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","85 years and over","321704"
"2021-03-21T00:00:00.000","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000","2015","M","Unknown","95"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","All Ages","2744248"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","0 years","23161"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","1-4 years","4045"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","5-9 years","2490"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","10-14 years","3013"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","15-19 years","10812"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","20-24 years","21763"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","25-29 years","27053"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","30-34 years","30563"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","35-39 years","35277"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","40-44 years","42515"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","45-49 years","65585"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","50-54 years","107931"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","55-59 years","162146"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","60-64 years","204299"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","65-69 years","246655"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","70-74 years","265425"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","75-79 years","294895"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","80-84 years","342021"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","85 years and over","854462"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","All Sexes","Unknown","137"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","All Ages","1344016"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","0 years","10294"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","1-4 years","1789"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","5-9 years","1113"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","10-14 years","1249"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","15-19 years","3099"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","20-24 years","5463"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","25-29 years","7542"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","30-34 years","9817"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","35-39 years","12468"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","40-44 years","16109"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","45-49 years","25816"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","50-54 years","42614"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","55-59 years","63496"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","60-64 years","80565"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","65-69 years","102266"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","70-74 years","117072"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","75-79 years","138044"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","80-84 years","174053"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","85 years and over","531107"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","F","Unknown","40"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","All Ages","1400232"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","0 years","12867"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","1-4 years","2256"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","5-9 years","1377"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","10-14 years","1764"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","15-19 years","7713"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","20-24 years","16300"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","25-29 years","19511"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","30-34 years","20746"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","35-39 years","22809"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","40-44 years","26406"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","45-49 years","39769"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","50-54 years","65317"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","55-59 years","98650"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","60-64 years","123734"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","65-69 years","144389"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","70-74 years","148353"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","75-79 years","156851"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","80-84 years","167968"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","85 years and over","323355"
