"year","sex","age","race_hispanic_origin","state","deaths","population","crude_death_rate","standard_error_for_crude_rate","low_confidence_limit_for_crude_rate","upper_confidence_limit_for_crude_rate","age_adjusted_rate","standard_error_age_adjusted_rate","lower_confidence_limit_for_age_adjusted_rate","upper_confidence_limit_for_age_adjusted_rate","state_crude_rate_in_range","us_crude_rate","us_age_adjusted_rate"
"2004","Both Sexes","All Ages","All Races-All Origins","Texas","1813","22394023","8.0959","0.19014","7.7232","8.4686","8.1661","0.1926","7.7886","8.5436","7–9.8","9.366","9.3831"
"2012","Both Sexes","All Ages","All Races-All Origins","Arizona","1134","6553255","17.3044","0.51387","16.2972","18.3116","17.6797","0.53302","16.635","18.7244","15.2–41.5","13.2208","13.1422"
"2008","Male","All Ages","Hispanic","United States","1875","24322906","7.7088","0.17803","7.3599","8.0577","8.4092","0.20413","8.0091","8.8093","8.3–8.4","11.9864","11.8947"
"2009","Both Sexes","All Ages","All Races-All Origins","Washington","987","6667426","14.8033","0.47119","13.8798","15.7269","14.3041","0.46098","13.4006","15.2076","12.3–15.2","12.0624","11.9388"
"2015","Female","All Ages","All Races-All Origins","United States","19447","163189523","11.9168","0.08545","11.7493","12.0843","11.8456","0.08688","11.6753","12.0159","10.6–11.8","16.304","16.2923"
"2008","Both Sexes","All Ages","All Races-All Origins","Utah","468","2663029","17.574","0.81236","15.9818","19.1662","18.9659","0.89386","17.2139","20.7179","15.2–41.5","11.9864","11.8947"
"2012","Both Sexes","All Ages","Non-Hispanic White","United States","33823","200698847","16.8526","0.09163","16.673","17.0322","16.8262","0.09406","16.6419","17.0106","15–16.9","13.2208","13.1422"
"2004","Both Sexes","All Ages","Hispanic","United States","1912","41501375","4.6071","0.10536","4.4006","4.8136","5.2284","0.12599","4.9814","5.4753","4.5–5.2","9.366","9.3831"
"1999","Both Sexes","All Ages","All Races-All Origins","Louisiana","188","4460814","4.2145","0.30737","3.612","4.8169","4.3246","0.31576","3.7057","4.9435","1.8–7","6.0382","6.057"
"2011","Both Sexes","All Ages","All Races-All Origins","Arizona","1071","6482505","16.5214","0.50484","15.5319","17.5109","16.8532","0.52213","15.8298","17.8766","15.2–41.5","13.2674","13.1852"
"2012","Both Sexes","All Ages","All Races-All Origins","California","4040","38041430","10.62","0.16708","10.2925","10.9475","10.2923","0.16365","9.9716","10.6131","9.9–12.3","13.2208","13.1422"
"2010","Both Sexes","All Ages","All Races-All Origins","Mississippi","334","2967297","11.256","0.6159","10.0489","12.4632","11.3863","0.63218","10.1473","12.6254","9.9–12.3","12.4144","12.2966"
"2002","Both Sexes","All Ages","All Races-All Origins","Oklahoma","240","3489080","6.8786","0.44401","6.0083","7.7489","7.069","0.45769","6.1719","7.9661","7–9.8","8.1766","8.1957"
"2009","Both Sexes","All Ages","All Races-All Origins","New York","1592","19307066","8.2457","0.20666","7.8406","8.6507","7.9913","0.20242","7.5946","8.3881","7–9.8","12.0624","11.9388"
"2014","Both Sexes","All Ages","All Races-All Origins","Alaska","124","736732","16.8311","1.51148","13.8686","19.7936","16.7585","1.54982","13.7209","19.7961","15.2–41.5","14.7574","14.6831"
"2001","Both Sexes","All Ages","Hispanic","United States","1483","37144096","3.9926","0.10368","3.7894","4.1958","4.4554","0.122","4.2162","4.6945","4.5–5.2","6.8057","6.7922"
"2007","Male","All Ages","Hispanic","United States","1866","23544040","7.9256","0.18347","7.566","8.2852","8.7363","0.21355","8.3177","9.1549","8.5–9.1","11.9543","11.8775"
"2001","Both Sexes","All Ages","All Races-All Origins","Texas","1374","21319622","6.4448","0.17387","6.104","6.7855","6.5582","0.17778","6.2097","6.9066","1.8–7","6.8057","6.7922"
"2001","Both Sexes","All Ages","All Races-All Origins","Kansas","138","2702162","5.107","0.43474","4.2549","5.9591","5.2579","0.44812","4.3795","6.1362","1.8–7","6.8057","6.7922"
"2009","Both Sexes","All Ages","All Races-All Origins","Virginia","685","7925937","8.6425","0.33021","7.9953","9.2897","8.5371","0.32888","7.8925","9.1817","7–9.8","12.0624","11.9388"
"2003","Both Sexes","All Ages","All Races-All Origins","Delaware","77","818003","9.4132","1.07273","7.4287","11.7648","9.4153","1.0749","7.4304","11.7675","7–9.8","8.8881","8.8765"
"2002","Both Sexes","All Ages","All Races-All Origins","Alabama","211","4480089","4.7097","0.32423","4.0742","5.3452","4.7619","0.32868","4.1177","5.4062","1.8–7","8.1766","8.1957"
"2012","Both Sexes","All Ages","All Races-All Origins","Idaho","181","1595728","11.3428","0.8431","9.6903","12.9953","11.9173","0.90237","10.1487","13.6859","9.9–12.3","13.2208","13.1422"
"2003","Both Sexes","All Ages","All Races-All Origins","South Carolina","287","4150297","6.9152","0.40819","6.1151","7.7152","6.9896","0.41408","6.178","7.8012","1.8–7","8.8881","8.8765"
"2011","Both Sexes","All Ages","All Races-All Origins","Delaware","160","907135","17.6379","1.3944","14.9049","20.371","17.6336","1.41389","14.8624","20.4048","15.2–41.5","13.2674","13.1852"
"2013","Both Sexes","All Ages","All Races-All Origins","Arizona","1222","6626624","18.4408","0.52753","17.4068","19.4747","18.7376","0.54515","17.6691","19.8061","15.2–41.5","13.9127","13.8005"
"1999","Both Sexes","All Ages","All Races-All Origins","Connecticut","310","3386401","9.1543","0.51993","8.1352","10.1733","8.9845","0.5114","7.9821","9.9868","7–9.8","6.0382","6.057"
"2000","Both Sexes","All Ages","All Races-All Origins","West Virginia","113","1808344","6.2488","0.58784","5.0966","7.401","6.228","0.58863","5.0743","7.3817","1.8–7","6.1882","6.1749"
"2007","Both Sexes","All Ages","All Races-All Origins","Illinois","1192","12695866","9.3889","0.27194","8.8559","9.9219","9.3839","0.2733","8.8482","9.9195","7–9.8","11.9543","11.8775"
"2005","Both Sexes","All Ages","All Races-All Origins","Tennessee","872","5991057","14.555","0.4929","13.589","15.5211","14.5328","0.49445","13.5637","15.5019","12.3–15.2","10.0884","10.0699"
"2013","Both Sexes","All Ages","All Races-All Origins","New Jersey","1294","8899339","14.5404","0.40421","13.7481","15.3327","14.4943","0.40854","13.6936","15.295","12.3–15.2","13.9127","13.8005"
"2003","Both Sexes","All Ages","All Races-All Origins","Colorado","502","4528732","11.0848","0.49474","10.1151","12.0545","10.7497","0.4817","9.8056","11.6939","9.9–12.3","8.8881","8.8765"
"2006","Both Sexes","All Ages","All Races-All Origins","Tennessee","975","6088766","16.0131","0.51283","15.008","17.0182","15.9915","0.51492","14.9823","17.0008","15.2–41.5","11.5373","11.4883"
"1999","Both Sexes","All Ages","All Races-All Origins","Minnesota","136","4873481","2.7906","0.23929","2.3216","3.2596","2.7876","0.23921","2.3187","3.2564","1.8–7","6.0382","6.057"
"2013","Both Sexes","All Ages","All Races-All Origins","Ohio","2347","11570808","20.2838","0.41869","19.4632","21.1044","20.7926","0.43833","19.9335","21.6517","15.2–41.5","13.9127","13.8005"
"2015","Female","All Ages","Hispanic","United States","1144","27989392","4.0873","0.12084","3.8504","4.3241","4.3974","0.1319","4.1389","4.6559","4.1–4.4","16.304","16.2923"
"2001","Both Sexes","All Ages","All Races-All Origins","North Dakota","14","639062","2.1907","0.58549","1.1977","3.6756","2.3243","0.62529","1.2707","3.8998","1.8–7","6.8057","6.7922"
"2014","Both Sexes","All Ages","All Races-All Origins","Connecticut","623","3596677","17.3215","0.69397","15.9614","18.6817","17.641","0.72367","16.2227","19.0594","15.2–41.5","14.7574","14.6831"
"2001","Both Sexes","All Ages","All Races-All Origins","District of Columbia","93","574504","16.1879","1.6786","13.0657","19.8312","16.207","1.69381","13.0651","19.8764","15.2–41.5","6.8057","6.7922"
"2011","Both Sexes","All Ages","Non-Hispanic White","United States","33961","200423243","16.9446","0.09195","16.7644","17.1249","16.9096","0.09417","16.725","17.0942","15–16.9","13.2674","13.1852"
"1999","Both Sexes","All Ages","All Races-All Origins","West Virginia","75","1811801","4.1395","0.47799","3.256","5.1889","4.1455","0.48042","3.2551","5.2043","1.8–7","6.0382","6.057"
"2012","Female","All Ages","Non-Hispanic White","United States","13688","101925742","13.4294","0.11479","13.2044","13.6544","13.1943","0.1167","12.9656","13.4231","11.6–13.3","13.2208","13.1422"
"2003","Male","All Ages","Non-Hispanic White","United States","12684","97159794","13.0548","0.11592","12.8276","13.282","12.8828","0.11494","12.6575","13.1081","11.6–14.7","8.8881","8.8765"
"2011","Both Sexes","All Ages","All Races-All Origins","Kentucky","1058","4369356","24.2141","0.74443","22.755","25.6732","25.0026","0.77903","23.4757","26.5295","15.2–41.5","13.2674","13.1852"
"2012","Both Sexes","All Ages","All Races-All Origins","South Carolina","587","4723723","12.4266","0.5129","11.4214","13.4319","12.4567","0.52399","11.4297","13.4837","12.3–15.2","13.2208","13.1422"
"2006","Both Sexes","All Ages","All Races-All Origins","United States","34425","298379912","11.5373","0.06218","11.4154","11.6592","11.4883","0.06222","11.3663","11.6102","9.9–12.3","11.5373","11.4883"
"2002","Female","All Ages","All Races-All Origins","United States","8490","146394634","5.7994","0.06294","5.676","5.9228","5.8076","0.06317","5.6837","5.9314","5.8–7.3","8.1766","8.1957"
"2010","Both Sexes","All Ages","Hispanic","United States","2583","50477594","5.1171","0.10068","4.9198","5.3145","5.6438","0.11532","5.4178","5.8699","5.4–5.6","12.4144","12.2966"
"2004","Both Sexes","All Ages","All Races-All Origins","Kentucky","526","4146101","12.6866","0.55316","11.6024","13.7708","12.7705","0.55838","11.6761","13.8649","12.3–15.2","9.366","9.3831"
"2006","Both Sexes","All Ages","All Races-All Origins","Oklahoma","563","3594090","15.6646","0.66018","14.3706","16.9586","16.2335","0.69036","14.8804","17.5866","15.2–41.5","11.5373","11.4883"
"2010","Both Sexes","All Ages","All Races-All Origins","Vermont","63","625741","10.0681","1.26846","7.7366","12.8814","9.6989","1.26797","7.3833","12.5109","7–9.8","12.4144","12.2966"
"2007","Both Sexes","All Ages","All Races-All Origins","Nevada","499","2601072","19.1844","0.85881","17.5011","20.8677","18.8504","0.84923","17.1859","20.5149","15.2–41.5","11.9543","11.8775"
"2012","Both Sexes","All Ages","All Races-All Origins","Alabama","562","4822023","11.6549","0.49163","10.6913","12.6185","12.0706","0.51722","11.0569","13.0844","9.9–12.3","13.2208","13.1422"
"2013","Both Sexes","All Ages","All Races-All Origins","Delaware","166","925749","17.9314","1.39175","15.2036","20.6593","18.7293","1.48416","15.8203","21.6383","15.2–41.5","13.9127","13.8005"
"2014","Both Sexes","All Ages","Non-Hispanic White","United States","37945","201048793","18.8735","0.09689","18.6836","19.0634","18.9512","0.10037","18.7545","19.1479","17.6–21.1","14.7574","14.6831"
"1999","Both Sexes","All Ages","All Races-All Origins","North Carolina","366","7949362","4.6041","0.24066","4.1324","5.0758","4.5836","0.24","4.1132","5.054","1.8–7","6.0382","6.057"
"2004","Both Sexes","All Ages","All Races-All Origins","Tennessee","763","5910809","12.9086","0.46732","11.9926","13.8245","12.8368","0.46675","11.922","13.7516","12.3–15.2","9.366","9.3831"
"2005","Both Sexes","All Ages","All Races-All Origins","Arkansas","269","2781097","9.6724","0.58974","8.5166","10.8283","10.0735","0.618","8.8623","11.2848","9.9–12.3","10.0884","10.0699"
"2002","Both Sexes","All Ages","All Races-All Origins","United States","23518","287625193","8.1766","0.05332","8.0721","8.2811","8.1957","0.05349","8.0909","8.3006","7–9.8","8.1766","8.1957"
"2013","Both Sexes","All Ages","All Races-All Origins","Minnesota","523","5420380","9.6488","0.42191","8.8218","10.4757","9.6018","0.42797","8.763","10.4406","7–9.8","13.9127","13.8005"
"2015","Both Sexes","All Ages","All Races-All Origins","Texas","2588","27469114","9.4215","0.1852","9.0585","9.7845","9.4013","0.18671","9.0354","9.7673","7–9.8","16.304","16.2923"
"2014","Male","All Ages","Non-Hispanic Black","United States","2744","19766066","13.8824","0.26502","13.3629","14.4018","14.1957","0.27584","13.655","14.7363","14.2–17.3","14.7574","14.6831"
"2011","Both Sexes","All Ages","All Races-All Origins","South Carolina","618","4679230","13.2073","0.53128","12.166","14.2486","13.3115","0.54456","12.2441","14.3788","12.3–15.2","13.2674","13.1852"
"1999","Both Sexes","All Ages","All Races-All Origins","Alaska","46","624781","7.3626","1.08555","5.3903","9.8206","7.4638","1.2117","5.2819","10.2447","7–9.8","6.0382","6.057"
