"pci_2015","iri_in_m_2015","fid","oid","featureid","strsegid","networkid","branchid","networknam","branchname","branchuse","from","sectionid","to","category","rank","stsegmtid","surface","area","length","width","assetnhood","cagclass","lane_cnt","objectid","rptclass","slablength","slabwidth","id","constructi","latitude","longitude","polygonid","pointid","strlabel"
"40","481","8709","8708","HAM02878","2989344246429800861844","Cincinnati","Haigh8708","Cinti2015","Haight Av","Roadway","Langland St","8709","Hamilton Av","3","S","5281","AC","25908","1247","22","NORTHSIDE","5","2","25959","MINOR",,,"6702","1990-01-01T00:00:00.000","39.1697037487802","-84.5421032325397","2054","36436","HAIGHT AV"
"40","481","8709","8708","HAM02878","2989344246429800861844","Cincinnati","Haigh8708","Cinti2015","Haight Av","Roadway","Langland St","8709","Hamilton Av","3","S","5281","AC","25908","1247","22","NORTHSIDE","5","2","25959","MINOR",,,"6702","1990-01-01T00:00:00.000","39.1696958368807","-84.5421382836563","2054","36437","HAIGHT AV"
"40","481","8709","8708","HAM02878","2989344246429800861844","Cincinnati","Haigh8708","Cinti2015","Haight Av","Roadway","Langland St","8709","Hamilton Av","3","S","5281","AC","25908","1247","22","NORTHSIDE","5","2","25959","MINOR",,,"6702","1990-01-01T00:00:00.000","39.1696866458172","-84.5421728565819","2054","36438","HAIGHT AV"
"44","270","9369","9368","HAM21959","2844346333528548892256","Cincinnati","Sutte9368","Cinti2015","Sutter Av","Roadway","Boltwood Ct","9369","Westwood Northern Blvd","2","S","11433","AC","40791","1231","34","ENGLISH WOODS","5","3","40015","MINOR",,,"14098","1990-01-01T00:00:00.000","39.1410810601475","-84.55785420728","87","1355","SUTTER AV"
"44","270","9369","9368","HAM21959","2844346333528548892256","Cincinnati","Sutte9368","Cinti2015","Sutter Av","Roadway","Boltwood Ct","9369","Westwood Northern Blvd","2","S","11433","AC","40791","1231","34","ENGLISH WOODS","5","3","40015","MINOR",,,"14098","1990-01-01T00:00:00.000","39.1413012167206","-84.5580940515625","87","1356","SUTTER AV"
"40","481","8709","8708","HAM02878","2989344246429800861844","Cincinnati","Haigh8708","Cinti2015","Haight Av","Roadway","Langland St","8709","Hamilton Av","3","S","5281","AC","25908","1247","22","NORTHSIDE","5","2","25959","MINOR",,,"6702","1990-01-01T00:00:00.000","39.169676347599","-84.5422069563132","2054","36439","HAIGHT AV"
"40","481","8709","8708","HAM02878","2989344246429800861844","Cincinnati","Haigh8708","Cinti2015","Haight Av","Roadway","Langland St","8709","Hamilton Av","3","S","5281","AC","25908","1247","22","NORTHSIDE","5","2","25959","MINOR",,,"6702","1990-01-01T00:00:00.000","39.169664941326","-84.5422405828226","2054","36440","HAIGHT AV"
"40","481","8709","8708","HAM02878","2989344246429800861844","Cincinnati","Haigh8708","Cinti2015","Haight Av","Roadway","Langland St","8709","Hamilton Av","3","S","5281","AC","25908","1247","22","NORTHSIDE","5","2","25959","MINOR",,,"6702","1990-01-01T00:00:00.000","39.1696523501065","-84.5422732928618","2054","36441","HAIGHT AV"
"40","481","8709","8708","HAM02878","2989344246429800861844","Cincinnati","Haigh8708","Cinti2015","Haight Av","Roadway","Langland St","8709","Hamilton Av","3","S","5281","AC","25908","1247","22","NORTHSIDE","5","2","25959","MINOR",,,"6702","1990-01-01T00:00:00.000","39.1696386517337","-84.5423055297027","2054","36442","HAIGHT AV"
"40","481","8709","8708","HAM02878","2989344246429800861844","Cincinnati","Haigh8708","Cinti2015","Haight Av","Roadway","Langland St","8709","Hamilton Av","3","S","5281","AC","25908","1247","22","NORTHSIDE","5","2","25959","MINOR",,,"6702","1990-01-01T00:00:00.000","39.1694293311273","-84.5428764629058","2054","36443","HAIGHT AV"
"40","481","8709","8708","HAM02878","2989344246429800861844","Cincinnati","Haigh8708","Cinti2015","Haight Av","Roadway","Langland St","8709","Hamilton Av","3","S","5281","AC","25908","1247","22","NORTHSIDE","5","2","25959","MINOR",,,"6702","1990-01-01T00:00:00.000","39.1693406182238","-84.5429145265773","2054","36444","HAIGHT AV"
"61","198","9517","9516","HAM31978","2997151510029879924234","Cincinnati","Kirby9516","Cinti2015","Kirby Av","Roadway","Ashtree Dr","9517","Mehmert Av","4","S","6471","AC","39122","1163","22","NORTHSIDE","4","2","46430","MINOR",,,"8755","1990-01-01T00:00:00.000","39.1752764082686","-84.5488107805634","2062","36516","KIRBY AV"
"61","198","9517","9516","HAM31978","2997151510029879924234","Cincinnati","Kirby9516","Cinti2015","Kirby Av","Roadway","Ashtree Dr","9517","Mehmert Av","4","S","6471","AC","39122","1163","22","NORTHSIDE","4","2","46430","MINOR",,,"8755","1990-01-01T00:00:00.000","39.175296801199","-84.5488369559483","2062","36517","KIRBY AV"
"44","270","9369","9368","HAM21959","2844346333528548892256","Cincinnati","Sutte9368","Cinti2015","Sutter Av","Roadway","Boltwood Ct","9369","Westwood Northern Blvd","2","S","11433","AC","40791","1231","34","ENGLISH WOODS","5","3","40015","MINOR",,,"14098","1990-01-01T00:00:00.000","39.1415265543508","-84.5583554834854","87","1357","SUTTER AV"
"44","270","9369","9368","HAM21959","2844346333528548892256","Cincinnati","Sutte9368","Cinti2015","Sutter Av","Roadway","Boltwood Ct","9369","Westwood Northern Blvd","2","S","11433","AC","40791","1231","34","ENGLISH WOODS","5","3","40015","MINOR",,,"14098","1990-01-01T00:00:00.000","39.142352215854","-84.5593809121264","87","1358","SUTTER AV"
"44","270","9369","9368","HAM21959","2844346333528548892256","Cincinnati","Sutte9368","Cinti2015","Sutter Av","Roadway","Boltwood Ct","9369","Westwood Northern Blvd","2","S","11433","AC","40791","1231","34","ENGLISH WOODS","5","3","40015","MINOR",,,"14098","1990-01-01T00:00:00.000","39.1426225884449","-84.5597042547015","87","1359","SUTTER AV"
"61","198","9517","9516","HAM31978","2997151510029879924234","Cincinnati","Kirby9516","Cinti2015","Kirby Av","Roadway","Ashtree Dr","9517","Mehmert Av","4","S","6471","AC","39122","1163","22","NORTHSIDE","4","2","46430","MINOR",,,"8755","1990-01-01T00:00:00.000","39.1753170230156","-84.5488631263595","2062","36518","KIRBY AV"
"44","270","9369","9368","HAM21959","2844346333528548892256","Cincinnati","Sutte9368","Cinti2015","Sutter Av","Roadway","Boltwood Ct","9369","Westwood Northern Blvd","2","S","11433","AC","40791","1231","34","ENGLISH WOODS","5","3","40015","MINOR",,,"14098","1990-01-01T00:00:00.000","39.1431021013345","-84.5600753898051","87","1360","SUTTER AV"
