"createdatetime","incidentnumber","address","city","lat","lon","calltype","race","gender","age","reason","enforcement","car_search"
"2020-09-30T11:47:20.000","2020-00045232","MURRAY ST / 7TH ST","BERKELEY","37.85080699","-122.291036813","T","Black","Male",">40","Traffic","Citation","No Search"
"2020-09-30T11:28:27.000","2020-00045226","FRONTAGE RD / GILMAN ST","BERKELEY","37.8780067320555","-122.307957087233","T","Hispanic","Male",">40","Traffic","Citation","No Search"
"2020-09-30T03:27:16.000","2020-00045187","VIRGINIA ST / 6TH ST","BERKELEY","37.8723317956337","-122.299060286398","T","Black","Female","18-29","Traffic","Arrest","No Search"
"2020-09-29T12:23:14.000","2020-00045055",,"BERKELEY","37.8680172840001","-122.303776422","T","Black","Male",">40","Traffic","Citation","No Search"
"2020-09-29T11:35:29.000","2020-00045045","6TH ST / ADDISON ST","BERKELEY","37.8667099161296","-122.297248669605","T","Other","Male","18-29","Traffic","Citation","No Search"
"2020-09-29T10:27:01.000","2020-00045032","ASHBY AVE / SAN PABLO AVE","BERKELEY","37.8521406356223","-122.286683357453","T","Other","Female",">40","Traffic","Citation","No Search"
"2020-09-28T13:14:07.000","2020-00044889","1400 CORNELL AVE","BERKELEY","37.8774906204406","-122.291857740629","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-28T13:00:18.000","2020-00044887","CEDAR ST / CORNELL AVE","BERKELEY","37.8755431881041","-122.291448715591","T","Black","Female","30-39","Traffic","Citation","No Search"
"2020-09-28T12:42:39.000","2020-00044881","SACRAMENTO ST / DELAWARE ST","BERKELEY","37.8730731906415","-122.282235856111","T","Other","Male","18-29","Traffic","Citation","No Search"
"2020-09-28T12:31:17.000","2020-00044879","OREGON ST / STANTON ST","BERKELEY","37.8559180684507","-122.280418957382","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-28T12:10:58.000","2020-00044874","ASHBY AVE / SACRAMENTO ST","BERKELEY","37.8532810828134","-122.279011568421","T","Black","Female","18-29","Traffic","Citation","No Search"
"2020-09-28T12:05:00.000","2020-00044869","SACRAMENTO ST / ASHBY AVE","BERKELEY","37.8532810828134","-122.279011568421","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-28T08:40:00.000","2020-00044844","POTTER ST / 7TH ST","BERKELEY","37.851514871299","-122.291270411224","T","Other","Female",">40","Traffic","Citation","No Search"
"2020-09-28T08:29:21.000","2020-00044843","ASHBY AVE / 7TH ST","BERKELEY","37.8510085539258","-122.291104027758","T","Black","Male","30-39","Traffic","Citation","No Search"
"2020-09-28T08:15:38.000","2020-00044841","ASHBY AVE / 7TH ST","BERKELEY","37.8510085539258","-122.291104027758","T","Black","Male","30-39","Traffic","Citation","No Search"
"2020-09-28T07:53:26.000","2020-00044840","ASHBY AVE / MABEL ST","BERKELEY","37.8527391991096","-122.283702962519","T","White","Male","18-29","Traffic","Citation","No Search"
