PROGRAM,SITE NAME,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,LOCATION,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
Satellite Senior Center,Pilsen,Mon - Fri 8:30 a.m. to 4:30 p.m. ,2021 S. Morgan Street,Chicago,IL,60608,312-743-0493,"2021 S Morgan Street
Chicago, IL 60608
(41.855146, -87.651544)",8,14920,33,228,26
Satellite Senior Center,Englewood,Mon - Fri 8:30 a.m. to 4:30 p.m. ,653-657 W. 63rd Street,Chicago,IL,60621,312-745-3328,"653 657 W 63rd Street
Chicago, IL 60621
(41.779925314027, -87.63308324284)",53,21559,66,435,4
Regional Senior Center,Central West,Mon - Fri 8:30 a.m. to 4:30 p.m. ,2102 W. Ogden Avenue,Chicago,IL,60612,312-746-5300,"2102 W Ogden Avenue
Chicago, IL 60612
(41.87104299406, -87.678598248246)",8,21184,29,5,23
Satellite Senior Center,West Town,Mon - Fri 8:30 a.m. to 4:30 p.m. ,1613 W. Chicago Avenue,Chicago,IL,60622,312-743-1016,"1613 W Chicago Avenue
Chicago, IL 60622
(41.895752189071, -87.668266590795)",24,21560,25,520,41
Satellite Senior Center,Roseland,Mon - Fri 8:30 a.m. to 4:30 p.m.,10426 S. Michigan Ave.,Chicago,IL,60628,312-745-1500,"10426 S Michigan Ave
Chicago, IL 60628
(41.7043968, -87.6211866)",30,21861,45,236,43
Satellite Senior Center,Garfield Ridge,Mon - Fri 8:30 a.m. to 4:30 p.m. ,5674-B S. Archer Avenue,Chicago,IL,60638,312-745-4250,"5674-B S Archer Avenue
Chicago, IL 60638
(41.797226434619, -87.753154710184)",35,22268,53,607,8
Satellite Senior Center,Auburn Gresham,Mon - Fri 8:30 a.m. to 4:30 p.m. ,1040 W. 79th Street,Chicago,IL,60620,312-745-4798,"1040 W 79th Street
Chicago, IL 60620
(41.750577216157, -87.65029061794)",17,21554,70,487,31
Satellite Senior Center,North Center,Mon - Fri 8:30 a.m. to 4:30 p.m. ,4040 N. Oakley Avenue,Chicago,IL,60618,312-745-4029,"4040 N Oakley Avenue
Chicago, IL 60618
(41.954849869962, -87.686088046148)",13,21538,46,623,18
Satellite Senior Center,South Chicago,Mon - Fri 8:30 a.m. to 4:30 p.m.,9233 S. Burley,Chicago,IL,60617,312-745-1282,"9233 S Burley Ave
Chicago, IL 60617
(41.727693314912, -87.545506047287)",47,21202,42,510,47
Satellite Senior Center,Abbott Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,49 East 95th Street,Chicago,IL,60619,312-745-3493,"49 East 95th Street
Chicago, IL 60619
(41.721658859945, -87.622362388545)",31,21546,45,567,43
Regional Senior Center,Southwest,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat 9:00 a.m. to 4:00 p.m.,6117 S. Kedzie Avenue,Chicago,IL,60629,312-747-0440,"6117 S Kedzie Avenue
Chicago, IL 60629
(41.782129919789, -87.703197649516)",44,21867,64,183,2
Regional Senior Center,Renaissance Court,Mon - Fri 8:30 a.m. to 4:30 p.m. ,78 E. Washington Street,Chicago,IL,60602,312-744-4550,"78 E Washington Street
Chicago, IL 60602
(41.883854158623, -87.624955241864)",22,14309,38,580,36
Satellite Senior Center,Austin,Mon - Fri 8:30 a.m. to 4:30 p.m. ,5071 W. Congress Parkway,Chicago,IL,60644,312-743-1538,"5071 W Congress Parkway
Chicago, IL 60644
(41.873933846272, -87.752051841219)",52,22216,26,184,7
Satellite Senior Center,Kelvyn Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,2715 N. Cicero Avenue,Chicago,IL,60639,312-744-4016,"2715 N Cicero Avenue
Chicago, IL 60639
(41.929908439744, -87.74606693955)",7,22615,19,305,17
Satellite Senior Center,Norwood Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,5801 N. Natoma Avenue,Chicago,IL,60631,312-744-4016,"5801 N Natoma Avenue
Chicago, IL 60631
(41.986531776329, -87.794123462179)",34,22243,36,733,29
Regional Senior Center,Northeast,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat 9:00 a.m. to 4:00 p.m.,2019 W. Lawrence Avenue,Chicago,IL,60625,312-744-0784,"2019 W Lawrence Avenue
Chicago, IL 60625
(41.968722546865, -87.680192382037)",13,21849,6,665,18
